car_brand,car_model,comments,likes
BMW,1시리즈,"주제선정 좋아요. 더운 여름 잘 지내세요. 비싼차, 싼차, 슈퍼카, 경차 가리지 않는 리뷰 좋습니다. 과연 명불허전 자동차에 대한 다양한 정보를 이렇게 재미있게 알려주는 채널이 또 있을까요? 앞으로도 꾸준히 많은 영상 올려주세요. 비가 많이 옵니다. 감사 할듯.",3
BMW,1시리즈,주차장 시승평 잘봤네요ㅋ 그냥 외관이랑 실내평만 보면 편안할듯ㅋㅋ 매력적인 차네요 세컨으로,3
BMW,1시리즈,차 가격도 싸고 디자인도 예쁘고 엄청 좋다,5
BMW,1시리즈,좀 끄럽다 하셨는데 g30 5시리즈랑 어느정도 차이가 날까요? ㅎㅎ,2
BMW,1시리즈,그나마 전륜으로 바뀌면서 공간이 좀 쓸만해 졌죠. 이전세대 1시리즈는 정말.... 휴.... 이쁜거 빼면 정말 시체인 차.,2
BMW,1시리즈,우리나라에서 MC12 시승기를 보는 날이 언제쯤 올까요? 슈퍼카 전문 유튜버 우파님이라면 가능하실까요...,1
BMW,1시리즈,궁금했던 차량 리뷰해주셔서 감사합니다~ 작은차를 좋아해서 그런지 충분히 매력적이네요,4
BMW,1시리즈,이뿐데 출력이 아쉽네요. 윗급 20d에 들어가는 190마력짜리를 디튠한거라면 칩튠이나 맵핑했을 때 얼마나 마력상승이 있을까요?,1
BMW,1시리즈,1시리즈도 뭔가 매력적인데ㅜㅜ 가격적인 부분도 매력적이고ㅜㅜ!!,5
BMW,1시리즈,우파님 영상보면 차를 엄청 사고 싶네요..,3
BMW,1시리즈,진짜 bmw 매력  우파급,1
BMW,1시리즈,우파님 영상보고 자동차 유튜브 찍고 있는데 항상 힘이 되어주는 좋은 영상들 감사합니다!! 더 좋은 영상 많이 많이 부탁드려용!!,22
BMW,1시리즈,사고싶다,4
BMW,1시리즈,역시 비엠은 할인이좋은것같아요 우파~~~티비~~!,2
BMW,1시리즈,우파형님!!!이번에 나온 cla도 부탁드립니다!!!!,13
BMW,1시리즈,와 많이 이뻐졌네요 저도 2016년식 하나 들고 있는데 애착 많이 가는 차에요:),3
BMW,1시리즈,1시리즈는 세단은 너무 답답하고 suv는 너무클때 타는게 맞을뜻,19
BMW,1시리즈,우파님 이번에나온 벤츠a클래스 세단도 리뷰해주세요,1
BMW,1시리즈,X6 리뷰 하는날 기다리고있습니다.^^,2
BMW,1시리즈,차량의 크기는 B세그먼트 정도되나요,1
BMW,1시리즈,패스트백을 원한다면 현대 i30n이 낫지 않나요?,1
BMW,1시리즈,2명타기엔 진짜 엄청 좋은거 같네요,47
BMW,1시리즈,형님 존경합니다..ㅎㄷㄷㄷ,4
BMW,1시리즈,우파님 안녕하세요.최근 출시된 골프와 비교시 어떤게 좀 더 괜찮을까요?가격도 비슷해서..고민이 많이 됩니다.,1
BMW,1시리즈,넘 비싸당 ㅇㅇ외관은 정말 맘에듬니다,1
BMW,1시리즈,118d 전륜 150마력에 듀얼배기는 오바 또 오바긴 한데 뒷모습이 진짜 간지네요.,3
BMW,1시리즈,요즘 업로드 속도 레전드ㅠㅠ 너무좋아 감사해요 우파님,5
BMW,1시리즈,다좋은데 마력이 180마력은되야는데 좀 아쉽네요,2
BMW,1시리즈,형이라면 옵션 딱 열선처럼 필요한것만있는 3사 아니면 풀옵 장비 충분한 국산 같은 가격대?,1
BMW,1시리즈,좋아요~꾹우~하영상 잘 볼게요~,4
BMW,1시리즈,디자인 하나는 진짜 좋아졌네요.,3
BMW,1시리즈,새차라 소음부분은 의미없을거같아요 2~3년 지나고 디젤소음이 어느정도인지 궁금하네욬,1
BMW,1시리즈,나도 안전하게 타라고 받고싶네,1
BMW,1시리즈,"지금 리뷰하신 옵션차량은, 현금구매 650할인이 최대입니다.. 뭐 mou나 재구매하면 조금은 더받겠지만 4천이하는 힘들어보입니다.",2
BMW,1시리즈,비엠이 과연 운동성능을 버렸을까요?,3
BMW,1시리즈,가솔린 모델이였다면 조금 오바스럽게 탈만할꺼같은데요 개취인거같네요 ㅎㅎ,1
BMW,1시리즈,"예전 118D가 아무래도 재미가 더 있겠지만, 전륜이어도 BMW이니깐!!그리고 지금 디자인도 계속 보다보니 괜찮다는 생각이;;",4
BMW,1시리즈,와이프용으로 딱인 느낌..,1
BMW,1시리즈,저 급의 FR을 느낄 수 있다는 메리트가 있었지만 신형으로 바뀌면서 전륜 파워트레인으로 바뀌어서 굳이 살만한 이유는 사라진듯,2
BMW,1시리즈,벤츠 CLA 클래스랑 A클래스 세단 궁금해요!!!!!!!! 우파사랑@@@@@@@@ ㅠ,1
BMW,1시리즈,"세컨으로 찾다가 118d 중고가져왔는데 저혼자타기엔 딱좋고 눈,비 오면 공터에서 드리프트연습하고, 드라이브로 국도타면 진짜 좋긴해요 디젤이라좀 그런데 다음차는 m2  m3 가솔린 찾아봐야죠ㅎ",8
BMW,1시리즈,후륜을 빼다니...,1
BMW,1시리즈,F20 118d 전세대 끄는 입장에서 어차피 비엠 엔트리 옵션 은 기대  안함. 차성능이나 기본기는 타본사람만 암. 안전 및 기본기로 따지면 k5 소나타는 싼마이느낌이 체감됨. 신형이 내부디자인이나 옵션이 좋긴하나 개인적으로 외관이 현기스럽고 i30구형같음.. 개인적인 느낌,2
BMW,1시리즈,이야 어짜피 같은 전륜이면 케파사지,1
BMW,1시리즈,안녕하세요 우파님! 저는 비엠X1 M패키지 차량주인입니다 ㅎㅎ 혹시 리뷰 원하신다면 해드릴수있습니다.!,1
BMW,1시리즈,우파형 솔직히 해치백은 좀있음 현대에서  스포츠 헤치백 벨로스터 자동 변속기 나오는데 그거 사는게 낮지 않을까 싶어요,1
BMW,1시리즈,뒤 테일램프 모양이 아반떼 AD 꺼랑 똑같이 생겼네요...  가솔린 모델은 언제 들어올런지...,1
BMW,1시리즈,"풀옵으로 잘 타고 다니는데 탈 바엔, 줘도 안 탄다 넘나 많네요 ㅠ 맘 아프게 ㅠ우레탄 핸들은 너무 했지만 옵션 추가하면 해결되고 10.5인치 디스플레이도 옵션으로 가능합니다. 여유 있으신 분들은 세컨드카로 부족함 없습니다.. 삼 각별 감성도 느낄 수 있고요",1
BMW,1시리즈,대한민국 남자들이 욕하는차 랭킹 1위..명예로운 차입니다..,1
BMW,1시리즈,우파님 말처럼 세컨카나 금수저용이네요. 저 돈이면 그렌져네요. 그리고 hud 유리는 더 비쌈 ㅠㅠ 돌빵맞으면 그냥 유리는 눈물나는데 젠 피눈물이 날지도.,3
BMW,1시리즈,구형 구닥다리 디자인 + 실내에 소음깡패인데 오로지 후륜이라는 장점.. 솔직히 이번 신형전륜인데도 주행성능이나 질감이 후륜인구형보다 더 좋음 결국 신형은 신형.. 옵션이나 내장제 디자인 비교불가입니다,4
BMW,1시리즈,뜸금 없이 궁금한건데요. 연비 좋고 일반인들이 부담 없이 많이 타는 외제차가 뭔가요??,1
BMW,1시리즈,멋있게 나왔넹,2
