car_brand,car_model,comments,likes
BMW,2시리즈,장진택 기자님. 살아 숨쉬는 듯한 차량 리뷰 및 시승기 늘 응원합니다.,1
BMW,2시리즈,핸들링 갑 짱 최고.. 진택이형 칭찬이 엄청 많군요.,3
BMW,2시리즈,차 설명 진짜 볼때마다 감탄 작은것 하나하나 설명 좋습니다 ㅎㅎ,2
BMW,2시리즈,와아 차가 쫀득쫀득하면 타이어가 도로에 달라붙는다는 건가요?  그러고보면 어설픈 리뷰어들이 툭하면 탄탄하니 쫀쫀하니 하던데 장 기자님은 그 차이를 설명할 수 있을테니 섀시나 서스펜션 움직임을 그래프로도 그려서 각각의 차이를 설명해주시면 좋겠어요!,1
BMW,2시리즈,오늘도 좋은 리뷰 잘 봤습니다 ㅎㅎ,2
BMW,2시리즈,디자인은 전륜이라 프로포션이 기존 세대보다 어쩔 수 없는 것 같습니다. BMW 제일작은 후륜 입문이었는데 ㅠㅠ 세단은 해치백보다 더 자세 안나오네요.  좋은 핸들링이 G20 3시리즈나 전세대 1시리즈 대비 어떤가 궁금합니당 G20 320d도 190마력인데...,1
BMW,2시리즈,박스가 포인트군요 ㅎㅎㅎ유익한 시승기 감사합니다...,2
BMW,2시리즈,F30 3시리즈가 개인적으로 참 맘에 들었었는데.. 저 커진 키드니그릴은 아직까지도 적응이 안되네요 ㅎㅎㅎㅎ,1
BMW,2시리즈,"안전 사양에 대한 비교 시험도 부탁합니다.예) ""전방충돌 방지 시스템"" 동작 상태등..       ""창문 닫힘"" ""트렁크 닫힘""같은 거요..",1
BMW,2시리즈,좋은 리뷰 감사해요^^,1
BMW,2시리즈,프레임리스 하니까 엔터프라이즈 3.6ceo가 생각나네요. 개인적으로는 상당히 만족하며 타던 차인데...제 인생 차 중에 좋은 차로 각인되어 있는 아주 만족했던 차인데 갑자기 생각이 많이 나네요...,1
BMW,2시리즈,장 기자님.. 점점 웃긴 아재 같아지시네요... ㅋㅋㅋ... 잼나게 잘 보고 갑니다...,1
BMW,2시리즈,디자인덕분에 연말에 할인 크게 할듯하네요.,1
BMW,2시리즈,모터블로그부터 팬인 저는 오늘도 그때의 감성을 느껴봅니다. 잘봤습니다.,1
BMW,2시리즈,8시리즈 쿠페를 많이 가져왔으면 좋았을 것을... 기대 많이 했던 차량인데 거기다 디젤 ㅠㅠ...비싸도 cla로 가렵니다.,1
BMW,2시리즈,"구형 3시리즈랑 크기도 비슷하고 주행감도 비슷하고 인테리어는 더 좋아지고... 차는 충분히 좋아보이는데, 가격이 3시리즈랑 거의 같네요.^^",3
BMW,2시리즈,후방만 겁나 이쁘네요..전방은 괜찮은데확실히 전륜이라 측면이 별로ㅠㅠ...주행성능은 역시 비엠이네요,2
BMW,2시리즈,"ㅋㅋㅋ 아재감성 충만. 볼때마다 웃고 갑니다. 정보도 정보지만 뭔가 편안하게 보게 만드는 매력이 ""갑""입니다. 늘 한결같은 모습 기대해 봅니다. 화이팅입니다^^",16
BMW,2시리즈,후륜이였으면 정말 완벽했을텐데...,2
BMW,2시리즈,"카 리뷰  여러 사람들이  하는데.................난 개인적으로  장진택 씨가 하는게 가장 다방면이고 , 솔직하고, 이해가 잘됨.",6
BMW,2시리즈,"띠리릭~ 띠리릭~ ㅋㅋㅋ 항상 즐겁게 리뷰하는 모습이 아름답습니다. 미디어 오토, 파이팅!!!",3
BMW,2시리즈,리뷰하시는거 현장에서 멀찍이 봤습니다.아반떼 보다 약간 큰거 같고 앞 안보면BMW 인줄 멀리서 모르겠던데..덕분에 저랑 아들이랑 영상에도 나오네요 ㅎㅎ,50
BMW,2시리즈,핸들링하나는 정말 좋은가보네요 ㅎㅎㅎ,2
BMW,2시리즈,형이랑 유감독님이랑 너무 유쾌해서 기분이 다 좋아진다 사랑해♡,8
BMW,2시리즈,디자인 예쁜데 보는사람마다 취향이 있겠지요 ㅎ,1
BMW,2시리즈,차가 잘달리면 외관도 다시 보인다는거 공감가네요~ 거꾸로 외관은 엄청 스포티한데 차가 운동성능이 떨어지면 좀 깬다고 할까...,1
BMW,2시리즈,"요약: 핸들링 최고, 승차감 중상, 제동력 좋음",2
BMW,2시리즈,참 디자인 별로여도 역시 운전 맛이 좋으면 차가 멋져 보이는 것 같아요 ㅋㅋ,2
BMW,2시리즈,형님! 항상잘보고있어요.구독자늘어도 너무 눈치안보고 처음처럼 해줬으면 좋겠어~~응원해요~~~,1
BMW,2시리즈,와우 저도 얼렁 타보고 싶네요선따봉 갑니다 항상 감사합니다^^,7
BMW,2시리즈,근데 진짜 이번 비엠은 suv는 봐줄만한데 세단코커진건 적응이안되네요 세단은 f시리즈 디자인이 개인적으로 이쁜듯해요,6
BMW,2시리즈,역시 오늘도 수지누님  ㅎ ㅎ ㅎ 자동차 리뷰는 장진택님 화이팅,2
BMW,2시리즈,재미있게 잘 봤습니다 ㅋㅋ. 스팅어 깜박이는 못보셨나요? ㅋㅋ,1
BMW,2시리즈,뒷모습 너무 이쁜데 ㅠㅠㅠ 페리전 glc쿱 같은 느낌을 좋아하는데 뒷모습 너무 이쁘네요...,3
BMW,2시리즈,"3,5시리즈 BMW 아주 좋은 차죠~~~~2시리즈도 궁금하네요",3
BMW,2시리즈,쫀득한 맛이 궁금해지네요. ㅎㅎ,1
BMW,2시리즈,영상 볼때마다 느끼는데 배경음악이 장 기자님 분위기랑 너무 잘어울려요.,1
BMW,2시리즈,럭셔리 모델이라 휠 세척하긴 불편하고ㅋ앞범퍼의 안개등부분에는 의외로 크롬이 안들어갔군요 트렁크 라인에 검정 하이그로시브 들어간것도 럭셔리라면 크롬일줄 알았는데..ㅎBMW 매우 좋아하지만 외부 디자인 비율 등은 이번 벤츠 A클래스와 CLA가 더 낫긴하네요물론 내부는 BMW쪽에...벤츠의 그 내부 디자인은 너무 식상하죠,1
BMW,2시리즈,"BMW3,8시리즈가 성숙하다면 2시리즈는 악동느낌이남둥글둥글 ㅋㅋ 너무 귀여움 >3<",2
BMW,2시리즈,디자인은 진짜 산으로 가는구나.. ㄷㄷ,1
BMW,2시리즈,오늘도 화이팅~!!,1
BMW,2시리즈,ㅋㅋㅋ 시작 인트로 쥑이네요 멋져요 ㅎㅎㅎㅎ,2
BMW,2시리즈,장진택 화이팅!,1
BMW,2시리즈,"첫인상은 ""..음..쫌 그래.. 왜 디자인을..""시승 후 ""차가 멋있어보여!!""",2
BMW,2시리즈,비엠을 타본적이 없어서 ㅠㅠㅠ 그 핸들링이 뭔지 너무나도 궁금하네요 ㅠㅠㅠ,1
BMW,2시리즈,34:11 와! 박진감 넘치는 모닝 짐카나,39
BMW,2시리즈,진짜 옵션만큼은 국산차가 괜찮네요!! 수입차량은...옵션이 부족하지만...국산차 옵션을 포기할만큼 수입차량을 선택하는건 이유가 이겠죠??,6
BMW,2시리즈,장진택 기자님이니까 좋아요 누르고 시청이죠^^,1
BMW,2시리즈,이번에도 잘 봤습니다.^^,1
BMW,2시리즈,와 정말 엔진룸 보니까 미니랑 진짜 비슷하네요. 근데 잘 팔리진 않을거 같네요....,1
BMW,2시리즈,아내 한 대 사주고 주말에는 제가 타고 싶네요 리뷰 감사합니다 ,2
BMW,2시리즈,이형 영상 보면 시간가는 줄 모름. 디리릭 디리릭~,2
BMW,2시리즈,형 진심 가지고 싶은 차,1
BMW,2시리즈,한결같은 수지누님 사랑.ㅎㅎ미디어오토 화이팅!,1
BMW,2시리즈,디자인은 진짜 CLA가 압승이다..,3
BMW,2시리즈,너무 행복해하시는거 아닌가요 보기 좋습니다 ㅋㅋㅋ,1
BMW,2시리즈,진동이 어떤지 궁금하네요~ 핸들과 시트 문짝에서 느껴지는 진동은?!?,1
BMW,2시리즈,끝물 이라지만 420i 그랑쿠페 대기인데 목숨걸고 꼭 받아야겠어요. 더 저렴하기도 하고요.bmw는 디자인 땜에 타는데 음....,1
BMW,2시리즈,이게 BMW라고? 은근 왕코 디자인도 어울리고 좋네요,1
BMW,2시리즈,측면에서는 성능좋은엑센트느낌,2
BMW,2시리즈,믿고보는 장진택님리뷰~~ 앞코가 점점...  띠링띠링 띠리링~~~,1
BMW,2시리즈,기자님 bmw가 g바디 오면서 옆라인을 비교적 평평하게 만들고 있는데요. 이것도 하나의 트렌드인가요? f바디는 옆문짜구캐릭터라인이 강하게 들어있어서요.,1
BMW,2시리즈,"안타깝습니다 F22 220d 를 탔었던 경험으로....한국에서도 1,2시리즈 의 M퍼포먼스 모델을 (M135i, M235i) 를 출시할만도 한데요...여전히 저레벨 디젤모델만 출시하는 BMW코리아의 저레벨 상품전략..",1
BMW,2시리즈,멋있는데요  ㅎㅎ  화려한멋보간...단순하면서 깔끔한  ㅎㅎ,1
BMW,2시리즈,나중에 220d도 문짝 확인 어떠신가요?,1
BMW,2시리즈,"미니쿠퍼나 미니클럽맨 SD 생각하면 드라이빙의 재미는 상당할것같은데 외관이 너무 구려서 많이 팔릴것 같지는 않네요. 프리미엄 패션카로 쓸 여성분들은 cla, c클로 많이 갈것같고 펀카로 쓸 남성분들도 일단 모양이 예뻐야 드라이빙하는 기분도 내고할텐데말이죠.  이차는 커버쳐주려해도 가격대비 추천할만하다고 말하기가 많이 힘든차같네요 ㅜㅜㅎㅎ",7
BMW,2시리즈,기자님 이시간에 올리시면 어캅니까 정말 감사합니다!,2
BMW,2시리즈,요새 모터그래프 저기 자주 가더라구요. 자동차극장같던데...ㅎ,1
BMW,2시리즈,진택이횽이....8초만에 리뷰를 끝냈습니다세계 최초 리뷰 8초 끝하~이거~~하아~~이거이쁘진 않어..끝,85
BMW,2시리즈,프레임도어 겨울철 눈오는날 외부주차 했다가 얼어버리면 난감할때 정말 많지ㄷㄷ,2
BMW,2시리즈,역시 재미있네요ㅎㅎ,1
BMW,2시리즈,"벨로스터N의 존재 떄문에, 아무리 BMW라지만 핸들링 정도만 가지고서는 어필 되긴 힘들 것 같네요.. 브랜드 벨류로 간다면 벤츠로 가실테니...",1
BMW,2시리즈,확실히  차싸이즈가 작으니  즌제감이 없어보임,1
BMW,2시리즈,"답변주실수있는지요..?^^저도 이번에 2시리즈 구매했는데요,트렁크 킥모션이 열때만 되는건가요? 닫을때는 안되나요?아님, 제가 못하는건지..ㅎㅎ차는 며칠 운행해보니 정말 좋습니다^^",1
BMW,2시리즈,이제 XG가 프레임리스가 됐던 이야기를 듣고싶습니다.,1
BMW,2시리즈,1시리즈도 부탁드려요!,2
BMW,2시리즈,볼보 s60 와 bmw 2쿠페 중에 뭐가 좋을까요? 20대 중반에서 후반 넘어가기 직전의 여자에용 !!,1
BMW,2시리즈,16:24 와아 과속방지턱 넘어가다가 뒷좌석 앉은 사람 목 부러지겠네 ㄷㄷㄷ 개무섭다,2
BMW,2시리즈,비엠이 노오력은 많이 했으나  아방이에 비엠 외장을 붙인것에 불과한 느낌기묘하다 전체적으로 도요다 코로나 같기도  뒤는 이태리 알파로메오 같기도 ㅎㅎ  하여튼 짬뽕일쎄,3
BMW,2시리즈,보기전에 먼저 좋아요...왜???언제나 웃길 테니까!!!웃기고시퍼 리뷰하는 남자ㅋㅋㅋ,11
BMW,2시리즈,리스도어 보기에는 좋아도 단점이 넘 많은..ㅠㅠ,1
BMW,2시리즈,소음 진동 어떤가요?디젤이라 고민중,1
BMW,2시리즈,역시 bmw는 3시리즈부터 인가 봅니다 ㅎㅎ,1
BMW,2시리즈,3분3초 쯤의 측면 디자인은 정말 더뉴k7 길이 줄여논거 같네요..,1
BMW,2시리즈,쫀득~ 쫀득~,3
BMW,2시리즈,개콘보다 잼있어요ㅎ118d는 시승계획 없으신가요?,1
BMW,2시리즈,이거도 럭셔리 라인이라 그러지 m패키지는 이쁨,1
BMW,2시리즈,중국에서 본 2시리즈는 멋잇엇는데 ㅠ 컨버터블도 잇어요 ㅎㅎ,1
BMW,2시리즈,비엠에 전륜이라... 쫀득함이 정말 있어요 ?,1
BMW,2시리즈,와 아반떼보다 안좋게 느껴지는 bmw차는 처음이다.....,1
BMW,2시리즈,옵션 빼고 안팔리는 재고차 들여오는 벤츠보다 가격도 훨씬 저렴하고 옵션이 더 괜찮아서 cla보다 2시리즈가 휠씬 더 합리적인 선택이라고 생각하네요...,10
BMW,2시리즈,끝부분에 비상상황ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 신형스팅어 위장막 ㅋㅋㅋㅋㅋㅋㅋㅋ,2
BMW,2시리즈,나중에 M235i 가 들어오면 어떨지 궁금하네요,1
BMW,2시리즈,디자인이 3시리즈보단 100배 좋구만요... 하지만 전륜구동이라 패스.,2
BMW,2시리즈,1시리즈도 해주세요!,1
BMW,2시리즈,형이 너무 좋아요 ㅠㅠㅠ♡,5
BMW,2시리즈,자동차기자님중 인상이 가장 좋으심,1
BMW,2시리즈,쫀득쫀득한 찹쌀떡필링의 차 그리고 기술이 없는 현기는 아반떼쿠페 k3쿱은 프레임도어ㅋㅋㅋ,1
BMW,2시리즈,뛰어오는 오프닝 좋은데요,1
BMW,2시리즈,타보고 싶넹ㅋ,3
BMW,2시리즈,할인해서 3천후반에 팔아도 아쉬울 옵션과 전면디자인...,1
BMW,2시리즈,독3사중에 전륜은 아우디 폭바가 젤 나은거같다,1
BMW,2시리즈,235i  시승기 보고 싶어요~,3
BMW,2시리즈,쫀득함은 진택이 형이지.,1
BMW,2시리즈,응원합니다,1
BMW,2시리즈,차보다 진택이형 옷이 더 이쁘네요 ㅎ,1
BMW,2시리즈,전륜이라면 굳이.....차라리 아테온 가겠네요.,1
BMW,2시리즈,왠지 모르게 디자인만 봐도 전륜느낌이 드는건 뭘까...,1
BMW,2시리즈,점점 잼있어 지고 있네요. 근데 클럽맨 가겠어요. ㅎㅎ,1
BMW,2시리즈,"차 괜찮내요,.. 특히 프레임 리스 문짝은 정말 맘애 드네요..  혹시스피커는 옵션 없나요?>?? 하만 카돈으로요~~~",1
BMW,2시리즈,솔직히 이급 전륜세단은 현기도 잘 마..ㄴ..,1
BMW,2시리즈,프렘리스도어 말고는 320i가 낫네,1
BMW,2시리즈,외관이 국산차같다...?라는 첫 느낌~,1
BMW,2시리즈,"달리 생각 해보면 , 회사 눈치보여서 소나타 정도를 타야 하는 사람에게 적당해 보이네요 .개인적으로 앞모습이 구형 k7 느낌남",1
BMW,2시리즈,진짜 인트로가 다설명한듯 ㅋㅋㅋ차는좋은데 이쁘진않아,1
BMW,2시리즈,ㅋㅋㅋ 우리의 섬세한 수지누님의 노래~~,1
BMW,2시리즈,"3시리즈아니면 그냥 G70이 역시 옵션이나 가격에서 좋아보이는데용 통풍시트,휴대폰시동이나 반자율까지 가능해서 ... 브랜드빨을 생각하면 비엠이지만 ... 그냥 그렇다구요 ㅎㅎ",1
BMW,2시리즈,참 보기힘든?차인듯 합니다.한번도 본적이 없는...원래 2시리즈 미니벤 같은거 아니였나요?이제 띠리링 띠리링이 효과음으로 들어갔구나ㅎ,1
BMW,2시리즈,와 이번화는 쿠키영상이 ㅋㅋㅋ,1
BMW,2시리즈,이 정도 차도 4천만원 후반대에 파니 돈을 안벌려고 해도 안될듯....,1
BMW,2시리즈,어떤놈이 매번 박스를버리는겨ㅋㅋㅋㅋ,27
BMW,2시리즈,오디오는 영상으로 들을때다똑같음ㅋㅋㅋ,4
BMW,2시리즈,BMW 2020년 신차가 ACC가 없다니...ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
BMW,2시리즈,21:25 수지누나 광팬인증,2
BMW,2시리즈,Cla는 그래도 나름 늘씬한 느낌이 있는데 이건 너무 뭉툭한느낌..,15
BMW,2시리즈,아무래도 현대 기아보다는 핸들링 제동 달리기성능 대부분  앞서겠지만.. 4760만원을 주고.. 220시리즈를 사는게.. 맞는건지 그래봤자 디젤 4기통 제로백 7.4초에 뭔가 돈없는데 외제차는 타고 싶어서 타는 취급 받을것 같은 느낌이 많을것 같아요 ㅠㅠ 3시리지는 그나마 정말 운전 하는 재미가 있고 세계적으로 유명하지만,1
BMW,2시리즈,"생기신건 코란도스포츠, 액티언 타게 생기셨는데ㄷㄷ 까달스럽네요.. 가격이 터무니없이비싸서 살일은없지만 잘보았습니다.",1
BMW,2시리즈,2시리즈... 역시 BMW가 어쩌다... :(,1
BMW,2시리즈,35:50 맥주만 드시는.....ㅋ,7
BMW,2시리즈,뒷좌석 천장은 뭐... 헬멧이네요.소형차 기반 쿠페에 뭘 바라겠냐마는 뒷자리는 어지간하면 누구 태우긴 어려울듯.,1
BMW,2시리즈,26:20 박스가 ㅋㅋㅋ,16
BMW,2시리즈,노래 선곡 제 취향이네요,2
BMW,2시리즈,2시리즈 그란쿠페 현실 드림카죠,2
BMW,2시리즈,수지누나한테 허락받고 노래 좀 길게들어요ㅎㅎ,1
BMW,2시리즈,아 디자인만 이뻤어도... ㅠㅠ,1
