car_brand,car_model,comments,likes
BMW,Z4,형 나는 형이 날이갈수록 잘생겨져서 z4말고 형을타고싶은데 일년 보험료하고 유지비좀 알려줄수있을까?,225
BMW,Z4,볼때마다 느끼는건데 진짜 디자인 잘했다,26
BMW,Z4,"Z4 M40i 출고하고 한달정도 탔네요ㅎㅎ정말 빠릅니다.. 옵션도 친절한편이구요.도로에서 보기어렵다는점 만족스럽네요. 다시 사라해도 박스터말고 Z4 살것같습니다.리뷰, 출고기 궁금하신분들~ 놀러오세요ㅎㅎ",29
BMW,Z4,20i 세컨카로 타고있습니다.기본 뒷타이어가 PSS 275 사이즈에일체형 서스 하고나니 회두성은 정말미쳤어요. 존잼입니다,5
BMW,Z4,이번에도 차차님 매력에 푹 빠졌어요🤭,2
BMW,Z4,와...차이쁘다 사고싶다,5
BMW,Z4,1세대가  진짜  대단,2
BMW,Z4,z4와 박스터 고민하다가 992 인수한지 1년 정도 됐는데 후회없네요. 솔직히 컨버터블은 어떤차를 타더라도 소음적인 면에선 스트레스를 많이 받지만 하차감이 좋아서 탑니다. 여러분 하차감 하나 보고 사실거 아니면 컨버터블 말고 그 돈으로 고오급세단 사세요. 불편한점이 생각보다 너무 많습니다.,5
BMW,Z4,컨버터블중에서는 e클 카브리올레만 타고싶었는데 bmw도 참 멋있네요,4
BMW,Z4,그 시절에 골프에 bmw에서 표지 보내줄 정도면 ㄷㄷ 삶의 시작점 선택권이 누구에게나 공평하게 시작될순 없겠지만 차이가 그 차이가 후...,10
BMW,Z4,늦깍이 대학생인데 slk r172랑 e89 z4 둘중에 고민하다가 slk샀는데 운동성능은 확실히 z4가 한수위라고 생각드네요,2
BMW,Z4,20i 타고있습니다 그냥 진짜 이정도 가격에 최신 로드스터를 타는 느낌 신차 타는 느낌 팍팍 들어요 그리고 일단 해질녘에 뚜따 하면 그게 그렇게 좋더라구요 다만 40i 출력이 부럽긴 합니다 ㅜ,16
BMW,Z4,"갠적으로 뚜따는 그렇게 고성능 필요없다고 생각해서, 20i도 충분하다고 생각",4
BMW,Z4,bmw z4 오픈카 한번타보고싶네요 우파님 bmw z4랑 완전 잘 어울려요,2
BMW,Z4,Z8후속은 안나오나..지금도 갖고싶은 최고의 오픈카는 Z8이네요,2
BMW,Z4,"29살  아버지 밑으로 보험들어서 138만원3개월 동안 4500km 주행, 한달 주유 4~5번, 일주일에 5~6만원 고급유로 쓰는듯요유지비 생각보다 아주 합리적",5
BMW,Z4,마지막 차에 내려서 하는 말이 맞는 말 인거 같아요 40i는 딱 중간에 있는 느낌 ㅠ ㅠ 영상 감사합니다 ..!!,1
BMW,Z4,역시 고성능엔 뚜따가 필수!,1
BMW,Z4,가성비가 좋아보여요 ㅎ,1
BMW,Z4,소형 로드스터는 역시 박스터 ~~,14
BMW,Z4,Z4는 2세대가 명작임...단 6기통 실키식스 있는걸로,24
BMW,Z4,영상보면서 리앙스가 박스터가 더 좋다는 듯이 들려요^^ 우파님은 박스터를 더 사랑하시는 듯^^,2
BMW,Z4,Z4 1세대 휠 실화냐 bmw휠은 진짜 전설이다,5
BMW,Z4,Z4를 보니 예전 시크릿가든이 생각나는 옛날아재..ㅋㅋㅋ,22
BMW,Z4,우파님 대박나세요,1
BMW,Z4,저가격이면 무조건 포르쉐지~~,1
BMW,Z4,아침8시에 업로드하시는 우파님 굿굿,1
