car_brand,car_model,comments,likes
기아,모하비,"모하비,, 갖고싶다💕",102
기아,모하비,"다른 리뷰에서는 체감을 말로만 설명하니까 느낌이 잘 안왔는데, 물컵을 담아서 테스트 하니 확실히 느낌이 오네요 ㅎㅎ 잘봤습니다. ㅎㅎ",1
기아,모하비,승차감 영상을 보니 빨리 출고되었음 하는 마음이 더욱더  간절해지네요ㅋㅋ 2월 8일 계약했는데 넉넉히 두달 기다려야 한다더라구요~ 14년식 모하비도 너무 만족하며 타고있지만 23년식 모하비..진짜 넘넘 기대돼요~ 시승 영상 감사합니다~^^,5
기아,모하비,오늘도 나와버린 물 실험!! 물에 위치 여러 상황들로 완전히 객관적인 평가를 할순 없겠지만   확실히 승차감이 부드러워진것같네요!,6
기아,모하비,와.. 진짜 영상으로 두대 비교해서 보니까 더더욱 엠블럼 있는 그릴빼고는 차이점이 없네요..,19
기아,모하비,승차감 개선이 어떻게ㅜ되었는지 궁금하네용~ 동일 조건이었으면 더 좋았을텐데 조금 아쉽네요 ㅎㅎ,5
기아,모하비,물컵 위치가 다른것도 영향이 클 것 같네요2023은 앞 뒤바퀴 가운데 즘 위치하는데 2021은 뒷바퀴 쪽에 가까워 방지턱이나 요철 넘을때 충격이 더 클 것 같네요,23
기아,모하비,저번 우파님 23년식 모하비영상보고 승차감 얼마나바뀌었을까 너무 궁금했었는데 감사합니다,11
기아,모하비,승차감 드디어 좀 좋아져서 다행이네요,5
기아,모하비,저도 지난주 2023 시승했는데 말씀처럼 밟으려하면 약간 굼뜨는게 있습니다 지금 14년식 싼타페 모는데 확실히 반응이 한템포 더 느리네요. 하지만 순간 굼뜨는 것을 보상하려 엑설 밟는 순간 허리가 뒤로 제쳐질정도로 튀어 나갑니다. 그외 제 차와 비교해서 승차감 소음 처리 생각보다 너무 좋았습니다 훨씬엔진소리 기가 막히고 왜 6기통 얘기하는지 이해됨부산 시내 40분 운행 극악 연비 아니었고핸들링 묵직. 여성분들은 조정해될 될거 같아요뒷자석 공간 싼타페랑 비슷하진만 완전 고급짐제게만 해당 되겠지만(187cm) 썬루프 차량 실내 천장 높이가 제 싼타페 보다 낮아서 허리를 피면 목이 꺽이네요. 좌석 완전 밑으로 조정 후에도.결론 앉은키 1m이하 이시고 시속 150km 이상 안달리는 사람들에게 추천합니다.생각보다 승차감 많이 좋아서 너무 만족했습니다,2
