car_brand,car_model,comments,likes
기아,봉고,2:20 방향지시등 반만 들어와서 유감6:41 혼자타고 다닐때 한상기 꿀팁 방출7:19 칭찬하다 돌변한 한상기형23:44 가스가 없어 아쉬웠던 한상기형,77
기아,봉고,이런 대중적이고 실용적인 차임에도 리뷰해주시는 유튜버가 흔치 않은게 사실인데... 역쉬 갓상기!!,5
기아,봉고,봉고로 한상기 코너를 돌려버리시네요 ㅎㅎ짐 안싣고는 뒤가 잘 털려서 저도 뜻밖의 드리프트를 몇번 겪어봤거든요(포터2이긴 했지만)잘봤습니다,4
기아,봉고,저차 보기 되게 힘든데 구하셔서 리뷰하시다니.. 대단합니다!,7
기아,봉고,상기형님 너무 즐겁게 봤습니다자동차 리뷰어중 최고라고 인정할 수 밖에 없네요!,3
기아,봉고,"공차 상태로 고속 코너에서 오버 성향으로 미끄러질까봐 마음 졸였는데, 생각보다 안정적이라 신기하네요.잘 봤습니다.",1
기아,봉고,역대 한상기 코너 중에서 가장 기대가 되었음..,164
기아,봉고,"역시 상남자 상기형님!포터 코너링 잘 보고 갑니다~요즘 여행 영상부터 시승기,아무말 대잔치,버리는 영상까지쭉 보고있는데 꿀잼입니당.재미없을것 같은데 재밌습니다.",2
기아,봉고,"포터을 자주타서 공감가는게 많습니다. 사이드미러 사각지대, 시트포지션이 높아 신호등 볼려면 상체를 숙여서 볼때도 있죠 ㅎㅎ",6
기아,봉고,생계형 자동차까지 리뷰해주시다니 진정한 카리뷰어 이십니다 乃,1
기아,봉고,ㅋㅋㅋㅋㅋㅋㅋ 진심 허를 찌른다 진짜 이런 시승기 정말 좋아 대박 한상기님 화이팅 ㅋㅋㅋㅋㅋㅋㅋ,46
기아,봉고,가성비만 따지면 여태까지 유투브 시승기 했던 차량 중에서 단연 순위권 안에 들듯 합니다.,2
기아,봉고,2020이 아닌 2019 봉고3 lpi를 타고 있지만 당시 구입할 때 lpi 모델에 대한 정보가 너무 없었는데 구입예정이신 분들에게 큰 도움이 될 것 같아요. 저 역시 매우 만족하면서 타고 있습니다. 구매 후 놀란 것은 요즘 트럭은 자동사이드미러에 손따도 된다는게 충격이었습니다. ㅎㅎ,1
기아,봉고,화물적재량이 많지않다면 디젤대신 LPI도 좋은 대안이 될수있을거같네요,2
기아,봉고,"수동5단 포터 디젤 터보와, 봉고3 LPI 자연흡기와 달리면 생각보다 LPI가 더 빠른것 같더라구요.",2
기아,봉고,lpi여도 저RPM에서 힘이 없는느낌이 상쇄되는 이유는 작은휠+트럭의 견인성 위주로 셋팅되는 기어비의 영향이 강합니다.,2
기아,봉고,봉고 리뷰에 코너링까지 ㅋㅋㅋㅋㅋ 차별없는 리뷰네요 정말로 한기자님의 성능 시험은 모든 차에 동등하게 ^^,2
기아,봉고,"와.. 정말 재밌게 봤습니다!! 1톤트럭 코너링 나쁘지 않죠. 몰아보진 못 했습니다만, 시골에서 사는 관계로 코너 많은 길에서 숱하게 봉고, 포터한테 쫓겨 봐서 압니다. ㅋㅋ 쌀배달 정말 수고 많이 하셨습니다. 고맙고, 항상 응원합니다.",2
기아,봉고,봉고랑 포터는 기본세팅이 어느정도 적재한 상태 기준이라더니 사실이군요!,1
기아,봉고,이런 시승기도 아주 좋습니다. 잘 봤습니다.,1
