car_brand,car_model,comments,likes
기아,세피아,와 차 진짜 멋있네요 1.5 DO + 디지털계기판 + 수동 ㄷㄷㄷ,1
기아,세피아,"저도 첫차가 뉴세피아 였습니다.(수동, DOHC) 당시에 중고로 샀었죠. 수동 운전하는 맛 아직도 못있고 있습니다. 고속으로 달리다 내리막 만나면 3단 넣고 엔진브레이크 걸리면서, 웅~ 하고 나는 소리, 중립에서 엑셀 살살 밟으면서 '후까시' 소리... 그립습니다. 한동안, 차 안팔고 세컨차 유지하면서 정비하고 했으면 어땠을까 후회도 했습니다. 너무 멋진차 잘 사셨네요. 내부 깔끔하게 정비해서 한번 더 올려주시면 고맙겠네요. (계기판은 제차는 아날로그 였는데, 영상의 차는 디지털이네요. 그외 외관은 정말 똑 같습니다.)",1
기아,세피아,세피아 잘달리고 코너링좋고 지금 준중형차들보다 달리기성능은 한수위죠. 고속도로에서 악셀에 발얹고있으면 속도계가 금새 170넘어가있져.,2
기아,세피아,아버지 차가 이거였는데...ㅎ 추억 돋네요 안전운전이요ㅎ,2
기아,세피아,진짜 사랑한다 뉴세피아,2
기아,세피아,세피아 차 상태 좋네요 좋은 차죠^^,1
기아,세피아,"2000년도 어렸을때 아버지가 94년식인가 96년식 눈매 날카로운  수동 6만뛴거 그당시 400에 업어오셨는데, 16만까지 타면서 타면서 라디에이터랑 머플러 터진거, 오무 부츠터진거 한번씩 수리하고 했었는데, 쇼바가 죽고, 플러그 하나 고착 되어 있어서 못뺐어도, 고속도로에서 답답함이 없이 잘 치고 나갔습니다. 세피아 프라이드 같은 띵작 많으면 정비사분들 힘들어진다고 정비사 아저씨가 얘기해주시던 명차 잘 관리해서 사고 없이 오래타세요👍🏼",1
기아,세피아,3:58 와ㄷㄷ 레어닉이네요ㅋㅋㅋㅋㅋ,3
기아,세피아,강자에겐 힘이있다!,1
기아,세피아,저 어릴 때 생각나네요... 저희 아버지 첫차가 세피아였어요,1
기아,세피아,아직 모비스에서 세피아 부품 소량생산되는가요?,2
기아,세피아,"""아쿠엠 시트커버"" 진짜 오랫만이네요. 한데 그걸 제거 하셨군요.(이제 못구하는 골동품인데;;)",1
기아,세피아,안녕하세여 한가지 여쭤볼게여 영상 마지막 부분에 나오는 부품교체나 내부청소 등등은 어디서 받을수 있나요? 세피아 차를 다음주쯤 만날예정이라 알려주시면 감사합니당,1
기아,세피아,어릴적 아버지차였는데... 초록색 95년식 세피아,2
기아,세피아,뉴세피아는 전조등 신품이 나오나요?저희 집에 기아 슈마가 있는데신품이 없어 전국 찾느라 고생했었네요ㅠ,1
기아,세피아,저 KTX 부산행에 나왔던거 같은디 암튼 세피아 올만에 보네료,1
기아,세피아,관리는 어떻게 할까요? 부품이 아직도 나오나?,1
