car_brand,car_model,comments,likes
기아,엑스트렉,"어쩌면 EV6도 기아 최대의 업적 중 하나로 평가 받지 않을까요.. 화석연료차에서는 K5, 전기차에서는 EV6 이런식으로요..그리고 개인적으로 EV9는 대체적으로  굵은 직선을 고수하면서도 헤드램프의 끝부분이 날카로운 도검을 연상시켜서 디자인이 맘에 들었습니다.",39
기아,엑스트렉,항상 하는 걱정이지만 전기차로 발전하는 가운데 커넥티드로 모든 자동차 정보를 통합 제어한다면 바이러스나 해킹의 위험에서 얼마나 잘 방지하느냐가도 중요해 질듯....,46
기아,엑스트렉,500이 중요한 이유가 안전충전 허용치인 80% 수준을 감안해도 실주행 400이 넘는 수치기에 정말 일상영역에서 편하게 사용할 수 있는 주행거리인데다 세단도 아닌SUV라니...너무 기대되네요.,35
기아,엑스트렉,"G90을 정말 경쟁력있는 전기차 성능과 주행거리로 내놓으려면 (전기차 성능 순수평가에서 2류수준인) 벤츠 EQS에 맞출께 아니라, 테슬라 모델 S플레드나, 루시드에어드림에 맞춰서 내놓아야 하는거 아닌가 싶네요. 그런면에서 현대차 기술이 아직 모라라고...",2
기아,엑스트렉,기존 먹거리가 사라지는 만큼 새로운 먹거리가 나타나는데 전기차 전용 가전기구가 대표적이지 않을까 싶네요.,15
기아,엑스트렉,"아직 성공은 시기 상조라고 봅니다. 테슬라는 자동차 사업만 하는게 아니라서 현대차도 계속 발전해야될 필요가 있어요. 솔직히 테슬라는 솔라시티 및 로봇 사업, 우주 산업 까지 있어서 아직 따라 잡는건 시기 상조라고 봅니다.",3
기아,엑스트렉,테슬라 주주로써 테슬라는 대단하네요,8
기아,엑스트렉,EV6 운행 중입니다.  처음 차량 구입해서 100% 충전하면 주행 거리 470km 표시 되었는데  최근 100% 충전하면 주행 거리가 533km 나옵니다. ~~ 주행 방법은 회생모드 오토 세팅하고 고속도로에서는  오토 크루즈 기능 사용합니다. 과속하지 않습니다. 전기차도 내연 기관차와 동일하게 주행 거리는 운전 습관에 따라 많이 좌우 되는듯 합니다. ~~화요일(3/22)에 100% 완충하니 546km로 13km 더 올라가네요,8
기아,엑스트렉,기아 전기차 라인 너무 마음에 듭니다.디자인은 현대보다 나아 보여요!,18
기아,엑스트렉,"ev6, 소렌토 하이브리드, 스포티지 하이브리드,,, 대기기간 현기증난다 ㅠ ev6는 처음에 사전계약 한사람이 아직 못받은 사람도 있다던데 차 받기전에 페이스리프트 될듯",21
기아,엑스트렉,추가적으로 얼마전에 유럽에서 현대기아가 BMW 점유율을 이겼다는데 현재도 잘 팔리는 모델들 중에 아이오닉5와 EV6가 효자 모델이라 하네요. 그런데 제가 해당 기사를 제대로 본 것도 아니고 판매량을 정확히 아는 것도 아니라 따로 확인하는걸 추천드립니다.,13
기아,엑스트렉,누군가는 제원으로 차량을 평가하지만 누군가는 브랜드 감성으로 차량을 평가한다그 브랜드 감성의 영역을 현대 기아가 잡을 수 있다면...,2
기아,엑스트렉,"주행거리자체 숫자만 보고 부화뇌동하면 안됩니다.   500km 넘는것 자체야 좋은데 400이든 450 이든 500이든 실제 배터리 용량대비,  그리고 디자인을 무리하게 희생해서 공력계수만 낮춰놨는지 여부가 중요한거지 그냥 무지성으로 500km 숫자 뽑을라고 하면 테슬라와 더불어 현대기아는 맘먹으면 얼마든지 할 수 있는 기술 수준이 됩니다.   전 아이오닉5 ev6 등이 굉장한 가능성을 보여줬다고 생각하는게 디자인과 실용성을 훼손하지 않고 모터와 감속기 만으로 그 정도의 주행성능으로 400-500사이를 뽑았다는데 있습니다.",3
기아,엑스트렉,EV9과 똑같은 디자인으로 소형이나 중형이 나와주면 땡큐베리~~~~,4
기아,엑스트렉,근데 ㄹㅇ g80전기차는 제발 올해나올때 거리 500은 넘겼으면 좋겠다,2
기아,엑스트렉,"커넥티드 카 무서워요... 테슬라 이번 업데이트때 실내카메라 사용동의 묻는데... 옆에 현업 개발자가 타서 하는 말 ""이거 보려고 하면 볼 수 있다."" 커넥티드카가 편리하지만 결국 사생활보호 문제 생기는 거죠. 우리가 하는 모든 말, 모든 행동이 감시될 수 있다는 사실 :/",2
기아,엑스트렉,지금 내연기관차 비교적 작고 싼 모델들은 1~2천만원에도 탈 수 있는데 전기차는 언제쯤 이 시대가 올지 기다려지네요.. 저는 그때 쯤이 와야 전기차 살 수 있을 듯 해요,21
기아,엑스트렉,가격도 대박으로 나오겠죠?ㅠㅠ,9
기아,엑스트렉,좋은 소식 잘 봤습니다. 감사합니다. ~,4
기아,엑스트렉,나중에는 전기차 사야겠다 ㅎㅎ 점점 좋아지고 있고만,6
기아,엑스트렉,좋은 정보 감사합니다,3
기아,엑스트렉,말 잘하네요. 물론 물 흐르 듯 논리도 있고 내용도 괜찮네요. 우리 젊은이들이 열정도 있고 똑똑하니 우리 나라 앞날도 밝아보여요. 당신들은 우리 나라의 소중한 자산입니다. 응원합니다~~,3
기아,엑스트렉,ev9 먼저 출시후 시장반응이랑 부족한거 더해서 gv9 출시될듯,8
기아,엑스트렉,"추후 개발되거나 개선되는 차량에는 기계적으로 엔진동력전달을 차단하는 원터치비상레버가 의무화 되었으면 좋겠다.해킹, 급발진등의 오류상황에 대처할 방법이 없다.",2
기아,엑스트렉,테슬라는 이제 어떡해요 X = 소프트웨어 테슬라못따라가는데 어떡해요 O,13
기아,엑스트렉,예전 영화에서 차량들이 좀비가되어 주인공을 따라가는 장면이 있었죠. 그만큼 보안에도 크게 신경써주면 좋겠습니다 ^^,2
기아,엑스트렉,제네시스 G90이 전동화로 나오지 않는 이유가 일본이나 유럽이 우리나라 정치권에 로비해서가 아닌지 의심해봄.,2
기아,엑스트렉,그래도 기아 디자인은 괜찮음.. 현대는 뭐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 그러는 것인지는 참 이해가 안 가요,4
기아,엑스트렉,기아가 디자인도 그렇고 잘해나가는듯 현대는디자인ㅜ,3
기아,엑스트렉,경사네요~더욱발전하길  바랍니다,2
기아,엑스트렉,가격이 대중적일까요? 4륜에 옵션 몇 가지 선택하면 9천만원 육박할 듯?,10
기아,엑스트렉,걱정: ...쏘렌토 카니발도 주차하기 힘든 나라인데......이거 어떻게 주차하지...?,10
기아,엑스트렉,"저런 국내기준 대형급 suv가 제로백 5초대라...  현기가 리막에 몇천억 투자했는데, 거기서 기술 받아온 듯.",2
기아,엑스트렉,현기 안티들이 이기사를싫어합니다,2
기아,엑스트렉,노조때문에ㅜ의도적으로 기아를 더 키운다 함,4
기아,엑스트렉,가격은 EV6 두배일듯,4
