car_brand,car_model,comments,likes
기아,카렌스,우리 아빠들 국내 출시하면 구입하실건가요??,237
기아,카렌스,가성비 끝판왕이였죠.2015년에 사려고 견적 냈을때 그당시 2100만원에 프레스티지 깡통이 가능했는데 그당시 타던 2013년식 올란도 젠2보다 옵션도 많고 2열시트 슬라이딩도 가능하고 좋더라구요.올란도에서 카렌스는 옆그레이드 같아서 구매로 이어지진 않았는데(전시장에 있던 K5에 눈돌아가 k5구매 ㅋㅋ) 타고 내리기 편한 적당한 크기와 높이에 suv에 버금가는 실내공간이지만 suv보다 가격이 저렴한 차급이라 개인적으로 만족도가 참 높았던게 mpv였네요.,26
기아,카렌스,"와... 전 초기 프로토타입 시절에 위장막 씨운 모델을 연구소에서 한번 보고저희 집 앞 도로에서 어쩌다 한번 봤던게 끝인데...역시 우파님답게 빠르게 카렌스 실물도 보여주시네요~카렌스를 뛰어넘는 ""그"" 테스트카도 기대하겠습니다^^",45
기아,카렌스,카렌스나 올란도나 신형 엄청 이쁘게 나왓던데 차박이 유행인 지금 딱인데 업무용 차량으로도 좋구요.신형들 다시 나왓으면 좋겟네요. 현재 뉴카렌스 LPG 업무용으로 타지만 신형 너무 이쁘네요. 좋은 영상 잘 보고 갑니다~~^^,36
기아,카렌스,2015년에 올뉴카렌스 구매후에 아직도 운행중인데 잔고장없이 아주 잘타고 있습니다 ㅎㅎㅎ디자인이며 평탄화후에 차박도 진짜 재미있게 하고 있고 가구 및 짐을 옮길때도 2열을 접어서 짐을 넣으면 많이 들어가서 놀랍니다 ㅎㅎㅎ,5
기아,카렌스,우리집 두번째차ㅋㅋ프라이드를 타고다니다가 카렌스를 뽑아왔을때 아버지가 그렇게 멋있어보일수가없었죠ㅋㅋ뒷자석 폴딩하면 초등학생 두명정도는 누워서 탈수도있었고 15년을 타고 보내주었지만 참 추억이많은 카렌스입니다,98
기아,카렌스,카렌스가 대박 났던건 당시 7인승부터 승합으로 들어갔기 때문입니다. 승합 세금이 6만 5천원으로 동급 승용차(카렌스 최초는 1800cc)에 비해 저렴한 세금으로 폭발적으로 인기를 끌었죠. 그래서 현대는 트라제 9인승을 내놓으며 승합이면서 승용으로 쓰는 차량이 인기를 끌게 되죠. 이후 카렌스가 망한 이유는 정부에서 11승 미만은 승용으로 해버렸기 때문입니다.,18
기아,카렌스,"앞으로 인도와 남미, 인도네시아 같은 신흥국에만 출시된다고 합니다. 여러모로 쓸모가 많은 차인데 국내에는 포지션이 겹치는 차량이 많아서 출시할지 미지수네요.",13
기아,카렌스,진짜 디자인이 미쳤다니까요!!!!,39
기아,카렌스,저희 어머니가 옛날에 카렌스2  (그 카렌스 1.5세대라고 부르는  풀 스킨 체인지 모델) 처음부터 폐차 하실때까지 타시다가 이번에 나온 쏘렌토로 가셨는데 다시 보니 반갑군요,10
