car_brand,car_model,comments,likes
기아,카스타,이건  우리아빠차 12년째  타고있지 ㅎ,6
기아,카스타,아..우리아빠차 생각난다..31너7130,4
기아,카스타,와....,2
기아,카스타,현제 오너입니다.26만 18년되었네요아직 잘나갑니다.ㅎㅎ,4
기아,카스타,이차 꽤 지금도 아주 잘나가고 있음ㅇㅇ,4
기아,카스타,소치 아니고 도치로 나왔더라면. 하부가 좀 약해서.내꺼도 포트홀에 주저앉는 바람에 .올수리빵하고 2년만에 보내줌.차박에는 정말 짱임. 바닥방음.천정엠보싱 다해주고. 단열선팅 하고. 길이와 넓이 시트쪽 완전폴딩이 장점.진짜 옛전엔 여친과 차박도 많이 했던 추억의 차.15년을 함께한 친구였는데.아직도 그리움.근데 카스타 차박은 찾아도 없네요.,2
기아,카스타,테라칸 알아보기도 만들어주세요,2
기아,카스타,7년전까지 타던 내 애마..차박하기 좋았던..,2
기아,카스타,레조 알아보기도해주세요,1
기아,카스타,엠블럼만 기아라고 할 수 있는 카스타...,1
기아,카스타,그랜저 xg 타고싶다,1
기아,카스타,울아빠차1999년.........,3
기아,카스타,카스타경쟁차량:레조(타조),1
기아,카스타,"카스타 구 구몬샘 찬데 (빨강) 그 후 아반떼 엑스디, 그후... 아에오닉 5 이실...",1
기아,카스타,86마력 적은거 아닌ㄱ,2
기아,카스타,이거 길거리에서 굴러다니는거 보면 복권사셈,2
기아,카스타,카스타하면나는내모내모해서카스태라생각남 ㅋㅋㅋㅋ,2
기아,카스타,드락카님 부캐인가요?,1
기아,카스타,짧은 영상,1
기아,카스타,어버이날 선물 준비하셨나요??,43
기아,카스타,미국에서 텔루라이드 탑니다! 대만족입니다 . 예전엔 도요타 혼다 등 일본 차들이 미국에서 이미지가 좋았지만 요즘은 기아 차가 핫해요!,51
기아,카스타,"페리전 모델 실제로 타봤는데, 특히 팰리세이드 실내가 정말 별로였는데 그거보단 훨씬 좋아보였고, suv를 좋아하는 사람이라면 특성상 좋아할만한 구석이 많아서 이거 한국 출시되면 gv70,80 판매량에도 약간은 영향이 있겠다 싶을정도로 마음에 들었어요",17
기아,카스타,와.. 우파님은 정말 대단하시네요...ㄷㄷ,6
기아,카스타,텔루라이드 올블랙으로 튜닝하거나 에디션 나오면 ㅈㄴ멋질듯...,1
기아,카스타,개인적으론 현대 펠리 전면 디자인 보다 기아 텔루가 더 괜찮음그리고 진짜 현기 노조는 씨바 아주 상전이네ㅋㅋㅋㅋㅋ,11
기아,카스타,모하비 2세대가 나오면 멋지고 크기도  커지면서 텔룰보다 인기가 더 많을 거 같네요.,1
기아,카스타,제가 사는 대구 북구 도남동쪽에서 4월 24일에 텔루라이드 페이스리프트 된 흰색 차량 봤습니다. 처음에는 미국모터쇼에서 공개된지 몇일 안됐는데 국내에서 보니 국내 출시도 되는건가 싶더군요. 국내 출시 되면 사고 싶은 모델이네요. 현재 쏘렌토 하브 계약 중이라서 텔루라이드로 재계약하고 싶네요..ㅎㅎ,18
기아,카스타,저 호박등이 진짜 매력적임….국내에서는 장착 불가한 부분이지만…..,1
기아,카스타,우와 최고다 ㅠㅠ 느므 이쁘네 저게 suv 디자인이지 ㅠㅠ,1
