car_brand,car_model,comments,likes
닛산,GT-R,"이쯤되면 그냥 다같이 줄자들고 팔다리 길이, 앉은키 측정하는 컨텐츠해서 서열정리 한번 해야할듯",273
닛산,GT-R,웬지 다른 시승기보다 텐션 업이 되신건 역시나 슈퍼카이기 때문이겠지요? ㅋㅋㅋ플로시님 대한민국에 1대라는 차주의 자부심이 느껴지네요~,5
닛산,GT-R,정말 차에 대한 애정과 지식이 느껴지네요,2
닛산,GT-R,돈이 있어도 쉽게 못타는 차네요 ㄷㄷ 그저 드림카 입니다 ㅎㅎ영상 잘 봤습니다~,9
닛산,GT-R,GTR 얘기하면서 일본의 망가까지 연결되는 터보님의 TMI 스킬은 넘사벽이다 ㅋ,4
닛산,GT-R,다른 일본 슈퍼카 영상도 보고 싶네요. 제가 돈 많으면 꼭 사고 싶은 차인데.. 진짜 멋지고 부럽네요,4
닛산,GT-R,언변맛집!!! 귀호강!!! 유튜브 이따금씩 보면서 늘 느끼지만 말씀을 조리있게 잘 전달하여 제가 시승하고 있는듯합니다.GTR은 시대를 아우르는 건담 느낌인거죠...우리머리 속에 거북선이 늘 존재하는것 같은? 그런 감성이 아닐까 싶네요. 잘 봤습니다.,2
닛산,GT-R,진짜 전설의 차 GTR그것도 니스모...진짜 타보고싶네요,5
닛산,GT-R,고질라... 정말 매력적인 차량 입니다.흥미로운 리뷰 잘 봤습니다~~,3
닛산,GT-R,"스카이라인 1세대 출시 당시 기술력으로는 곡선을 넣을 수 없었지만 R32까지 스카이라인은 직선 위주의 디자인이었죠. R33때 직선을 죽여 곡선을 넣었는데 여기서 디자인에 관해 욕이 엄청났습니다;; 이후 R34가 다시 직선 위주의 디자인으로 출시하면서 그 명성이 다시 부활했죠. 그렇기에 R35에서도 직선 위주의 디자인으로 나오게됐죠. 스카이라인에 있어서 직선은 그 자체만으로 스카이라인입니다. 스카이라인을 디자인으로 욕하는건 스카이라인을 무시하는거죠. 하지만...R35 출시 당시 R34와 달라서 욕이...;; 그래도 테일램프의 그 형상은 4세대부터 현재까지 계승했으며 또 후속모델 R36까지도 계승할 예정입니다. 이런 아이덴티티는 정말 중요하죠. 포르쉐에게 아이덴티티는 개구리눈, BMW의 아이덴티티는 돼지코 등 상징성이기에...근데 아우디의 아이덴티티는...LED?;; LED말고 떠오르는게 없네...색깔로도 아이덴티티가 될 수 있는데 페라리는 빨간색, 람보르기니는 노란색 이런식으로요 ㅎ현대는 메기...",4
닛산,GT-R,즐거운 촬영이었습니다 ㅎㅎㅎ 니스모의 맛을 영상으로 100% 설명 못드린거 같아서 아쉽네요 ㅠㅠ,67
닛산,GT-R,닛산 GT-R(NISMO)는 가성비로 끄는 슈퍼카이죠....  아쉬운건 국내에서 정식으로 출시를 하지 못하는게 좀 안타까울 뿐입니다.,3
닛산,GT-R,바이크의 혼다 HRC와 함께 자동차에서는 니스모.. 진짜 전설..,1
닛산,GT-R,아니 이게 국내에 있었어요?!?! 화이트가 간지라고 생각했는데 흑간지도 장난아니군요ㄷㄷ,5
닛산,GT-R,미국 차덕들은 저런 차에 몇억을 더 부어 엔진 스왑에 가까운 무지막지한 개조를 한다는게 신기하죠 ㅎㅎ,4
닛산,GT-R,다른 시승기도 좋지만 터보님께 가장 보기 좋다?재밌다 빠져든다라는 느낌이에요ㅎㅎ,2
닛산,GT-R,영상제작자님~ 아주 재미있게 잘보고 갑니다판매하는것보다 일본차 오너로써소장하셨으면 해요~,3
닛산,GT-R,폐활량이 대단하신것 같네요...,6
닛산,GT-R,"페라리의 아나로그 계기판,특히 속도계바늘 움직임은 가장 리니어함.",2
닛산,GT-R,GTR 후속 빨리 나왔으면 좋겠네요어떻게 나올지 너무 궁금한데설마 개발 안하고 있는건 아닌지...영상 잘 봤습니다~,3
닛산,GT-R,영상 명언 12:53 나이가 조금 있는 사람들이라면 백퍼 공감되는 명언이네요.,3
닛산,GT-R,예전에 탔던 르망 감성의 느낌이 좋아었던 기억이 가물 가물 나는 것 같은데 그런거겠지요^^ 차 리뷰인데 차는 안보고 터보님의 말하는 것만 집중해서 듣게 되네요.^^; 영상 잘 봤습니다.,1
