car_brand,car_model,comments,likes
닛산,NV,개인적으로 엑스트레일도 제대로 된 하이브리드 하나 만들어서 연비도 좋았으면..,2
닛산,NV,닛산 쥬크/알티마/맥시마/캐시카이를 타본바로는...닛산차가 상당히 좋습니다...가성비도 좋고..엑스트레일 풀옵 살바엔...뉴무라노가 좋을듯 싶기도 한데...가격차이가 좀 크긴 하네요..캐시카이가 판매금지된게 제일 아쉽긴하네요..쥬크와 엑스트레일 사이에 캐시카이가 가격이 딱 좋앗는데...,4
닛산,NV,참.. 자주 느끼는 거지만 독일 삼사나 한국 차량을 제외하고는 무성의하게 방송을 하는것 같습니다. 많이 팔리는데 가격이 저렴한 이유가 전부는 아닐테구요.. 좀 더 성의있는 방송 부탁합니다..,17
닛산,NV,로그 미국있을 때 렌트로 몇번 몰아봤는데 차 진짜 좋긴 함. 운전감이 좋음.반면 닛산의 다른 차종은 다소 실망했었음..,1
닛산,NV,김한용기자님 오랜만이에요~ 오랜만에 김기자님 리뷰를 보니 반갑네요~~,4
닛산,NV,기자님 최근소식 페이스북으로  접했습니다.아프로도 하시는 모든일 잘되시길 바라고 항상 응원하겠습니다!,1
닛산,NV,꺄~ 김한용편집장님이다.. 리뷰 너무 기다렸어요.. 김상용씨리뷰.. 너무 재미없었는데.. 정말 좋네요.. 앞으로 계속 리뷰해주세요.. 김상용씨 너무 졸려..,2
닛산,NV,닛산엔진 미션은 세계최고죠디자인은.....,1
닛산,NV,조근조근  자세한 설명 너무 좋아요.,3
닛산,NV,일본여행때 이차 렌트해봤는데 참 한국에 들어오면 좋겠다 했는데 딱 들어오더군요^^ 탐나던 차였었죠. 그땐 가솔린차를 렌트했었죠^^,1
닛산,NV,"2,3년된 중고로 사면 딱 합리적임. 감가도 심하고. 그때쯤이면 풀체인지 모델 나올거고. 차는 좋을 듯. 근데 성능 외 어필하는데에는 한국 suv라인이 너무 막강해.",1
닛산,NV,오랜만에 뵈니 너무반갑고 좋네요^^ 앞으로도 리뷰많이해주세요~~!!!!,4
닛산,NV,최근 기변고민에  국산5사 외 저가외제 브랜드까지. 많이 가봤는데 왜 현기가 잘 팔리는지 알았습니다.,1
닛산,NV,이번 신형 시승해봤는데 좋더군요 다만 풍옵션도 통풍 시트와 행들 열선이 없는 거랑 네비 화면이 데비보드 위쪽이 아니라 통풍구 아래에 있는점이 아쉬운 것 말고는 다 좋았습니다,1
닛산,NV,이번에도 김상영기자님이 리뷰하는줄 알았네,8
닛산,NV,"캐나다에서도 잘 팔리는 로그입니다~ 이번에 구입하고 크루즈기능 살펴보려고 검색하였습니다.. 아쉽게도 크루즈기능 설명이 없네요.. 차량설명서 읽어보기 귀찮은 사람인지라~~ 영상 잘 보았습니다. 생각없이 탔는데, 영상보고나서 제차를 더 사랑해야겠다는 생각이 듭니다~~",1
닛산,NV,뒷자리 슬라이딩 진짜 신의한수...,1
닛산,NV,김한용기자님이 리뷰하는 엑스트레일 보고싶었는데 잘보고 갑니다,3
닛산,NV,기자님 참조아라 하는데 근데 시승차들 다넘좋다고만 하시는듯 한데 장단점 확실잉 설명 해주심을 부탁드립니다.,4
닛산,NV,아 승차감은 장난아님 이찬진짜뒷자리가,2
닛산,NV,이게 로그였구나... x trail 이라길래 다른 차인줄 알았네요,1
닛산,NV,마즈다 cx-5를 리뷰하는건 어떨까요. 호주에선 베스트셀러랩니다,1
닛산,NV,보고싶어습니다 김한용 기자님~~~,2
닛산,NV,잘 보고 갑니다!~,2
닛산,NV,닛산 베이스로 삼성차들이 나올때가 좋았는디 ㅜ,29
닛산,NV,최고!,1
닛산,NV,디자인은 결코 가장 많이 팔릴차가 아닌데....,10
닛산,NV,현재 미국서 이차타는데 그냥 무난하게 부담없이 타는차,3
닛산,NV,QM6가솔린이랑 비교하면 어떤가요 2열및 트렁크공간. 엔진같은거 어떤가요?,1
닛산,NV,센테페시아가 람보아벤 닮은건 기분탓??,2
닛산,NV,김한용 기자님 떠나지 말아주세요,13
닛산,NV,이번 영상 편집 재밌네요 ㅋㅋ,5
닛산,NV,오 김한용 기자님 자주 나와주세요~~~~~~~~~~~오오오~~~,2
닛산,NV,전 차라리 펠리세이드 탈래요....ㅋㅋ 4천초반이면 경쟁할 수 있지 않을까요?,4
닛산,NV,엄지 꾹 누르고 갑니다,2
닛산,NV,저는 4천 초반이면 펠리 살겁니다  개인적인 의견입니다,2
닛산,NV,인테리어는 쌍용보다 조금 나은 수준인 듯... 요새 현기가 인테리어를 하도 잘 뽑아놔서 일본 3사도 별거 없는 느낌,11
닛산,NV,김상영기자님이 좋은데....,1
닛산,NV,계속 김한용 기자님이 해주세요 제발요,24
닛산,NV,저가격이면 쏘렌토가 낫지않을까요?,1
