car_brand,car_model,comments,likes
도요타,BB,효j 님과 잘어울리십니다..ㅋㅋ안전운전 하셔요..~^^,1
도요타,BB,우핸들 이다니~ ㅎㅎ 적응 하셨으면 괜찮을텐데~ 처음에 이상할 꺼 같네요 ^ ^ 정말 지나가면 자동으로 눈이 돌아갈 거 같아요 ㅎㅎ 멋져요!!,1
도요타,BB,차 이뻐요!,2
도요타,BB,사이언 xb는 좌핸들로 미국에서 판매하는 차량입니다.,1
도요타,BB,같은 bb오너에요 이쁘게 오래 타세요,2
도요타,BB,우핸들이 한국 교통법규상 통용가능한건가요?,1
도요타,BB,중요한거 시간이 오래가도 배터리의 효율이 떨어지지않는다는데.. 이 다음 전기차가 너무 기대되네요! 얼마나 좋은차를 만들어서 가지고 발표할지가 궁금하네요,5
도요타,BB,기존의 내연기관 엔지니어들을 자연스럽게 전기차 설계와 연계해서 설계하게 해서 기존직원들을 최대한 활용하려는 계획이네요..,12
도요타,BB,사실인지는 확인할 방법이 없으나 미의회에서 친환경 전기차·수소차 정책을 반대하는 가장 큰 로비스트가 도요타 자동차라는걸 들은적이 있네요. 근데 도요타도 이제 대세를 거를 수 없다 판단을 한 모양입니다.,13
도요타,BB,기술이란 게 소비자가 보는 시선으로만 따지면 어느날 갑자기 훅 바뀌던데 점유를 조금씩 하는 게 아니라 고작 2~3년 안에 70프로 이상 물론 차는 비싼 재산에 가까운 것이기에 그렇지 않을 거 같긴 함,6
도요타,BB,스마트폰 나올때 아직 시기 상조를 외치던 노키아 엘지는 지금 어떻게 됬는지 보면 도요타의 행보는 정말 기대가 되는군요,54
도요타,BB,도요타는 2010년 까지 미국서 카세트데입 플레이어 장착됀 모델 팔았음.2010 Lexus SC430 세계에서 가장 마지막으로 카세트테입 장착한차. ,19
도요타,BB,탄소제로 문제 때문에 토요타가 마냥 하이브리드만 고집할 수는 없는 사정이 있죠,6
도요타,BB,지금 탄소배출제로 같은걸 하는이유가 이대로가면 10년 뒤가 없을수가 있다고 하네요. 탄소배출 총량이 되돌아올수없는 수준을 넘는다구해요.앞으로 새로운차는 전기차로 바꿔야될때입니다,10
도요타,BB,기존 하이브리드에 적용되는 말만 4륜인 시스템이 적용되있는듯 합니다.,25
도요타,BB,베터리 수급에 문제가있는 지금상황에서는 80kw 베터리차 1대 가솔린차 15대 있는거보다 5kw베터리 하이브리드 16대 있는게 환경에 더 좋다는게 토요타의 논리.,29
도요타,BB,LCD 넘어갈때도 이미 OLED 개발이 시도되었군요 와…,4
도요타,BB,도요타 전기차 개발연구 많이함...단지 모터부분 희귀금속  중국이 갑질할때  다른 대체 재료 찾으려고 노력한것도있고..전기차는 베터리  모터 +자동차 조립관련전반 기술만 있으면 다른기업들 진출이 쉬우니까 ..하다못해 애플도 진출생각...ㅋㅋㅋ 전기차 1년유지비용 휘발류차 보다 넘사벽을 좋지만.. 충전부나 바닥 일부 긁혀도 베터리. 전체 교체하거나 수리비용 많이드는거 보면 보완점이 필요하긴함....지금당장 전기차는 출퇴근용 까지는 가능해도  무거운 물건 운송하는 분야는 아직 약한것같음..,1
도요타,BB,스트리어링 바이 와이어는 인피니티 Q50/60중 선택 사항현대도 향후 10-20년을 위해 내연기돤과 하니브리드 개발을 계속해야할듯,6
도요타,BB,이번 편은 김한용 기자님의 생각이 많이 담긴 영상이네요. 재미있게 잘 봤습니다. ㅎㅎ,2
도요타,BB,수소 폭발시켜서 가솔린엔진처럼 만드는거 예전에 했던생각이였는데 이미 시도했었군요..,1
도요타,BB,저게 한 방에 훅 되는 거면 그랬겠지..근데 기술축적이 되어 있어야지 급변하는 것을 대처하지,8
도요타,BB,재미있으면서 논리적으로 도요타를 까고 있어서 즐겁게 봤습니다.,7
도요타,BB,일본은 전기차 보급이 쉽겠네..차고지가 있어야 차를 살수있으니까,257
도요타,BB,성능보다는 안정성?에 신경쓴걸까요? 스바루와 공유하는 차량이라서 부품호환성은 좋겠네요.,4
도요타,BB,그런데 동시다발로 회사들이 전기차 만들게 되면 소비자들이 매연기관차에 매력을 느끼려나? 대세를 따르는 소비가 이루어딜듯!,2
도요타,BB,"지연전략은 좋은데, 공룡이 된 도요타가 전환이 빠를까 어느 순간 올드패션드의 대명사로 남을거 같음",3
도요타,BB,전기차 출시도 전에 원가절감을 시도하는 듯한 느낌이네요,3
도요타,BB,근무전 항상 시청할 수 있어서 너무 좋습니다~~ 성공 하실 수 밖에 없는 모카 한용님 홧팅!,6
도요타,BB,일본 유투버중에 플랫폼이름 텐가라고 했다가 불타오른 사람이 한명 있었던거 같은데 ㅎㅎㅎ스펙상으로 별로 기대받는거 같지는 않은 느낌같은 느낌이더군요,3
도요타,BB,"빠른 전기차 정보, 좋아요!!",4
도요타,BB,도요타 캠리가.. 요새 나올때도..6기통 엔진은 FWD 뿐이고..4기통 엔진에만 AWD 로 나옴.,8
도요타,BB,잘봤습니다. 노보스인터스트리에서 칠판강의때 도요타의 전고체 배터리이야기를 많이하더군요.앞으로 5~6년을 기다려야한다고합니다. 국내에도 출시할 가능성은 있을지도모르겠네요. 내년에는 렉서스 ux250h의 전기차인 ux300e모델이 2022년 상반기에 출시예정입니다.,2
도요타,BB,일본은 항상 산업의 큰 변화가 있던 시기에 어물쩡거리다가 한국에게 추격당했죠 ㅎㅎ 아마도 자동차산업도 같은 길을 걸어갈거라 생각되네요일본인의 무창의성과 무혁신성은 20세기로 끝난것같음,5
도요타,BB,하이브리드 또한 eu환경기준에 포함되서 더이상 팔기 힘들듯,36
도요타,BB,다른건 몰라도 운전대와 브레이크가 전자식인건 많이 불안하네요.,4
도요타,BB,차에 대해서는 잘 모르지만 일본이라는 나라는 참... 독특합니다. 새로운걸 참 터부하는 느낌이 드네요. 어떻게 저런 생각을 하지? 싶을정도로 일본이구나 싶어요.,6
도요타,BB,단순히 늦는 것이 문제가 아니고 늦는 만큼 기술과 데이터 축적이 이루어지지 않는 것이 문제.  즉 10년 늦으면 20년이 뒤쳐지는 상황이라는 것.,23
도요타,BB,"100%  문제 없는 공산품을 만들겠다는 자신감이 도요타는 갖고 있는것 같습니다. 1억분의 1이라도  문제가 생기면, 그 사람의 운명이라고 생각하는듯...",9
도요타,BB,원래 1등기업은 혁신을 하기 어렵습니다. 잘팔리는데 머하러 모험을 하겠습니까.. 판 깔아놓으면 들어오겠단 심산이죠. 머 그러다 망한 기업들도 많치만 가봐야알겠죠.,2
도요타,BB,"아이오닉 계기판을 핸들이 가려서 핸들 아래로 내리고 싶어도 못내리는데.. 계기판이 핸들 위로 보이는 것, hud가 필요 없어지는거. 너무 좋네요.",3
도요타,BB,"토요타는 블루오션이라고 가솔린을 막 만드는데유럽과 미국에서 화석연료 규제한다고 수입을 막거나 핸디캡을 마구 주겠지.독일과 포드가 가솔린을 안만들면, 가솔린차는 당연히 못파는거지",5
도요타,BB,"일본의 자동차 미래 샤프, 도시바 처럼 몰락할지.... 너무 궁굼하네요도요타 혼다 닛산 어떻게 될지...일본사람들은 똘기(?)가 있어서 어떻게 또 돌파구를 찾을지 모르긴 하는데지금은 전망이 밝지 않은게 사실이군요.진짜로 전고체 나오기 전까지 전략차종 1-2대로 버티다가 전고체로 넘어가는 상황도 볼 수 있겠구요",7
도요타,BB,도요타도 본격적으로 전기차로 뛰어드려는 그런경우인듯.,18
도요타,BB,바이 와이어 조향시스템을 시도한건 자율주행에 유리한 하드웨어 포석이 아닐런지요.,2
도요타,BB,전세계 자동차에 배터리 만들 자원(희토류 포함)이 충분한가요??? 대책은 있는건지?,6
도요타,BB,테슬라의 판매원가나 자동차 판매후 발생하는 구독서비스 생각하면 토요타 300만대에 맞먹는 이익율이 아닐까 생각합니다.,7
도요타,BB,도요타 회장이 일본내에서 전기차로 못 넘어가는 이유가 기존  일본내 고용된 내연기관 인력과 관련 산업때문에 그렇다는 식으로 말하더군요. 일본정부에게 내연기관 인력과 관련 산업 대책을 마련해야한다고 요구하고 있습니다.,6
도요타,BB,"전기차 보조금받고 동급 가솔린과 가격경쟁력 있다 생각하고 사도.. 배터리관련 as가 생기면 고치기도 어렵고 어마어마한 수리비가 나오죠.. 수리비는 보조금이 없거든요, 그리고 연식이 지날수록 배터리 효율이 떨어져서 중고차 감가도 심할것입니다. 차값고 배터리 관련 비용, 효율등이 좋아져야 적절한 시기라고 보는데 억지로 전기차 시대를 앞당기고 있다고 보입니다. 사실 도요타의 직병렬 하이브리드 시스템은 엄청난 효율과 성능을 자랑하는데 특허로인해 다른 기업들은 쓰고싶어도 못쓰는 시스템이죠. 도요타의 하이브리드 독주를 막기위해 하이브리드 시대를 끝내버리고 억지로 전기차로 넘어가야 도요타를 제외한 다른 기업들이 유리하긴 할겁니다. 탄소핑계를 대고있지만. 하이브리드도 충분히 친환경적이죠",4
도요타,BB,전기차는 만들기가 쉬우니까 전고체 전지가 성공하기 전까지 하이브리드로 울궈먹고 있다가 전고체 전지가 나오면 한방에 황제가 되겠다 이런 심산으로...... 그런데 그사이에 남들이 길을 다 차지하고 못다니게 합니다 ㅋㅋ,4
도요타,BB,남들 전기차 만들어도 자기들은 내연으로 간다고 당당하게 외치더니전기차 결국 만들었군요 ㅋㅋ그래도 일본인스러운 그 고집덕분에 전기차 중에 가장 완성도가 높지 않을런지..,1
도요타,BB,저렴하게만 나오면 모든게 이해될것 같아요,1
도요타,BB,어짜피 유럽에서 도요타가 안팔렸으니 굳이 안만들겠죠. 도요타가 많이 팔리는 국가들 보면 이해가감,5
도요타,BB,일본은 하이브리드 차량 비중이 전체 과반수 이상이기도 해서 전기차 수요가 적을듯 하네요 그러다보니 전기차 시장에 조금 늦게 참여하는 것 같습니다영상에서 도요타 논리도 들어보니 그 말도 맞는것같기도 하고 ㅋㅋㅋㅋㅋ,38
도요타,BB,예전부터 보면 4:28 숨찰 정도로 까놓고 너 말하는건 아니야!! 라고 탈출하는 기술이 아주.... 포브스 선정 탑 10 급이네요,6
도요타,BB,김한용기자가 탠가로 나를 웃기다니... ㅋㅋㅋㅋ,3
도요타,BB,비행기도 수십년동안 fly-by-wire로 날아다니는 세상이죠. 충븐한 신뢰성을 가질 수 있다면 자동차도 by-wire로 가게 될 것 같습니다.,1
도요타,BB,87년에 첫 차를 샀고 가솔린차를 오래 탔지만 하나도 엔진에 대한 환상은 없네요. 작년부터 모델3를 타고 있지만 모터를 경험하고 나니 생각이 바뀌었네요. 성향의 차이일 뿐이라 봅니다.,15
도요타,BB,모터가 2배가 되어도 마력이 비슷하면 일반내연기관 몰던 주행감각으로 탈 수 있을것 같기는 한데.. 너무 잘 나가도 무서우니까,4
도요타,BB,도요타의 마스터 드라이버잖아요. 최고CEO가 차를 가장 잘모는사람저는 아키오는 좀 무섭게 봅니다.,1
도요타,BB,전기차에 너무 기대하는데 지금 당장 전기차타기 불편합니다.충전시간에 항상 주행거리 신경써야하고 보조금없으면 차값도 6천만원임물론 언젠간 전기차로 다 바뀌겠지만 지금부터 몇년간은 불편한게 맞고 당장 타고 다니기는 하브가 좋다고 보네요.기름값 좀 아끼겠다고 전기차간다면 후회할수 있음,25
도요타,BB,토요타의 자동차는 고출력 고성능보다 절전에 촛점을 맞추고 있어요.  전기  많이 쓰니까 배터리 많이 넣는게 아닌 전기를 덜 소모하는 쪽으로  개발되어 있어요.,25
도요타,BB,"유럽기준 최고500키로면 ev6랑 비슷한 수준이거나 약간 낮은 정도니 괜찮은데, 문제는 가격이 어떻게 되려나...",3
도요타,BB,미국에서 전기차 재끼면서 자기들 하이브리드가 진정한 미래이면서 친환경 이라고 광고 했던거 생각나네요,15
도요타,BB,재미있게 잘 봤어요!,6
