car_brand,car_model,comments,likes
도요타,FJ 크루져,참고로 나침반 온도계 그리고 고도계가 아닌 차체 기울기를 나타내 주는 계기입니다.,1
도요타,FJ 크루져,영돈이형이 카랩에 계셨었구나..ㅎㅎ,1
도요타,FJ 크루져,저 이거 샀어요. 흰색으로. 대박이에요.,1
도요타,FJ 크루져,머야 카렙에 박기돈기자님이??!! •ㅇ•,7
도요타,FJ 크루져,갖고싶긴한데..,1
도요타,FJ 크루져,양지은님 진짜이뻐요 ~~~,2
도요타,FJ 크루져,06:22 OFF LOAD 라니요..,5
도요타,FJ 크루져,지방에서 오신분이 직접 가셔서 1000만원대 후반에 거래가 되었다고 연락이 왔습니다 앞으로도 이런 좋은차나 좋은 가격에 직거래차량은 종종 영상 올려드릴께요참고로 저는 수출업자기에  개인 직거래에 있어서는 그어떤 수수료나 관여를 하지않습니다 단지 저희 구독자님들끼리 좋은 가격에 좋은 차량을 마치 경매장처럼 중간 중계인없이 거래가  이루어졌으면 하는 바램으로 시작한것입니다 .,30
도요타,FJ 크루져,필리핀에서 3개월전에 구매해서 지금 타고 있습니다. 운전 무지 재미있고 튼튼한 차 입니다. 대만족이에요.한국에 돌아가서도 구할 수만 있다면 타고싶은 차에요 ㅠㅠ,8
도요타,FJ 크루져,멋지네요...  좋은 차량들 올려주세요...,4
도요타,FJ 크루져,fj크루저~ 꼭 한번 소유하고 싶은 차입니다.  지금 여유가 없다보니 정말 아쉽네요~,7
도요타,FJ 크루져,항상 설명하시는게시원합니다  굿!!!!!!!!!!정말 좋아하는차량인데요.......,5
도요타,FJ 크루져,돈만있으면 사고 싶네요. 그러나 진짜 매니악한 차라 적당한 오너분이 나왔으면 좋겠네요.,8
도요타,FJ 크루져,외국에 있어서 너무나 아쉽습니다 ㅠㅠ 지금 인도네시아에선 저정도 연식 스펙에 컨디션 이라면 우리돈 8천만원 줘야 구입 가능 합니다. 놀랍죠?!,8
도요타,FJ 크루져,실용적인사람은 절대 사면 안될차... 매니아는 꼭 사야할차,2
도요타,FJ 크루져,싼타페랑 비교 하시면 곤란해요. 스펙과 사용 목적성 자체가 달리 생산된 오프로드 차량이에요~~,10
도요타,FJ 크루져,세계어서 젤 사고싶은 차네요 넘 맘에들어요,4
도요타,FJ 크루져,빨리 사세요 좋은차에요 미국에서 인기 많은 차로 시간이 지나면 가치가 올라갈 차 입니다,10
도요타,FJ 크루져,코란도를 저렇게 만들었어야지..,4
도요타,FJ 크루져,감사합니다잘 보았습니다,3
도요타,FJ 크루져,와~ 차 진짜 이쁘다,2
도요타,FJ 크루져,이차를 꼭 산다...,5
