car_brand,car_model,comments,likes
도요타,RAV 4,1년간 타면서도 몰랐던 차의 특성에 대해 잘 설명해 주셔서 감사합니다. 어쨋든 미국이나 일본에서의 가격과 차이도 별로 없고 차의 가격대비 성능에 대해 완전 만족합니다.특히 하이브리드답게 연비가 너무 좋아요.,47
도요타,RAV 4,정말 정확한 제원과 더불어 무리하게 타브랜드와의 비교도 없고 또한 극히 주관적인 감성을 배제 하신 리뷰를 보면서 굉장히 편안하고 그리고 차에 대한 정보를 신뢰성 있게 받아 들일수 있어서 참 좋았습니다. ^^,25
도요타,RAV 4,정말 초창기부터 오토뷰를 애청하며 20대와 30대를 보낸 저로서 항상 오토뷰의원칙과 논조가 너무 좋습니다!!! 정말 자동차는 자동차로서의 가치를 알게 해주는 리뷰 채널 오토뷰 사랑합니다!!!!,50
도요타,RAV 4,"와...오늘 첨으로 오토뷰의 차리뷰 봤는데 정말 궁금했던것들이며 영상퀄리티,과도하지않은편집..  너무 좋은채널이네요! 구독,좋아요 박고갑니다!~^^",6
도요타,RAV 4,조립공정에서 일하는 작업자 복장 상태만 봐도 왜 도요타 사야하는지 알수 있다. 소비자 입장에서 좋은 제품 사는게 당연하다. 우리나라가 일본을 뛰어넘을려면. 그 나라의 좋은 점을 받아들여야 한다. 무조건 배척한다면 우리나라는 절대 일본을 넘을 수 없다.,171
도요타,RAV 4,오늘 세차하러 갔다가 우연히 라브4 블랙 봤는데 오! 실물이 훨씬 멋지더라고요. 퇴근하고 검새하러 왔습니다.  돈만 있으면 솔직히 사고 싶네요. 전자식 4륜도 요즘처럼 폭설 때문에 난리인데 괜찮을거 같고요. 전에 렉서스 ct200h 탔었는데 일본차만에 아기자기한 매력이 있는거 같아요. 다시 사긴 좀 오래된거 같고. 라브4 눈길이 갑니다. 아니면 캠리 하이브리드도 괜찮을거 같긴한데 전자식 4륜 한 번 느껴보고 싶네요.,15
도요타,RAV 4,"역시 명불허전 오토뷰 리뷰입니다. 아반테, 산타페... 현기 지긋지긋해서 구매했습니다. 그렇다고 독일 3사 살 여력은 안되구요하이브리드 시스템을 즐기고 싶다면 구매해도 후회는 없습니다. 주행만족감이 높은 차량입니다. 다만 현기의 옵션등이 중점이라면 구매하지마세요. 후회 할듯^^",55
도요타,RAV 4,하이브리드는 역시 신뢰의 토요타!,63
도요타,RAV 4,"빠르게 예약해서 2019년 여름부터 탔던 라브4하브 차주로써국내에 투톤과 휠 색상 선택권이 없어서 아쉬움. 실외 각져서 실제로 보면 옆모습이 굉장히 예쁘고 희소성이 높아 지금사도 괜찮다고봄실내는 쓰레기 소리 들어도 무방. 고집인지 뭔지 실내 등 노란빛나오는(단어가 생각이안남) 걸 지금도 사용하고 있고디스플레이 크기 굉장히 작고 CD플레이어는 진짜 똥고집인지 뭔지 모르겠지만 왜 넣었는지 모르겠음장점은 디스플레이 외에 다른 조작키들이 모두 버튼이라 어중간한 터치형 보다 훨씬 조작이 편하고 좋음그래도 영상으로 보는 것보단 실내도 각이 져있는 형태라 못나보이진 않음. 우리나라처럼 실내기능이나 디자인에 중점과 배려를 두기보다 딱 '차는 차다'라고 생각하는 마인드인듯?주행은 뻥연비라고 할 정도로 15.5를 가볍게 상회하는 경우가 많음. 카페에서도 자랑하는 분들보면 20 가볍게 넘김주행성도 좋은 편잔고장이나 안정성, 차 수준은 뭐 다른 분들이 말씀하신것처럼 도요타임. 훌륭함4~500비싼 돈 주고라도 희소성+좋은 하이브리드를 탄다는 점에서 만족하며 타는 중. 실내 디자인이나 편의기능을 좋아하는 분들에게는 비추천",15
도요타,RAV 4,고장안나고. 조은점은 없지만 나쁜점두 없던 라브4..  리뷰 감사합니자.. 연말 즐겁게 보내시길..오토뷰 화이팅,44
도요타,RAV 4,"2WD -> AWD 로 갈 때 모터 부분 때문에 가격이 상승하기는 하나,다양한 옵션이 부가적으로 추가됩니다.그래도 비싸다고 생각합니다.",14
도요타,RAV 4,오토뷰 최고 ~~~ 다양한 차량 리뷰해 주셔서 감사합니다.,4
도요타,RAV 4,중국입니다. 라브4 3세대 8년간 13만키로 타는동안 한번도 센터 간적이 없네요. 내구성은 압도적입니다.,13
도요타,RAV 4,오토뷰 감사해요!! ❤ 🤍 💟 🧡  김기자님 감기조심하세요!! 좋은 영상 감사합니당! 잘 보겠습니다! 자동차 있는 그대로의 모습 을 잘 보겠습니다 !,7
도요타,RAV 4,기태형님 말씀이 맞습니다.  오토뷰는 할일 하고 선택은 소비자가 하는거라고 봅니다.,34
도요타,RAV 4,슈퍼노말 라브4네요~ 미국 출장갔을 때 전세대 몇일 탓었는데 좋은 기억이 있네요. 한국에서 사시는 분들도 아마 이런 기억때문에 사실 거 같습니다 ㅎㅎ,11
도요타,RAV 4,자동차 리뷰의 원조 오토뷰 항상 좋은정보 잘보고있습니다.,22
도요타,RAV 4,오토뷰 김PD님 응원합니다!!!,21
도요타,RAV 4,일본차는 진짜 레전드다,21
도요타,RAV 4,오토뷰 화이팅하세요 🙌,20
도요타,RAV 4,"국내에서 오프로드 탈일 없이 시내주행만 할거면 2WD 트림도 충분히 매력적입니다.21년 현재 라브4 하이브리드 2WD 카탈로그 가격은 405X 만원 정도 합니다.투싼 하이브리드, 싼타페 하이브리드랑 비교했을때 충분히 가격면에서 매력적입니다.",3
도요타,RAV 4,항상 객관적인 자동차 리뷰 잘 시청하고 있습니다. 차를 차로써만 평가한다는 태도 정말 의미있는 말입니다. 노재팬이라는 정치적인 이슈로 일년 이상 일본차 리뷰를 안하고 있는 비겁한 다른 유튜버들과 정말 비교됩니다.,17
도요타,RAV 4,기태성님 항상 화이팅입니다!,1
도요타,RAV 4,쏘렌토 하브 타는데 정말 도요타 하브시템에서 부러운건 ev모드로만으로 운행 가능하다는게 가장 부러움,7
도요타,RAV 4,"일본차는 딱 그 변화의 range가 있어서 원래 잘안변합니다.. 워낙 보수적이라.. 엔진도 그래서 신형이어도 신기술 거의 안들어가고 ,, 덕분에 그래서 고장은 진짜 잘안나죠...  북미 그리고 아랍쪽?중동은 그냥 토요타 가 한국의 현기차입니다... 토요타는 레알 고장안나요.. 4runner가 들어오면 참좋겠는데,,,안들어오겠죠?ㅋㅋ",34
도요타,RAV 4,정직한 방송..굿..구독..갑니다,4
도요타,RAV 4,내구성과 연비 짱이죠잘만든건 잘만든거니까,19
