car_brand,car_model,comments,likes
도요타,시에나,도요타가 참 차를 잘 만드네요원가절감 할 거 다 하고 이익 왕창 내면서도고객이 별 불편을 못느끼게 하는 게 기술이죠,34
도요타,시에나,와... 가솔린 카니발 오너인데 시내 실연비가 4~6 사이 나오거든요 근데 이정도면 실연비차가 두배가 넘네요 ㄷㄷㄷ 연비뿐만 아니라 차값 감안해도 확실히 좋아보이는데요 ㅠㅠ,77
도요타,시에나,승차감이 정말 일품이더라고요,16
도요타,시에나,"애초에 카니발이랑은 급이 조금 달라서..  실제 이번에 시에나가 풀체인지 되었고.  하이브리드만 나오기에 연비도 좋고. 단, 국내 출시 가격은 다소 비싼편이라서,  그게 단점이지, 그외의 다른점은 모든게 시에나가 더 좋죠",44
도요타,시에나,우와 차가 이쁘네요 연비도 좋고,22
도요타,시에나,코너링 승차감이 정말 좋더군요,10
도요타,시에나,아마 이걸 산다면 인생 최고의 차라고도 할 수 있을 것 같은 차 입니다. 정말 사고 싶네요!,6
도요타,시에나,오토뷰에서 시승기가 나와야 뭔가 확인된 느낌....,88
도요타,시에나,와 정말 기다리고 있던 시에나 하이브리드 리뷰 감사드립니다!,20
도요타,시에나,도요타 매장에서 직접 봤는데 정말 이뻤어요.하이브리드라 연비도 좋아 매력있어 보였습니다.,19
도요타,시에나,오오 시에나하이브리드.. 연비 장난음네요,55
도요타,시에나,이번에 진짜 잘나온거같음 솔직히 애들 2~3되면 카니발보단 이게 여러모로 나아보임 괜히 어정쩡한 6~7인승 옵션넣은 소렌토 팰리 요런거보다 낫다,16
도요타,시에나,연비와 내구성으로 말해주는 토요타 역시 차는 진짜 잘만든다 카니발? 진짜 상대가 안된다,38
도요타,시에나,혹시 도요타 e four 시스템에 대한 영상도 가능하실까요? 기존 AWD와 다르다던데 어떻게 다른지? 충분히 사용할 만한지 등 설명해주는 영상은 전혀없는거 같더라고요,2
도요타,시에나,시승기 너무 잘 봤습니다! 오토뷰 홈페이지에 가격이 잘못 게시가 되어 있네요... 수정이 필요할 것 같습니다^^,2
도요타,시에나,하이브리드는 역시 토요타..,37
도요타,시에나,카니발도 저렇게 잘만들었으면 좋겠네요. 배울건 배워야 함.,11
도요타,시에나,오딧세이가 더 뛰어난 것으로 알고 있었는데 이번 모델은 많은 선택을 받을 수 있을 거 같습니다.,7
도요타,시에나,"데일리카로 충분한 연비에, 가족여행용에 적합한 큰 공간. 뭐 미국차지만 일본 브랜드라는 게 유일한 약점이 아닐까 싶군요.",6
도요타,시에나,이차 레알 좋음,4
도요타,시에나,시에나라하면 미니밴 중에서도 상위권이라 말할수있죠.,42
도요타,시에나,"크 오토뷰 영상미 ㅎㄷㄷ, 디자인은 좀 그렇지만 미니밴중 1위차량",8
도요타,시에나,시에나야 워낙 유명하니.. 차 좋기로,15
도요타,시에나,시에나 오토뷰 시승기 기다렸는데 좋은 영상감사합니다.,9
도요타,시에나,요즘 업로드 많이해주셔서 감사합니다!!,69
도요타,시에나,재밌게 봤어요,4
도요타,시에나,아니 이거 카니발에 비해 가격빼고 다 좋은..ㄷㄷ 비교가안되네요,11
도요타,시에나,일본차의 기술은 한국차가 아직은 따라 잡기 힘들죠 ...외국만 나가봐도 일본차가 많이 보이는 이유죠,3
도요타,시에나,오딧세이 5.5세대 리뷰도 볼수 있을까요?? 이번에 승차감 많이 달라졌다던데.. 오토뷰에서 리뷰해주신다면 보다 현명한 선택을할 수 있을 것 같습니다.,5
도요타,시에나,현기도 더 분발해서 (국내 비교대상 없다고 안일하게 하지 말고) 더 좋은 제품 내자,7
도요타,시에나,확실히 연비 때문에 미니벤을 안사거나 울며겨자먹기로 카니발 디젤을 사려는 사람들한텐 매력적으로 다가올듯,54
도요타,시에나,이 영상을 보지 않아도 시에나가 카니발보다 못한건 없다는걸 알고있음,11
도요타,시에나,우리회사에서 영업용 거래처에서 짐 실어오는 용 차로 두대 돌리는데 오딧세이 시에나임... 저 급에선 따라올 차가 없음... 카니발은 안된다고 봄... 단순히 내부 새로워진 실내 디자인을 중요시한다면 몰라도.. 차의 실용성 성능 편의성을 생각한다면 국뽕만 버린다면 오딧세이 시에나만한 차가 없음 괜히 미국에서 캐나다에서 많이 팔리는게 아님,4
도요타,시에나,가속력은 중요치않지만여러사람이타니 제동력은중요하죠,1
도요타,시에나,토요타면 차량 목적 맞추고 색상선택하면 고려할 것이 없는 브랜드,7
도요타,시에나,기다렸습니다 ㅡ 감사합니다,5
도요타,시에나,모트xx에서 비교한거만 봐도 오토 슬라이드 도어부터 차이나니 아이를 생각하신다면 시에나가 맞을꺼같아요.,4
도요타,시에나,연비 ㅎㄷㄷㄷㄷ,14
도요타,시에나,제가 이차 오너인데요. 연비와 승차감이 다합니다. 나머지 모자란 부분은 왠만하면 용서될 정도인데 원격시동 미지원 커넥트시스템의 취약함.화질의 경우 어라운드뷰가 구려서 그렇지 그것도 보는데는 지장없어요. 현명한 선택은 시승하고 본인에게 맞는차가 딱입니다,30
도요타,시에나,이야... 스피커를 jbl 박다니.. 이 부분은 넘사네요.. 내장은 국산차가 값인듯하고.. 좀더 화려해지면 좋을듯합니다.. 내 생각.,5
