car_brand,car_model,comments,likes
도요타,캠리,LA 있을때 타던 은색 캠리참편하고 좋았는데 세월이 흐른만큼디자인도 많이 변했네요,18
도요타,캠리,선좋아요! 후시청 믿고 보는 오토뷰 항상 감사합니다.. 잔고장없이 내구성 좋게 오래 탈수 있는차가 전 제일 좋더라구요.16년된 차량 아직도 타는데 여전히 만족합니다.,35
도요타,캠리,장점막상 타면 생각보다 되게 좋음. 힘이 부족할 것 같은데 가속감도 나쁘지 않음. 운전시야가 정말 좋음. 전방 뿐 아니라 후진할때도 어라운드뷰 굳이 필요 없음.일본차 특유의 넓지않은 전폭이 주차시나 좁은 골목길에서 장점이 큼. 눈길에서 컨트롤 잘됨. AS 가 눈탱이를 안침.단점후방카메라 화질이 별로.쇼버가 좀.별로라고 해야되나. 오래타야 느껴지는 단점인데.. 지긋지긋해서 자꾸 바꾸고 싶음.그래서 바꿈.,44
도요타,캠리,국내 최고의 카 리뷰 채널.. 부동의 원탑  반박불가,5
도요타,캠리,오토뷰 보고 18년식 샀는데 한마디 한마디 곱씹어 보면 틀린 말 하나 없습니다. 차가 편리한 이동수단이라고 생각하시는 분에개 추천 합니다.,46
도요타,캠리,"풀체인지 이후 가솔린 모델 시승해본 적 있는데, TNGA 플랫폼의 매력에 푹 빠졌던 기억이 있네요.저 플랫폼이 진짜 물건이다 싶은 생각이 팍팍!",8
도요타,캠리,캠리3년차인데요..완전 만족해요 미국에 있는 친구도..한국지인들도 캠리타면서  불평하는사람이 1도 없고 전부 만족도가 높으십니다다만  수리할때 도장비가 비싸네요..,8
도요타,캠리,차가 진짜 부족한게 없다는 느낌이 딱 든다,3
도요타,캠리,"다른 얼치기 유튜버들과 다르게 담백하게 정보 전달 하는게 넘 좋음...그분들은 꼭 사적인 감정 내세워서 과장되게 리뷰하는데, 굉장히 오해의 소지가 많다는걸 느낌.",7
도요타,캠리,7세대 가솔린 탔었는데 내구성도 좋고 승차감도 좋고 무엇보다 김피디님께 별 다섯개 받았기에 구매했었고 타는 동안 너무 만족했었던.차량이었습니다,23
도요타,캠리,피디님 운전스타일이나 운전할 때 꿀팁같은거 알려주시는 컨텐츠가 있으면 재밌을 것 같아요언제 엔진브레이크를 쓰고 언제 페달브레이크를 쓰는지 핸들은 어떻게 잡는지 이런 것들요,1
도요타,캠리,유류비 절감을 위해서는 디젤 • LPI 자동차나  하이브리드 자동차가 👍그리고 전기차는 10년후가 👍,26
도요타,캠리,도요타는 성능을 떠나서 안정적인 차인듯 합니다. 내구성도 나름 좋구요..,1
도요타,캠리,실내도 이쁘고 외관은 더 간지나게 바꼈네ㄷㄷ 확실히 좋다,4
도요타,캠리,"저번 영상부터 톤 보정 들어가서 너무 세련되고 좋네요 뭐랄까 옛날에는 전문성만 있어서 영상미가 부족했눈데 이제는 적절한 농담, 보기편한 세련된 톤, 전문성 모듀 갖춰서 너무 좋아요",1
도요타,캠리,만 9년 캠리 가솔린 운행 중입니다. 디자인만 조금 구형 스러워지고 신형에 비해 옵션은 부족하지만....주행감이나 주행성능은 처음샀을때 느낌 그대로 ㅎㅎ 지겹지만 정들어서 바꾸지도 못하겠어요..고장이 나야 말이죠 ㅋㅋㅋ,19
도요타,캠리,시승기 잘 봤습니다. 다음에 기회가 된다면 페이스리프트된 렉서스 RC F도 시승해주시길...,4
도요타,캠리,"19년 6월 출고, 며칠전 전손나서 다시 계약하려고요..고장없이 95000 탔는데 큰 사고나서 ㅠ차가 빨리 필요한데 요즘 중고차값이 신차대비 매리트도 없고  그나마 캠리가 빠른 출고가 가능하고 재구매 할인 혜택 조금이라도 있고 이미 타본차라 신뢰도도 높고요.",11
도요타,캠리,반일정서와 상관없이 차는 차로만 보고 리뷰하는 모습 멋있습니다! 리뷰 참고해서 캠리 계약하고 이제 다음주 출고 예정입니다.,4
도요타,캠리,독일차만 10년 넘게 타다가 캠리를 타고 있는 3개월째....분명 정확하고 정직한 자동차다. 그러나 최고를 지향하는 독일과 럭셔리를 추구하는 현대&기아 와는 다른 자기들만의 길을 가는 방향성이 있다. 현대&기아 하이브리드와 많은 고민을 한 결과 캠리를 구매했다. 그렇다고 현대&기아가 부족하다?? 절대 아니다. 그랜져와 K7 하이브리드가 더 고급스럽고 편안하고 편리하다. 난 캠리 니가 그렇게 좋은 차야? 궁금했다.그래서 타보고 싶었다. 그래서 후회는 없다. 다음에는 그랜져 하이브리드를 살것이다.,7
도요타,캠리,카메라도 업그레이드 하셨네요~!! 색감 좋습니다~!!!,2
도요타,캠리,요즘 현대기아 1.6T 하이브리드가 말썽인 시점에 가장 보고 벤치마킹 할 필요가 있는 차라고 생각합니다국산차 디자인에 일본차 내구성과 효율이면 얼마나 깡패가 될까,3
도요타,캠리,이런차가 정말 좋은차죠,9
도요타,캠리,40~60 중장거리 시내바리용으로 최고입니다..,14
도요타,캠리,아무래도 하이브리드 중에서는 잘나가는 모델이기도 하지요.,10
도요타,캠리,18년 3월에 출고한 캠리 가솔린.괴랄하던 디자인도 이젠 정이 들었다.쏘나타 따위가 디자인 얘기하면 화난다.실내는 한 세대 전 디자인. 별 불만은 없다.편의장치 몇 개 빠진 것은 크게 불편하지는 않다.4년 됐지만 여전히 처음과 같은 컨디션.높은 연비.질리게 오래 가는 타이어.10년 채우고 전기차로 가야지.,12
도요타,캠리,다른곳들은 수입차 까기만 하는데 진짜 오토뷰는 공정성으로 하네요 ㅠㅠ 멋집니다,18
도요타,캠리,썸넬보고 연비가 하락한줄로 알았는데 연비말고 다른 탈 이유가 있었던 거군요 ㅋ,9
도요타,캠리,브랜드 국적 빼고 완벽한 차 심지어 전륜 이라서 365일 올시즌,1
도요타,캠리,토요타 캠리는 특히 뭔가 특출난거같지 않은데 타보면 뭐하나 빠지는게 없는??? 그런 느낌이 있음 ㅋㅋㅋ,5
도요타,캠리,"캠리 좋은 영상 감사합니다.번호판쪽,봉인 녹방지 봉인구어셈블리 추천드립니다. 더멋진 차가 될겁니다.",2
도요타,캠리,캠리는 고장없이 장기 보유 뽕뽑는 맛으로 타는 차죠. 그런면에서 하이브리드 보다는 가솔린 강추 합니다.,5
도요타,캠리,19년식 SE 모델 2.3만불 주고 탔었는데 모든 면에 기본기가 좋아서 만족하고 탔었죠한국에선 4천만원이 넘는 가격이면 안 사고 싶네요,12
도요타,캠리,믿고 보는 오토뷰 선 좋아요 ~^^,16
도요타,캠리,"영상 분량이 이 차의 모든것을 말해주고 있는듯. 무난한, 지나치게 무난한 승용차.",14
