car_brand,car_model,comments,likes
도요타,코롤라,만약 한국 시장에 다시 들어온다면 제주 렌터카로 많이 활용하면 좋겠네요...,1
도요타,코롤라,일본풍 스러운 디자인이 맘에듬,1
도요타,코롤라,잘 보고 갑니다,1
도요타,코롤라,"도요다,도요타 아니고 토요타입니다.",3
도요타,코롤라,차주분에게 코롤라 쌉근본광고를 드립니다!https://youtu.be/HwJcNCWrVD0,1
도요타,코롤라,아반떼가 승,1
도요타,코롤라,일본 시장과 국제 시장과 다르게 한국차시장에서는 차인기가 없기 때문이에요.,1
도요타,코롤라,저도 하이브리드 모델로 사고싶네요 제가 있는 호주는 아반테 하이브리드는 판매를 안해서...,1
도요타,코롤라,댓글이 없내.. 도요타 코롤라 타보고프내요,1
도요타,코롤라,Apple carplay 있나요?,1
도요타,코롤라,"✔ 초특가 할인 3만원대! 마일론 방향제 갤러리3! 출시!https://bit.ly/3poBuej✔ 차량 제보, 전차종 커뮤는? 네이버 남차카페 가입하기!http://cafe.naver.com/motorsjason/276 ✔  남차 공식 인스타그램 https://www.instagram.com/motorsjason✔  남차 공식 페이스북https://www.facebook.com/motorsjason",6
도요타,코롤라,라브4 현재 2년 타고 있습니다.포니 부터 안 타본 차가 없는데아주 만족 합니다. 특히 연비가 아주 좋습니다 👍,6
도요타,코롤라,"라브 3세대 9년간 14만키로 탔습니다. 솔직히 센터 간적이 한번도 없습니다. 편의시설이나 내장재는 아쉽지만 내구성은 정말 어마합니다. 가장 큰 장점은 새차일때와 지금과 상태가 같습니다. 좋은차의 기준을 새 차 컨디션을 얼마나 유지하냐로 본다면 도요타와 렉서스가 원탑입니다. 해외에 있다보니 주변 오너들 보면 라브,하이랜더,캠리 20-30만키로 타시는 분들도 많더라구요.",11
도요타,코롤라,2.5  랑 1.6T세금 비교하시는 분들 많은데 터보모델 고장과 안정성생각하면 수리비로 충분히 따라잡지 않을까요 특히나 1.6T하이브리드 엔진오일문제도 있으니까요,14
도요타,코롤라,저는 es300h 7세대 너무 만족하고 타고 있어서 아빠가 싼타페DM 타시다가 기변 원하셔서 RAV4추천 하여 구입하셔서 현재 실내 옵션은 아쉽지만 다른면으론 너무 만족 하시고 타고 다니십니다.,2
도요타,코롤라,연비도 디자인도 괜찮 일본차만 아니었다면 국내에서 훨신더 잘팔렸을듯,20
도요타,코롤라,"하이브리드는 역시 토요타,렉서스네요. 5월쯤에 신형nx하이브리드 풀체인지모델과 플러그인하이브리드인 450h+가 추가된다고합니다.올해하반기에 도요타 하이랜더 하이브리드가 출시한다는 말을 들었습니다. 늦어도11월~12월이요.도요타 하이브리드모델 다양하게들어오면 좋겠네요.",12
도요타,코롤라,지온공국에서 탈피하고 기계적인느낌인 건담으로 탈바꿈되서 더잘팔림 역시 차는 건담스타일은 뭐가되건 세계적으로 잘팔림 건담의 후광은 역시 어마무시함,3
도요타,코롤라,"너무 튀지도 않고, 너무 화려하지도 않고 무난무난한 흰 티셔츠같은 느낌이라 좋은것같아요. 미국서 차량은 장거리 운전에 편안하면 장땡이고 생활밀착형이라 고급스러운것보다 무난하게 실용적인 기능이 많으면 좋드라고요. 장거리 운전 많으면 비싼차는 괜히 가다가 사슴치면 수리비 많아지거나, 오염이나 벌레를 그릴에 잔뜩 머금으면 고급차의 경우 엄청 신경쓰지만.. 도요타 같이 무난한 느낌의 경우 직진만 잘하면되지, 승객 멀미안나고 편안한 차면 된다 라는 맘도 있어서 돈많은 사람도 고급차의 필요성을 잘 못느끼는것같아요.무난한 가성비와 브랜드 이미지에 디자인 예쁘게 뽑고 실용적이면 장땡땡",7
도요타,코롤라,1997년도 쏘나타2 10만키로 넘어가니 그때부터 경유차로 변신 했습니다지금은 많이 좋아졌겠지만...내구성은 일본 차들 정말 좋은것 같아요,1
도요타,코롤라,나도 애국심 있고 국내 기업들이 잘되기 바라지만. 현기차는 불매 운동이라도 했으면 좋겠음. 그래야 세계속에 빛나는 자랑스런 대한민국의 메이드인 코리아 현댜차 기아차 됨,21
도요타,코롤라,확실히 실물이 더 멋짐,2
도요타,코롤라,투싼 하이브리드 계약했다가 해약했어요 아무리 생각해도 똑같은 1.6 터보 엔진이 코나에도 들어가고 투싼 싼타페 쏘렌토에 들어간다는게 이해가 안됩니다 코나 무게 vs 쏘렌토 무게를 생각할때 똑같은 엔진이 둘다 밀어준다는게 신기할 뿐입니다 참고로 2006년 투싼 디젤 15만 키로  아무 문제 없이 잘 타고 있습니다 단지 매연검사에서 5등급 받고 불합격이라 새차 사려고 하는겁니다 미국에서 프레비아 40만 마일 (64만  키로) 탄 경험이 있어서 토요타 RAV-4 계약했습니다,26
도요타,코롤라,결혼하고 나면.. 와이프 얼굴은 1년 몸매는3년 마음씨는 평생간다고 했다 ..디자인은 1년이면 따라잡지만 기본기는 10년지나도 따라잡을까 말까다,20
도요타,코롤라,"렉서스 nx에 있던 하이브리드를 라브4에 탑재하여 판매효과를 보긴했지만 토요타는 인테리어도 그렇고 뜯어보면 재료, 설계가 1-2세대 뒤떨어짐",16
도요타,코롤라,"시간 지나면 사용하지도 않는 그리고 없어도 크게 불편하지도 않는 옵션질만 진탕 해놓고 차 가격 그 따위로 받는, 하물며 인간의 뇌에 해당하는 엔진에서 문제가 심각하다고 하는 브랜드 보다는 객관적으로 봐도 훨씬 우수한것 같음. 외부 디자인? 한국 브랜드 곤충페이스에비하면 훨씬 괜찮아 보이는것 같음. 가격? 불필요한 옵션 빼고 시간이 지나도 지겹지 않은 디자인이 호불호는 있겠지만 그래도 괜찮음. 연비? 국내브랜드 친환경차로 승인 받을려고 법까지 바꾼건 다 아는 사실일테고 ㅠㅠ, 끝으로 하리브리드 시스템의 원조격 조상은 일산이지. 이미 겪을것 다 겪은 일산이 압승.",15
도요타,코롤라,1:161년전에도 완충시 123킬로 주행가능한 차를 내놓은 회사도 있습니다그런 놈들이 겨우 몇달 뒤에 렉스턴을 1000킬로 주행가능한 전기차로 바꿀 기술을 갖고있다는 헛소리도 내뱉었죠,3
도요타,코롤라,"어차피 차주들 네비 올인원으로 사제 10인치 짜리 달고 다님 고장안나고 고속주행 안전성 높고 그냥 걱정없이 무난하게 타고 다니기에는 좋은 차, 옵션은 어차피 쓰는 거는 다 달려서 나옴 , 통풍 시트 없는게 함정인데 사제 설치 가능",6
도요타,코롤라,보통 일본자동차는 좀 괴상하게 생겼는데 이차는 그나마 깔끔하고 멋있네 ㅎ,15
도요타,코롤라,기술의 혼다를 최고라고 생각했는데 도요다도 좋은가 봅니다.,2
도요타,코롤라,뭔가 디자인 이쁘게 만든 개발도상국 맞춤차량 같네,18
도요타,코롤라,차 좋으면서 가격도 합리적이던데,21
도요타,코롤라,좀 비싸긴 한데 좋은차는 맞는듯,4
도요타,코롤라,차를 바꿔야해서 전시장 가서 봤는대... 도저히 구매를 못하겠더라구요. 특히 Cd 입구가 인상깊내요.,3
도요타,코롤라,날고 기어도 대한민국 하이브리드는 일본 하이브리드 기술력 못 따라간다ㅋㅋ,3
도요타,코롤라,"""전 세계에서 가장 많이 팔린 SUV""이 타이틀이 굉장히 경이로우면서 웅장하네요그치만 스포티지, 투싼이 더 끌리는 것 같습니다 ㅋㅋㅋ",29
