car_brand,car_model,comments,likes
도요타,하이랜더,놀러갈때 하이랜더 렌트해서 잘타고 다녔었는데 디자인이 예쁘게 싹 바뀐거 같아요!! 길이도 더 길어진거 같고 ㅋㅋㅋ자세한 리뷰 감사해용😆,1
도요타,하이랜더,리뷰 잘봤습니다. 역시 토요타는 디자인을 신경안쓰는듯합니다.,1
도요타,하이랜더,차가 너무 멋져요^^ 디자인이 포스있어 보이네요,2
도요타,하이랜더,와~드뎌 오토탁이 시작되는군요^^  쌍용차 뒤태같은 하이랜더. 더넓고 더세련되고 공간이 넉넉한..기름먹어도 좋은 새차! 근데 탁님 텐션 업되셔서 좋네요^^ 오~중간광고  길다요 2of2  남김없이~~~장농면허지만  좋은거 타고 싶으다요~자율주행자동차도 해주시나요?ㅎㅎ,2
도요타,하이랜더,미국은 이런 다양한 자동차문화가 좋습니다ㅎ,7
도요타,하이랜더,좋아요 #10번으로 감상했습니다 자동차부품 제조업체에서 해외영업을 맡고 있기 때문에 이런 영상은 언제나 관심있게 봅니다. 종합적인 리뷰영상 훌륭합니다. 고맙습니다,1
도요타,하이랜더,실내가 거의 쉐보레 수준인데요.대박,1
도요타,하이랜더,안녕하세요~토요타에 관심많아서 검색하다가 좋은 영상 보고 갑니다~한국은 장기간 계속되는 일본불매 때문에일본차 리뷰하는 유튜버가 거의 없는데요미국 현지신거 같은데 앞으로 일본차 리뷰 많이 부탁드려봅니다^^요즘 한국에서는 현기차 포함 자동차 품질문제나 AS 고객에 대한 사후문제들이 많이 공론화되고 있거든요자국민에 대해 행동하는 패턴이 너무 괘씸해서차를 산다면 토요타나 혼다쪽으로 알아볼려고 합니다차는 정말 일본차가 좋은데 말이죠구독 좋아요 누르고 갑니다^^,2
도요타,하이랜더,영상 잘 보고있습니다~~!! 지금 아리조나에서 중고차를 보고있는데요!! 잔고장 잘안나는 도요타를 보고있는데 하이랜더가 참 크고 좋더라구여 도요타가 아무래도 다른 차종들 보다 잔고장도 덜하고 수리비도 싸죠?? 궁금합니다!!,2
도요타,하이랜더,디자인이 예뻐 ㄹㅇ,2
도요타,하이랜더,와우 자동차 참 멋지네요 영상 잘봤습니다 좋은하루 보내세요,2
도요타,하이랜더,하이랜드.랜드크루저.렉서스LX.프라더...등등 진짜 좋은 SUV차량인데 한국에선 진짜 보기 힘듬...거의 없는 수준...왜일까요..??,2
도요타,하이랜더,한국에도 내년 상반기에 들어온다는데 실물 보고싶네요,2
도요타,하이랜더,차 리뷰도 너무 깔끔하시네요.잘 보고 갑니다. 좋은 기능들이 눈에 띄네요.좋은건 카피죠 ㅎㅎ,1
도요타,하이랜더,이웃님멋진 영상 잘보고응원하고갈게요.응원은좋아요입니다,2
도요타,하이랜더,와~모르는게 없으심..차를 꽤 알아야 할수 있는 시승기~멋있어욤~ㄱㅋ,1
도요타,하이랜더,도요타 코리아는 안팔리는 아발론 말고 하이랜더를 들여와야 함,2
도요타,하이랜더,차 리뷰영상 잘보고갑니다.^^,1
도요타,하이랜더,토요타에서 새로운 모델이 출시 됐네요~!2020년 모델 5년만에 업글 멋지네요~~사양도 고급지고 7인승이라 가족형으로 좋겠어요~쌍용차 처럼~~ㅎ 엔진이 작은데도 룸이 커서 외관은 멋져 보여요~~탁님 시승 완죤 멋지심요~🥳🥳,2
도요타,하이랜더,탁님 까꿍😆🙋‍♀️ 츤츤🙋‍♀️탁님의 차리뷰 넘나 자연스러운 이 분위키 무엇?~🤔,2
도요타,하이랜더,캐나다에 들렀다가 2019 하이랜더를 타보고 정말 마음에 들었어요. 랜트카여서 깡통이었지만 제가 하는 주행질감과 안정감이 마음에 들었네요. 2020은 더 멋지네요!,2
도요타,하이랜더,와 그 기본이 탄탄하다는 토오타 차량이군요 웅장한느낌이 있네요 하이랜더리미티드~!! 잘보고갑니다.,2
도요타,하이랜더,진짜 현대차 디자인 보다가 도요타 보니 넘나 이뻐보이네...메기차 현대차 극혐...,2
도요타,하이랜더,저도 너무 좋아하는 차 중에 하나죠~~~토요타가 확실히 가성비가 좋은거 같습니다~,3
도요타,하이랜더,Like28 좋은 정보 많이 알려주시네요 손잡고 갑니다👍🔄✅🛎,1
도요타,하이랜더,하일랜더 나쁘지 않네... ㅎㅎ 자.. 다음은 롤스로이스 컬리넌 리뷰 고고~~ ㅎㅎ,2
도요타,하이랜더,차가 정말 멋지게 잘 나왔네요. 길이도 길어 보이고  가격도 참 좋고 디자인도 좋네요. 갈아 타고 싶은 리뷰 정말 고맙습니다.,1
도요타,하이랜더,방금 2022년식 2.5 하이브리드 계약하고 왔습니다 허허허,1
도요타,하이랜더,캐나다에서는6만불이 넘는데...미국이 차 가격이 더 저렴한건가요?,1
도요타,하이랜더,"탁님~ 노래가 아닌 자동차 리뷰라서 조금,,,어색? ㅎㅎ하지만 좋아요~",1
도요타,하이랜더,+2 like brother 🙏,2
도요타,하이랜더,미션이 아이신8단인가요?,1
도요타,하이랜더,오몽낭 차좋네요 똥차타는 1인입니 당 ㅋ자동차 구경도 재밌네요 ^^,2
도요타,하이랜더,차 바꿀 때 됐는데...,1
도요타,하이랜더,일단 1등으로!!! 그리구 시청할게요!!,3
도요타,하이랜더,목소리가 완전 씩씩해요 ㅋㅋ오토탁? ㅋㅋ저희두 가족이 많아서 하이랜더로 하려구 했었는데.. 보면서 댓글좀 남길게요^^블라인드 스팟 모니터 필요해요 전. ㅋ원래 이렇게 말이 빠르신 분이었어요? ㅋㅋ전 그래두 suv보다 세단이 편해용기름많이 먹는건 싫음 ㅠㅠ광고 무지 길다 ㅠㅠ(다 듣는중)안전벨트 누가 안했어? ㅋㅋ좋당 ㅋㅋ저두 알아서 급정거해요..나도 탁님때매 내차 리뷰 해야겠당..ㅎㅎ Heated seat 필요해요. 저...내꺼랑 인테리어가 비슷해요  신기하네차에 대해 아는게 없으니 먼 댓글을 달아야 하는지 모르겠어요..제 수준안에서만..ㅋ탁님 시승두 했네요? ㅋ와~~~ 한손으로 운전하는거 멋짐 ㅋ차가 무거운데 잘 나가네요 진짜..토요타 엔진이 좋긴하죠. (갠히 아는척 ㅋ)나두 둥글둥글이 좋아요안전이 최고죠! 뒷자석 공간 넓어야 해요.머리가 크대 ㅋㅋㅋㅋㅋ아웃겨요 ㅋㅋ풀시청 완료!!!어려운 차 리뷰 끝까지 듣느라 저 엄청 고생했네요..잘했다 해주세요..ㅎ이상 베스트 스패너 아티조아였습니다~~~~♡,2
도요타,하이랜더,차 좋네요 근데 국내에서 요즘 이런거 타면 큰일나요 ㅎ 테러당합니다😅😅😅 행복한 하루 되세요👍😁👍,2
도요타,하이랜더,도요타도  타는구나ㅋ,1
도요타,하이랜더,친구하려고 왔습니다 삼종 선물 놓고갑니다 제 채널에도 놀러오세요 같이 잘되기를 응원합니다 오늘도 좋은 하루 되세요...,1
도요타,하이랜더,차주한테는 미안한 소리지만  와 정말 대가리에 총맞지 않는이상 일본차를 누가 타나 디자인 성능 인테리어 옵션 as 뭐하나 좋은게 하나도 없네...,1
도요타,하이랜더,"차량 정보~!하이랜더Length: 4.96 mWidth: 1.93 mHeight: 1.73 mWheelbase: 2.85 m(2020 미국 판매량: 212,276)*팰리세이드Length: 4.98 mWidth: 1.97 mHeight: 1.75 mWheelbase: 2.9 m(2020 미국 판매량: 81.905)*텔루라이드Length: 5 mWidth: 1.9 mHeight: 1.75 mWheelbase: 2.9 m(2020 미국 판매량: 75.129)**판매량 출처: CarSalesBase차량 가격유럽: 50,000 ~ 64,000 유로 (₩ 6700 ~ 8600 만)미국: 38,000 ~ 48,000 달러 (₩ 4200 ~ 5300 만)**하이브리드 모델엔진 스펙유럽 (하이브리드만 판매)2.5 l R4 Hybrid with 248 hp미국2.5 l R4 Hybrid with 248 hp3.5 liter V6 with 295 hp혹시라도 일본차라서 불편하시면 우선 죄송합니다.미국에서 텔루라이드 & 팰리세이드와 비교해 어떤 점이 좋고 나쁜지 정도만 비교해서 가볍게 보시면 될 것 같아요.감사합니다 ㅎㅎ",22
도요타,하이랜더,역시 토요타 하이브리드도 마음에 너무 든다,11
도요타,하이랜더,훌륭한 차네요!!!,11
