car_brand,car_model,comments,likes
랜드로버,디스커버리 스포츠,사용자가 위험한 일을 겪지 않게 실수를 줄여주는게 당연하다고 생각해요. 기어봉 대찬성!,3
랜드로버,디스커버리 스포츠,정말 차는 종류도 다양하고 가격도 조금씩 다 다른거 같아요~,2
랜드로버,디스커버리 스포츠,리뷰 정말로 잘 보고 있어요. 좋은 리뷰 감사합니다.,1
랜드로버,디스커버리 스포츠,와 정말 기자님은 말 솜씨의 천재이십니다.초반 차의 크기가 가격을 결정하지 않는다. 김여사가 우리의 가족이 될 수 있다. 그리고 후진 실험까지 와 구성 정말 멋집니다. 좋은차를 설명해주시면서 왜 이런 가격을 형성하는지....그리고 사회적 인식의 변화 필요까지 많이 느끼고 가는 시간입니다. 정말 멋져요~~ 77ㅑ~<-너무 아재인가요? ㅋㅋㅋㅋ : ),2
랜드로버,디스커버리 스포츠,"외관,실내디자인은렌드러버가 최고인듯.잔고장문제로 말들이 많은데현실적으로 그런지 의심이 가는게렌드러버는 점점 더 많이 보임암튼,갖고 싶은 차~~~^-^",15
랜드로버,디스커버리 스포츠,"유튜브에 렉스턴 스포츠 영상에서도 회전수를 띄우는 던데요. 물론 경사가 더 가파르니까, 시동꺼짐은 있었습니다.중립으로 변환되도록 하는 로직을 추가하면 좋을듯 한데, 어떻게 나올지 궁금하네요",1
랜드로버,디스커버리 스포츠,영상을 잘 보고 갑니다.  가격이 나름 착하네요.,1
랜드로버,디스커버리 스포츠,김한용님부터 여러 리뷰 영상을 보니 갠적으로 느낀것니 가격에 오? 하다가 그 가격에 맞다는게 함정,3
랜드로버,디스커버리 스포츠,랜드로버의 매력을 가장 잘 알고 설명 하시는듯,3
랜드로버,디스커버리 스포츠,댓글 보면 브랜드 이미지가 얼마나 중요한지 몇번을 생각하게 합니다...세계적으로 보면 한국이 큰 시장은 아니지만...뭐 한 1~2년 반응보고 생각해봐도 충분할듯 하네요.,65
랜드로버,디스커버리 스포츠,엔진 시동켜질때가 가장 엔진에 무리가 갈때인데 스탑앤고 기능 정말 괜찮은건가요? 너무궁금합니다. ㅎ,2
랜드로버,디스커버리 스포츠,정답이네요..내 부모님과 와이프도 운전하는 입장에서 누가 운전해도 생명과 연결되는 중요한 사항은 안전하게 만들어 놓는게 정말 중요하다고 생각합니다.외국차들은 보이는건 우리나라 차들보다 허접한 경우가 많은데 보이지 않는 안전 부분은 정말 참 잘 만든다는 생각이 드네요아마도 징벌적 처벌 제도와도 관련 있다고 생각되네요,5
랜드로버,디스커버리 스포츠,"왜 랜드로버가 매니아층이 있는지 알수 있는 방송이네요.운전에 능숙한 오프로드 매니아들이 타는  랜드로버는 실수나 착각 그외의 안전 사고가 일어날수 있는 부분까지도  생각해  반영하고 있다는 점...2020년 국산차 제조사들은 사고시  운전자의  운전 미숙만을 탓할께 아니라 차를 안정적으로 꾸준히 팔면서 성장하려면 폭넓은 수요를 끌어안고 가야 하는 판매시장의 요구를 잘 파악하고,  누구라도 지켜준다는 어떤 누구라도 운전 할수 있다는 믿음을 심어주는 마케팅이 중요하다고 생각합니다.",8
랜드로버,디스커버리 스포츠,시승기라서 그런가 영상 퀄이 좋네요~,7
랜드로버,디스커버리 스포츠,P250se 20년식 나오자 마자 할인없이 구매했는데 다행히? 아무 이상없이 만족 중임. 정말 실내공간은 사기급으로 넉넉함.,2
랜드로버,디스커버리 스포츠,현대기아가 대단한듯 페리주기도 짧고 옵션도 좋고 AS도 좋은데 가격도 착하게 보이네요,2
랜드로버,디스커버리 스포츠,무상렌트를 먼저할 필요가 없죠. 산 사람들에게 기간정해서 고장나면 대차해주는 렌트를 해주는 것이 더 당연하죠,4
랜드로버,디스커버리 스포츠,"디스커버리4 타다가 와이프가 면허따서 디스커버리스포츠와 520d로 나눴는데, 5년 동안 아직 센터 들어갈일은 정기점검 밖에 없었고, 네이버동호회에서도 사실 별로 고장 땜에 시달리는 사람 없어요... 내년에 레인지로버를 사기로 했는데, 과연 레인지로버는 어떤지 보고 괜찮게 3년을 보낸다면 랜드로버에 잔고장이 많다는 선입견을 벗을 때가 되었다고 선언해도 될듯...ㅎㅎ 그나저나 스포츠 되게 좋아졌네... 짱나네? ㅋㅋㅋ",3
랜드로버,디스커버리 스포츠,구독자 4만명만 더 늘면 모터그래프 잡는다.ㅋㅋㅋ  자동차 전문기자의 오리지날 넘버원!! 김한용!!!,5
랜드로버,디스커버리 스포츠,"오픈파일럿이라는 애프터마켓용 반자율주행킷이 있다는데, 국내엔 정보가 별로 없어요.한번 다뤄주세요",2
랜드로버,디스커버리 스포츠,역시 김한용 기자입니다 남다른 리뷰~👍,3
랜드로버,디스커버리 스포츠,왜 쓸데없는게 멋있어!   항상 이런식으로 툴툴거리시는거 너무 재밌어요 ㅋㅋ,3
랜드로버,디스커버리 스포츠,오늘 영상으로 랜드로버에 관심이 가네요~,9
랜드로버,디스커버리 스포츠,2년째 타고있지만 잔고장없었네요... as도 예약기간이 있지만 크게 불편하지않아요,4
랜드로버,디스커버리 스포츠,다들 서비스에 불만이 많으신듯하네요. 외형의모습은 예쁜편인데 서비스만 잘이루어진다면 괜찮지않을까 싶습니다,6
랜드로버,디스커버리 스포츠,보통 엔진은 600 RPM이하로 내려가면 꺼진다고 하던데요.,1
랜드로버,디스커버리 스포츠,"모카님 영상을 보면 정말 좋은차구나... 하지만, 일단 세차장 테스트 먼저...",4
랜드로버,디스커버리 스포츠,정말 고급브랜드긴 한가보다... 6000만원....,1
랜드로버,디스커버리 스포츠,7:33 모카에 와룡 봉추가 둘 다 있었구만11:40 트렁크 세팅에서 사용자에 대한 배려가 돋보입니다,8
랜드로버,디스커버리 스포츠,RPM이 0이 되면 시동이 꺼진다는 것이 무엇인지를 사람들이 스틱 수동을 안타봐서 잘 모르는듯. 오토에서 RPM 떨어질 일이 없으니.,1
랜드로버,디스커버리 스포츠,그래도 랜드로버는 최소 RRS는 타는게 맞는듯,2
랜드로버,디스커버리 스포츠,쎄련된 차와 쎄련된 리뷰 병맛편집! ㅋㅋ,3
랜드로버,디스커버리 스포츠,기본형은 계기판도 다르더라구요. ㅜㅜ,1
랜드로버,디스커버리 스포츠,도로에서 보면 항상 느끼는게.. 차가 껑충하고 뭉툭한 느낌이에요...ㅋㅋㅋㅋ,13
랜드로버,디스커버리 스포츠,궁금해서 물어봅니다.내리막 시동꺼짐 현상이 아무 문제 없는데 뭐하로 테스트 하시나요?,1
랜드로버,디스커버리 스포츠,이젠 이 차가 가성비 차로 보여.. GV80덕분에 올해 외제차 판매량 급상승 할 듯.. 특히 SUV..!,7
랜드로버,디스커버리 스포츠,진짜 재규어 랜드로버는 잔고장만 없으면 세계1등도 가능할것같음 내가 원하는것들을 다 가지고 있음 내 드림카도 신형 디펜더.,1
랜드로버,디스커버리 스포츠,요즘에는 수입차가 비싸단 느낌이 안드네요...국산차 가격이 많이 올랐어요 ㅜㅜ,43
랜드로버,디스커버리 스포츠,이번에 편집하시는분은 밈이나 효과음 중독이신듯.....,39
랜드로버,디스커버리 스포츠,2000cc엔진에 4기통 디젤에다가차크기는 준중형이고  옵션은 국산에 비비지도 못하는데gv80이랑같은 가격이거보면  브랜드이미지가 진짜 중요하구나,7
랜드로버,디스커버리 스포츠,작은 차이가 명품을 만든다,2
랜드로버,디스커버리 스포츠,디스스는 가성비 최고라 생각합니다....,1
