car_brand,car_model,comments,likes
랜드로버,디스커버리,"까남형 리뷰는 항상 전문적인 용어로만 하지않고, 들으면서 재밋다고 느끼는 리뷰인것 같아요~~!! 같이 드라이브 하는 기분의 리뷰라서 너무 좋습니다!!",4
랜드로버,디스커버리,형님이 엔진이나 배기를 느끼고 표현하는건 항상 찰떡이네요,8
랜드로버,디스커버리,독3사보단 확실히 랜드로버가 명품 이미지는 좋은듯.  핸드폰계의 애플같은.. 뭔가 갬성적인?그나저나 이분 정말 리뷰 최고네요 진짜 촥촥 감김 ㅋ,7
랜드로버,디스커버리,다른제품리뷰도  좋지만 역시 이형님 주종목. .,1
랜드로버,디스커버리,오늘 게스트 비유력이 뛰어나시네요! 승차감은 선비인데 하는 짓은 장비..크,22
랜드로버,디스커버리,디팬더와 디스커버리는 특성이 많이 다른것 같네요.. 둘다 탐나긴하네요,1
랜드로버,디스커버리,항상 잘보고 있습니다.   라이프 스타일에 영향을 많이 받습니다 디스커버리도 멋지네요 ㅎ,3
랜드로버,디스커버리,2년전 D5 3.0 신차출고해서..5만키로 탔습니다..그 동안 센터를 딱 두번 갔네요..그것도 오일갈러만..진짜로 신차 뽑아서 잔고장 1도 없는 차는 랜드로버가 처음..단점은 오일교환 주기가 너무 길어요...2만3천..관리안하는 사람은 오일말라서 엔진망가지기 딱 좋은 교환주기..이번에 무슨 전기장치 리콜 통보가 왔던데..조만간 센터한번 더 가긴해야겠네요,6
랜드로버,디스커버리,레인지로버는 디젤 4.4 랑 가솔린 5.0 승차감이 다르더라고요. 가솔린이 디젤보다 좀 더 단단한 느낌이였네요. 디스커버리도 그렇지 않을까요 ㅎㅎ,7
랜드로버,디스커버리,20년형 시승해보고 느낌 너무 좋았었는데 전기장치 고장많다고 영업사원도 말해주는데 넘 아쉬움 가격도 후덜덜 좀 저렴한 GV80 3.5 샀는데 실내 이쁜지 모르겠고 차는 이쁜데 뭔가 세단같이 날렵해서 아쉬움 최고는 디스커버리4,1
랜드로버,디스커버리,돈이 없어서 다행이다 이 형 영상보면 다사고 싶어 ㅠㅠ,3
랜드로버,디스커버리,"디스커버리가 4에서 5로 넘어가며 판매량 반토막 난건 다 이유가 있다고 생각됩니다. 신차가 나온지 벌써 4년이나 지났음에도 아직 도로에서는 5보다 4가 더 많이 보이고..4 중고가 방어 엄청난데 5는 감가가 엄청난 것도 현실을 대변하구요.  디3, 디4 타던 사람으로서 디5는 정말 아쉽습니다. 사람도 차도 생긴건 참으로 중요해요.",16
랜드로버,디스커버리,랜드로버는 안 타본 놈들이 까는 차! D5처럼 에어서스 들어가고 광활한 공간과 안락한 승차감가진 SUV 많지 않죠. 대신 할인이 들쭉날쭉하는 건 브랜드 정책이 잘못됐다 봅니다!,11
랜드로버,디스커버리,디스커버리는 둥글둥글한 디자인보다 구형같이 각진 디자인이 더 이쁜거 같다,37
랜드로버,디스커버리,디스커버리4 투박하고 단단해보여서 좋았는뎅너무 세련돼졌엉,5
랜드로버,디스커버리,"안녕하세요 :) 저도 자동차 유튜브를 하고있는 유린이 고미녀tv의 고미녀입니다. 어쩌다가 박스까님 시승기를 보게되었는데, 어쩧게 이렇게 재밌으면서도 맛깔스럽게  표현해주실까요.  감탄하고 구독 하고 갑니다. 앞으로도 리뷰 잘 부탁드려용♡",7
랜드로버,디스커버리,취향을 디스커버리하는차 캬ㅋㅋㅋㅋ,6
랜드로버,디스커버리,"디스커버리 좋은영상 정보 감사합니다.  번호판설치시 번호판, 봉인 녹 방지 봉인구어셈블리 추천드립니다. 더멋진 차가 될거예요.",1
랜드로버,디스커버리,오늘도 잘 봤습니다 형님!기회되시면 아우디 rs q8리뷰 해주세요! 너무 궁금한데 정보가 많이 없네요,2
랜드로버,디스커버리,저도 이차저차 다 시승해보고 산게 디스커버리5 입니다. 랜드로버 진가는 타본 사람만 알죠. 와이프차가 벤츠인데 as도 큰차이 없습니다. 카라반도 견인중인데 견인력도 동급suv중 최고입니다.3.5톤!,3
