car_brand,car_model,comments,likes
랜드로버,레인지로버 벨라,Muito massa! Show de bola.,1
랜드로버,레인지로버 벨라,잔고장 서비스문제만 없으면 디자인 성능은 정말 좋은차,1
랜드로버,레인지로버 벨라,차진짜 좋아보인다 나도 타보고싶다,1
랜드로버,레인지로버 벨라,드디어 레인지로버 벨라가 모터그래프에 나왔군요 김한용 기자님 기다렸습니다.^^,1
랜드로버,레인지로버 벨라,멋있습니다 벨라😁미래지향적 느낌이 많이 듭니다,5
랜드로버,레인지로버 벨라,"재규어 랜드로버는 세그먼트별로 라인업은 거의 다 갖춰가니만큼, 이제 겉멋보다는 가격에 걸맞는 내실을 다져줬으면 하는 바람...",4
랜드로버,레인지로버 벨라,리뷰 너무 잘봤습니다. 오프로드까지 ^^ 다른리뷰어가 차선이탈 방지 떨림을 가지고 승차감이 안좋다고 뭐라 까던데 ^^;;;;,2
랜드로버,레인지로버 벨라,시승기 나오기전부터 시승기 촬영장면이 sns에 한번 돌아서 예상할 수 있었네요 ㅎㅎ,2
랜드로버,레인지로버 벨라,디자인은 진짜 예쁘다,4
랜드로버,레인지로버 벨라,실물 보면 진짜 고급스럽고 아름답습니다. 하지만 가격은... 지금도 그런지는 모르겠지만 랜드로버 몇대당 재규어 몇대 할당이 되어 있었다죠.그러다보니 랜드로버 값이 창렬을;; 어째건 SUV가 초강세인 요즘 랜드로버는 포지션을 진짜 잘 잡은것 같아요.랜드로버 말고 SUV 전문회사라고는 Jeep 밖에 생각이 안나니...,5
랜드로버,레인지로버 벨라,나 이차 실제로 봤는데 위엄감이 개쩜,2
랜드로버,레인지로버 벨라,디자인은 진짜 원탑인데,3
랜드로버,레인지로버 벨라,흠... 진짜 좋아 보이는데 가격 책정이 정말 장난아니네요.,62
랜드로버,레인지로버 벨라,벨라 궁금했는데! 모터 그래프 최고!,3
랜드로버,레인지로버 벨라,김한용 기자님~V90 크로스컨트리 시승기도 보고싶어요!,6
랜드로버,레인지로버 벨라,드디어 벨라 시승기를 !!,6
랜드로버,레인지로버 벨라,미리 예약하고 9개월 이상을 기달려야 살수있다는 그.. 전설의 Velar...?,1
랜드로버,레인지로버 벨라,기자님 차와 잘어울리시네요~,3
랜드로버,레인지로버 벨라,벨라는 솔직히 랜드로버 중에 괜찮음 아니 좋음,3
랜드로버,레인지로버 벨라,외관이랑 다멋진데 너무 공조장치가 터치네 ㅠㅠ 고속도로 달리면서 만지긴 힘들듯....,4
랜드로버,레인지로버 벨라,벨라 풀옵1.2이면 랜드로버에 보그 2억에살빠에 이것도 괜찮겠네여,1
랜드로버,레인지로버 벨라,현기차랑은 비교가 안되는 타고싶다 멋진차~ 뽑기고 머고 한번만 제발타고싶다,1
랜드로버,레인지로버 벨라,"한 4,5천이면 좋은차. 저 가격치곤 부족한 차",3
랜드로버,레인지로버 벨라,우와 진짜 흥미롭다!,2
랜드로버,레인지로버 벨라,차는 좋은데..가격이 미쳣다리~~,10
랜드로버,레인지로버 벨라,내 외관 디자인 최고네. 너무 멋있어 ㅋ,1
랜드로버,레인지로버 벨라,저희 가족은 랜드로버가 너무 맘에 들어서 보자마자 아무생각 없이 샀는데 자율주행이 없어서 2년 타고 바꿧어요...,1
랜드로버,레인지로버 벨라,랜드로바가 가격 거품 엄청난거와 as 구리다는거는 이미 알고 있었지만 밑에 댓글 보니까 이 회사는 구매자가 단지 차량 결함을 인터넷에 올렸다고 명예훼손으로 막 고소도 하고 그러나보네요;; 이 정도면 진짜 고객을 호구로 보는 회사인듯,3
랜드로버,레인지로버 벨라,최근 1억넘는 신차가 어댑티브크루즈가 없다면 사고 나서 두고두고 후회되겠죠.,23
랜드로버,레인지로버 벨라,상향등시 마주오는차량 윽 시야불편하지않게된다고하시는데  영상으로 보여주심  안될까요 넘 궁금합니다,1
랜드로버,레인지로버 벨라,벨라=suv=오프로드=김상영기자님이 suv전문이던데,1
랜드로버,레인지로버 벨라,이차는 비싼게 비지떡이라는 신박한 말이 어울림,1
랜드로버,레인지로버 벨라,통풍시트 옵션으로 넣을수 있나요?,1
랜드로버,레인지로버 벨라,근데 랜드로버는 뭐 땜시 저리 비싼거지??,3
랜드로버,레인지로버 벨라,자칭 고급브랜드라고  하는 레인지로버   잔고장땜에 머리터질지경 전자식 잔고장 진짜 많아요 요차가,5
