car_brand,car_model,comments,likes
랜드로버,레인지로버 이보크,"** 공지 **  주말에 직접 만나요!여러분들 시청해주셔서 감사합니다. 또한  노예 피디님과 CG팀의 노고에도 감사드려요. 더 열심히 해야겠다는 생각이 듭니다. 세가지 드릴 말씀이 있어요. 1) 이번에도 오타가 조금 남았는데요. 제가 한번에 오타를 다 잡지 못하고 몇번 더 잡으려니까 또 야근을 하시게 돼서 그냥 릴리즈 하기로 했어요. 다음번에는 저희 야근을 조금 줄이고 한번에 다 볼 수 있도록 더 열심히 하겠습니다.2) 레인지로버 이보크는 차 자체만 봤어요. 마일드하이브리드로 파워트레인도 바뀌고 디자인이나 첨단 기능도 많이 바뀌었는데, 제가 충분히 담아내지 못한 부분이 있는 것 같아요. 나중에 기회가 생기면 또 한번 다뤄볼 수 있으면 좋겠어요. 그런데 서비스센터는 전혀 다른 문제. 제가 모르는 분야입니다. 좋아졌다고는 하는데, 제가 알 길이 없고 소비자들의 평가가 더 정확할테니 동호회나 주변의 오너분들께 한번 물어보시는게 좋겠습니다. 3) 제가 내일 프랑스 니스로 출장입니다. 그리고 이번 주말에 롯데월드 잠실점에서 강연이 있어요. 이거 많이 오신다고 제가 강연료 더 받는건 아니긴 한데, 그래도 많은 분들 뵐 수 있으면 좋죠. ^^ 아직 10자리 정도 남았다고 하는데, 신청해주시고 주말에 만나뵐 수 있으면 좋겠습니다. https://culture.lotteshopping.com/course/search/detailView.do?strCd=0002&kisuNo=124&classCd=9545항상 응원해주셔서 감사합니다.",31
랜드로버,레인지로버 이보크,와..디자인이 진짜..많이 팔릴수 밖에 없겠네요. 전작보다도 더 이뻐진것 같습니다.  편집전문직원이 새로 들어오셨는지 CG에 놀랬네요 ㅎㅎ,20
랜드로버,레인지로버 이보크,SUV 디자인으로만 보면 정말이쁜차...  물론 돈없어서 사지는못하지만 영상으로 쉽게설명해주셔서 항상감사합니다 ^^ ㅎ,22
랜드로버,레인지로버 이보크,언제나 시청해도 편안한 목소리와 영상 진행 감사합니다SUV는 특유의 둔탁한 외모때문에 별로 안 좋아하는 데 이보크는 그나마 디자인이 제일 나은 거 같아 관심갖고 보게 되네요,2
랜드로버,레인지로버 이보크,그래픽으로 저렇게 두고 비교하니까 보기가 더 편합니다 감사합니다!,1
랜드로버,레인지로버 이보크,오~ 바뀐차량이 확실히 멋지네요~,1
랜드로버,레인지로버 이보크,전세대 이보크 CG처리 편집보고 역시 김한용 기자 영상은 다르다 느꼈습니다~ ;) 멋집니다! 앞으로도 멋진 영상 부탁드려요 (이왕이면 재미도 좀 넣어주세요 ㅎㅎㅎㅎㅎ....ㅎㅎㅎㅎㅎㅎ><),38
랜드로버,레인지로버 이보크,ㄹㅇ 돈만 있으면 이보크 너무 탐나는데 디자인도 너무 예쁘고,2
랜드로버,레인지로버 이보크,피디님 기자님 한마디에 뭐든 가능하신거 같아요 ㅋㅋㅋㅋㅋㅋㅋ,4
랜드로버,레인지로버 이보크,현기가 이정도 수준의 디자인을 했으면 좋겠다.,3
랜드로버,레인지로버 이보크,차만 그냥 놓고 봤을땐 참 멋있는데..워낙 안좋은 이슈가 많으니...,1
랜드로버,레인지로버 이보크,오~~~~~ 이보크 비교샷 진짜 멋진데요!!!!!+ㅁ+ 고급스러운 영상+ㅁ+,3
랜드로버,레인지로버 이보크,"신형 정말 괜찮고,잔고장 전혀없어요 타는게 즐겁습니다.",4
랜드로버,레인지로버 이보크,"레인지로버 이보크 2016년식 타는데, 다시 또 사고싶어집니다. 좋은 영상 감사합니다 ㅎ",1
랜드로버,레인지로버 이보크,개인적으로 오프로드는 기계의 힘을 빌리는것도 좋지만 나 자신만의 컨트롤과 스킬로 (등반?) 올라가고 내려가는게 본연의 재미라 생각합니다.,2
랜드로버,레인지로버 이보크,다른분들보다 목소리가 차분하셔서 자주 보네요. xf 타고 있는데 영상보고  이보크 시승해 보았는데 뒷자리가 많이 좁네요. 시승기 자주 부탁드려요.,1
랜드로버,레인지로버 이보크,세단 아우디 suv 랜드로버 디자인의 끝판왕 두회사다 인식이 안좋은게 아쉬울뿐 막상 오너들은 그래도 만족하더라고요  이보크정도는 큰 리스크없이 한번 도전해볼만 할듯하네요 벨라는 특히 블랙 실물 엄청납니다,2
랜드로버,레인지로버 이보크,차 이쁘네요 ㅎㅎ 영상 잘 보고 갑니다^,2
랜드로버,레인지로버 이보크,좋은 영상 잘 봤습니다~ 고맙습니다!,1
랜드로버,레인지로버 이보크,수리할려면  수리비 장난 아닐듯하네요~,2
랜드로버,레인지로버 이보크,이해 잘되게 말씀을 잘하시네요~!감사합니다,2
랜드로버,레인지로버 이보크,와우 자동차보호필름3M PPF 필수차량이네요~멋있는 영상 감사합니다 :),1
랜드로버,레인지로버 이보크,꼭 2대를 구입해야 한다는 바로 그 차!!!!!!!!,2
랜드로버,레인지로버 이보크,"26:25 저는 항상 ""그래 차가 뭐 중요하냐 드라이버가 중요하지"" 이렇게 자존감을 끌어 올리곤 합니다 ㅋ",1
랜드로버,레인지로버 이보크,다음주에 이보크 차량이 나오는데 시승기 너무 잘보고갑니다 기분이 좋아지네요 ㅎㅎ 번창하세요!,2
랜드로버,레인지로버 이보크,모든 수입차가 다 그렇지만 레인지는.. 정말 써비스가 개쉇 임,2
랜드로버,레인지로버 이보크,CG팀의 활약이... 아주 칭찬해~,67
랜드로버,레인지로버 이보크,AR기술을 활용해 구형이랑 비교하는것 신기하네요ㅋㅋ 나중에는 차 없이 AR로 차 모델만 띄어놓고 리뷰할려나요 ㅋㅋㅋㅋㅋ,1
랜드로버,레인지로버 이보크,나중에 영상에 재원설명이랑 가격설명하는 그런거 넣어주시면 안될까요 ??한번에 보기 좋을거 같아서요!,1
랜드로버,레인지로버 이보크,항상 잘 보고 있습니다. 가솔린 모델 시승기도 꼭 올려주세요!!!ㅠ 넘 고민이라,1
랜드로버,레인지로버 이보크,디자인은 정말 갑,2
랜드로버,레인지로버 이보크,"인기가 있으면 안좋은 말도 나오기 나름인가 봅니다. 랜드로버는 잘 모르지만 그래도 타시는 분들은 또 사서 타시고 하시더라구요. 왜 그럴까요? 요즘 서비스 문제도 많이 개선된 거 같고, 저도 여유만 된다면 이보크는 정말 사고 싶네요. 휠이 큼지막한게 정말 멋지네요.",2
랜드로버,레인지로버 이보크,신형은 아니지만 18년형 오너로써 이보크 만족하면서 타고 있습니다 suv의 승차감이 아니죠 디젤이라 소음은 있지만 소나타보다는 더좋은 승차감이라고 생각합니다 서비스는 창원점에서 받는데 대접받는 느낌납니다 예약대기는 2주일정도로 현대자동차에 비해 대기시간이 짧지요 (블루핸즈는 사설 정비입니다 옛날 현대차서비스센터 최소 한달대기였네요) 고장얘기많은데 장거리가 많아서 현재 8만키로탓습니다만 잘타고있습니다,1
랜드로버,레인지로버 이보크,모그 때부터 궁금한게 있어요. 영상초기에 알아보도록 하시죠! 하고 쏵 사라지시는게 김한용님 시그니쳐 같은데 몇걸음 갔다가 되돌아 오시는거에요? ㅎㅎ,1
