car_brand,car_model,comments,likes
롤스로이스,레이스,문이 2개여서 2인용인 줄 알았는데 훼이크였네요~,1
롤스로이스,레이스,앞에 우루스 인가요?,1
롤스로이스,레이스,저거 우파님 찬데,2
롤스로이스,레이스,레이스 고스트 던에서 머가 제일 급이 높은차에요?,2
롤스로이스,레이스,우파,1
롤스로이스,레이스,와우! 전혀 새로운 자동차 리뷰네요.BMW x7사러 분당에 간적이 있었는데 서현점에 계신가요?잘봤습니다. 새롭네요.,5
롤스로이스,레이스,압도되네요 저 크기와 배기음 12기통이라니,4
롤스로이스,레이스,말하는거 너무웃겨욬ㅋㅋㅋ,7
롤스로이스,레이스,미녀시승 ~~~~~~~보고 싶어요,4
롤스로이스,레이스,와우 RR 이라니!!!!,2
롤스로이스,레이스,롤스로이스 디자이너들은 보면 변화가 없어서 딱히 할일이 없어보이면서도  디테일 보면 진짜 너무 대단한거같음,23
롤스로이스,레이스,항상 타보지도 못하는 차들 리뷰를 해주시니 차 좋아하는 학생으로써 얼마나 감사한지 모릅니다. 감사합니다! 앞으로도 더 많은 시승기 부탁드려요!,4
롤스로이스,레이스,제대로 대리만족하고갑니다(언제타보지...),182
롤스로이스,레이스,영상 퀄리티가 날이갈수록 좋아지십니다.젊은 나이에 이렇게 성공하셔서 다양한 고급차량들을 리뷰해 주시는걸 보면서 대리만족도 하고 때론 부럽네요^^그리고 슈퍼카를 리뷰하시는 분으로써 제가 감히 조언하나 하자면유튜브는 익명성이 다른 매체에비해 강해서 악플이 많습니다 다들 우파님이 부럽고 자신의 현실을 부정하는것들이니 무시하시고 마음에 담거나 그러지 말아주세요 응원합니다!,94
롤스로이스,레이스,영상 퀄리티가 점점 좋아져요! 구독자도 점점 늘어가고요! 엄청나게 비산차들 리뷰하는거 보면 대리만족많이 하고가요 ㅎㅎ,1
롤스로이스,레이스,"흔한차도 아니고 대부분 주행영상이라 특이한 기능버튼 눌러주는 영상이 없는데,항상 버튼하나하나 눌러주시며 알려주셔서 너무 잘 보고 있습니다",5
롤스로이스,레이스,올라오는 차들마다 클래스가 남다르네요 역시^^,3
롤스로이스,레이스,진짜 롤스로이스의우아하고 고풍스러운 분위기는 절대 따라올 수 없는듯..,2
롤스로이스,레이스,7세대 팬텀은 시그니처 그릴이 장식처럼 느껴졌는대 8세대는'이녀석이 대빵이다'러고 느껴질정도로 너무 좋아졌어요,4
롤스로이스,레이스,우파님 사람이 정말 좋은거 같다.  영상보는데 표정도 밝으시고 말도 재밌게 하시니깐 내 기분이 좋아지네ㅎㅎ,10
롤스로이스,레이스,우파님 항상 챙겨보고 있습니다. 평소 접해보지 못했던 차들에 대해 재미있고 쉽게 리뷰해주셔서 감사하고요 앞으로도 좋은 영상 많이 올려주세요^^ 그리고 보니 마이크 쓰신 것 같네요 목소리가 뚜렷하고 크게 잘들려요^^,8
롤스로이스,레이스,아무나 못 타지만 우파님은 탈 수 있는 차 ㄷㄷ,47
롤스로이스,레이스,진정한 럭셔리 끝판왕 팬텀 잘봤습니다  슈벨sv오너신데 팬텀도 마음먹으시면 구입할 재력이 우파님도 있으신거 같은데 겸손하시네요,2
롤스로이스,레이스,진짜 너무 이쁘네요세단 끝판왕..,2
롤스로이스,레이스,가격만큼 차 크기가 어마어마 하네요. 실내는 뭐 대단하고요.,1
롤스로이스,레이스,롤스로이스까지는 아니지만 우파님 말씀을 듣다보면 저도 언젠가는 슈퍼카를 탈 수 있다!! 는 자신감이 생기네요 ㅎ,2
롤스로이스,레이스,"몇번 우파님 영상을 시청했는데, 처음에는 항덕으로써 별로였지만, 열심히 하는 모습에 저도 점점 자동차에 관심이 가기 시작했습니다^^ 감사합니다.",1
롤스로이스,레이스,디자인이 별로 변하지 않는 이유가 또 있는데 롤스로이스 같은 경우는 매니악한 사람들을 고객으로 겨냥하고 있기때문에 디자인에 큰 변화가 오면 그 고객층들이 등을 돌리기에 그런 것이라고도 합니다. 그 브랜드만의 컨셉과 전통을 보고 구매하는 사람들에게  잦은 디자인의 변화는 상당히 혼란스럽겠죠. 그래서 자동차 디자이너들이 벤틀리와 롤스로이스에 입사하는 것을 꺼려한다고 들었습니다. 자세한 내용은 '디자인 읽어주는 남자' 라는 채널에 세세히 나와있습니다,25
롤스로이스,레이스,우파님덕분에 좋은차 많히 구경하네요ㅎㅎ감사합니다^^,1
롤스로이스,레이스,안구정화 오지게 하고 갑니다 ㅎㅎㅎ그냥 차 퀄리티가 명품.....,3
롤스로이스,레이스,진짜 멋있는 차네요 리뷰해주셔서 감사해용,1
롤스로이스,레이스,우파 형님은 비싸다고 해도 구매할 수 있는차 다른 리뷰어들과는 차원이다룬 리뷰 ㅋㅋ,1
롤스로이스,레이스,차 너무 멋있어요. 시승기 감사합니다.,1
롤스로이스,레이스,우파님은 알기쉽게 설명해 주셔서 좋아요 ㅎㅎ,2
롤스로이스,레이스,리뷰가 점점 재밌어지네요 ㅋㅋ 오늘도 잘 보고 갑니다~,2
롤스로이스,레이스,우파님 보면 정도가고 인간적인모습에ㅡ팬이 됐네요!!^^,1
롤스로이스,레이스,즐기면서 일하시는 모습이 부럽고 정말보기 좋습니다~~,1
롤스로이스,레이스,ㅋㅋㅋㅋ대박이네 실물로 본적도없는데 한번 타보고싶다..ㅋㅋ,1
롤스로이스,레이스,뭔가 차라기 보다는 예술품을 감상하는 기분이 드네요. 끝판왕은 역시 다르네요.,1
롤스로이스,레이스,제가 평가할건아니긴한데 정말 전보다 리뷰하시는 실력이 발전하신거같슴다 영상잘보고잇어요 형 ,1
롤스로이스,레이스,진짜 멋잇네....우파님 항상 잘 보고있습니다~~,2
