car_brand,car_model,comments,likes
르노코리아,조에,진짜 미래에는 저런차 많아지겠다! 1인 가구도 늘어나고 있으니 현대도 저런 차 내주었으면 합니다!,3
르노코리아,조에,이젠 이런급의 차에도 통화면 계기판이 들어가는 시대가 됐군요. 그런데 설령 보조금이 나온다해도 해도 이런 급이면 2800만원보다는 가격이 다소 좀 더 떨어져야 소비자에게 어필하기 좋을거라고 봅니다.,71
르노코리아,조에,전기차로서는 제일 훌륭한 가성비 아닐까 싶음. 차체가 작은 게 흠이라면 흠인데.. 뭐 1-2인용으로는 문제 없을듯,4
르노코리아,조에,뒷자리 좁을거라 생각했는데 한용님 타계시는거 보니 생각보다 괜찮네요 주행거리도 도심내에서 타긴 충분하다 생각,2
르노코리아,조에,요번에 캡처도 그렇고 르노가 진짜 칼갈긴 했음근데 해외버전에는 적용되는 반자율기능들이 국내의 헬교통에서 못할까봐 빼놓은거 보면 료즘 현대차 주식 떡상이 이해되긴함,1
르노코리아,조에,세컨카로 타기에 좋은 체급과 나름 합리적인 가격인 것 같네요! 엄마들이 타기에 좋을 것 같아요! 외관은 약간 ‘O’ 같은 느낌! 오늘도 좋은 영상 잘봤습니다 기자님!👍👍👍,3
르노코리아,조에,실용에 중점을..   가격대비에서도 좋은듯..  어쨌든 점점 이후 차는 전기나 수소전기로 가야한다는 생각으로 자꾸 바뀌는게 팩트네요 ^^,1
르노코리아,조에,전기차가 많아지면 명절에 충전대란이 있을수 있을까 걱정되네요.... 하루빨리 인프라가 더 많이 늘었으면 좋을거 같아요,1
르노코리아,조에,기본적인 앞뒤 무게 배분에 대한 잇점과 배터리 때문에 크기에 비해서는 차체가 무거운 탓에 타이어 그립이 더 좋은 게 아닐까요,1
르노코리아,조에,전기차 엥꼬에서 풀 충전 까지 계량기랑 배터리양 비교 좀 해주세요. 예전에 슴3 탈 때 22kWh충전에 32kWh먹여야 해서 돈도 더 들었지만 무엇보다 충전 시간이 너무 오래 걸렸어요. 80퍼 이상은 정전압 방식으로 바꾸는 것 때문이라 하던데 그래도 타 차량에 비해 차이가 너무 큽니다. 조에는 어떤가요,1
르노코리아,조에,사람들이.. 전기차를 안사려고 하는 이유와원인이 실용성이 떨어지고 차값이 너무나도 비싸다는 단점이 있는데요.. 전기차 더욱더 보급되고 발전이 되기위해서는.. 충전시간이 빨라지고 차값이 저렴해져야 한다고 생각을 합니다.,1
르노코리아,조에,"볼트정도의 배터리 용량이 있었으면 좋았을텐데요,,그거빼면 조에도 좋은전기차라고 생각됩니다~",2
르노코리아,조에,르노 클리오 타는 중인데 르노가 진짜 좋은게클리오같은 소형 해치백에도 헤드램프뿐아니르 안개등까지 LED들어가고 후드의 가스리프트도 당연히 있습니다. 도장 도색은 정말 아름다운 칼라...각 색마다 타브랜드랑은 다른 우아함이 있어요. 물론 옵션이 부실한거 엔진이 워낙 에코형이라 답답한 부분이 있지만 핸들링 재미도 현대기아보다 훨씬 재밌고 유격이 없어 안정적입니다. 작은 차도 고속에서 안정적이고.. 단순히 잘안팔리는 브랜드로만 바라보기에 유럽에서 잘팔리는 것엔 이유가 있을 것이고 가끔은 현대기아에서 눈을 돌려 시승정도는 해보고 단점도 있지만 색다른 장점이 많은 브랜드구나 생각하는 분들이 많아지면 좋겠어요.르노 메간이 수입되길 바라는 클리오 유저가..,2
르노코리아,조에,28백만으로 전비좋고 실용적인 전기차가 나왔네요.굳이 두배 이상가격주고 살바에야이차가 더 경제적일듯 싶네요,1
르노코리아,조에,1인가구 시대에 조에정도면 가성비로 뽕뽑겠네요 전기차 시작으로 나쁘지 않다 생각합니다.,4
르노코리아,조에,이차의 단점은괴상하게 생긴 앞모습과충전을 앞으로 꽂기때문에 전면 주차를 해야 한다는 점 인듯요.,1
르노코리아,조에,정말 고민중이었는데 시승기 보고 마음 굳혔습니다첫 차로 전기차라니 설레네요 ㅎㅎ 늘 좋은 영상 감사합니다 👍🏻👍🏻,17
르노코리아,조에,전자기기는 시간이 갈수록 성능은 좋아지고 가격은 싸지는데~전기차도 그렇겠죠?지금 전기차 가격은 부품에 비해 너무 비싼거 같아요 ㅎㅎ,2
르노코리아,조에,세컨카 개념으로 출퇴근용 타기는 좋을거같네요 확실히 해치백이 짐 넣어두긴 편한거같아요,2
르노코리아,조에,꽤나 매력이넘치는 차군요..,8
르노코리아,조에,조에는 벌써 3세대라서 더 믿음감 전기차는 안전한게 짱인듯,5
르노코리아,조에,1년을 기다린 차여서 내일 시승차 보고 구매를 할건데 좋은 느낌으로 결정 하게 되네요 ^^ 항상 영상 빠짐없이 다 보고 있습니다 늘 정확한 정보와 듣기 좋은 목소리로 다양한 컨텐츠 소개해주셔서 진심으로 감사합니다 ^^,1
르노코리아,조에,르노삼성 Xm3유저입니다. 핸들뒤 오디오리모컨 불편할것같다고 걱정하시는 분들 많은데 불편은커녕 컨트롤하는거 존나편해서 노래막넘기고 불륨 줄엿다늘렷다 개지랄하면서 운전중입니다. 감사합니다.,137
르노코리아,조에,조에 유럽시장 1위라 안정성은 검증됐지 ㅈ전기차중엔 그래도 가격 착하지 실용성 좋을듯,2
르노코리아,조에,조에 디자인 넘뽀짝함ㅠㅠ 탐난다,3
르노코리아,조에,장거리 뛰기에는 부족하건 맞는데 저처럼집-회사만 하는 사람들은 괜찮겠네요 리뷰보고 조에에 혹해버림ㅎㅎ,3
르노코리아,조에,너무 재밌게 보고있습니다!!!!,14
르노코리아,조에,헐 3000 도 안돼는 전기차 ㄷㄷㄷ. 업무용으로 대박일 듯. 모닝 타격일 듯.,2
르노코리아,조에,테슬라만 부각되다 르노삼성도 전기차가 있을줄이야ㄷㄷㄷ역시 믿고 보는 모카^^,3
르노코리아,조에,배터리값 때문에 비싼건 알겠는데.. 소비자 입장에선 그냥 조금 큰 모닝을 2800에 사는 느낌..,5
르노코리아,조에,캡티바에도 있던 우적감지센서가 4000만원 더뉴카니발에서는 없다는 거에 놀랬는데 .... 은근 있으면 돟은 기능이던데,3
르노코리아,조에,유럽 시장 1위라길래 한국 들어오길 기다렸습니다 한번 시승해보려합니다,1
르노코리아,조에,김한용님 노력하시는 모습 보기좋네요~~~~👍🏻👍🏻,1
르노코리아,조에,장거리 운전자 말고 출퇴근용쓸땐 좋을듯? 가정용으로 딱인느낌,3
르노코리아,조에,저는 구입에 적극 반대입니다. SM3 ZE 를 운행하고 있는 사람으로서 저렴해도 3000만원에 육박하는 차를 구입하고 AS 하려면 기본 3개월은 기달려야 하는 회사의 차를 추천하는것은 아닌것 같습니다. 몇몇 직영사업소에서만 정비가 가능하고 그나마 배터리 수리 가능한곳은 더 없어요.  저는 대략 4개월 걸렸읍니다. 기존 판매된 SM3 ZE  차량의 AS에도 기본 3개월이 필요한데 거기다 조에가 팔리면 이젠 예약 하고 4개월 5개월 걸리겠네요. 르노 삼성은 전기차를 팔려면 기존 전기차 AS 역량을 키우기를 먼저해야합니다.   그리고 참고로 제 차는 4년된 차량인데 배터리는 83% ( 1년전 측정치 )  남았고 현재 고속도로에서는 100KM 도 못가고속도 80KM 이내 시내 정속주행 일때 110KM 갑니다.,3
르노코리아,조에,성수사업소에서 전시 차량 뒷좌석에 앉아보고 바로 맘 접었어요...머리가 천장에 그냥 바로 닿더군요....차는 작진 않은데 뒷자석 포지션이 높아 헤드룸이 너무 타이트 합니다...ㅠㅠ,2
르노코리아,조에,오늘 영상 잼있게 잘봤습니다. 한용기자님 sm6 시내 시승기 해주세요 ㅠㅜ,1
르노코리아,조에,저의 최애차에요 ㅎㅎㅎ넘 사고싶네요,2
르노코리아,조에,전기차 중에서 저정도 가격이면 엄청 싼거에요.. 현기차나 쉐보레 옵션 넣을만한거 넣으면  가격은 비교불가임 대신 기능이나 차 크기가 작다는게 흠이네요...,25
르노코리아,조에,"2800만원이면 k5 하브깡통이나 아방하브 풀옵 가능한가...? 그렇게 생각하면 B세그먼트랑 C,D세그먼트랑 경쟁이라 경쟁력이 떨어지는거같기도하고... 확실히 전에 봤던 전기차들 보다는 끌리지만, 아직도 하브보다 괜찮은가? 라고 생각했을때는 글쎄요... 라는 생각이하루 출퇴근거리 왕복200km인 저한테는 겨울철에는 출퇴근이 불가능할거 같다는 생각도 들구요",7
르노코리아,조에,B모드가 엔진 브레이크 흉내내는 모드입니다. 평소말고 내리막에서 패드 적게 쓰기 위해 쓰입니다.,1
르노코리아,조에,충전소가 엄청 많이 늘지 않으면 전기차 선택하기 힘들어요. 선택할만한 차인거 같은데.,3
르노코리아,조에,역시 현대기아차 보다 르노삼성전기차가 좋네여!,2
르노코리아,조에,B모드에서 감속이 빨리 일어나는데 브레이크 등이 안 들어오면 뒷차에서 햇갈리고 위험하지 않을까요?,1
르노코리아,조에,조에 다뤄주셨으면 생각했는데 올라왔네요❤볼트보다 좀 작은 ㅋㅋㅋㅋㅋ,2
르노코리아,조에,르노가 Blue계열 색상을 존나 잘뽑아...,7
르노코리아,조에,지금까지 나온 전기차중 가장 좋은거 같네요...테슬라가 좋은건 알지만 너무 비싸요..그리고 마감품질에 말도 많고.,2
르노코리아,조에,차잘알 한용님 영상 잘 봤습니다~~~,3
르노코리아,조에,전기차 본넷 내부 설명하는 것이 다른 채널과 다르네요. 모든 부분이역시 전문적,1
르노코리아,조에,차 멋지다,2
르노코리아,조에,전기차 영상에 이런글 남기긴 외람되지만 수소차에 대한 정보와 지식과 충소에 관한 내용도 다뤄 주시면 감사하겠습니다.,2
