car_brand,car_model,comments,likes
마쯔다,CX-5,보통 일본차 디자인 때문에 굉장히 싫어하는데 이번에 비교되는 차는 디자인은 엄청 이쁘네요. 대시보드 디자인은 스포티지가 가장 이쁜것같은데 외관으론 빵점....ㅋㅋㅋ...,4
마쯔다,CX-5,"Hyundai ans Kia are made rather for practicality and reliability. It's good enough in term of quality and great to use the infotainement.. but about design and driving, the Mazda, reliable to its history (Mx5, Rx8...), is still better and more pleasant ! And you have to drive them to understand So maybe the Cx5 interior is not brillant and needs to be modernized a little bit, but last Mazda's models, especially with the Skyactiv-X (spark ignition, great consumption with NA engine etc), like the Mazda 3 or Cx-30 have super elegant and premium interior",8
마쯔다,CX-5,"Top3는 아니지만 저 세 차들 모두 유럽에서는 생각보다 잘팔립니다.  Top3는 닛산 캐시카이, 폭스바겐 티구안, 푸조 3008가 너무 넘사벽이라 문제지.. 각각 두배이상씩을 Top3가 팔려나가고 있죠.",11
마쯔다,CX-5,"사실 소형 suv로 비교해봤을 때 마쯔다가 좋지만, 3600으로 suv를 살꺼면 차라리 싼타페~펠리세이드 하위 로 가지 않을까...",72
마쯔다,CX-5,국산차가 일본차와 동북아 출신의 동류로 묶여서 신뢰성을 인정받는군요...전혀 예상하지 못한 평가입니다...국내에서는 틈만나면 현기차 신뢰성 이슈가 터져나오기 때문에국산차가 아직은 기본기 측면에서한참 부족하다고 생각했거든요.,16
마쯔다,CX-5,갠적으론 외관은 투싼 안은 스포티지 라고 생각합니다 ㅋㅋㅋ,3
마쯔다,CX-5,"문제는 상품성과 드라이브 항목에서 마즈다가 항상 상위에 랭크 됩니다만, 고잘적인 고장과 메인터너스 항목에서 마찬가지로 항상 하위에 랭크..때문에 시승때 전문가들이 투섬업 날립니다만, 반대로 소비자 평가기관에서의 가치평가는 항상 하위권이죠.이건 뭐 스바루도 마찬가지고요.현재 CX-9 몰고 있습니다만, 다시 마즈다 차량을 선택 하지는 않을것 같아요.드라이브 필링 하나만 보고 선택 하기에는 리스크가 엄청납니다.특히 리세일 밸류는 처참함.. 그냥 포기해야 하고요. 현대보다 리세일 밸류 한참 낮습니다.이유는 CX-9 한정 트랜스미션 내구성과 업힐 상황에서 어리버리 까는 트랜스미션 세팅값, 섀시 강성 부족으로 인한 실내 잡소리와 진동, 시트 잔고장 등등..그래서 내년말 정도에 기아 텔루라이드로 넘어갈 계획 가지고 있습니다.혼다와 토요타라면 모를까 요즘 현대나 기아보다 월등하다 싶은 일본 브랜드는 이제 찾아보기 힘듭니다.아이러니 한건 현대나 기아의 수준이 높아진것도 이유지만, 일본 브랜드들이 스스로의 아이덴티티를 지켜내지 못한것도 큰 이유라는..",51
마쯔다,CX-5,국내에도 하이브리드 팔면 좋겠네요,1
마쯔다,CX-5,오 이제 현대 기아가 신뢰성을 인정받는군요,1
마쯔다,CX-5,"마쯔다 차량컨셉자체가 민첩함이 가미됨. 차 자체는 느린데 빠른것처럼 만들지.. 실제로 마쯔다가 rx7,8제외하고 제로백빠른차 만든걸 본적이없음. 미아타도 많이느림. 그나마 싼마이중에선 mazda3이 젤빠른데 8초대인걸로기억함.",1
