car_brand,car_model,comments,likes
마쯔다,MX-5 MIATA,"다들 조회수에 집착해서 대중적인 차만 지속적으로 어그로 써가며 영상 찍어내는 이 험난한 유튜브 시장에서, 이런 특이 차종들까지 알아갈 수 있도록, 차 자체에 대한 애정으로 담백한 영상 올려주는 서우토반 채널에게 진심으로 응원의 박수를 보냅니다!",107
마쯔다,MX-5 MIATA,오픈카는 진짜 하나 만들어줄번한데 없는게 너무 아쉽네요 ㅠㅠ 현기야!! 힘내줘!!!,14
마쯔다,MX-5 MIATA,이제는 국산 오픈카도 생산됐으면 좋겠다,3
마쯔다,MX-5 MIATA,"가벼운 차체, 자연흡기, 뒷바퀴굴림... 정말 재밌는 차량이죠 ㅋㅋ",6
마쯔다,MX-5 MIATA,마지막 총평 심금을 울리네요. 좋은차 경험하고 갑니다,1
마쯔다,MX-5 MIATA,감사합니다! 다른 종류의 차들도 보고 싶었습니다. 마쯔다 좋아요. 요즘 유투브에 다 너무 비슷한 차들만 보였어요.,3
마쯔다,MX-5 MIATA,차주분의 본인차에대한 이해도가 감탄스럽네요 크으...,2
마쯔다,MX-5 MIATA,그러게요 현기차도 오픈카좀 만들었으면ㅠ,8
마쯔다,MX-5 MIATA,mx5 출고 기다리면서 이런영상 너무 필요했는데ㅋㅋ 서우토반님 채널에 mx5 나오는날만 기다렸어요!ㅋㅋ 즐감하겠슴다,6
마쯔다,MX-5 MIATA,서우토반 최고! 응원합니다!!,4
마쯔다,MX-5 MIATA,"저는 ND2 를 타고 있습니다~차주님 의견에 많이 공감합니다~86도 탔었고 저도 정말 좋아해서 서킷도 많이 갔었는데, 오픈을 원하니 이차 밖에 대안이 없어요^^ 오픈경량 수동~",2
마쯔다,MX-5 MIATA,믿고보는 서우토반..BGM마저 완벽....,18
마쯔다,MX-5 MIATA,차 진짜 이뻐요 부럽습니다,2
마쯔다,MX-5 MIATA,조심히 운전하서야 겠네요. 가볍다는건 장점이지만 사고시 치명적인 약점입니다...,3
마쯔다,MX-5 MIATA,진짜 G2X처럼 국산 리뱃징이라도 나오주면 좋겠음,1
마쯔다,MX-5 MIATA,옛날 만우절 기사 벨로스터n 컨버터블 처럼만 나와줘도 좋을텐데,12
마쯔다,MX-5 MIATA,전 개인적으로 국산 오픈카 나와도 이니셜D 영향 때문에 왠만하면 mx5 탈것 같ㅋㅋㅋㅋㅋㅋ,3
마쯔다,MX-5 MIATA,독일에서 같은차 오너입니다 ㅋㅋ 1.5L nd2인데.. 너무 만족스럽습니다 ㅎㅎ 한국에 들고가면 최초 좌횐들 1.5리터이지싶네요 ㅎㅎ이거타다 단거타면 진짜 재미가없어요 ㅡㅡ;,9
마쯔다,MX-5 MIATA,첫차로 삼을 가치가 있는것 같네요 가격이나 연비적인 메리트 때문에,1
마쯔다,MX-5 MIATA,드디어 mx5!!잘보고 있습니다.,5
마쯔다,MX-5 MIATA,이 영상을 보고 하루종일 mx5를 알아보고있네요조만간 구매할거같아요,1
마쯔다,MX-5 MIATA,국산 오픈카 없는 이유가 오픈카를 타는 이유중에 시선과 와~~ 하는 감성으로 타는 분들이 많아서 그래요국산차로 오픈카 만들면 결국은 브랜드빨(마크빨)이 떨어져서 기업입장에서 상품성이 없죠,13
마쯔다,MX-5 MIATA,엥 괜찮은데  항상잘보고있어요 서우토반화이팅,1
마쯔다,MX-5 MIATA,JWC 보구 왔는데... 똑같이 아쉬운건 출력... 어느정도 차를 타야 다들 만족할까? ㅋ,1
마쯔다,MX-5 MIATA,"이 모델 부품비, 파츠 가격 같은건 어떤가요??  연비나 오일 보험료 말고 사고나 고장시에 얼마나 들지 궁금합니다.",2
