car_brand,car_model,comments,likes
미쯔비시,랜서 에볼루션,랜서 후기형은 현대 세타 엔진을 썼다는게 자부심을 가질만한 일이죠.미쓰비시 엔진을 수입하던 현대가 역으로 수출하는 쾌거를 이루었으니.국내에선 너무 비싸게 팔아먹은게 패착이지 싶습니다.,67
미쯔비시,랜서 에볼루션,란에보는 8기랑 9기가 디자인으론 제일 멋지다고 생각합니다.,3
미쯔비시,랜서 에볼루션,4g63과 4g63t는 비슷한듯 하지만 호환은 안되는게 다소 많습니다 또한 10기의 연비는 모르겠지만 현 6세대 오너로써 연비는 준수한편 입니다 시내연비 8 시외연비 14정도 나오고 있습니다,2
미쯔비시,랜서 에볼루션,"기름통 작고, 부스트 높으면 연료를 때려붓는 ecu 세팅, 미친듯이 높은 rpm을 유지하려는 tcu 거기에 고급유는 필수!",21
미쯔비시,랜서 에볼루션,저번에 아는 형이랑 자전거 타고 옆동네 아파트 갔다 주차장에 들어가는 랜서 10기를 보고 온 몸에 소름이 돋았던게 생각나네요. 그 때 제 드림카였던지라. 신기한건 같이 갔던 그 형도 드림카가 랜서 10기ㅋㅎㅋㅎ,11
미쯔비시,랜서 에볼루션,에보 10기 오너입니다. 서울-강릉 왕복 가능합니다. 고속연비는 11-12키로정도 나옵니다. 도심주행은 4-5정도 나오고 정체구간에서는 2키로까지 떨어질때도 있습니다 -_-;;,104
미쯔비시,랜서 에볼루션,성능만 좋으면 장땡이라고 한다는 게임에서도 그런 좋은 성능을 경험할 수 없는게 직빨에서 다른 차들과 경쟁하려니 핸들을 드래그카 수준으로 돌려야 하고 그렇다고 코너링 문제를 해결하자니 직빨이 환자가 되어버리는 바람에...ㅜㅜ,2
미쯔비시,랜서 에볼루션,"일본을 중심으로 한 아시아쪽에선 란에보, 미국을 중심으로 한 서구쪽에선 이보 라는 이름으로 불리던 차량이죠. 실제 분노의 질주에서도 이보라는 호칭을 들을수 있습니다.또한 6기형(6세대)의 란에보가 WRC에서 좋은 성적을 거두며 많은 인기를 구가했고그때 당시의 란에보 드라이버였던 토미 마키넨을 기념해 토미 마키넨 기념버전 ( TME )도 출시 됩니다.이 떄가 란에보의 가장 전성기라고 볼수 있겠네요.소나타와 같은 시리우스 엔진이라고 소개하셨지만...시리우스는 란에보가 아닌 일반 랜서 모델 ( 논터보 )의 엔진을 베이스로 한 엔진입니다.디튠된 부분도 있겠지만... 내구성 하나만큼은 그 당시 국내 엔진에 비교 할수 없을 정도로 좋았죠.",21
미쯔비시,랜서 에볼루션,나온지 20년도 넘은차가 지금 차랑 비빌수있다는게.. 당시의 일본 스포츠카들은 정말이지..,1
미쯔비시,랜서 에볼루션,수동모드로 정속주행하면 그래도 10~15는 나와요!!,3
미쯔비시,랜서 에볼루션,90년대까지만 해도 공도의 제왕이라는 위용을 뽐내고 다니던 란에보였는데 요즘은 왜이렇게 됐니?ㅠㅠ,4
미쯔비시,랜서 에볼루션,이니셜d 2기 시작에서 night kids를 승리하며 아우라를 뽐냈던 쿄이치의 란에보가 기억에 남네요,5
미쯔비시,랜서 에볼루션,란에보..... 진짜 제인생 찹니다!,8
미쯔비시,랜서 에볼루션,란에보10세대!? 제가 나중에라도 사고싶은 차이지만 유지비때문에 망설여지는 10세대... 가슴이 아픕니다 ㅠㅠㅠㅠㅠ,11
미쯔비시,랜서 에볼루션,2년간 탔는데 이차는 꼭 비싸더라도 수동을 사세요연비는 밟으면 않좋긴 한데 c63같은 차에 비하면 하이브리드 수준입니다..카레라s정도 연비 나옵니다,3
미쯔비시,랜서 에볼루션,"란에보는 인정 ㅎㅎㅎㅎㅎㅎㅎ 그 누군가가 스파크를  란에보 처럼 튜닝한적이 있는데.. 정말 언듯 보면 란에보라고 할정도로 잘했더군요 ,,허허허",1
미쯔비시,랜서 에볼루션,GTA5에 나오는 캐런 구루마 차량이 랜서 에볼루션X를 모티브로 만들어졌다죠앞모습이 거의 판박이 수준..ㅋㅋㅋ그 때문인지는 몰라도 란에보 X를 보면 자꾸 구루마라고 부르게 되는..,3
미쯔비시,랜서 에볼루션,이미 단종되고 미쯔비시 회사 자체가 넘어갈락말락한 상황이라.얘네들 예전에 인휠모터를 이용한 란에보 EV도 만들었던데 그게 실험차에 그친게 참 아쉬움. 전기차로 다시 낸다는 소리도 있던데..,1
미쯔비시,랜서 에볼루션,리어 윙에다 군마팀 스티커 달았던 그 차가 떠오르네요...ㄷㄷㄷㄷ,4
미쯔비시,랜서 에볼루션,미쯔비시... 전범 기업만 아니면 진짜 좋은차인데 ㅠㅠ,1
미쯔비시,랜서 에볼루션,현대N들도 주행가능거리가 350~450km 정도 나오더라구요(엄청 자제하면 500이상). 쎄타 기반 고성능 모델들의 공통점인건지ㅠㅠ,1
미쯔비시,랜서 에볼루션,현대에서도 이런 차를 볼 수 있었으면,1
미쯔비시,랜서 에볼루션,세대로 표현하면 4세대까지 나왔습니다세대가 아닌 기수로 표기하는것이 맞는 표현입니다10세대가 아닌 10기가 올바른 표현 입니다,3
미쯔비시,랜서 에볼루션,"단종 됐지만, 멋찌다!!",2
미쯔비시,랜서 에볼루션,역시 감성이지,2
미쯔비시,랜서 에볼루션,한때 나의 드림카 였었던 ㅎㅎ잘 봤습니다,1
미쯔비시,랜서 에볼루션,ㅋㅋㅋㅋㅋㅋㅋㅋ개판 짤 왜케 공감되냐,2
미쯔비시,랜서 에볼루션,기어비가 너무 짧은것도 극악연비에 한목 한거같네요...,1
미쯔비시,랜서 에볼루션,학교 교수님 애마였는데 옆에 탈때마다 설레었던 기억이 있네요,1
미쯔비시,랜서 에볼루션,"연비는 여타 고성능들이랑 비슷합니다. 현기 3.3, m3 a45 랑 비슷",1
미쯔비시,랜서 에볼루션,고작 2.0L 4WD란 물건이 3L 터보 박은 수프라나 2.6 트윈터보 박은 스카이라인 GT-R과 거의 동등하게 싸움ㅋㅋㅋㅋㅋㅋ,1
미쯔비시,랜서 에볼루션,란에보는 5~6 기 까지가 전성기였다고 보는 입장,3
미쯔비시,랜서 에볼루션,에보 제발 부활했으면,2
미쯔비시,랜서 에볼루션,탑기어에서 무르시엘라고를 압박한끝에 리타이어 하게 만든차 ㅋㅋ,2
미쯔비시,랜서 에볼루션,미쓰비시 차는 정말 좋은데...미쓰비시 기업은  아쉽계도 전범 기업이죠...,2
미쯔비시,랜서 에볼루션,10기는 랜서 에볼루션 아냐 9기 까지가 랜서 에볼루션이야...,1
미쯔비시,랜서 에볼루션,1튜닝 포텐셜 쌉지리는...근데 10기는 sst미션이슈 많음,1
미쯔비시,랜서 에볼루션,랜에보랑 wrx를 고민하던 시절이 있었는데....ㅋㅋ,1
미쯔비시,랜서 에볼루션,이 차가 정말 개인적으로 놀라운 차인게 보기도 힘든차인데 상품권을 네번을 쏴줬음,1
미쯔비시,랜서 에볼루션,시리우스엔진이.지렷지 미친튜닝빨과 내구성....소나타도 시리우스시절엔 날려줫음..,1
미쯔비시,랜서 에볼루션,라네보는 인정해줘야함. ㅎㅎㅎ,1
미쯔비시,랜서 에볼루션,일반 렌서는 타면 아반떼 HD랑 똑같음ㅋㅋ,2
미쯔비시,랜서 에볼루션,전범...아무일도 없었다,1
미쯔비시,랜서 에볼루션,토미 마키넨 4회연속 챔피언을 함께한 란에보....,2
미쯔비시,랜서 에볼루션,Evo 10 보다는 Evo9이 더 재미있다는데..,2
미쯔비시,랜서 에볼루션,"연비가 안좋은 이유가, 풀악셀하면 롤러코스터 같은 가속력 땜시 재미로 자꾸 밟아서 그렇죠,,",1
미쯔비시,랜서 에볼루션,렌서는 시리우스엔진 들어있는게 명기지,4
미쯔비시,랜서 에볼루션,2:21 이거 R36이 아니라 닛산 그란투리스모 아닌가요? R36은 공개 안 된 걸로 알고 있는데,2
미쯔비시,랜서 에볼루션,호강하고 감다,1
미쯔비시,랜서 에볼루션,차라리 스바루 임프레자가 훨나은듯,3
미쯔비시,랜서 에볼루션,랜서 에볼루션.스바루 임프레자sti 양대산맥이죠!,1
미쯔비시,랜서 에볼루션,예전에는 포니의 플랫폼이 랜서였는데 이젠..,1
미쯔비시,랜서 에볼루션,구매할라다 실내가 너무깡통이라 도전포기가 기억나네요 ㅜㅜ,1
미쯔비시,랜서 에볼루션,지금은 랜서 에볼루션보다 아반떼N이 더 좋은 거 같네요.. 출고가 기준으로만 봐도 6천 6백만원이면.. 당시에도 가성비는 매우 떨어지는 차량이었다고 생각됩니다. 아반떼N 기본 모델 2대는 살 수 있는 돈이고 아반떼N이 인제에서 1분 55~56초 나오는 거 보면 가성비가 대단한 차량이라 생각됩니다..,2
미쯔비시,랜서 에볼루션,타고 싶은데 이거는 진짜 주차테러 당할까봐 못삼,2
미쯔비시,랜서 에볼루션,"랜서 에볼루션 = 결함차 엔진 + 일본 전범기업 (강제징용)즉, '끔찍한 혼종' 밖에 답이 없네요.",6
미쯔비시,랜서 에볼루션,월등한 성능에 디자인을 갖춘차. 어딜가도 눈길을 한눈에 받아 위반하면 절대 잊지 않고 기억해서 수고스러워도 SD카드 뒤져서 꼭 상품권 보내주는 차.자녀 등하교길에 타고가면 바로 다음날부터 아싸가되는 놀라운 차.,1
미쯔비시,랜서 에볼루션,란에보 하면 딱 이니디 떠오르는 사람 나밖에 없나?,1
미쯔비시,랜서 에볼루션,저거 아스팔트9 처음으로 주는차인데...실제로는 나쁘지 않은!,4
미쯔비시,랜서 에볼루션,이제는 보내줘야할 때가 아닌가....생각합니다.,1
미쯔비시,랜서 에볼루션,저차 실제로 2대봄!,1
미쯔비시,랜서 에볼루션,결국 도태되서 단종.. 그대신 타 일본기업들이 그만큼 더 해주길 바람,1
미쯔비시,랜서 에볼루션,집안에서 버린애들이 만들어진 걸작이라...,3
미쯔비시,랜서 에볼루션,단점...기업이미지,2
미쯔비시,랜서 에볼루션,12년 이보 sst mr 서울시내 노말모드로 3~4대나와요.,1
미쯔비시,랜서 에볼루션,역시 란에보는 아직 남자를 설레게 하는 그런 놈인거 같습니다. 제 드림카입니다.,2
미쯔비시,랜서 에볼루션,그래도 가격 훨씬 저렴한 아반떼n이 좋습니다 ㅋㅋㅋㅋㅋ,1
미쯔비시,랜서 에볼루션,4G63 정말 오랫만에 보네여,1
미쯔비시,랜서 에볼루션,부활하면 좋을텐데,1
