car_brand,car_model,comments,likes
미쯔비시,아웃랜더,나온 줄도 몰랐네요... 미국 시장에서의 반응은 어떤가요?,2
미쯔비시,아웃랜더,아웃랜더 원래 저 디자인이고 펠리세이드사 뱃겼을걸,1
미쯔비시,아웃랜더,팰리세이드 페이스리프트라고해도 믿겄네ㅋㅋ,6
미쯔비시,아웃랜더,어디가 닮있는데? 일본스승에 대한 자격지심인가?,2
미쯔비시,아웃랜더,뒷모습은 싼타페..,3
미쯔비시,아웃랜더,흉기차는 벤비아 다 베끼는데현대차 스승인 미쓰비시는 비슷하면안됩니꽈아?? 솔까 미쓰비시 지금은르노닛산에 넘어갔어도 흉기에비하면 품질이 더 좋은건 사실..일본 엔지니어들의 꼼꼼함 크으,5
미쯔비시,아웃랜더,앞모습 팰리세이드뒷모습 산타페미쓰비시의 현상황을 보여주는 한심한 차,6
미쯔비시,아웃랜더,흉기차를.배낄수도 있지라는.생각을 설마 하는건가 ㅡ..ㅡ 아무리 그래도 차를 일본이.더..잘만듬.. 착각하지 말자. 제발 ㅡ..ㅡ,9
미쯔비시,아웃랜더,현기차는 생각도 안할 미쯔비시한테? ㅋㅋㅋ말이 되는 소리를...ㅋ,3
미쯔비시,아웃랜더,고프로촬영기법 신선해요ㅎㅎ 제가운전하는것같네요 간접체험인가..,3
미쯔비시,아웃랜더,"이 차에 관심이 있었는데, 생생한 정보를 주셔서 감사합니다.",1
미쯔비시,아웃랜더,할로윈 분위기로 멋지게 꾸민집 미니언즈 보고 와~했는데 펜스에 걸린 인형들~~밤에 보면 헉소리 날듯요하늘이 맑고 맑은 물감으로 채색한 빛깔너무 좋네요! 여기는 오늘은 초미세먼지가 보통이었지만 요며칠 초미세먼지 때문에 마스크  쓰고 다니는 중이라서요~~오늘 메이크업 너무 예쁘세요~~!!분위기가 ,2
미쯔비시,아웃랜더,제목이 확 끌어당기네요.... 글고 액션캠으로 변신까지.... 글고 제가 직접타고 질주하는 느낌까지......훌륭하심...멋지심...구독합니다.^^,2
미쯔비시,아웃랜더,ㅎㅎㅎ 골덴...겨울에 따뜻하잖아요 ㅎㅎ 패딩안입는 캘리 부럽습니다  이날이 인스타에 자켓 투표 올린날인가요 ? ㅎㅎ근데 소피아님이 말한 거지같다던 그 자켓...구게 요즘 유행템이라고 하는거 같더라구요 ,2
미쯔비시,아웃랜더,어머나~ 보기만해도 현지에 온거 같은 팍팍~ 들어요 ,2
