car_brand,car_model,comments,likes
벤츠,AMG GT,우아~ 나다!!,1
벤츠,AMG GT,구떠여형 '자세' 살아난다.. 우파님 채널까지 출연하다니,282
벤츠,AMG GT,우파님 역시 슈퍼카에 진심이신게 보이시네요.,5
벤츠,AMG GT,이게 맞나..우리 구떠여형님  우파형님 유튜브에서도 자세는 지키신다,43
벤츠,AMG GT,구떠여님 “자세”는 못 참지 ㄹㅇㅋㅋ,6
벤츠,AMG GT,"992s하고 비교하면 실출력, 발란스는 조금 모자라고, 마초감성은 더 좋습니다.  992쿠페는 그냥 골프채 두개 들어 갑니다. 까브리는 우드 빼야 하지만 뒷자리 두개 들어가요.하체는 992 보다 조금 낮아서 까짐 주의하셔여 함.Sls에 비하면 발란스 너무 좋습니다. 1.4~1.8억 정도에서 선택은 베스트 일 것 같습니다.",1
벤츠,AMG GT,역시 월클이네요 떠여형님,4
벤츠,AMG GT,벤츠amg gt  역시 멋있네요 구떠여님 찐팬이에요 영상잘보고갑니다 감기조심하세요 화이팅,2
벤츠,AMG GT,최근에 계속 구떠여님 영상 많이 봤었는데 구떠여님의 amg gt를 보고 우파님이 리뷰 해주셨으면 좋겠다 했는데 이렇게 올라오네요!,26
벤츠,AMG GT,킹떠여 떡상을 축하드립니다,2
벤츠,AMG GT,자세에 최선인 떠여형님 ㄷ ㄷ,1
벤츠,AMG GT,ㅋㅋㅋㅋ형 오늘 왤케 신났어 ㅋㅋㅋㅋㅋㅋㅋㅋ,5
벤츠,AMG GT,역시 자세의 근본이져….,1
벤츠,AMG GT,자세가 잡혀있는 영상이군요! 잘 봤습니다 :),153
벤츠,AMG GT,예전에나 911이랑 동급이었지 지금은911이 한수위인거같다 신형터보랑 gt3가 너무잘나와서 amg gt가 단종됐으니 후속작으로 엄청난차가 나왔으면..,2
벤츠,AMG GT,역쉬 창문을 위해 자세를 내려야죠.스근하게 잘보고 갑니다.,7
벤츠,AMG GT,와!!!!!자세를 위해 창문을 내리는 구떠여님이 우파tv에!!!!우와!!근데 잼민이2님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ트렁크에 할로윈 총이 있네요,2
벤츠,AMG GT,우파님!! 911 Turbo S 도 리뷰 부탁드립니다!!!!,3
벤츠,AMG GT,진짜 꼭 갖고싶다.. amg gt.. 도로위에 세이프티카 느낌으로 amg gtr도 ,86
벤츠,AMG GT,아 그래서 부산에 오신거군 구떠요님 떡상 ㄱㅈㅇ!,2
벤츠,AMG GT,저게 저렇게 작은 차였나 우파형 생각보다 헤비머신..,1
벤츠,AMG GT,구떠여는 못참지 ... 코지하게 영상시청 간다 ...,1
벤츠,AMG GT,구떠여님 방송도 잘 보고있습니다   ,1
벤츠,AMG GT,썸넬을 보자마자 구떠여형님의 '자세'가 생각났습니다..... 자랑스럽구먼,3
벤츠,AMG GT,구떠여 화이팅~~!!,1
벤츠,AMG GT,AMG GT 라인업에서 저는 개인적으로 GTS 에디션1 모델이 좋더라고요...열심히 일해서 열심히 돈 모아야지...,1
벤츠,AMG GT,자세를 위해 창문열고 달리시는 형님창문을 위해 자세를 연다,3
벤츠,AMG GT,타면 창문을 열어야 하는 차 ㅋㅋㅋ,4
벤츠,AMG GT,아 요즘 구떠여 엄청 봤는데 너무 기쁘자너 ㅠㅠ,1
벤츠,AMG GT,구떠여까지.. 우파가 이렇게 성장할줄이야...,1
벤츠,AMG GT,이렇게 멋진 차가 인기가 없다니 ㅠㅠ,29
벤츠,AMG GT,아 타임라인 표시 안되어있는 gt영상은 또 오랜만이네ㅋㅋㅋㅋ,3
벤츠,AMG GT,구떠여 최고!!!!,1
벤츠,AMG GT,와 우파 많이 성장했네요ㅜㅜ 구떠여 콜라보도 하고,133
벤츠,AMG GT,'자세'를 위해 우파채널까지 출연하는 구떠여 ㅋㅋ,1
벤츠,AMG GT,라인이 유니크한데 ㅈㄴ 멋있다...이런차를 왜 단종시키지;;;,20
벤츠,AMG GT,우와… 설마하고 봤는데 우파님 채널에 나오실 정도로 성장세가 놀랍네요,1
벤츠,AMG GT,'자세'를 위한 차,14
벤츠,AMG GT,Sls는 위로 열게해주고Gt는 문 옆으로 여는거 킹받네,2
벤츠,AMG GT,구떠여님 차인데? 하고 왔는데 진짜 구떠여님 본인차였네 ㅋㅋㅋㅋ,4
벤츠,AMG GT,12:26 영혼실종 ㅋㅋㅋㅋㅋㅋㅋㅋ,2
벤츠,AMG GT,담번엔 우파님보다 잘나가는 백마님 명팔님 차량도 리뷰부탁드려용~,2
벤츠,AMG GT,역시 '자세',66
벤츠,AMG GT,13:50 촬영하니까 호다닥 도망가는 형광슬리퍼,16
벤츠,AMG GT,GTR도 아니고 GTC도 아닌 GT를 R8에 비교하시는건 좀ㅎㅎ가격도 20%이상 차이날텐데,5
벤츠,AMG GT,제주페리에 슈퍼카 싣고 여행가는 영상은 없던데 .. 우파님 도전해주세요 ... 과연 범퍼가 긁히지 않고 갈수있느냐 ... 엄청 궁금함 ㅠ,2
벤츠,AMG GT,드디어 엠쥐티라니ㅜㅜ 그것도 구피ㅜㅜ,1
벤츠,AMG GT,와 구떠여형님 대박,1
벤츠,AMG GT,와이씨 역시 암그gt...드림카는 역시 드림카,1
벤츠,AMG GT,갓떠여당 ㅎㅎ 오늘만 영상두개본당,3
벤츠,AMG GT,형 부산까지가서 영상 찍고 오는 클라뜨,1
벤츠,AMG GT,주변에 벤츠가 너무 흔해져서삼각별의 아우라가 감소되어 불만입니다벤츠판매량 축소를 위하여벤츠의 단점을 많이 부각시켜주시길부탁드립니다그대신 자금난으로 인하여폭스바겐그룹의 자회사에 머물고 있는포르쉐회사를 살려주시는 마음으로포르쉐차량의 장점부각  잘 부탁드립니다,3
벤츠,AMG GT,구떠여님... 무서운 성장속도,1
벤츠,AMG GT,13:50 구떠여:으아닛~! (카메라 눈 마주침) 돔황챠!!!,61
벤츠,AMG GT,Amg gt 라고 하니까 한분 생각났는데 역시나 그분이네ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ 차가 엄청 날쎄게 생김,3
벤츠,AMG GT,구떠여님 영상에서 다른버전으로 우파님이랑 잼민이의 일기 12쯤해서 내일 봤으면  좋겠네요 ㅎㅎㅎㅎㅎ,4
벤츠,AMG GT,911보다 생긴거랑 럭셔리 크기는 확실이 나은듯,2
벤츠,AMG GT,설마 했는데 진짜 구떠여차네 ㅋㅋㅋㅋ,6
벤츠,AMG GT,구떠여차다… !!!어제 광안리 에서 봤는데8181이 아니라 안타까웠어 ㅠㅜ,1
벤츠,AMG GT,님들!! 저 저거 타봤어요!!!! 부럽죠!!!,1
벤츠,AMG GT,연애하고싶으니 벤츠 안사야겠네요.좋은 정보감사합니다.못사는거 아니고 안사는겁니다...네...,3
벤츠,AMG GT,'자세' 가 살아나는구만,2
벤츠,AMG GT,본넷만 봐도 구떠여님차네요 잼민이~,1
벤츠,AMG GT,잼민이2분이 계셔서 잼민이1은 괜찮다.,37
벤츠,AMG GT,자세를 위해 우파가 내린다,1
벤츠,AMG GT,번창하세요!!!!!!!!!,2
벤츠,AMG GT,우파님 차의 완성은 얼굴이라구요!!!!!! ㅋ ㅋ 벤츠 타도 안생기는 남자는 안생김 ㄷㄷㄷ,3
벤츠,AMG GT,오늘의 차차 포인트: ,1
벤츠,AMG GT,‘자세’가 유지된 구피다!,1
벤츠,AMG GT,와우 벤츠 AMG GT카네 ㅋㅋㅋㅋㅋ,2
벤츠,AMG GT,순정 그대로타서 더 있어보이고 고급스러운듯...,1
벤츠,AMG GT,우파형 sl나오면 자세 콜라보 할때까지 숨참음,1
벤츠,AMG GT,자세.. 한마디로 종결,1
벤츠,AMG GT,gtr gtc gts 종류 여러개던데 차이가 뭔가요?,1
벤츠,AMG GT,사랑해요 구떠여!,2
벤츠,AMG GT,"역쉬 뺀츠다,옆에지나가는데 간지 작살이더라,",1
벤츠,AMG GT,이게 단종이라니 ㅠㅠ,16
벤츠,AMG GT,"""짜세"" 를 위해 출발 전 창문을 열어줘야 합니다!",3
벤츠,AMG GT,매니저님 말고 다른 여자분이 옆자리 탈수가 없는 이유가 매니저님이 여ㅊ...,1
벤츠,AMG GT,구떠어어어어엉 너무 좋앙,1
벤츠,AMG GT,이런 시팔니미조또   넘나 멋진거,2
벤츠,AMG GT,잼민이2는 등장 안하나요? 나름 기대했는데 ㅠㅠ,5
벤츠,AMG GT,처음 보자마자 설마 구떠여 형인가 했더니 찐이네 ㅋㅋㅋㅋㅋ,1
벤츠,AMG GT,ㅋㅋㅋㅋㅋㅋㅋ자세 떴다,1
벤츠,AMG GT,신형 amg sl 63도 리뷰해줘요,1
벤츠,AMG GT,"우파형님채널에서 잼민이1,2보는건 못참지",1
벤츠,AMG GT,"저게 왜 인기가없지,,,?",1
벤츠,AMG GT,진짜 자세 뒤진다,1
벤츠,AMG GT,AMG GT 는 2도어가 간지임,1
벤츠,AMG GT,자세를 위해 창문을 열고 리뷰했어야되는데,1
벤츠,AMG GT,구떠여! 구떠여! 구떠여! 부산식 `자세` 널리널리 퍼지길,1
벤츠,AMG GT,오오 구떠여님 차다~,1
벤츠,AMG GT,오우 “자세”를위해 창문을 열어보도록 하자,4
벤츠,AMG GT,간김에 롯데월드도 보여주지,1
벤츠,AMG GT,차가 너무 잘생겼네요 ㅎ,1
벤츠,AMG GT,어?? 하면서 처음에 ㅎ 구떠여님 차량이었네요 ~ 잘봤습니다^^,1
