car_brand,car_model,comments,likes
벤츠,S-클래스,시승기 재미있게 잘 봤습니다. 디젤엔진은 처음부터 관심 밖이었고 역시 예상한대로 S580으로 가는 게 맞군요. 특히 이번 모델은 디테일에 아쉬움이 제법 보여서 마이너 체인지를 지켜 보고 구매를 결정해야겠습니다.,7
벤츠,S-클래스,실내 뒷자석 리뷰가 정말 디테일하네요. 저런 디테일한 요소까지 잡아낼 수 있는 리뷰어는 김한용 기자님 밖에 없는 듯 합니다. 좋은리뷰 잘보고갑니다,14
벤츠,S-클래스,2021 S-class의 주차카메라는 생각보다 근접되어 보이는 성향이 있어서 충돌될것 같은 느낌이 들기도 합니다.,1
벤츠,S-클래스,공부많이 하시고 표현력 죽여주시는 리뷰 늘 재밌게 잘보고 있습니다 ^^   근데 저정도로 날카로운 마무리는 문제가 있네요,2
벤츠,S-클래스,제조사 차종 상관없이 가장 객관적 리뷰를 하는거 같다.,9
벤츠,S-클래스,18:23 벤츠 모하비실버 굉장히 좋네요!벤츠 EQ(전기차량모델)도 모하비실버 나왔으면 좋겠어요,2
벤츠,S-클래스,S400 디스플레이의 충격적 마감상태!저건 미국에서는 소송감 아닌가요?리뷰 끝까지 잘 봤습니다.,3
벤츠,S-클래스,진짜 역시 s클래스 최고네요,1
벤츠,S-클래스,s350d s400d 차이 = AMG팩 900만 뒷좌석메모리 400만 4륜구동 500만 400d엔진업그레이드는 거의 써비스? 독일에선 350d에서 400d엔진으로 업그레이드가 옵션으로 900만원이 넘더라고요.  350d보단 s400d가 오히려가성비가 좋아보입니다.,1
벤츠,S-클래스,대중브랜드와 하이엔드 브랜드의 차이가 더 나겠네요마이바흐를 사라는 큰 그림인건지S클래스를 타보면서 만듬새가 부족하다는 느낌을 받다니 예전만 못한가 봅니다 물론 가격차이가 많이나긴 하지만요,2
벤츠,S-클래스,"벤츠는 정확히는 아니지만, 코드네임 W140 시리즈 기준으로 할 수 있다고 생각합니다.w140 다시 말해서 1993년 기준으로 상반기때까지는 sel로, 하반기부터는 sel이 아닌 s시리즈로...저는 희한한게, 요즘 나오는 s클래스의 디자인도 좋다고는 생각하지만,차는 자고로 디자인을 뽑는다면 저는 좀더 재테크하여 람보르기니나 파가니, 페라리나 아니면 포르쉐 스포츠 쪽을 바라볼 것 같아요.저의 벤츠 기준이 뭐냐면,1. 안전한가?2. 효율적인 기능이 몇가지 이상 있는가?3. 사람이 편안하게 타고 다닐 수 있는가?4. 고장이 거의 없나?5. 디자인이 클래식한가?그래서 w123(은 아니고), w126(은 너무 서스펜션이...)이라서w140(아주 보편적인 f세그먼트에 중후한 디자인, 지금의 벤츠 디자인 및 각 라인업에 맞는 엔진, 및 이니셜이 들어갔습니다...(특히 v140이 s63으로 가서 지금의 s63으로 갔다는게 독일인들의 이야기입니다...)물론 e클래스의 보편화의 기준은 w124이지만요제가 w140을 좋아하는 이유는 이 5가지 기준에 다 맞는다는 이야기입니다...물론 경쟁모델인 인피니티 I30 96년산 모델이 있긴 합니다.위 두 모델을 비교하면 급출발시 인피니티가 벤츠보단 탁월하게 좋지만 나중엔 벤츠의 엔진 마력으로 추월 당하죠...게다가 인피니티 i30의 엔진룸은 따닥따닥 붙여져 있어서 충돌 테스트시 결과가 B-로 되었고, 벤츠는 볼보급으로 성능이 좋아서 a등급을 받았다고 합니다.근데 왜 경쟁 모델이냐...1993년까지의 w140은 좋았습니다... 거의 넘사벽이였습니다... 그러나 1995년부턴가? 그때부터 잔고장이 심해져서 아마 잔고장 없고 추얼을 개선시킨 96년 하반기 모델 인피니티 I30을 견제한것 같습니다... 물론 충돌 테스트에서는 넘사벽이였지만요...이 두개의 차량을 좋아하지만 벤츠에 집착하는 이유는 실제로 타보면 압니다...벤츠는 넓습니다... 인피니티는 너무 좁습니다... 폭이... 그래서 벤츠를 선택하게 되었습니다...진짜 w140은 정말 좋은것 같습니다...물론 인피니티 I30도 좋습니다...그 트림의 원형 모델인 닛산 세피로도 워낙 평판이 있어서 그런지 한국에서도 로고만 변형한 차량도 있더러군요...물론 s클래스는 아니지만 e클래스인 w124가 한국에 들어왔다고는 들었습니다... 물론 디자인 변형시켜서요...",1
벤츠,S-클래스,400은 다른 건 몰라도 역시 스피커 좋네,1
벤츠,S-클래스,1.6은 아닌듯.. 1.45정도면 굿..,1
벤츠,S-클래스,"S클하면 럭셔리하고 멋있고 우아함인데 S클에 왜 이렇게 없는 것, 이상한 점이 많지 ㅋㅋㅋ",3
벤츠,S-클래스,사이드미러 both기능은 04년 제 뉴비틀에도 있어요 김기자뉨 ㅋㅋㅋ 오래된 고인물기능이란거죵,1
벤츠,S-클래스,디젤 은 비얌 m번젼처럼  떠리 하듯이 아시아 권에 amg번젼으로 제고 엔진 다 털어버리는군요 ㅎㅎ,1
벤츠,S-클래스,와 전세계벤츠가 한국타이어로나오구나 품질 인증 ㄷㄷㄷㄷ,15
벤츠,S-클래스,S500은 가시는게... 좋겠습니다. D는 변속충격도 전혀 좋아지질 않았더군요...레벨이 낮은 느낌 입니다.,1
벤츠,S-클래스,ㅋㅋ 소세지 절단 용도 진지한 설명에 빵 터짐,1
벤츠,S-클래스,국내 ar HUD 출시는 왜 안됐어요? S63e에는 적용 될려나요?,1
