car_brand,car_model,comments,likes
벤츠,SLC-클래스,"내부 인테리어는 A클래스 시리즈/GLC클래스에 쓰이는 벤츠의 엔트리 모델용 부품으로 짜집기해놨더라고요, 매출을 보장받을 수 없는 세그먼트라 단가를 줄이려 했기 때문이었을 겁니다.이미 국내에서도 리뷰가 썩 안 좋게 되어서 그런지 벤츠 출고 검수 알바하면서 딱 한 대 봤습니다.",1
벤츠,SLC-클래스,친절 유쾌 말고 이런 진심리뷰 너무 좋음 ㅎㅎ,2
벤츠,SLC-클래스,저도 이거 미국 놀러갔을때 캐년갈때 탓엇는데요ㅎㅎ slc300이었어요 미션은 진짜 공감은합니다ㅋㅋ진짜 차가 이쁘고 어느정도나가고 가성비있게 만들었는데 결정적인건 렌트해서 탈차지 사서 탈차는 아니라는걸느꼈습니다그래두 빌려타기엔 감성있습니다 팝콘도 제법터지고 뚜껑도열리고 ㅋㅋㅋ그리구 말씀하신대로 승차감은 진짜좋아요 하루만에 베가스서 캐년까지(사우스엿나 노스엿나 제일먼곳 왕복900km정도) 왕복했을정도로 몸에 피로감이 생기지않는 승차감이란걸 느꼈으니까여ㅎㅎ그갬성을 못잊어 찾아보니 한국엔 slc300이없고 slc43amg로 넘어가드라구요리뷰잘봤어요!,1
벤츠,SLC-클래스,솔직한 리뷰 ' 생생한 리뷰 젬나요^^항상 즐거운 방송 부탁드려요,2
벤츠,SLC-클래스,자동차 영상 올려주셔서 감사드려요.자동차에 설명을 잘해주셔서 감사드려요.,2
벤츠,SLC-클래스,2014년식 slk 200 타봤는데.... 그냥 멋진차다라는 느낌...,3
벤츠,SLC-클래스,형ㅠㅠ 영상 항상 잘 보고 있어요^^  그런데 걱정되는게 있어서 댓글 남겨요! 안전벨트 메실 때 꼬여있으면 벨트의 성능이 떨어진다는 글을 봐서요ㅠㅠ항상 응원합니다!ㅎㅎ,1
벤츠,SLC-클래스,Slc200 17년식 오너입니다. 가격생각하세요 6천짜리차한테 무슨 변속타이밍을 기대해요 벤츠에 뚜껑열리고 겉멋부리기 6천이면 충분하죠^^가격 생각합시다 고출력 빠른악셀반응 원하시면 1억이상 갑시다~,7
벤츠,SLC-클래스,Slc200은 안타봤지만 Slc43amg 타는데 치고 나가는건 충분하네요 amg도 시승 부탁드려요~,1
벤츠,SLC-클래스,에이든 형님 SLC리뷰같지 안은 리뷰 참 재미있네욬ㅋㅋ,5
벤츠,SLC-클래스,오늘 너무 재밌네요 자주 자동친 리뷰 해주세요 속시원 하게 얘기 해줘서 굿,2
벤츠,SLC-클래스,형 이런 리뷰 너무 재밌다!,3
벤츠,SLC-클래스,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 완전 공감해요 트랜스미션 어리버리까는거 혈압상승,1
벤츠,SLC-클래스,에이든형 요즘 영상 자주올려줘서 너무 좋아,4
벤츠,SLC-클래스,엔진이 좀 궁금했는데 트랜스미션얘기만 하다 끝나니 조금 아쉽긴 하네요 ㅎㅎ,1
벤츠,SLC-클래스,차형 스뽈츠 주행은 컴뽈트 모드가 아닌 스뽈트 플러스 모드로 해야죠.  북미형은 모드 변환이 안되나용.,4
벤츠,SLC-클래스,시원하게 칭찬할건하고 깔껀까는거 좋습니다ㅎㅎ,15
벤츠,SLC-클래스,아우디 25년 타다가 더이상 안타는 이유는 정말 잘 망가진다. 예전 대학교때 A100부터 탇는데(그 때는 미국에서 안타는 똥차) 진짜 아우디는 비 필러에서 달그락부터 내 A6같은경우 1년 동안 3개월동안 수라를 받았다.. 너무 화딱지가 나서 팔아버라고 지금은 Ford pickup 타는데 후회 없다. 독일차가 뭐가 좋은지 더이상 모르겠다....BMW 는 불나고 말이다,1
벤츠,SLC-클래스,결론: 상대적으로 저렴한 벤츠로고 박혀 있는 로드스터 하지만 그만큼 좀 많은 걸 포기해야 하는 차,2
벤츠,SLC-클래스,"SM6이후에 처음 차를 바꾼 차가 이 차예요. 주행성능 되게 좋다고 생각했는데,,, 제가 차알못이었네여 ㅠ",1
벤츠,SLC-클래스,잘보고 가요 형️,2
벤츠,SLC-클래스,"그냥 봐줄만 하고, 하드탑을 즐기고 싶다면 나쁘지 않을듯...",2
벤츠,SLC-클래스,차 리뷰 너무좋당.. 형 그래두 SLC AMG버전은 좋겠지??,3
벤츠,SLC-클래스,2000년식 slk 230k 있는데 한번씩 마트 갈때 탑니다...ㅋㅋ...리뷰는 거의 맞습니다..Amg 아니면 그냥 패션카로 보심 됩니다...,32
벤츠,SLC-클래스,그래도 타보고 싶네요. ^^,2
벤츠,SLC-클래스,"전 4일간 렌트로 slk200 탔는데요 글세 제가 뭐쏘고 트렌스미션을 못느끼는건지모르겠는데 그냥 패션카로 잘나가고 괜찮다 싶었네요. 아무래도 차를 보통개념으로 아는 사람은 만족하고 잘알고 도 깊게 느껴보려는 사람에겐 부족함이 느껴질거같아요. 그래도 4만불에 이런차면 가성비는 좋은거같아요 ㅎㅎ 중고는 2,3만불이니 괜츈죠",1
