car_brand,car_model,comments,likes
벤츠,V-클래스,버스전용 차로 가능한 차도 구매 가능한가요???,2
벤츠,V-클래스,👍👍👍,2
벤츠,V-클래스,역시 미니밴은 카니발이 짱 이네요.,3
벤츠,V-클래스,수입해 놓으면 살사람이 있겠네요  대박 나면 바로 사려고 하는데...  저는 평소 이차를 사려고 작정 중입니다.,3
벤츠,V-클래스,8인승이 버스전용차로 탈수 있나요????,2
벤츠,V-클래스,8인승 버전 있나요? 혹시 얼만가요?,3
벤츠,V-클래스,가격.    재원   . 밝혀주시면  좋겠숩니다,2
벤츠,V-클래스,4기통 2000cc면 가격거품이네.,2
벤츠,V-클래스,크…..,2
벤츠,V-클래스,차량 설명을 들어보면 사라는건지 사지말라는건지??1억 중반을 들여서 시트를다시 바꾸라는건 뭐여??밴츠 이름 하나 믿고 기본 옵션도 하급인데 1억중반주고사면 등신이지.3열에 오니 편하다고 개구라치고장난감도 아닌데 재밌다는 얘기는 왜 자꾸하는지??뒷창문은 구형 카니발 생각나고.트렁크 공간은 3열 밀면 안나오고...이런 쓰레기 방송은 앞으로 안봤으면 좋겠다.정신 차려라,3
벤츠,V-클래스,안산 저희 동네서 보았는데,2
벤츠,V-클래스,여기 중고차 채널인가요???,2
벤츠,V-클래스,흠... 가죽좀 발랐다고 고급차가 되나?? 스타리아 보다도 못한 편의사양들... 이런 차를 1억 중반에??? 실망입니다.,1
벤츠,V-클래스,1억 중반? 저딴 차를 1억 중반? 암만 벤츠여도 이건 너무 하네.,2
벤츠,V-클래스,직수  ㅠ,1
벤츠,V-클래스,사장이 놈인가요...?,1
벤츠,V-클래스,카~,2
벤츠,V-클래스,와 대박 부럽다...저런차 언제탐..ㅠㅠㅠ,1
벤츠,V-클래스,진짜 멋지네 ㄷㄷ,1
벤츠,V-클래스,집 차가 영상 속 저렴한 모델 비슷하게 컨버전 돼있는데 차량 가격 포함 1억 좀 넘게 들었습니다,2
벤츠,V-클래스,이쁘다 사고싶다,1
벤츠,V-클래스,머니머니해도 머니가 최고💸💸💸,1
벤츠,V-클래스,가격이 얼만가요 땡기내요,1
벤츠,V-클래스,좋은데 가격이?,1
벤츠,V-클래스,부티작렬ㅋ,1
벤츠,V-클래스,ㅊ하고,1
벤츠,V-클래스,유익한 영상 감사합니다,2
벤츠,V-클래스,#V_CLASS #V클래스 #한상우팀장 #한상우 #리무진 #컨버전 #수입차 #ESCALADE #자동차 #NAVIGATOR  #CAR #차 #벤츠 #benz #MERCEDESBENZ V클래스 리무진 컨버전 SP모터스 한상우 팀장 010-2000-5891,1
벤츠,V-클래스,혹시 저  사륜에 에어서스에 저 그대로 옵션에 가솔린은 없나요?,2
벤츠,V-클래스,https://youtu.be/X6a6Hmhv9cQHappy new year in 2022!I work as a car dealer in Korea.It's my YouTube channel!Please communicate and watch!Be happy. :)#YOUTUBE #한상우TV #FACEBOOK#KOREA #DEALER #CAR #MERCEDESBENZ #CADILLAC #FERRARI #LAMBORGHINI #SUPERCAR #BMW #AUDI #PORSCHE #MAYBACH #ROLLSROYCE #BENTLEY #ROLLSROYCE #FORD #CHEVROLET #HYUNDAI #LINCOLN #LEXUS #TOYOTA #NISSAN #HONDA #DODGE #한상우 #한상우팀장 #SP모터스,1
벤츠,V-클래스,가격을 왜공개안하죠?,3
벤츠,V-클래스,서프린터는 너무 큰데 이 차는 크기가 딱 좋은데 어린이 좌석 2개만 더 넣고 9인승 차량 등록 가능하면 좋겟네요,2
벤츠,V-클래스,"왠지 이거 살 거 같은 느낌...ㅋ (프리미엄 정도면 딱인 듯. )며칠 전에 카페를 통해 포드 트랜짓 견적 문의했던 사람입니다.이런 종류의 차를 여러달 동안 알아봤습니다.저는 과거에 차를 무지 좋아했고 튜닝도 많이 하고,보배드림 시배목에서 만난 사람들과 드래그 레이스도 즐겼던 사람이지만...ㅋ지금은 그저 가족들 편한 차를 얌전하게 모는 것이 좋은 사람입니다...^^;;;;;;;그런데 몇 개월 전부터 와이프가 지난 5년간 탄 국산 디젤 SUV의 진동과 소음 때문에 힘들어하고 있습니다.와이프는 멀미를 잘 하고, 진동과 소음에 엄청 민감하거든요.명절 연휴 같은 날에 고속도로에서 오랫동안 고생하면 2주 이상 앓을 정도죠.아무튼 지금 타는 차가 처음에는 조용하고 진동도 거의 없었는데 아무래도 연식이 좀 되다보니 그런 것 같습니다.그래서 차를 바꾸려고 몇 개월 전부터 알아보고 있는데....아무래도 SUV, RV, 밴이 실용적이기 때문에 이런 차들 중에 가솔린엔진이면서차대 강성이 좋아 좋은 승차감을 제공하고, NVH에 신경을 많이 쓰고2열이나 3열에 리클라이닝이 완벽히 되는 의전시트를 설치할 수 있고,차고가 높지 않아 지하주차장에 마음껏 드나들 수 있는 차를 찾고 있습니다.그리고 배기량이 너무 높지 않아서 세금 부담이 덜 하고, 연비가 적어도 7Km/L 정도는 나오면서 차 값은 1억 미만.... 될 수 있으면 버스전용차로를 탈 수 있으면 좋겠지만 여의치 않으면 이건 포기할 수도 있고요...그런데 이런 조건들에 맞는 차가 그리 다양하지 않습니다.처음에는 카니발 가솔린 하이리무진을 고려했으나 차대강성이 약하고 NVH에 신경을 전혀 안써서 탈락(제네시스를 보면 현대기아가 이걸 못하는 것은 아닌 것 같아요. 다만 기본형을 비싸게 팔 수 없는 카니발이기에 그런 것일 뿐. 그렇다면 풀체인지가 나와도 실망스러울 듯.)스프린터, 솔라티, 르노마스터 같은 것은 차고가 높은데다가 디젤엔진이라 탈락. 가격도 안맞고....이런 이유들로 선택지가 그리 많지 않고, 어쩌면 V클래스가 유일한 선택이 아닐까 싶습니다.까놓고 말해 이 가격이면 국산차(제네시스)보다 비싼 것도 아니고...새로 나올 카니발도 하이리무진에 풀옵션이 8천만원대에 달할 것이라는 소문도 있으니...여러 차종을 놓고 오랫동안 고민한 입장에서는 V클래스(메트리스)는 그저 실내 인테리어와 가격만 가지고 홍보할 차는 아니라는 생각이 듭니다..^^그런데 라디에이터그릴에 붙은 벤츠 마크 다른 것으로 바꿔주지는 않나요?고향에 계시는 어머니께서 외제차 타는 것을 너무 싫어하셔서 마크를 다른 것으로 바꾸고 스타렉스라고 말해야 할 것 같아서요...^^;;;;;;;;;;;;;;;",2
벤츠,V-클래스,로드마인 응원합니다!^^,2
벤츠,V-클래스,7:28 차에서 플레이스테이션 레알 구욷...👍,4
벤츠,V-클래스,제가 원하는 차인데  9인승은 없나요?  버스 전용차로 탈수 있나요? 감사합니다.,2
벤츠,V-클래스,외국 동영상속의 v클래스랑 완전히 다르네요. 구형모델 가져와서 개조한건가요?,3
벤츠,V-클래스,스마트글라스,2
벤츠,V-클래스,V클래스 주문 가능한가요?,2
벤츠,V-클래스,8천 웃고 갑니다,1
벤츠,V-클래스,이전 영상이 진짜 사나이편이라 재밌었는데?? 역시 솔님의 존재감이 어마어마 하네요 다음 영상은 솔타의 전동 사이드 미러 튜닝기와 사용기가 나오려나요~^^,7
벤츠,V-클래스,당연히 순정인줄 알았는데 놀랍습니다.마이바흐 부품들 비쌀텐데 대단하네요.근데 비피디님이라서 잘해주신게 아니라 솔님이 가서 잘해주신 것 아닌가요? ^^,15
벤츠,V-클래스,"멋지게 잘만들었네요 ~  그냥 든 생각이지만,  제네시스로 고급승합 나와도 좋겠다 생각듭니다 ㅋ",4
벤츠,V-클래스,"헉 V클래스 얼마전에 도로에서 봤었는데 마이바흐 버전 짱이쁘네영,,,,",4
벤츠,V-클래스,차에 맞게 옷입으시는 솔님센스 쵝오!!,1
벤츠,V-클래스,휠이 예술이네요 그릴도 예술역시벤츠,3
벤츠,V-클래스,"근데.. 우리나란 스타렉스, 카니발이 점유율 거의 독점..",3
벤츠,V-클래스,역시 솔님이 계셔야 확 사네요.. 근데 문제는 차는 안보인다는 ㅋㅋ,3
벤츠,V-클래스,워 전동식 사이드미러..드뎌 하셧구낭와 검은차라 피디님 잘생긴 얼굴 다 보인다~ 매번 들고 하시느라 심드시져?ㅎ고생많으십니다.,2
벤츠,V-클래스,잉 이거 우리 아파트 주차장에 서있던 건데;;;차주님 같은 주민이신가보네요 반갑습니가실물 엄청 멋있어여,2
벤츠,V-클래스,국내 최고의 차튜버는 솔님입니다.,9
벤츠,V-클래스,솔님을 오랜만에 보는거 같은 느낌이라 더 반갑네요^^ V클래스 짭... 마이바흐??,8
벤츠,V-클래스,솔님이 있고 없고의 차이가 엄청나네요^^솔님의 텐션 돌려까기ㅋㅋㅋㅋ바지 입으셔서 또 구르실까봐 걱정을;;우리 솔님은 소중합니다^^,9
벤츠,V-클래스,네이버 블로그 하실때도 자주 봤었는데요ㅎ일상 브이로그도 해주세요 ㅎ,2
벤츠,V-클래스,말이 필요없네여... 순정인줄 알았어여 ㅋ 솔님도 말이 필요없죠 ㅋ 🤗,3
벤츠,V-클래스,저 동네 살아서 매일 지나갈때마다 본차였는데 이제 유튭에서 보게되네요 ㅎㅎ,3
벤츠,V-클래스,스타렉스 풀튜닝한줄 알고 우와.......  하고있었는데 벤츠 구나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
벤츠,V-클래스,와 진짜 판매하는 차 같아요!!!,3
벤츠,V-클래스,우연처럼 솔님 만날수있기를..,4
벤츠,V-클래스,ㅎㅎ 벤츠가 마이바흐를 너무 남발해서 브랜드 이미지떨어질까봐 걱정 ;;; 원래 연예인걱정이랑 독일차걱정은 하는게 아닌데ㅎㅎ 잘보고갑니다.,2
벤츠,V-클래스,좋다...,1
벤츠,V-클래스,마아바흐 vs 솔님만약에 둘 중 하나만 선택 할 수 있다면?전~ 솔라시도,1
벤츠,V-클래스,정말 손기술 좋네...,3
벤츠,V-클래스,약간 스타렉스처럼 보이네요 ㅋㅋㅋㅋ,2
벤츠,V-클래스,차보다 청바지가 눈에들어오네요.이쁘네요,1
벤츠,V-클래스,차에 1도 관심없고 영어 배운지 얼마 안됀 친구한테 MAYBACH읽어보라니까 마이바흐가 아니라 매이배취라고 함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
벤츠,V-클래스,신기하네요ㅎㅎ 재밌음😆👍,2
벤츠,V-클래스,영상 풀작업 견적 알수있나요?,1
벤츠,V-클래스,순정? 옛날에 동네아저씨들이 팔뚝에 '순정'이라고 쓰고 다니던데....나도 순정 좋아지네....벤츠 순정!,9
벤츠,V-클래스,솔님을  만날수 있기를~~,3
