car_brand,car_model,comments,likes
볼보,C70,컨버터블  뒷좌석은 장거리 주행때 불편한걸로 아는데.. 볼보 시트 워낙 편하게 만들어져서 뒷좌석은 어떤지 궁금하네요 ㅎㅎㅎ,3
볼보,C70,12년식인데 지금봐도 괜찮네요^^,6
볼보,C70,타고 싶네요좋은 중고 있으면 사고 싶은 차네요,1
볼보,C70,와... 중고차 매물이 없엉 ㅠ,1
볼보,C70,잘보고갑니다 수고하셨어요ᆢ^^,2
볼보,C70,Nice Volvo~,2
볼보,C70,워 차 뭔가 신기하네요,5
볼보,C70,뭐 영상 찍다보면 그럴수도 있죠 ^^,7
볼보,C70,우와~~진짜 타고싶당!,1
볼보,C70,차가 13년식 정도만 돼도 구미가 당길탠대......,1
볼보,C70,아주 더문차네요^^,1
볼보,C70,판매  완료인가요?,1
볼보,C70,팔렸나요?,1
볼보,C70,ㅎ ㅎ ㅎ,1
볼보,C70,"우리나라에 수많은 자동차 리뷰가 있지만, 그 중에 No.1은 김한용의 MOCAR 입니다. 내용이 알차고 편안한 진행 너무 좋습니다. 2021년도 재미있는 리뷰 부탁 드립니다.",8
볼보,C70,최고의 자동차 리뷰어!!! 30분 이상의 자동차 시승기를 skip없이 들은 것은 이 시승기가 첨이네요. 군더더기 없는 깔끔한 리뷰.. 최고에요!!,26
볼보,C70,"김한용님의 리뷰인만큼 정보전달력은 최고네요. 아쉬운건 볼보의 고급유 사용에 대해서 언급될줄 알고 영상 내내 기다렸는데, 별다른 언급이 없네요. 권장이 아니라 반드시 고급유 주입이라는 말이 있어서 김한용님의 의견을 들어보고 싶었습니다. 실구매를 생각할때 되게 중요한 요소라 확실히 알고싶네요.",3
볼보,C70,"ㅋㅋㅋ엄청 사랑스럽게 말씀하시네요~  안전성,브랜드,디자인,가격,옵션 제 기준 정말 베스트 카입니다! 아쉬워 보였던 실내 마저 이젠 괜찮아보여요~",7
볼보,C70,며칠전 지인이 신차 뽑아서 타봤는데  하체가 아주 단단한 느낌이 나고 안정감있고 좋더라고요.,1
