car_brand,car_model,comments,likes
볼보,S90,한용님 이런 제대로된 시승기 많이찍어주세요항상 잘보고 있슴다,2
볼보,S90,오늘도 잘봤습니다.기자님 볼보의 마일드 하이브리드와 MQ4의 하이브리드의 차이를 알려주셨으면 합니다.그리도 s90이 뒷좌석이 단단하다고 하셨는데 MQ4오너로써 MQ4하이브리드의 단단함과 비교해주셨으면합니다.그냥 S90이랑 MQ4 하이브리드랑 비교해주세요!!!!,3
볼보,S90,모양만 멋진게 아니라 생각도 멋지고그생각이 멋진기능을 만들어내는거같아요가치관이 어나더클라스네요,3
볼보,S90,"안전, 성능, 디자인, 실용성까지 이제 볼보가 시대를 주도하네요!!!!  거기에 환경과 갓성비까지",2
볼보,S90,오래 전 대만 출장가면 상대 업체에서 항상 보내 준 차가 커다란 볼보였는데뒷자석 승차감이 돌침대 고문 ㅠㅠ 그 때부터 볼보차 관심이 1도 없었는데. 지금도 그런 유전자가 남아 있나 보네요.,1
볼보,S90,볼보 모든면이 짱이죠가성비는 캐딜락과 비슷하네요부품수리비도 개딜락은 최고죠!!,5
볼보,S90,"같은 S90라인이지만 T8에 비해 B5가 많이 저렴할 수 밖에 없는 이유를 알겠네요. 4륜구동에  본격적인 플러그인 하이브리드 T8에 비해 미미한 전기조력 정도 밖에 없는 B5는 그냥 합리적 가격에 실내 넓은 S90을 탄다는 정도로 만족해야지 엔진 성능, 연비, 퍼포먼스 등 다른 것을 기대하면 안되겠네요.. 그리고 볼보가 원래 노면을 좀 타는 승차감이라는 말은 들었던 것 같아요..B5는 어느 분 말씀처럼 성능을 기대하지 말고 우리 가족을 위한 세단이라고 생각하면 딱 맞을 듯..",1
볼보,S90,모카 좋아요 ㅎㅎ  설명하시는게 한곳에 치우치지않고 장단점을 잘 말씀해주셔서 가장 참고를 하는 채널입니다.  차 구매시 모카방송 한번 더 보고 구매할것 같아요. ㅎ,3
볼보,S90,"볼보가 만드는 전기차가 정말 기대됩니다. 현재 볼보의 상대적 약점이라고 할 수 있는 파워트레인, 운동성능, nvh등은 전기파워트레인이 들어가면 대부분 해결되는 것들이기에. 이미 디자인, 안전, 자율주행, 편의옵션은 벤츠 bmw 보다 앞서 있기에 전기차로 바뀔 시 가장 이점이 있는 브랜드인 것 같습니다.",1
볼보,S90,볼보가 요즘 주변에 유난히 많이 보이더라구요. 영상 잘보고 갑니다~,45
볼보,S90,승차감 얘기하실 때 국산차량 중에 어떤 차량이랑 비슷하고 어떤 차량이 더 고급스러운 승차감을 가지고 있는지 알고싶네용,3
볼보,S90,언제나 믿고 보는 한용행님의 모카 !! 항상 응원합니다!!,2
볼보,S90,"내년 8월이나 9월즈음 출고가능하다네요 딜러분의 전화응대에서 ""그래도 사고싶으면 계약이라도 해두는게 좋을걸.. "" 그런 뉘앙스를 느꼈습니다  볼보가 확실히 달라진건 한국에서의 영업방식인것 같아요 공격적이고 적극적인 광고 마케팅은 외제차들중에서 최고인것같습니다. 아마 기자와 유튜버들 상대로 엄청난 영업비를 뿌리겠지요하지만 시장과 소비자에 대한 기본적인 개념은 가지고 영업했으면합니다.어떤 상품을 1년 가까이를 기다려야 받을수있다는것 자체가 그 상품은 살만한것이 못된다라고 생각합니다소비자들이 선택의 주체가 아니라 객체가 되게 하는 교묘한 마케팅 수법이라는 생각이 들기때문이죠.차 자체의 매커니즘도 ""주는대로 먹어라 불평따윈 하지마"" 라는 생각이 들어요이건 xc60을 8달 기다려 구입한 차주가 두달 타고 중고로 팔아버린 경우(부산 xc60 차주 유튜브)에서 잘 볼수있습니다.볼보는 안전의 대명사가 아니라 배짱의 대명사가 된것같습니다.",2
볼보,S90,"가성비 최고인거같네요. 스피커, 뒷자석 둘다 좋아보여용",2
볼보,S90,케어키와 일반키를 동시에 소지한채 시동걸면 뭘로 작동할지 궁금하네요..,2
볼보,S90,너무 아빠차 같은 이미지인데 광고모델 손흥민 쓴거는 정말 잘한듯 분명 고급스럽고 괜찮은 모델이긴한데5-6천만원대는 피터지는 마켓이라 흥미진진 하네요.,37
볼보,S90,"S60  소유중입니다.  외관 개인적으로 선호하는 디자인이라서  그런지 좋습니다.  동급차( c  , 3 ?)과  비교하면 내부공간 비교적 넓고 소제도 좋아  보이고 . 시트가죽질감이 참 좋습니다  오디오  압도적으로  좋습니다.그런데,  승차감에서는  위에있는 좋은점  상쇄하고 남을  만큼떨어짐니다.(제느낌으론 소나타  보다  못함)S90도  S60과  크게 벗어나지 않을듯합니다.  S60  구매시   유명유튜버  시승기  많이  참조하여 구매하였는데...   후회합니다탓하는건  아니지만,     않 좋은점도말씀해  주시는것도  좋을듯 합니다.  시승기 잘 봤습니다.  귀사의  번창을  기원합니다.",2
