car_brand,car_model,comments,likes
볼보,V60,제대로된 측정과 평가를 위해 오토뷰가 들이는 노력을 더 많은 사람들이 알았으면 좋겠네요. 오토 조인스 시절부터 봐온 사람은 알겠지만. 오늘도 잘 보고 갑니다.,118
볼보,V60,"볼보 외관, 안정성, 성능 + 현기 내부 디자인 + 편의장비 = 완벽한 조화",2
볼보,V60,v60cc 구매 후 5개월만에 엔진 변경 되어 속이 쓰렸습니다만... 다행히 큰 변화는 아닌 것 같아 위안 삼습니다. ^_^ T5 여전히 만족도 150% 가성비 최강 맞습니다. 좋은 차 소개해주셔서 감사합니다.,3
볼보,V60,볼보처럼 지상고가 높은 왜건 정말 좋은 형태라고 생각하는데요. 근데 마일드하이브리드까지 달고 연비가 10이하인건 좀 실망스러운거 아닌가요? V90을 좀 몰아봤는데 다른건 다 정말 좋더군요.,46
볼보,V60,이차 개인적으로 디자인이 좋네요,6
볼보,V60,전기차로 넘어가는 과도기인 2020년 후반 기준으로 보니 작년보다는 구매 메리트가 떨어지게 느껴지는건 사실이네요. 하지만 아직 괜찮은 차임에는 분명합니다.,2
볼보,V60,역시 군더더기없으면서 핵심 딱 집어주는 리뷰좋습니다. 크로스 컨트리라는 장르 충분히 매력있구요. 근데 마일드 하브는 볼보가 잘못 짚은듯하네요. 마일드 방식은 제가 10년전 차에 탔던 하브 방식이네요. 이런 구색맞추기말고 차라리 출시가 늦더라도 온전한 하브를 출시하는게 낫다고 보여지네요. 오히려 마이너스 인듯합니다. 진짜변화가 너무 느리네요.,2
볼보,V60,아... 볼보 사고싶다 ㅠㅠㅠㅠㅠㅠ,3
볼보,V60,퀄리티 끝판왕!!!,2
볼보,V60,튈려고 하지 않는것 !그래도 대한민국 자동차 리뷰에서 공정성 이란 측면에서 가장 높은 점수를 줄 수 있는 리뷰!,7
볼보,V60,왜건이 장점이 많군요! 실용적이고 좋아보여요!,2
볼보,V60,영상센스 ⭐️⭐️⭐️⭐️⭐️내용구성 ⭐️⭐️⭐️⭐️⭐️기상청까기 ⭐️⭐️⭐️⭐️⭐️자동차 리뷰중 감히 최고라고 말하고 싶습니다.,3
볼보,V60,잠시후 함께 1.2.3 느껴보시겠습니다. 오토뷰 짱.^^,7
볼보,V60,최고의 리뷰👍👍👍👌,1
볼보,V60,오랜만에 들어왔는데 소개 구성이 좋아진듯합니다,1
볼보,V60,이게 진짜 리뷰구나 리얼 펙트리뷰,2
볼보,V60,재미있게 잘 봤습니다. 항상 감사합니다.,3
볼보,V60,안전한 차 ....이거 하나로 구입하고싶게 만드는 차 ....,3
볼보,V60,Xc60예약취소후 v60ccb5 프로타고 있는데 정말정말 만족합니다. 특히 뒷자석 정말 편안하고 공간감 너무 좋아요. 키180아들도 넉넉히  좋다고 하네요. 기다림을 포기했다면 후회할뻔 했어요. 자꾸만 여행가고 싶네요. ㅠ승차감 너무 좋고 여성인 저에게도 남편에게도 맞춤인듯해요. 고속도로 자율주행도 훌륭하고 안마시트까지 옵션이 정말 좋아요.^^,7
볼보,V60,볼보.. 진짜 멋있당,7
볼보,V60,v60 v90 차이를 한번에 쉽게 알려주는것도 있으면 좋을텐데,1
볼보,V60,안녕하세요~ 시승기 영상 너무 잘 보고 있습니다~차를 바꾸려고 시승기를 찾아보다 보니 오토뷰 시승기를 자꾸 찾아보게 되네요 음... 사무실에서 무음으로 자막을 켜고 보는데... 김기태 PD님 특유의 말투가 귓가에 들리는듯 한데요.한번 끝까지 무음과 자막으로 시승기를 지켜보도록 하겠습니다.다음 원하는 시승기는 푸조 508SW 부탁드립니다 ^ ^ 두차 비교중이라서요 ㅎㅎ좋은 하루 보내세요~,3
볼보,V60,믿고 보는 오토뷰. 조회수가 이거보단 훨씬 더 나와야 하는데.. 다른 허접한 리뷰랑 차원이 다른데 말이죠.,3
볼보,V60,오토뷰는 대한민국 최초이자 최고의 자동차 리뷰 채널이다. 그리고 김기태 PD는 뇌섹남이다.AutoView is the first and best car review channel in South Korea. And Kim Ki Tae pd has an awesome brain.미숙한 영어실력이지만 해외 시청자들을 위해 번역해 봤습니다 😅,27
볼보,V60,김기태 기자님~ 짱!^^,1
볼보,V60,아 진짜 사고싶다ㅜㅜ왜건 진짜 좋아하는뎅,2
볼보,V60,07:02 비가오네요! 요즘 기상청 최고에요~김기태PD님덕에 빵터졌습니다ㅋㅋㅋㅋㅋㅋ,5
볼보,V60,와.. 제동력 싹다 볼보네,1
볼보,V60,패밀리카라는 걸 요즘 고민하던 때 이 차는 정말 종합패키지,6
볼보,V60,"오토뷰 항상 즐겨보고있습니다.  리뷰중에 승차감 말씀하셨는데요, 볼보 스웨덴본사와, 볼보코리아의 타이어공기압 권장압력이 다릅니다,  승차인원, 속도등 조건에따라 다를텐데요,V90의경우, 스웨덴 매뉴얼에는 (1~3인 & 0~160km 일경우)  240kpa (34.8psi) 인데 ,  볼보코리아 매뉴얼에는 운전석라벨 참고하라고만 되어있고요 라벨에보면보다 가혹한조건과 동일하게 위조건에서도  260kpa (37.7psi) 로 표기되어있습니다.  즉, 일상조건에서 2.9psi 씩이나 더넣고다니는셈인데요, 국내 공인연비 높게받으려고 그랬을까요?볼보 V60의경우에는 230kpa(33.4psi) 인데요 아마도 국내매뉴얼에는 훨씬높게 표시되어있겠죠 다른차종도 마찬가지입니다.아무튼, 오토뷰 리뷰를보면 종종 타이어공기압부터 제대로 맞추고 시작하시는걸 봤습니다. 다음에 또 볼보의 다른차종 리뷰하실 기회가있으면 스웨덴본사 매뉴얼의 approved tyre pressures 도참고해서 리뷰해주시면 감사하겠습니다.    참고로 스웨덴본사 타이어공기압 매뉴얼 링크 걸어놓습니다. https://www.volvocars.com/uk/support/manuals/v60-cross-country/2020w17/specifications/specifications-for-wheels-and-tyres/approved-tyre-pressureshttps://www.volvocars.com/uk/support/manuals/v90-cross-country/2019w17/specifications/specifications-for-wheels-and-tyres/approved-tyre-pressures",9
볼보,V60,항상 영상 감사합니다!!!!,2
볼보,V60,자극적인 리뷰가 많은 요새 제일 객관적으로 판단하려고 하는 리뷰는 오토뷰가 제일인것 같습니다. (물론 사람마다 취향이나 운전습관이 다르고 판단도 주관적이지만 그래도 차의 정보나 시승에 대해 제일 잘 전달하는 리뷰라 생각합니다) 시간이 갈수록 오랫동안 남을 리뷰어는  오토뷰일겁니다. 👍,14
볼보,V60,XC70을 아직 타고 있는 입장에서 웨곤의 디자인이 조금씩 지워지는거 같아 아쉽네요.,1
볼보,V60,개인적으로 메이플 브라운이랑 데님블루색상이 제일 잘어울리는것같아요 ㅎㅎ,2
볼보,V60,이야~~~좋타~~~~~~~~~사고싶드아~~~ㅠㅠ,2
볼보,V60,실제로 시승해보고 자세히 알아보면신형 b5 모델이 훨 낫네요.편의사항은 덤이고 초반 가속 부드러움 및 초반 가속 시 소음도 이전 모델 대비 조용하고공인연비는 20인치 휠로 측정한 결과라네요.일단 전자식 기어노브와 무선충전기 그리고공기청정기능 오디오 향상만 봐도 충분히돈 값 하구요. 기다리길 잘했다는 생각이 듭니다,3
볼보,V60,요새는 차 살일 없는데 그냥 봐도 재밌음,2
볼보,V60,역시 터보차는 고급유가. 답이다.,2
볼보,V60,잘 보았습니다. 고급유 테스트를 보고싶긴 하네요.,3
볼보,V60,첫눈에    반한차  ^^,2
볼보,V60,라세티 프리미어 13년째 타다 지난 주 V60 예약하고 돌아 왔습니다. 크리스마스 선물 생각 하는게 좋을 것 같다고 하시네요. 이번에도 김기태 기자님 믿고 10년 동반자 데려 옵니다. 그만큼 리뷰가 정확하다는 반증입니다.김기태 기자님 말씀과 같이 18인치로 다운 할 예정인데 추천 해 주실만한 타이어가 있을까요?,1
볼보,V60,대한민국 유일무이 원탑 카리뷰 오토뷰,1
볼보,V60,볼보 시티세이프티.. 물건이더라구요 시승하다가 차가 팍서버려서 우와.. 했습니다ㅎㅎ,3
볼보,V60,항상 잘 보고 있습니다^^ 혹시 오프닝에 쓰이는 음악은 무슨 음악인지 알 수 있을까요? 오프닝이 너무 멋져서 계속 오프닝만 따로 돌려보기도 하네요,1
볼보,V60,s60도 기대 됩니다,2
볼보,V60,싼타페tm이랑 비교했을때 1열 2열 공간이나 트렁크는 어떨까요?? 더 넓을까요 비슷할까요?,1
볼보,V60,볼보는 모니터링을 하는군요 볼륨버튼 유격있었는데 바로 개선시키다니 ..어찌보면 사소한건데 감동으로 다가오네요 잘봤습니다,5
볼보,V60,좋은차네요 휠이 i40과 비슷하군요,2
볼보,V60,구형xc60을 3년타고나서 처분한이유는 AS비용이 넘비싸요. 독일차보다 비싸고 볼보전문카센터도 별로 없고. 지금은 판매량이 늘었으니 좀 나아졌을까요.,3
볼보,V60,진짜 돈 모아서 내가 꼭 산다. V60 cc,4
볼보,V60,"850t5 /s80 2.4 / s60 2.0t 현재는 s60 2.5t를 18만km 볼보만 4대째 타고있는 볼보 패밀리 입니다.(850과 s80은 현재 없습니다.)현재는 판매하지 않지만 s90 t5 및 v90 t5 구매를 고려하고 있는데 신형 4기통 엔진은 고급유 필수or권장 인지 궁금합니다.과거 볼보 트럭에서 설계한 5기통 사골 엔진을 쓸수없다니...",4
볼보,V60,순간순간 재밌어지셨어.기태형님.그놈이 그놈이지만ㅋㅋㅋ,1
볼보,V60,와 주행가능거리 연료 1/4 남았는데 90km....?,1
볼보,V60,2020년 구독자 20만 가즈아~~,5
볼보,V60,2.0T를 기준으로는 다 고급유 설정일 것입니다. 말리부 2.0T 쏘나타 2.0T(과거)도 마찬가지입니다. 국산 제조사들은 특히 고급유에 대한 권장을 잘 하지는 않지만 애초에 2.0에 터보달고 출력을 많이 끌어올린만큼 고급유가 필수로 해야 어느정도 셋팅이 가능할것입니다. 또한 오토뷰 독자라면 아시다 시피 ATS가 고급유 일반유 차이가 제로백 1초 차이가 났습니다. 그런부분을 본다면 2.0T까지 차량을 올리실분들은 고급유 꼭 생각하세요 특히 외제차 제조사는 옥탄가가 있는데 그 옥탄가 이하로 넣은 차량에 대해서는 AS거부사항이 될 수 도 있습니다. 그나마 일반유에 대한 마지노선이 현기 1.6T 스마트스트림정도가 되지 않을까 싶네요 (SM6 1.8T의 옥탄가도 궁금하기도 하구요),3
볼보,V60,마일드 시스템보다는 일반적인 하이브리드가 필요하다.,10
볼보,V60,잘 보고 있습니다감사합니다,3
볼보,V60,운전중에 내비 등 공조장치 편의성이 어떤지 알고싶어요,2
볼보,V60,동생이 6월에 계약했는데 결국 내년으로 넘어가네요.. 대기가 상당합니다.,1
