car_brand,car_model,comments,likes
볼보,XC90,"[이벤트] 현재 영상에 나오는 XC90을 만든 브랜드가 어디인지 댓글로 맞춰주세요. 추첨을 통해 총 5분께 2022년 다이어리를 드립니다.  1. 볼봉2. 봉봉3. 여봉4. 볼보 어렵다....",113
볼보,XC90,"제가 suv를 어릴때부터 엄청 좋아했습니다. 그래서 전세대 xc60의 디자인을 되게 갈망하였는데 그걸 완전히 깬게 볼보xc90이었습니다.기존 xc90과는 완전히 다른 이번 Xc90은 처음 나왔을때 디자인적으로나 덩치로부터 오는 웅장함의 충격은 대단했죠,,,어릴때 모터쇼에서 봤던 시트로엥 ds3 와는 또다른 충격이었습니다.다시 한 번 처음 볼보를 봤을때의 그 감정을 느낄 수 있을런지요.. ㅎㅎ",4
볼보,XC90,XC90 시승해봤는데 실내 인테리어재질이 정말 좋은차입니다. 시트가죽 정말 부드럽고 천연우드패널 금속재질 스피커커버등 실내가 생각했던것 이상으로 꽤 호화스럽게 꾸며져서 시각적 촉각적 감성이 뛰어납니다. 영상으로 보는것과는 달라요 실내가 정말 고급스러움 단점은 방음과 2열 승차감이 그닥 좋은편은 아닌거.....,19
볼보,XC90,올해 첫 영상이네요. 항상 돈내고 봐야할것 같은 영상 퀄리티에 디테일한 정보를 알려주는 영상 만들어주셔서 구독자로 하여금 감사함이 느껴집니다. 2022년도 잘 부탁드립니다. 새해 복 많이 받으세요!,21
볼보,XC90,볼보가 지리에 넘어가고 날개를 달고 나오는 차마다 호평인데 다음 세대 플랫폼으로 만든 볼보는 얼마나 더 좋을지 기대가 됩니다. 정말 개인적으로 아쉬운건 이렇게 자본금을 투자받고 고성능 오리지널 R 버전이 없는게 너무나 안타깝습니다. ㅠㅠ,5
볼보,XC90,"사람이 중심이었던 브랜드, 안전에 대해서는 가혹하리만큼 브랜드만의 철학과 신념을 지켜온 몇 없는 브랜드죠. 계속해서 발전해가는 모습을 보니 반갑습니다. 강철 심장 4번 볼보입니다.",4
볼보,XC90,시간이 지나도 질리지않는 디자인이 진짜아닐까,10
볼보,XC90,5년전부터 지금 까지 지속적으로 영상을보는 구독자 입니다보면서 제가 못타보는 차들도 알찬내용으로 리뷰를 해주니 제가 탄거처럼 느껴집니다다음영상도 기대하겠습니다 2022년도 발전하는 오토뷰 화이팅~~^^정답 4번 볼보,2
볼보,XC90,4번 볼보!!대기기간만 아니었음 xc60 타고 다녔을껀데 아쉽네요.. 수요에 비해 공급이 너무…제차와 상관없이 오토뷰 시승기 항상 잘 챙겨보고 있습니다!! 2022년에도 건강하시고 하시는일 다 잘되시길 바래봅니다,4
볼보,XC90,4.볼보 입니다. 상당히 어렵군요~ ^^ 늘 잘 보고 있습니다. 차량 구입시에 김PD님 추천으로 말리부도 만족하고 잘 타고 있습니다.,4
볼보,XC90,"디자인,성능 뭐하나 빠지는게 없네요ㅎㄷㄷ 갖고싶다..",4
볼보,XC90,4번 볼보!!11년도 쯤 삼촌께서 볼보 s80 타셨었는데 그때랑은 디자인 세련되게 바뀌어서 돈만 있다면 한번쯤 타보고 싶은데 리뷰로 대리만족 할수밖에 없네요 ㅎㅎ,6
볼보,XC90,4번 볼보입니다.개인적으로 디자인도 에쁘지만 볼보를 상징하는 마크가 넘 멋지죠!새해 복많이 받으시고 올한해도 멋진영상 리뷰 부탁드립니다^^♡,7
볼보,XC90,정답 4번 볼보 입니다!!!몇안되는 현실적인 아빠들의 드림카가 되는 차량이란 생각이 듭니다!2022년 오토뷰 기자님들도 화이팅하세요!!,2
볼보,XC90,4 볼보 꽤 오래된 차인데 아직도 새 디자인 같네요 ㅎㅎ지금껏 오토뷰가 해온 것 처럼 2022년에도 멋진 리뷰 기대합니다,4
볼보,XC90,4번입니다. 이전에 T6를 경험했었는데 서스펜션의 느낌이 지나칠 정도로 출렁출렁하지만 그래도 오디오랑 시트가 정말 편했던 기억이 납니다.,1
볼보,XC90,4번 볼보입니다!새로 이사가는 아파트에서 위 시승기와 같은 xc90 b6모델을 보고 궁금했었는데 이렇게 영상으로 만나볼수있어 흥미롭게 시청했습니다. 이번 22년도도 좋은영상으로 만나뵙길 기대할께요~,2
볼보,XC90,진짜 오토뷰는 항상 믿고 봅니다..ㅎㅎ새해 첫 영상부터 퀴즈라니...ㅎㅎ정답은 4번 볼보입니다...ㅎㅎ 당첨은 안되도 상관없으나 앞으로도 질 좋은 영상 계속 부탁드립니다.ㅎ,3
볼보,XC90,4번 볼보크게 팰리세이드 혼내는 파워풀한 목소리 좋았습니다^^아내와 딸래미의 안전을 위해서 바꾸고 싶은 차량 1순위라서 아주 재밌게 잘 봤습니다~,5
볼보,XC90,"안녕하세요 예전 김피디님 리뷰를 보고 es300h 를 데려와 잘 타고 있습니다.이제 슬슬 차를 바꾸려하는데 gv80 3.5와 xc90 두차종이 후보군입니다.조용하고 뒷좌석 승차감, 공간감을 좀 중요하게 생각하는 편입니다.어떤 차종이 더 괜찮을지 답글 부탁드립니다.감사합니다.(부부 + 7세 여아 + 할머니 주 이용)",1
볼보,XC90,항상 영상 잘 시청하고 있습니다! 김기태pd님 김선웅기자님 비롯 오토뷰식구들 새해 복 많이 받으세요! 4번 볼보!,3
볼보,XC90,4. 볼보 입니다.새해에도 항상 PD님들이 건강하시길... 그리고 그 건강함을 바탕으로 하시는 모든일들이 다 잘되시길 바랍니다,3
볼보,XC90,4.볼보!!! 최고의 자동차 전문매체 오토뷰!!!! 자동차 문화를 선도하는 전문 미디어로 올해도 더욱 거듭나길 진심으로 기원합니다. 90 b6 실내의 소재 좋고 운전하는 시야도 좋고 운전도 편한데요.... 승차감이 별로 고급스럽지 않고 결정적으로 그닥 조용하지 않더군요. 큰 기대안하면 되는 것 같습니다. t8은 시승도 못해보고 대기도 무조건 1년이라고 하더군요. 이건 볼보코리아의 정책이 잘못된것 같습니다.,2
볼보,XC90,개인적으로 예전에 시승했을때 아쉬웠던 점은 볼보 라인업 중 가장 올드한 센터페시아 디자인 그리고 리어서스때문인지는 몰라도 전반적인 승차감은 문제가 없었는데 잔요철을 지날때의 진동이 좀 엉덩이쪽으로 많이 올라온다는 부분이 아쉬웠네요~ 오토뷰에선 만족감을 말씀하셨는데 혹시 제거 말한 부분에 대한 의견도 듣고 싶어지네요,1
볼보,XC90,문제가 너무 어려워서 전 포기요~^^지금 s90 b6  대기중이에요 bmw520i 구입할때도 오토뷰리뷰보고 선택했었는데  항상 믿음가는 리뷰 감사합니다~,2
볼보,XC90,4번 볼보항상 리뷰잘보고있습니다 구독자분들 새해복많이받으세요~~!!,2
볼보,XC90,4번 볼보~ 볼보 운행중인데 아쉬운 점도 있지만 독3사 대비 상당히 만족스럽습니다.,1
볼보,XC90,"4.볼보기대하던 xc90이 드디어 나왔군요, 어느차보다도 안정성에 대해 기대했던만큼 나온것 같아요, 리뷰 감사합니다.",1
볼보,XC90,4. 볼보  볼보 디자인이 너무 이뻐요 오토뷰님 새해 복 많이 받으세요!,3
볼보,XC90,와~ 진짜 고난이도 문제네요. 학창시절 이후 연필굴리기로 찍어본건 오늘이 처음입니다. 4번. 볼보라고 나오네요. 흠~ 근데 볼보는 다 좋은데 4기통만 나온단 말이죠...,9
볼보,XC90,4번 볼보입니다.22년형에도 아리아 인포테인먼트시스템 들어갔으면 인기가 더 많을거란 생각이 드네요.,1
볼보,XC90,xc90 오너입니다. 뒷좌석 승차감이 좀 떨어진다는 것 외에는 정말 만족스러운 차입니다. 실내디자인도 유행을 타지않는 고급가구라고 해야할지 이 이상 만족스러운 실내도 찾기 힘들구요.,1
볼보,XC90,똑같은 바워스 오디오라도 S60 / V60 / XC60 / S90 / V90 / XC90 오디오 출력 와트가 다르다(오디오 개수도)고 볼보 점장이 말해주더라고요. 혹시 참고하시라고 적습니다. (어쩐지 짱짱함이 올라갈수록 다르더라니.),3
볼보,XC90,정답은 4번! 볼보 입니다.항상 좋은시승기 감사드립니다. 오토뷰 추천으로 구매한 차량은 항상 대만족이예요!!,6
볼보,XC90,정답은 4번 볼보 입니다항상 잘 보고있습니다 2022년에도 유익한 자동차 영상 부탁드립니다 :),2
볼보,XC90,역시 볼보 ㅠ꼭 성공해서 가족을 위해 사고 싶은 차에요,2
볼보,XC90,정답은 4번 볼보!평범하지만 멋스러운? 디자인이 너무 마음에 듭니다~!,2
볼보,XC90,4번 볼보입니다.오랜만에 김선웅 기자님 목소리 듣기 좋네요.저랑 체형 비슷해서 착석영상 진짜 좋아함.,1
볼보,XC90,4번 볼보~오토뷰 항상 즐겁게 보고있습니다. 객관적 평가 응원합니다~,1
볼보,XC90,4번 볼보 XC90 정말 드림카네요^^ 5년안에 못사면 어차피 전기차 가야할듯 하지만 ㅎㅎㅎ,1
볼보,XC90,볼보차를 오지고 지리게 소개하셨네요 돈이 없어서 XC90은 못샀지만...  *V60CC 오너,3
볼보,XC90,김PD님 리뷰 덕분에 V60 T5 pro 모델을 구입해서 운행중입니다...후회없는 선택..,2
볼보,XC90,믿고보는 오토뷰 리뷰는 찐입니다PD님 목소리가 귀에 쏙쏙들려요!,1
볼보,XC90,올연말이면 풀체인지 이야기가 나올거라서 ^^항상 감사히 보고있습니다~,2
볼보,XC90,4번 볼보. 항상 좋은 차량리뷰 올려주셔서 감사합니다~^^,1
볼보,XC90,4번 볼보^^ 좋은 영상 감사합니다~ 2022년에도 복 많이 받으세요,1
볼보,XC90,정답:4번입니다.2022년도에도  멋지고 유익한 리뷰 기대해봅니다.️️,3
볼보,XC90,4번 볼보입니다. V90cc 출시 후 구경하러 갔다가 그 웅장함에 반해서 XC90 t6 ins로 계약했드랬죠,1
볼보,XC90,"4번이요~ 볼보 v60cc t5 pro 오너입니다.  김기자님 극찬 보구서 구입했네요ㅎ볼보 탈수록 맘에 드는 차입니다.아,  다이어리 너무 갖고싶습니다. 출고하고 꽤 지나니 딜러가 안챙겨주네요ㅠ리뷰 항상 잘보구 있습니다.^^ 감사합니다.",1
볼보,XC90,6GT 와 xc90은 아빠들의 워너비 차죠ㅎ탈수 있는날이 오겠죠?ㅎ,2
볼보,XC90,정답은 4번입니다.저는 이번에 XC60을 인수받았습니다. 차를 받고 매우 만족하고 있습니다. 오토뷰 리뷰도 차를 선택하는데 큰 참고가 되었습니다. 감사합니다^^,4
볼보,XC90,4. 볼보 / 항상 객관적이고 수준높은 영상 올려주려서 감사합니다!,1
볼보,XC90,"4.볼보  , 새해에도 좋은 영상 많이 부탁드립니다.",1
볼보,XC90,4번 볼보입니다.참고로 스웨덴 브랜드지만 1999년 포드에 인수 이후 2010 중국 지리라는 자동차브랜드에 인수가 됬죠.모델마다 생산국이 다르지만 시승차XC90은 스웨덴에서 생산하고 있습니다.,2
볼보,XC90,4번 볼보~!!! 여봉 볼보로 바꾸자~~~!! 새해도 오토뷰만의 특별한 리뷰 기대합니다. 감사합니다.,1
볼보,XC90,4번 볼보입니다V60 맘에 들어서 계약까지 했었는데 사정이 생겨 취소할수 밖에 없었던게 아쉽네요,2
