car_brand,car_model,comments,likes
시트로엥,C5,산업디자인 전공하고 디자인 일하고 있습니다. 동영상 볼 때마다 신입 때 진택이형 같은 선임 만났으면 정말 좋았겠다라는 생각을 많이 하게 됩니다. 능력좋고 위트에 성격까지 좋은 분이 사회에 많진 않거든요. 잘은 모르지만 리뷰보면서 진택님의 과거 디자이너 시절의 발자국들이 대강 읽히는 느낌이 들어 남겨봐요~,2
시트로엥,C5,역시 두분의 만담 시승기는 최고입니다.,3
시트로엥,C5,실내는 참 잘만든 것 같네요 뒤에 루프라인 조금만 깎았으면 더 이뻤을듯!,2
시트로엥,C5,"ㅋㅋㅋ 진짜 재밌고 유익한 채널 ㅋㅋㅋ 기자님, 감독님 센스 굳",1
시트로엥,C5,"리뷰 잘봤습니다.^^앞으로 수입차 리뷰 하실때, 국내에 거주중이신 분들을 섭외해서 리뷰 해주시면 더욱 재미있을것 같습니다.프랑스차= 프랑스인영국차=영국인 등등실제 거주하셨던 분들의 현지상황등의 의견이 있으면 훨씬 좋은 영상이 나올것 같네요^^",1
시트로엥,C5,"60~70년대 시트로앵 관련 영상들을 보고 오면, 시트로앵에 대한 편견이 70%는 사라지게 되는 것 같습니다.",12
시트로엥,C5,"시승기 잘 봤습니다. ^^아이들이 매우 어려서 2열 승차감이 가장 중요하기 때문에 이 차량을 구매 고려 중입니다.다만, 승차감만 얘기하지 차체 안전성에 대해서는 얘기가 없어서요. 혹시 안전성은 어떤지요?",3
시트로엥,C5,0:33 형님 오늘은 로봇진택이 아니라 근엄진택이시군요 ㅋㅋㅎㅋㅎㅋㅋ12:56 유감독님 오열ㅋㅋㅋㅋㅋ,13
시트로엥,C5,갠적으로 킬링 포인트ㅋㅋㅋㅋ 17:36,16
시트로엥,C5,"승차감 꼭 경험해보고싶네요,, 미디어오토 아자아자!",1
시트로엥,C5,자세한 설명도 좋지만 두 아재의 캐미가 영상보는 재미를 더욱 올려주네요.,1
시트로엥,C5,아침 일찍부터 열일하는 진택이횽 사랑해 ㅋㅋㅋ  넘 좋아,16
시트로엥,C5,새로운 편집영상 좋은거 같습니다 항상 응원합니다 장기자님 유감독님,1
시트로엥,C5,캐미 봐 ㅋㅋㅋㅋㅋ 역시 편집하는 사람이 왕이죠!!!,7
시트로엥,C5,c3에어크로스 시승하러갔다가 단차가 너무 너무 너무 너무 너무 심해서..시승도 포기하고 돌아왔네요.멀리서보면 희극이고 가까이에서 보면 비극도이런 비극이 없어요.,13
시트로엥,C5,편집이 너무 재미있네요 ㅎㅎ 지루할수도있는 영상을 편집을 너무 잘하신듯해요 ㅎㅎ,19
