car_brand,car_model,comments,likes
쌍용,액티언,솔직히 지금 이대로 나왔으면 대박??,77
쌍용,액티언,시대를 앞서 간 디자인이라는 말에 동의함.,81
쌍용,액티언,소싯적 작은아버지께서 이걸 운전하셨습니다. 처음 이차를 몰고 오셨을 때 느꼈던 충격이 아직도 가시지않습니다. 그래도 주행성능은 좋더군요.,15
쌍용,액티언,시대를 너무 앞서간 디자인...,39
쌍용,액티언,저는 그때에도 멋지다고 생각했어요. 이전에 예비군훈련 갔을때 중대장이 이차 탔는데 어떤 부품은 벤츠 모슨 모델이랑 비슷하고 어떤 부품은 뭐가 쓰였는데 벤츠 뭐에 들어 가는 거고 등 도저히 이 가격이 나올 수 없는 좋는 차라고 자부심이 엄청 나더라구요.,2
쌍용,액티언,"실내외 디자인요소 빼고, 오로지 운전에만 집중하면 정말 좋은차. 작은데 묵직하고, 묵직한데 경쾌하게 잘달리던차.",12
쌍용,액티언,우파님 항상 놓침 없는 설명에 영상이 재미져용 ㅎㅎ,1
쌍용,액티언,2010년식 액티언 차주입니다... 차가안망가져서 못바꾸는중이고 3년동안 몰았는데 지금까지 액티언차를본게 1년에2번3번밖에없습니다... 그만큼 희귀한차라 생각해서..자기위로중 ㅠㅠ,10
쌍용,액티언,파란색 액티언 와이프 연애할때부터 결혼하고까지 내생에 제일 오래타고 젤 애착갔던 자동차였는데ㅎㅎ 진짜 잔고장없이 잘탔어요~,3
쌍용,액티언,로디우스도 사실 c필러가 쿠페형으로 비스듬하게 떨어지는 라인이었다는 아는 사람만 아는 이야기.....승합차를 만들려고 했는데 승합차 기준이 갑자기 바뀌어서 시트 1열 더 넣으려니 천정을 높일 수 밖에 없었다고....,1
쌍용,액티언,시대를 너무 많이 앞서나갔기에 아직도 시대는 오지 않았다...,19
쌍용,액티언,어쩌면 액티언으로 인해 독일 브랜드가 쿠페형 SUV를 만들기 시작했다나..,23
쌍용,액티언,실내디자인 엑티언이랑 비슷한 카이런도 보여주시면 감사하겠습니다!!!,3
쌍용,액티언,액티언이 조선의 X6인 것이 아니라 X6가 독일의 액티언이다,37
쌍용,액티언,액티언도 다양한 튜닝파츠가 많아서 인기 의외로 많았는데,2
쌍용,액티언,액티언 인기 ㅈㄴ많았어.차도 좋아 잘나가고 힘좋고,3
쌍용,액티언,개인적으로 액티언 풀체인지 해서 지금 출시해도 괜찮을거 같은데... 시대를 너무 앞서간 디자인..ㅠㅠ,4
쌍용,액티언,나름 저때는 혁신적인 디자인...,9
쌍용,액티언,듣고보니까 진짜 엄청 앞서간 디자인이었네...,4
쌍용,액티언,헤드라이트 디자인을 다르게 하고  전체적으로 조금 다듬으면 멋진 차가 될수도.,1
쌍용,액티언,엑티언 컨셉카 로 지금 나왔으면 좋겠네!ㅎㅎ,4
쌍용,액티언,비운의차 재생목록 만들어주세요 ㅋㅋㅋ 찾아보기어려워요ㅠㅠㅎㅎ,1
쌍용,액티언,액티언… 저 초등학생때 쌍용차 전시장 지나거더아빠 저 파란차 이쁘다 해서 다음날 아버지가 계약하고 몇주뒤에 어머니랑 아버지랑 다같이 가서 차 받은 기억이 나네요^^저에게는 어린시절 추억이 있는 차네요. 액티언 타고 놀러다니고 정말 많이 했었는데.. 액티언 출고한 그날 고속도로 올려서 휴게소 갔는데 아저씨들이 수입차냐고 차좀 봐도 되냐고 신기하다고 했던 기억이 나네요^^,4
쌍용,액티언,진짜 전에는 많이 보였는데 사라져버린 비운의 차…,1
쌍용,액티언,전기형 nf소나타도 한번 보고싶습니다!!,5
쌍용,액티언,공기흐름에 따른 안전성은 액티언 전면 디자인이 유리합니다.,1
쌍용,액티언,차박의 신인 그랜드 카니발 리뷰 부탁드립니다.(신형 카니발보다도 좋던데 ㄷㄷ),1
쌍용,액티언,해외 수출형 모델은 전면부가 코란도 스포츠랑 똑같이 생겨서 꽤 봐줄만 했던 기억이 있습니다ㅋㅋㅋ,1
쌍용,액티언,"옛날 아빠차였는데 차 견인력, 힘은 진짜 끝내주게 좋았음 제트스키랑 캠핑카까지 한꺼번에 끌고 다녔었는데 밟으면 밟는데로 나갔었는데,,",10
쌍용,액티언,진짜 지금나와야  이쁜차,2
쌍용,액티언,난 저때 디자인 너무 좋았는데 ㅜㅜㅜ,28
쌍용,액티언,"쌍용 실키 드라이빙을 추구했던 뉴카이런도 소개 바랍니다.단, 실키 드라이빙은 에어서스가 들어간 최고급 모델인 하이퍼 하이테크만 해당됩니다 ㅋ",2
쌍용,액티언,2세대 스포티지도 해주세요!!!!!!! 꼭!!!!!!,1
쌍용,액티언,쌍용 뉴코란도 290sr 타고다닐때 좋았음^^ 귀엽고 멋있었음,1
쌍용,액티언,예쁜건 인정해야겠네요^^,2
쌍용,액티언,5:24 그 당시는 후방카메라도 꽤나 고급 옵션이었는데,6
쌍용,액티언,로디우스는 생각보다 차가 의외로 괜찮았어요,1
쌍용,액티언,액티언 무시하면안되여  사륜구동 강려크하며  몸통박치기 하면 웬만한차들  앞범버 다없어질정도로 강력합니다요  다만 후륜구동이라 겨울에  다들 앞으로 잘갈대 출발하자마자 지혼자 비틀비틀댐,2
쌍용,액티언,gv80때 보다 높은 그의 텐션... 엑티언 이차는 도대체..,1
쌍용,액티언,Очень дорогой автомобиль в обслуживании. В России.Мы собираемся целыми сообществами и ремонтируем свои автомобили марки Ssangyong сами!,2
쌍용,액티언,헉 원조X6가 대한민국에~!! 딱정벌레 닮았지만 조금만 더 다듬었으면 전설이 되었을거 같습니다. ㅜㅜ,4
쌍용,액티언,진짜 앞모습만 잘 나왔다면  더 많이 팔렸을껀데,1
쌍용,액티언,라이트와 그릴만 이뻤어도 대박 쳤을듯한데,3
쌍용,액티언,지금도 나와줫으면 하는 차중 하나,1
쌍용,액티언,쌍용 엑티언 정말오랜만이네요,1
쌍용,액티언,최근에 본 적이 거의 없네요   비운의 차 맞는거 같아요,2
쌍용,액티언,"아시는 분이 쌍용에서 일해서 잠깐 들린적이 있었는데, 그때 정문 로비 1층에 프로토타입이 전시되어 있었습니다.정말 디자인보고 깜짝 놀랐습니다. 당시에 다른차에 비하면 조금 독특한 정도가 아니라 정말 선이 강력했었죠  ㅋㅋㅋㅋ 개인적으로 좋아하는 디자인이라 당시에도 두근구근 거렸습니다 ㅎㅎ",1
쌍용,액티언,제차도 시대를 너무 앞서간 디자인 뉴카이런 입니다!!!!!,3
쌍용,액티언,단언컨데 실내에 앉으면트랙터 소음과 진동의 갬성을느낄수 있음,5
쌍용,액티언,메그너스도 한번 해주시면 좋겠네요!,4
쌍용,액티언,난 아직도 잊혀지짖않아.... 같이일하는형이 내차보고   엉덩이가 경박하게 올라가있다고 ㅜㅠㅠ    ㅎㅎㅎ,3
쌍용,액티언,헤드 라이트 디자인이랑 조금만 다듬으면 ㄱㅊ을거같은데,3
쌍용,액티언,지금의 쌍용을 만드차 ㅎㅎㅎ,1
쌍용,액티언,쌍용대단하긴했음... 근데 엑티언이 아쉬운게 멀티링크대신 리지드액슬이랑 프레임바디라는게 정말 아쉬움 모노코크로 갔으면 더 팔리지않았을까 합니다.,1
쌍용,액티언,지금도 멋지네요.,1
쌍용,액티언,그차체에앞모습코란도스포츠로바꾸고엔진을2.2로바꾸고나오면진짜대박인데..,1
쌍용,액티언,다음차는 엑티언과 같이 시대를 너무 앞서간 로디우스는 어떤가요?,1
쌍용,액티언,저는 오랜 친구처럼 아직 정으로 타고 있지요. 엑티언스포츠. 15년차된 36만 중반키로 타고 있네요. 디자인은 요즘 타고 다닐 차입니다.ㅋㅋ,1
쌍용,액티언,액티언이랑  90년대  원조  스포티지는  시대를  앞선  디자인이죠,4
쌍용,액티언,액티언 개인적으로 마음에듬,1
쌍용,액티언,선글라스 보관함은 지금이 더 필요함,1
쌍용,액티언,중파형이랑 같이 영상찍으면 재미있을듯 우파대 중파,3
쌍용,액티언,그러고 보니 로디우스도 다루면 좋겠네요~♡,1
쌍용,액티언,전설에 비트라 6단미션 9만키로 타고 미션 털렸는데 5년 보증지나서 수리 못받음사비로 고칠려니까 구로 쌍용 엔지니어가 설계 불량이라 고쳐도 또 안고장난다는 보장을 못한다는 소리에 아부지 빡치셔서 그날로 중고차 딜러한테 차 던저버렸던 그 차 엑티언...,2
쌍용,액티언,"2008년식 26살에 전재산 때려부어 일시불로 구매, 지금까지 타는중입니다...ㅋㅋㅋㅋ21만 킬로째 타고있고, 그동안의 수리비는 대략...200가까이 들었습니다. 물론 소모품 제외하구요 ㅋㅋ 보내주고싶은데...와이프가..헙....",2
쌍용,액티언,2005년 실키드라이빙 카이런 벤츠미션 이게 또다른  명작,2
쌍용,액티언,혹시 06~10년식 사이 윈스톰 가능할까요?,6
쌍용,액티언,"원판불변의 법칙이태리가 디자인의 명가라면, 반대로 못 생긴차를 만드는 디자인 감각 없는 나라에 대명사가 되는데 큰 축을 맡은..",1
쌍용,액티언,비트라6단...인젝터 고착....청바지 카이런과 더불어...법규 변화에 리버로 나와버린 로디우스 까지...답없었죠,4
쌍용,액티언,저희 아버지가 타시던 엑티언스포츠가 생각나게만드는군요,1
쌍용,액티언,액티언 했으니까 액티언 스포츠도 해야죠 ㅋㅋㅋ Sc 모터스 근처에 가게 있으니까 언제든지 환영합니다 ㅋㅋㅋㅋ참고로 비운의 아슬란은 와이프가 타고 다님 ....왜 내차만 하는겁니까 ㅋㅌㅌㅌㅋ,4
쌍용,액티언,1:03 지금 현재 평촌 (귀인동) 사는데 아마 형이 본곳은 안양일번가가 아니라 흥안대로일거 같아요,2
쌍용,액티언,스쿠프 격하게 보고싶어요 ㅜㅜ,1
쌍용,액티언,아버지께서14년탄 액티언이 기억나는 영상입니다ㅜ,1
쌍용,액티언,조금 눌러서 다시나오면 괜찮을거 같기도 한데… 현대나 기아 정도 였으면 나올수도 있겠지만 지금의 쌍용이면….,1
쌍용,액티언,메르세데스가 엑티언에서 쿠페형 suv의 영감을 얻었다 했죠,1
쌍용,액티언,지금 나오면 너무 멋있을듯,1
쌍용,액티언,X6 사서 액티언으로 튜닝해서 타고다니는 아재 생각나네요 ㅋㅋㅋㅋㅋ왜이런짓했는지 물어보니 와이프한테 안들킬라고 했다고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
