car_brand,car_model,comments,likes
쌍용,카이런,오 제가 부탁드렸던 카이런 역사 해주셔서 감사합니다 ㅎㅎ,1
쌍용,카이런,영상 잘봤습니다!,1
쌍용,카이런,벨로스터 역사도 올릴 수 있나요?,1
쌍용,카이런,드디어 싫어요 비공개 풀렸다.,1
쌍용,카이런,브로엄역사해주세요,1
쌍용,카이런,오 카이런이 콘셉트 모델이?,1
쌍용,카이런,"안녕하세요 김반합 입니다.오늘은 구독자분께서 제차 뉴카이런에 대해 리뷰요청이 있으셔서 리뷰를 해보았는데요,제가 전문가가 아니다 보니 혹시나 정보가 틀린점이 있다면, 댓글로 남겨주시고 양해부탁드립니다.!!!쌍용 광고 아닙니다!!쌍용 화이팅!! #심재경",3
쌍용,카이런,"말도 잘하시고, 목소리도 나긋하니 좋으시고영상 잘 봤습니다^^제 차랑 4륜빼고는 거의 동일해서놀랐습니다디폡없고lv5 8년식 23만esp.hdc.조수석 전동시트.등등 같네요.심지어 경보기까지..경보기 쓸줄 몰라 놔두고 있지만만요 ㅎ 연비도 나쁘지 안다봐요지난해 만땅 넣고 기름불 들어 올때까지951.8키로 탔었어요고속도로,국도 탔고요관리 참 잘하셨네요..카이런  만족하며 잘 타고 있습니다.디자인도 만족하고..차박 해보고 싶지만 게을러서 못해보고 있네요ㅋ주말마다 당일치기로 여행 다니고 있습니다카이런 정말 좋습니다👍운전 조심하시고요영상 잘 봤습니다^^",3
쌍용,카이런,오...저도 08년식 뉴카 타다 폐차했엇습니다 ..엔진이 문제가 되서 ^^ 다시 보니 새롭네용 엄청 좋았던차인데 그때 넘 강렬해서 19년에 렉스칸 쌍용차로 바꿧습니다 ^^ 정말 관리 잘하셧네용 ^^ 08년부터 차박했었는데 그땐 차박개념도 없었을때라....,2
쌍용,카이런,335번 인사드립니다 :) 상남자의 차네요! 우리나라도 이런 감성의 차가 많이 나와야 할텐데요😎 쌍용이 다시 살아났으면 좋겠습니다.,3
쌍용,카이런,22:00 저도 카이런타면서 오토라이트는 극공감합니다 바로 켜지고 터널나오면 바로꺼지는ㅋㅋ 다른차들은 보통 3초뒤에 꺼지는데 참 신기하네요,2
쌍용,카이런,저도 뉴카이런 검정이 입니다 반갑네요 ~! 차박용으로는 가성비 굿입니다 저는 2륜중고로 샀는데 아쉽네요 4륜하고 겨울철 차이 많이 납니다 다만 전차주가 올수리를 해놔서 카센터 에서도 년식대비중고차치고는 컨디션이 최상이라고 해줘서 위안받습니다 영상 많이 올려주세요,2
쌍용,카이런,관리 진짜 잘 하셨네요,2
쌍용,카이런,뉴카이런 2.7하이퍼 오너입니다뉴카들모여서 영상한번 찍으면 대박날거같아요,2
쌍용,카이런,"저보다 관리 상태 좋아요.전 14년식 코스 패션 풀옵션인데 카이런 옵션 보니 esp,경사로 내리막 방지,전자파킹 부럽습니다.",2
쌍용,카이런,지금 이상없다면 질릴때까지 타세요.칸가바야 거기서거깁니다.저또한 액티언 만족하다가 팔고 코스로갔는데 휘회많이했어요.코스는 화물이라 고속도로에서 3차선으로만가야되고 예전에 있던 옵션도없고 만족하면서 타던차는 그냥가시는게 갑입니다.바꾸면 신경 쓰이고돈나가고 경험해보니 지금차가 좋습니다.,2
쌍용,카이런,25:10팰리세이드 2.2d 2WD보다 연비좋네요~~,3
쌍용,카이런,저는 요즘 반합님 영상보고 슈퍼렉스턴에 로망이 생겼네요~~~~~~,2
쌍용,카이런,"안녕하세요, 카자흐스탄에서 글을 쓰고 있습니다. 귀하의 비디오를 보았습니다. 전방 및 후방 서스펜션 스프링의 특성과 예비 부품 번호를 알려주실 수 있습니까? 감사합니다.",2
쌍용,카이런,뉴 카이런 4륜차량인거 같네요.,2
쌍용,카이런,안녕하세요 저도 카이런  구입할예정인데 부품수급은 잘되는지 답변주시면 감사할께요.^^,2
쌍용,카이런,윈치 너무 부럽습니다🛻...,2
쌍용,카이런,네비 혼자 다이하신건가요,2
쌍용,카이런,구글 번역기를 통한 달랄 번역은 아마도 그녀가 올바르게 번역하지 않을 것입니다,2
