car_brand,car_model,comments,likes
아우디,A1,오토뷰 시승기는 항상 진실해서 좋아요 ㅋ,4
아우디,A1,"오늘 올라온 K5 리뷰에 대해 여기에 미리 궁금한점 남겨요.. 쏘나타대비 서스펜션 안좋다고 하셨는데, 휠 크기 차이는 아니었나 궁금하고요, 일반적으로 서스펜션 안좋을때 휠 키우면 좀 나아지나요?(17인치 이상을 추천하셨길래요..)",3
아우디,A1,항상 잘보고 있습니다~,5
아우디,A1,이거 작다고 우습게 봤다가는 국산차 왠만한차는 중고속에서 그냥. 없어지니까요 차체가 작고 가볍고 게다가 형님인 a3 25tdi 보다 더 빠르게 치고 나갑니다.,7
아우디,A1,오토조인스때부터 항상 잘보고있습니다.,4
아우디,A1,이거보다 더작은 Q2 가 기대되는군요 어떤모습일지...,3
아우디,A1,a1이 600만원이나 할인되나요? 계산해보니 최하트림 기준으로 19.5% 할인이네요. 아우디 평균수준이네...,4
아우디,A1,아우디 A1 우리나라 경차정도 크기인가요?,1
아우디,A1,"힐끔 보니까 현대차 같아요,,,",3
아우디,A1,아우디라 비싸긴하네요 ;;,3
아우디,A1,잘보겠습니다!,4
아우디,A1,"아우디 A1의 좋은 리뷰, 좋은 프레 젠 테이션, 나는이 자동차의 비디오도 가지고, 좀 봐",3
아우디,A1,빵빵하니  톡 터질 것 같네요  ㅋㅋ,6
아우디,A1,리뷰 잘보고있습니다. 저만들리는지 모르겠지만 리뷰중 차량이 지나갈때마다 노면소리가 계속 거슬리네요...다른차량 영상을 보면 녹음된 주행소리가 반복되네요. 조금 보기 불편하네요^^;; 완전 소리가 안나는게 더 좋지 않을까 생각도 듭니다.,4
아우디,A1,시승기가 멋져요 날로 발전하시네요,1
아우디,A1,저런 차를 디젤만 내놓다니,1
아우디,A1,까남도 이거 가셨던거로 기억하는디...,1
아우디,A1,이뿌당..,1
아우디,A1,영국에서 아이  등하교 용으로 쓰는데 가성비 짱임!,3
아우디,A1,다음에는 3도어랑 5도어랑비교시승좀 해주세요,1
아우디,A1,"또 물어보게되는데..ㅎㅎ 중고로 잘 나온게 있어서..Audi a1 cool 2014년 버전 29,000km / 과 beetle sport 2013. 24000km 중에는 어느 차가 나을까요 참고로 전 출퇴근용으로만 많이 쓰고.. 속도도 매우 느리게 운전하는 스타일.. 둘다 맘에 들어서..",3
