car_brand,car_model,comments,likes
아우디,R8,"역시~~~~~모터리언 리뷰는  편집장님이 해주시는게 가장 맛깔나네요. 이런 고성능차량이나 , 비싼 차량리뷰는 대신 해주세요!! ㅠㅠㅠ",11
아우디,R8,와... 안 그래도 디자인 멋진데 블랙 + 블루색이 진짜 대박이네요!!잘 봤습니다~,4
아우디,R8,"새차보다는 시간 조금지나고 중고가 떨어졌을때 사볼만 하겠네요 실내는 별로라면 별로인데 잡다한거 없이 딱 필요한것만 있어서 운전만 하기는 좋아보이네요,개인적 견해지만 디쟈인은 아이언맨이 광고해준 1세대가 너무 잘뽑아서 점점 투박해지고 특징이 없어지네요 그렇다고 타사의 화려하거나 살벌한 디쟈인도 아니고 호불호가 갈리는 모델이네요 데일리카로는 갑일듯",1
아우디,R8,색감이 정말 좋네요,4
아우디,R8,8:48 이 부분 바뀐게 젤 크다고 생각듬 2세대 r8 처음 나왓을때 전세대가 더 이쁠정도로 디자인은 별로였는데 저거 바뀌고 진짜 어색한게 사라진듯.,2
아우디,R8,수십번 보는중...현실적인 드림카이자...슈퍼카...,2
아우디,R8,1세대 R8은 디자인이 지금 봐도 전설이네요,10
아우디,R8,실내 말이 많은데 전자장비 많은걸 극혐하는 저로써는 베스트입니다. 콕핏 마저도 거부감있구요.아무래도 퍼포먼스보다 실내에 몰빵하는 국내 유저들한테는 딱 좋은 먹잇감이죠^^실내 전장 따질빠에 시트를 레카로로 바꿔서 허리 교정과 자세잡는곳에 투자하는게 더 좋을텐데 그걸 모르죠,2
아우디,R8,R8... 디자인은 시간이 흘러도 잘 나온 것 같아요 ^^잘 보겠습니다..,7
아우디,R8,r8은 확실히 전세대가 더 이쁜거 같네 앞모습이 a5스포트백이랑 거의 흡사한듯,4
아우디,R8,역시 모터리언은 박기돈 편집장님 리뷰가 제일 재미있습니다.,15
아우디,R8,눈으로만보는 슈퍼카^^..  눈팅 잘하고 갑니다.,1
아우디,R8,그러면 R8 시리즈 중에서 영상에 나오는 r8 v10 퍼포먼스가 가장 좋은건가요?,1
아우디,R8,태생이 스포츠카인데 노면소음 얘기한다는 자체가 넌센스네요,1
아우디,R8,진짜 R8을 보니까 예전에 아반떼md 타던 애들 R8라인이라고 뒷휀다에 랩핑하고 다니던 거 생각나네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
아우디,R8,2.5에  출력 자흡 v10na  익스테리어신차기준 최고에선택지,1
아우디,R8,R8이 밸런스만 좋았어도…ㅠㅠ,4
아우디,R8,디자인이 더 좋아졌네요 굿,2
아우디,R8,콰트로는 살아있는 전설이지,1
아우디,R8,믿고보는 기돈편집장님 !!머리숙이지 마세요!!! 세월의 흔적이 ㅠㅠ 저도 머리 숙이면...으으 ㅠㅠㅠㅠ,1
아우디,R8,2세대 디자인이 갠적으로 1세대보다 맘에드네요.. ㅠㅠ 1세대 디자인은 감성으로 사면 될듯,1
아우디,R8,전세대 모델이 더 이쁜것 같네요...,2
아우디,R8,선추천. 후감상. 색깔 이쁜데요. 박 편집장님.,1
아우디,R8,이게 그 유명한 현존하는 전 세계 가성비 최강의 수퍼카이군요페라리 람보르기니 수퍼카들이 3억중후반부터 시작하는 데 알팔이야 말로 2억중후반 가격임에도 엄청난 성능을 뽑아줍니다,2
아우디,R8,아 다 좋은데 실내만 예뻤으면 amg gt보다 훨씬 좋을 것 같은데 ㅠㅠㅠㅠㅠ,4
아우디,R8,R8과 911 4s 둘 중 하나 데일리카로 한다면 뭐가 더 현명한 선택일까요??,4
아우디,R8,선리플 후감상! 감사합니다 잘보겠습니다!,2
아우디,R8,플래드영상 몇개보고왔더니 이런차들이 옜날차처럼느껴집니다 왜 그럵까요??,1
아우디,R8,잘보고갑니다! 단결!,1
아우디,R8,외관은 1세대를 다라갈수가 없는듯요....,6
아우디,R8,뭔가 아반떼를 슈퍼카로 개조하면 이런 느낌일 거 같습니다,3
아우디,R8,1억더주고 우라칸사세요..알팔을 무시하는게아니라 우라칸이 훨씬 좋긴해요,9
아우디,R8,실내 진짜 아우.....디네,1
아우디,R8,사야겠다ㅋ,1
아우디,R8,"실내가 02월드컵 시절이네요 엔진,외관 몰빵;;",9
아우디,R8,그린헬에디션좋은데.....,2
아우디,R8,으아아아아 박기돈 편집국장님이다~!@!#!@#$,2
아우디,R8,R8 디자인 바뀔때 안됐나요.?바뀐건거 .? 너무 오래된 느낌 디자인 너무  구림 ....포르쉐에 비해도 너무 밀림..ㅎ,1
아우디,R8,정지상태에서 3000rpm까지 밖에 올라가지 않는게 아쉽네요,1
아우디,R8,모든부분에서 포르쉐보다 후달리네요,5
아우디,R8,2억 넘어가면 브랜드가 아우디인게 단점이지,7
아우디,R8,번창하세요!!!,2
아우디,R8,가격대가 992GT3 와 경쟁할듯...,1
아우디,R8,ㅋㅋㅋ2억5천인데그래도 실내가참 저것때문이라고 금액동급다른차량갈듯..,4
아우디,R8,"엔진굿, 외관 굿,,,, 그런데    실내 디자인이 좀,, 기어봉 이쪽은 a4인지,,,독보적인 느낌이 약함.",3
아우디,R8,아우디 TT인줄알았네..  왜 더 퇴보했데.. 생긴건 1세대가 낫네요.,10
아우디,R8,차는 좋은데 가격대비 네임밸류가...,1
아우디,R8,오오오 내 드림카!!!,2
아우디,R8,개취는 역시 흰색.최근에 아우디 전기차를봐서 그런가 V10이 구리게보이는 말도 안되는 생각이드네. 참나ㅋㅋ,1
아우디,R8,휠이 너무 저렴이같아요 m5cs 휠은 이쁜디,2
아우디,R8,오르막길 내리막길 가파른곳 갈때 닿는곳 없겠죠?,1
아우디,R8,냉간시동음 보려고 기다렸는데 결국 안보여주시네;;,1
아우디,R8,,2
아우디,R8,"제목으로 ""싸다구"" 날리시는군요",1
아우디,R8,AMG GT R 정식수입되고 잇는데 아무도 모르더라구요,7
