car_brand,car_model,comments,likes
아우디,S4,국내에서는 신형 S4 리뷰가 하나도 없어서 아쉬웠는데 좋네용~~!!^^감사합니당~!,2
아우디,S4,저 S뱃지가 주는 감성은 정말로..... 말로 표현이 안되네,1
아우디,S4,안드오토나 애플카플레이 무선연동 가능한가요?만약 가능하면 hud와 티맵 연동이 가능한가요?,1
아우디,S4,안그래도 도어 포켓 조명 삭제/ 뒷문 아우디 도어 스팟 램프 삭제/ 소소한거 삭제하는것도 마음에 안드는데. 아직도 아우디 a4 / a5 후석 컵홀더 보관함 암레스트 없는게 말이 되나? 헐 .. 유럽형하고 다른나라들은 다있는데 우리나랑 후진국에만 달랑 쿠션 암레스트 .우리나라 고객 성향 수준 너무 낮게 보내요~~ 사람마다 틀리지만 사양때문에 아우디는 사고 싶은 마음이 안생김.,1
아우디,S4,A3 출시일 알수있을까요?,1
아우디,S4,어라운드랑 선루프없나요?,1
아우디,S4,안녕하세요.혹시 출고 가능한 블랙 컬러가 있나요?,1
아우디,S4,RS4  Avant   계획없을까요?,1
아우디,S4,구매고민중인데 내방하면 시승가능한가요?,1
아우디,S4,s4가 제일상위아니고 rs4있습니다,1
아우디,S4,국네 RS4 리뷰 해주세요,1
아우디,S4,통풍 .....없다는 말에 다른 영상으로,1
아우디,S4,시승 가능합니까?,1
아우디,S4,S4 리뷰라니 미쳤다트레일브레이킹이 저렇게 되는 것도 신기하고토크벡터링 LSD 차이 보여주는것도 역시 읽남님 답네요잘봤어요!,13
아우디,S4,이런 희귀한 차량 리뷰를 해주셔서 잘 봤습니다.S4가 고성능 모델임에도 일반 A4에 비해서 외관이나 실내 디자인 차이가 거의 없다 보니 한국에서는 조금 팔리기 힘들 수 있겠다는 생각이 듭니다.가격적인 메리트가 조금 더 있다면 괜찮지 않을까 합니다.토크벡터링과 LSD의 차이점도 너무 쉽게 잘 봤습니다.감사합니다.,3
아우디,S4,진짜 국내 모든 자동차 리뷰 중 최고!! 눈귀버리는 BM 영업 유투버들과는 차원이 다른 객관성.. 예전 불티나 520d 이후로 벤츠와 아우디만 타는 1인이지만 이분 리뷰는 정말 실사용자 중심의 정확성과 편의성이 있어 설득력이 최고입니다. 사견이지만 아우디는 기계식 콰트로 + 팁트로닉이 진리 같습니다.울콰랑 s트로닉 조합은 먼가 현실타협형(효율성을 가장한 원가x감) 느낌.. 다음에 아우디 팁트로닉과 bm zf 8단과의 구체적 비교해 주시길 부탁드립니다. 같은 자동미션인걸로 아는데 세팅이 다른가 보네요. S4 진짜 까이는게 안타까운 차죠. 내장 좀 a6급으로만 했어도 인기 많았을텐데.. 훌륭한 리뷰 감사합니다.,5
