car_brand,car_model,comments,likes
아우디,SQ8,잘보겠습니다!!! 드림카 sq8 ㅠㅠ,37
아우디,SQ8,우파님은 자기만의 색깔이분명하고 남들과 다른 확실한 매력이 있네요 리뷰잘봤습니다 재밌어요,1
아우디,SQ8,우파님은 정말 차 설명할때 표정이 진짜 행복해보이시는거 같앙ㅇ,4
아우디,SQ8,rsp8 리뷰도 얼른 해주세요ㅠㅠㅠㅠ 영상도 잘보고 있습니다 우파형,2
아우디,SQ8,실제로 봤는데 웅장한모습에 감탄사가 절로 나오더군요,2
아우디,SQ8,항상 응원합니다 우파님^^,7
아우디,SQ8,아우디너무멋있네요 저도타보고싶네요,5
아우디,SQ8,기다리고 기다리던 시승기 입니다^^,1
아우디,SQ8,자동세차 ㄷㄷㄷ 부럽습니다,1
아우디,SQ8,안녕 하세요..suv인데도 이쁘다는 말 밖엔 안나오네요..정말 이쁘네요..간만에 우파님의 밝은 얼굴보니 제가다 기분이 좋내요..조금은 극복 되셨나요?. 힘내시고 파이팅 하세요 우파님...........^^,8
아우디,SQ8,아우디 suv 진짜 이쁘다;; 제 드림카입니다 ㅠㅠ잘 봤습니다^^,3
아우디,SQ8,아우디 너무 멋있어요 > ㅅ<,8
아우디,SQ8,우파형 오랜만에 보니 반갑ㅋㅋㅋㅋ,1
아우디,SQ8,SQ7도 나왔으면 좋겠는데,7
아우디,SQ8,와 지리네요 ㄷㄷ,3
아우디,SQ8,SQ8은 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 레전드인듯,4
아우디,SQ8,진짜...내 드림카 ㅠ 이거 한대면 다른차다 필요없음 여한이 없을듯 합니다디자인부터 성능까지 다 잡았죠,2
아우디,SQ8,아우디...미쳤다,6
아우디,SQ8,힐러형도 한번씩 올려주세요~,4
아우디,SQ8,우파형~~~~. 많이 기다렸어요...ㅜㅜ 우파형 리뷰가 기대됐는데 잘보겠습니다!!!!!,1
아우디,SQ8,어제 우연하게 아우디suv를길에서 목격하고 웅장함에 놀랐는데SQ8이었군요 ㄷㄷ,12
아우디,SQ8,아름답다 진심,2
아우디,SQ8,웅장이 가슴해진다....,9
아우디,SQ8,솔직히 카이엔 보다더 포스있네,12
아우디,SQ8,실내 왜이리 조용해요?ㄷㄷㄷ,5
아우디,SQ8,다음차는 무조건 SQ8!!!!,1
아우디,SQ8,이건 못참지 하고 왔는데 우파형이라서 좀더 참아볼게ㅠㅠㅠㅠㅠ,3
아우디,SQ8,디자인은 끝장나네요,2
아우디,SQ8,디젤엔진 맞나요? 완전 조용하네요... 뒷 디자인 너무 잘나옴...,2
아우디,SQ8,차는 진짜 이쁘다,1
아우디,SQ8,들어온게 40 대면  ...   완판안되면 이상한느낌...,1
아우디,SQ8,5:46 난 이런 개그가 왜 웃기냐 ㅋㅋㅋㅋㅋㅋ,32
아우디,SQ8,역시 디자인은 아우디,1
아우디,SQ8,제 생각엔 블랙이 진리임,4
아우디,SQ8,사랑해요 차차피디,1
아우디,SQ8,이쁘다+개간지흑간지+세련,2
아우디,SQ8,Rsq8이 우루스보다 뉘르 기록 좋던데,5
아우디,SQ8,우파님 엄청 신났다ㅋㅋㅋㅋㅋ,3
아우디,SQ8,글을그냥 소리나는그대로 써주는쎈스ㅋ 이게 실수인지..우파님 설정인지..,1
아우디,SQ8,우파가 나와야 꿀잼 ㅋ,3
아우디,SQ8,"연봉별 차량 추천 컨텐츠 너무 좋은데 맞벌이부부 연봉합산별로 차량 추천도 부탁드려요,, 신혼부부인데 정말 고민이 큽니다 도와주세요",5
아우디,SQ8,번창하세요!!!,2
아우디,SQ8,"Hello, this is a very good video, thanks for sharing Have a nice day.",1
아우디,SQ8,12:20 오늘의 하이라이트,28
아우디,SQ8,우파님도 금수저ㄷㄷㄷ,1
아우디,SQ8,성능은 우르스 뺨 후리지 않나?,3
아우디,SQ8,우파님 오늘 치명적이시네,3
아우디,SQ8,0:43 Q6라뇨ㅋㅋㅋㅋ 긴장푸시고하시길,1
아우디,SQ8,"예쁘면 착한거고, 예쁘면 고성능이져. ㅋㅋ",1
아우디,SQ8,모야 차차 개존예인데?,2
아우디,SQ8,굿!,1
아우디,SQ8,양놈들은 많이 타는 차... 아~~  가지고싶다. 페밀리카에 스포츠카...,1
아우디,SQ8,아우디 A6차주인데 이쁘다고 사면 후회한다. 사서 타보면안다. 꼭 사길 바란다.,1
아우디,SQ8,우파님 왠지 살빠진듯한 느낌....,2
아우디,SQ8,할아버지... 우와...,1
아우디,SQ8,SQ8사고 싶네요 GLS보다 예쁘네요,2
아우디,SQ8,격려의 박수.~ ㅌ ㅌ,2
아우디,SQ8,오우야...,3
아우디,SQ8,이런차를 까는 윤XX.. 그는 참..ㅋㅋ,8
아우디,SQ8,저 뒤에 주차된 GV80 개똥차처럼 보인다.ㅋㅋ,2
아우디,SQ8,q8과 sq8은 완전히 다른찬데요?,1
아우디,SQ8,rsq8 rs6av 출시합니다 기달려주십쇼~,1
아우디,SQ8,우파님 gv80요즘 운행 잘 안하시나요~??,1
아우디,SQ8,이제 rsq8 기다릴게요,3
아우디,SQ8,아씨 욕나오게 멋있네,1
아우디,SQ8,아~뭐..왜요ㅋㅋ 아웃겨ㅋㅋㅋㅋ,2
아우디,SQ8,슬슬 채널계승을 할 차례입니다....,1
