car_brand,car_model,comments,likes
재규어,XJ,재규어...개인적으로 현재까지는상당히 만족하며 운행하고 있습니다ㅎ자동차 리뷰영상은 편한 마음으로 봐주시길바라겠습니다^^,8
재규어,XJ,카페에 올리신글 보고 시청했습니다.  XJ에서 느끼신 시내 저속과 고속도로 항속 주행감이 재규어 모든 모델에 해당하는것 같습니다. 저는 f페이스 이지만 시내는 좀 답답한 대신 고속도로나 막히지 않는 구간을 운행할때의 맛은 정말 최고인거 같아요.,5
재규어,XJ,"XJL 오너로서 주의점 몇개 얘기할게요.1. 기름(경유)에 되게 민감합니다. 이건 재규어 랜드로버 다그런거 같아요. 물섞은 기름 넣으면 바로 엔진경고등 들어오고, 밟아도 안나가는 현상 나옵니다. 대처하는 방법으로 시동껏다가 키면 잠시나마 괜찬아져요. 기름 반정도 소모시키고 불스원샷 넣고, 괜찮은 기름 넣으면 얼마 지나지 않아 경고등 없어지고, 원상태로 돌아옵니다.2. 16년식 기준 요소수를 안넣는 차인데,오랫동안 고속주행을 안해주면 DFT경고등 뜹니다. 카센터 들어가서 청소를 해주거나 고속주행 20~30분 정도 하면 원상복귀 됩니다. 3. 서비스 센터 대기시간 장난아니게 깁니다.보통 보름에서 한달 잡아야 됩니다. 중고차 사시는 분들은 재규어 고칠줄 아는 카센터 미리 알아놓으세요. 의외로 부품수급은 잘 됩니다.4. 보험료 무지많이 나옵니다. 보험가액 4600나오는 차가 다이렉트 제일싼곳 260, 얼마전 현대해상 460나오더라구요. 자차비만 200~400나옵니다. 벌써 4년째 타고있는 재규어인데 에쿠스에서 넘어 왔을땐 실망감을 감출수 없었는데 그래도 정붙이고 타고 있네요. 이차의 장점은 연비입니다. 고속도로 정속주행시 1100키로 타는 차입니다. 이미 감가가 될되로 된차라서 가성비는 좋다고 생각합니다. 아직도 후속모델이 안나와서 신차효과 누릴수 있고, 그냥 차가 이뻐요. 차가 멋지다는 말때문에 다른거 스트레스 받아도 그냥 타고 다닙니다. 참고하시고 좋은차 뽑으시길 바래요.",8
재규어,XJ,주행후기 잘보고갑니다 ~,2
재규어,XJ,형님 멋져요 !!!,3
재규어,XJ,잔고장이 말로 할수 없이 많다던데 어떤가요 1800짜리 xj프리미엄 럭셔리 판다하길래 고민중이거든요,2
재규어,XJ,좋은영상 잘봤어요^^,3
재규어,XJ,잘봤습니다.감사합니다,3
재규어,XJ,유성다비님  펜션동영상 찍어주는거 아직도 유효할까요?양평오시는길 있음 들러주셔도 되구요,3
재규어,XJ,내 차가 재규어xjl 3.0 프리미엄 럭셔리 LWD 다이아몬드 에디션 삿는데...큰 차이는.. 라이트와 계기판뿐..... ㅜㅜ,2
재규어,XJ,디젤 소음은 많이 없나요?,3
재규어,XJ,지나가는거보면 개이쁨,2
재규어,XJ,XJL SC 5.0 2010 년식 예뻐서 살까 고민고민 합니다 아니면 W221 350 or 500L 사려고 해요,3
재규어,XJ,카페에서 흘러들어왔습니다.  저 또한 디젤모델인데  xj는 휘발유보단 디젤이 운전의 재미가 좋은듯..엔진의 위치가 디젤이 룸깊이 있다보니 휘발유보단 확실히 다른듯하네요. 다이나믹모드에서 악셀로 전해져오는 엔진음은 벤츠 비엠에서의 디젤의 느낌과는 확연하게 틀리죠.  브레이킹도 1피지만 잘 만들어진 부속인것 같아 어지간한 3.4피보단 낫더라구요.과하지 않고 정돈 잘 된 실내는 더욱더 고급스럽지요. 다이나믹모드누르구 스포츠모드에서 패들로 가속하시면 운전에 재미에 심취할수도 있어요.^^  고속도로에서요.여튼 재미있는 영상기대합니다. 구독합니다.,4
재규어,XJ,거짓말도 정도껏 해라.,2
재규어,XJ,와~ 재규어 디자인 멋있다~,11
재규어,XJ,잘보고갑니다.. 항상 좋은 영상 만들어 주셔서 감사합니다,3
재규어,XJ,차만 어지간히 만들면 요즘 같은 레트로 시대 디자인은 짱인데.,6
재규어,XJ,재규어 참 좋아했던 차인데 ㅠㅜㅜ,9
재규어,XJ,1998년 공항에서 96년형 재규어를 봤는데 소리가 드렉터소리가 들렸던 기억이 납니다. 존재감을나타내려고 일부러 엔진 소음 크게 들리게 했나 생각한 적이 있었요..,1
재규어,XJ,나온지가 오래되서...클래식한 맛으로 타는 매력아닐까합니다 내년에풀체인지된데요,9
재규어,XJ,국산차리뷰좀해주세요~ 국민 80%가 국산차끌고다니는데 해외차 리뷰가 너무많아요!! 항상 재미나게보고있어요! 감사합니다,6
