car_brand,car_model,comments,likes
재규어,XKR,2012년식 이후 2차 페이스리프트 이후 차량인 것 같네요. 전 1차 페이스리프트 차량인 2010년식을 만 5년간 타고 있습니다. 제가 탔던 8대의 수입차  중 최고의 가성비와 만족을 준 차량입니다.  편안하면서도 강력한 파워를 가졌지요.달리는 영상이 아닌 점이 살짝 아쉽네요.ㅎ 잘 봤습니다.,3
재규어,XKR,510마력 이라고 재생 시간이 5분 10초 인가요?,5
재규어,XKR,사고싶은데 보험료가 어느정도 나오나요?,2
재규어,XKR,요세  요놈이 땡겨서리 매물보고있네요,2
재규어,XKR,2빠,1
재규어,XKR,댓글 1빠,1
재규어,XKR,와우,1
재규어,XKR,간지,1
재규어,XKR,차 이름이 둘다 바겼는데,1
재규어,XKR,내 차 멋지네,1
재규어,XKR,아싸 내 찾아,1
재규어,XKR,내 차는 잘생겼어 타보자,1
재규어,XKR,ㅐ,1
재규어,XKR,스포츠카 달링,1
재규어,XKR,아우디 R8달릴때 스포일러 올라온거 진짜 멋있다,2
재규어,XKR,개인적으로 아우디 r8 굉장히 좋아하는데장점 부분이 많이 나와서 뭔가 뿌듯하네요 ㅎㅎ,2
재규어,XKR,1:43 그와중에 재규어 추월하는 포터,73
재규어,XKR,뒤에 지나가는 봉고 가속도 지리네...역시,1
재규어,XKR,확실히 저 셋중에 R8이 디자인은 끝내준다,1
재규어,XKR,솔직히 r8 지금에 v10플러스는 머그러저럭 이해할수잇지만 지금나오는r8 은 미션이 일반 자동변속기여서 변속시점이 좀느린면이잇져,1
재규어,XKR,다른건 모르겠고 페라리 캘리포니아t 직접타니까 진짜 오지더라언젠간 나도 성공해서 페라리타고 싶다..,1
재규어,XKR,"컨셉 잡느라 힘들었겠다 ㅋㅋㅋ 공식 페라리빠인 진표 씨가 ""페라리 따위""라고 하다니 ㅋㅋㅋ",20
재규어,XKR,이희진이타는 부가티가 신의한수임.,1
재규어,XKR,"""풰롸뤼니까~"" ㅋㅋㅋㅋㅋㅋ",181
재규어,XKR,역시 믿음의 폭스바겐 그룹,1
재규어,XKR,난 개인적으로 가야르도나 우라칸보다는 r8이 더좋은데,19
재규어,XKR,난 다필요없고 라페라리 한번만 몰고다녔으면 좋겠다ㅠ,1
재규어,XKR,근데 차량 성능은 좋다해도 일반도로나 자동차 전용도로 높거나 낮은 과속방지턱을 넘을때 잘넘어갈수 있을까요?,1
재규어,XKR,서로의 디스는 없절수 없음 페라리나 대규어 R8같은 차들도 장단점이 있기때문에 어쩔수없음 그니까 그차가 안좋다 하시는분 가서 뭐라고 하는건 쫌아닌듯,1
재규어,XKR,아우디는 성능은 인정인데 그래도 하나 고르라면 페라리 고를것같단 말이지ㅋㅋ,1
재규어,XKR,일반 운전자들에게  솔까 대부분은 그냥 콰트로가 최고임. 그냥abs같은 기본 안전옵션이라고 생각하면 됩니다. 그리 생각하면 콰트로 옵션은 비싼게 아님.최대 약점 ㅡㅡ 방  심 ㅡㅡ,4
재규어,XKR,1:01 이 당시 탑기어코리아 볼때만해도 차 알 못이라 김진표가 저렇게 말해서 페라리가 r8보다 떨어지는 줄 알았었지,4
재규어,XKR,2:05 찐짜 웃김ㅋㅋㅋ,67
재규어,XKR,켈리포니아30 갖고싶다,1
재규어,XKR,재규어와페라리 따위라니,1
재규어,XKR,페라리 하면 빨간색이 갑이지!!!!,9
재규어,XKR,배기량 이  최고다,1
재규어,XKR,걍 현실에서는 젤비싼거 타는사람이 승자임,1
재규어,XKR,차를 모독하는거야 칭찬하는거야,1
재규어,XKR,뭐지...r8 의 장점이 코너링이라니..오히려 단점일텐데...,1
재규어,XKR,아우디가 2억대차라고해도 남자는 무조건 페라리,28
재규어,XKR,저게 XKRS 로 붙어야 얘기가 되는건데 우리나라에 XKRS컨버터블이 거의 없다. 그래서 섭외가 안된거구. 재규어 까봐야 의믜 없다.  XKRS로 붙었으면 R8하고 직빨은 붙어 볼만 하지. 단 미드쉽을 이기기 힘든 부분을 있지비.,1
재규어,XKR,코너에서 그 꽈뜨로 믿다가 여럿 가셨지 ^^사륜과 코너는 아무 상관없다,1
재규어,XKR,재규어 저 차는 본적이 없다 ㅋㅋㅋ,1
재규어,XKR,1.페라리2.아우디3.재규어,6
재규어,XKR,람보르기니 스파이어도 좋은데,1
재규어,XKR,디자인면에선 r8이갑이지,54
재규어,XKR,진표님이 타신 차 gta5에 흔히나오는차 아닌가 ㅋㅋㅋ,1
재규어,XKR,그래봤자 GTR 한테 안됨... 가격으로 생각한다면.,1
재규어,XKR,솔직히 운동성능 면에서는 페라리져,23
재규어,XKR,솔직히 뽀대나는건 R8임,1
재규어,XKR,썸넬 보고 포터랑 대결하는줄,13
재규어,XKR,당연히 페라리지ㅋㅋㅋ,1
재규어,XKR,원래 탑기어가 까고 까이면서 해악을 유발하는건데 ㅋ,1
재규어,XKR,고1인데 고3때 슈퍼카타고 등교해보고싶다,3
재규어,XKR,재규어 xkr에 1표,5
재규어,XKR,우리집은 짝퉁짝퉁 거리는 저차를 죽어도 못사는대..,1
재규어,XKR,제가 가장좋아하는차가 아우디R8이에요,8
재규어,XKR,계보가 없으면 만들어야지,1
재규어,XKR,방송 컨셉 이해 못하시는 분 많네,16
재규어,XKR,아직까지 이 영상 챙겨보시는분??ㅋㅋ,1
재규어,XKR,0:40 뒤 차들과 비교하면..........,3
재규어,XKR,남자는 로터스지,1
