car_brand,car_model,comments,likes
크라이슬러,캐러밴,잘 봤습니다^^ 크라이슬러 차량 중에 매력있는 녀석들이 참 많은 것 같아요. 우리나라에서 철수해서 참 아쉽네요,2
크라이슬러,캐러밴,현재 북미판매 1위 미니밴이던데요! 오딧세이나 시에나를 판매량에서 앞서는거 보면 정말 경쟁력 있나보네요!! 자봤습니다.,2
크라이슬러,캐러밴,와 정말 좋네요 카니발은 현재 타고 있는데 퍼시픽카가 10배 더 실용성 있고 좋은듯 하네요 ^^,2
크라이슬러,캐러밴,서스가 단단해서 살알짝 독일차 느낌이 실제로 납니다.  저는 2021 하이브리드 만불 디씨로 나온거 샀는데 만족합니다. 2020년보다 훨씬 좋습니다.,2
크라이슬러,캐러밴,캘리포니아 사는 2017년식 퍼시피카 오너입니다저어얼대 후회안합니다 ㅎㅎ다시 밴을 사라고해도 저는 퍼시피카입미다.2열 넣는 활용성은...어마어마합니다엔진도 짱짱하고요 ㅎㅎ근데 미션이좀 너어어어무 연비세팅이라좀 답답하지만 힘이없는건 아니라 만족하며 타고있습니다 ㅎㅎ,2
크라이슬러,캐러밴,액티브 크루즈 컨트롤은 네비게이션을 넣어야만 가능한가요?아니면 네비없이 그냥 10.1 인포테인먼트 모니터만 넣어도 가능한가요?,1
크라이슬러,캐러밴,우리나라에도 수입되면 진짜 좋을듯합니다.,2
크라이슬러,캐러밴,크라이슬러 브랜드는 다 말아먹고 퍼시피카라도  멱살캐리하네ㅠㅠ,1
크라이슬러,캐러밴,5인이 편안하게 탈 수 있는 가솔린 하이브리드 차량 보고있는데 이차량 넘 멋지네요~,1
크라이슬러,캐러밴,크라이슬러차들 엔진힘을 좋아하는 매니아분들은 많은데. 개인적으로 외관이랑 실내디자인에 이쁘게 신경 써주면 좋을텐데요.ㅋㅋㅋ,1
크라이슬러,캐러밴,이번엔 주행할때 표정이 너무 좋으시네요^^;  어떤 느낌일지 궁금합니다~ 가격이 있는 만큼 실내가 고급스러워보이네요. 오늘도 좋은 리뷰 잘 보고 갑니다.,1
크라이슬러,캐러밴,"아,,,  사고싶다사고싶다,,,  카니발,,,튜닝비용 개비쌈,,,,  퍼시픽카사고싶다~~~~퍼시픽카 가 크라이슬러 보이저 맞죠?",2
크라이슬러,캐러밴,이게 크라이슬러의 마지막 희망이군요... 소문이 자자하던데,2
크라이슬러,캐러밴,현제 한국에서 1억2천 달라하는데 사야할지 이차가 정말 마음에 드는데....,1
크라이슬러,캐러밴,수고많으시고 건승하십시오~,2
크라이슬러,캐러밴,지금 시에나를 가족용으로타는데 저차들어오면 바로사고싶네요.,2
크라이슬러,캐러밴,2열 폴딩하는 영상이 없네요 2 3열 폴딩하면 완전 차박가능,4
크라이슬러,캐러밴,으아  진짜 다보고 싶네용...,2
크라이슬러,캐러밴,참 관심있는 차였는데 남편이 패밀리 밴은 죽어도 타기싫다함 ㅜㅜ,2
크라이슬러,캐러밴,4륜인가요 예전에 2세대인가 4륜였나,1
크라이슬러,캐러밴,시트 밑으로 내려가는거..한국에서도 유명합니다근데 크라이슬러..제조사가 ...쩝,1
크라이슬러,캐러밴,잘봤어요,1
크라이슬러,캐러밴,오딧세이 리뷰부탁드립니다,1
크라이슬러,캐러밴,시에나  하이브리드  리뷰좀  부탁드려요퍼시피카는  국내출시가  안되서요시에나는 4월에  런칭 이던데궁금합니다,3
크라이슬러,캐러밴,오~~~~~표정을보니 ㅎㅎㅎㅎㅎㅎ♥♥♥♥♥♥♥♥,1
크라이슬러,캐러밴,미국은 아직도 블루레이 보나보죠?  유튭 시청하게 연결해 주시지?,1
크라이슬러,캐러밴,닷지 시트접는 시스템이 너무 넘사,2
크라이슬러,캐러밴,그랜드 카라반 지난해 미국서 미니밴판매1위인데12만대넘게 팔았는데ㅜㅜ,2
크라이슬러,캐러밴,따봉!!!,2
크라이슬러,캐러밴,ㅋㅋㅋㅋㅋㅋ 카니발요? 옵션 좋아하시면 그게 맞죠~ 작년 미국에서 카니발3천대 팔림,3
크라이슬러,캐러밴,"설정 재생속도 1.25~1.5배속 추천자기소개(나이.사시는지역만)년식 차량명 등급 선택옵션소유기간 키로수 그전차는 어떤걸 타셨는지 구매한이유 등급 선택옵션경쟁차종이 있다면? 근데안산이유가 있다면? 차량금액 / 할인 / 결제방법보험료 고급유 일반유인지 노킹 만땅비용 / 충전시간 비용 /  주행가능거리 연비 고속 시내 / 전비 / 한달유지비 디자인 차량밸런스(첫느낌) 뽑기 튜닝시트.포지션(키 몸무게) 핸들그립 무게감 버튼부위치(편의성) 수납공간 꿀팁승차감(1열운전석 2열뒷자리) 서스펜션 가속력(제로백) 제동력 코너링 기어비(변속타이밍.모드별변화) 엔진음 배기음 스피커 실내싸이즈(2열뒷자리) 2열폴딩 차박 장점.단점 /옵션 기능 장점단점/ 아쉬운점 차량가격 차량선택 색상 등급 옵션 등 종합적으로봤을때 후회되는부분 보증기간내외수리 및 메인터너스(정비성 수입차 소모품등 유지비)고질병.결함.잡소리.커뮤니티이슈 주위반응 / 하차감 / 애피소드 이차량에대해서 궁금하신분들이 많을텐데 꼭알아야될점 구매예정자분들께 조언을 해주신다면 (등급추천 선택옵션 년식별차이) 구매예정자 어떤걸 제일고민궁금차량추천여부 (이런경우는 비추천) 한줄평 / 5점만점 / 다시산다면",3
크라이슬러,캐러밴,확끌리는데 고장날때 수리비가 ㅎㄷㄷ,1
크라이슬러,캐러밴,옛날 1세대 탓었는데 기억 새록새록 하네요~,2
크라이슬러,캐러밴,7년째 타고 있지만 카푸어들은 절대못탄다 참고로 16년식 가솔린 모델인데 시내연비 6키로 나온다 덩치에 비해 좋은편이다 수리비?부속이 독일3사 보다 비싸다 어떤거는 턱도아니게 싼것도 있지만..차주분 아마도 센터들어갔다가 식겁하고 바로 팔았을거 같다...삼백이는 흔하지않아서 타고댕기고있다 개나소나 다타고 댕기는 독일차들 못타겠다 다음차는 벤틀리로간다,1
크라이슬러,캐러밴,저는 13년식 300c프레스테이지 타고 있어요 등급은 있어욤 가솔린2륜일반 디젤 2륜일반 2륜프레스테이지  4륜 프레스테이지 있어욤저도 2륜 프레스테이지 타고 있어욤 저도 각을 좋아해서 디잔인 하나로 1세대 08년식 디젤 2세대 13년식을 지금까지 타고 있어욤 많이 운행을 안하니까 지금도 5만때 300c 단종 단다고 해서 아쉬워요 지금까지 미국에서는 나오고 있으니깐 차는 만족도가 좋아요 거의 일자각 디자인이 좋은데 세단이 이제는 거의 없어서 다음은 캐딜락 에스컬레이터를 가야하나 고민중~~~,1
크라이슬러,캐러밴,남양주 크라이슬러 정비소 어디죠???흑흑 현직 크라이슬러 오너입니다...,2
크라이슬러,캐러밴,"Simple, to the point video. Nice. I own this vehicle, just recently bought, and wasn't too sure how middle seats work. Thanks",7
크라이슬러,캐러밴,"Interestingly, the older versions are more practical. First of all, after removing the seats, the weight of the vehicle is reduced, which makes it possible to transport more tons.",1
크라이슬러,캐러밴,"Thank you so much, it is just what I was looking for to position the seats. With this video I decided to change my car for this",2
크라이슬러,캐러밴,와 대박이네요 대한민국에도 이런차가 나왔으면 너무좋겟네요...차박캠핑용으로 너무 딱 좋을것같네요~우리나라 자동차 회사들도 이런차 꼭만들면좋겟네요...,6
크라이슬러,캐러밴,"Excellent video, right to the point. No talking needed. The only video I saw that pulled them out of the floor and set them up again.",7
크라이슬러,캐러밴,super sprawa !,11
크라이슬러,캐러밴,are the removable? i want to use one of these cars as a campervan and would like to use the space they drop into as storage instead,1
크라이슬러,캐러밴,"This system is great but those seats is to short for tall people.**System świetny ale siedzenia na tym ucierpiały i ich oparcia są po prostu za niskie, dla wysokoch osób może to być nawet niebezpieczne podczas kolizji.",1
크라이슬러,캐러밴,Wooow linda camioneta,1
크라이슬러,캐러밴,У меня такой 2006 уже 5 лет полет нормальный,7
크라이슬러,캐러밴,Muy práctica de lujo.,2
크라이슬러,캐러밴,WOW. So that's how the stow and go thing works.... the hyundai trajet I have has very similar seat lugs to hold the bottom of the seat to the floor BUT you have to take them out and put them somewhere else. And they're not that light....,1
크라이슬러,캐러밴,best practical car ever,75
크라이슬러,캐러밴,Офигеть гениально и просто,3
크라이슬러,캐러밴,Xe thiết kế tuyệt vời,2
크라이슬러,캐러밴,That's exactly what I definitely need.,3
크라이슬러,캐러밴,"Hola saluditos , me gusta tu video , ¿pero como recorro el asiento del conductor?",1
크라이슬러,캐러밴,Супер 👍👍👍,5
크라이슬러,캐러밴,"Классный аппарат! Я, не знал! Хочу в живую посмотреть! Какой двигатель? Расход? Отзывы?",2
크라이슬러,캐러밴,I love it. My next minivan has to do that,5
크라이슬러,캐러밴,Great seat stowage but try getting at the spare wheel! Apparently it's right under the middle of the car. But I guess you need that very infrequently.,4
크라이슬러,캐러밴,I want a 2001-2007 Dodge or Chrysler Minivan like that.,1
크라이슬러,캐러밴,Muy práctico,3
크라이슬러,캐러밴,Нашему автовазу такое даже во сне неприснится😭😭😭,1
크라이슬러,캐러밴,This video really helped me.. just watch where you put your fingers when the seat is folding away!,3
크라이슬러,캐러밴,Yo quiero una!!!!,1
크라이슬러,캐러밴,вот тет я понимаю трансформация.молодцы любят они своих граждан.,15
크라이슬러,캐러밴,The stow and go seats Were available From 2004 in the uk,5
크라이슬러,캐러밴,Is the fuel economy as bad as they say it is? Was thinking of selling my Picasso for one of these,3
크라이슬러,캐러밴,so awesome,2
크라이슬러,캐러밴,"Это все, конечно, прикольно и удобно, но..... Столько подвижных частей под попой пассажиров, это жесть! При дтп, не дай Бог, пассажиры вместе с сидениями по салону летать начнут))",1
크라이슬러,캐러밴,Ахуеть! 👍,1
크라이슬러,캐러밴,Nice car,1
크라이슬러,캐러밴,😍😍😍🥰,1
크라이슬러,캐러밴,座席が床下に格納できるのは良いね！,1
크라이슬러,캐러밴,"Если будете брать такой только берите 3.3 мотор, не убваемый или 3.8",2
크라이슬러,캐러밴,Хочу ещё посоветовать сделать антикорозийку иначе сгниет кузов. Сам обрабатываю каждый год. Задуваю полости с распылителя динитрол для полостей или растворенной с бензином пуш сало.,1
크라이슬러,캐러밴,"I really want one of these, shame they done sell them in the uk anymore 😩",2
크라이슬러,캐러밴,У русских конструкторов ума не хватает нормальную машину сделать.,1
크라이슬러,캐러밴,Хорошая машина для семьий,2
크라이슬러,캐러밴,fajny paten ,3
크라이슬러,캐러밴,Хочу себе такой,2
크라이슬러,캐러밴,Best car,3
크라이슬러,캐러밴,Super car,2
크라이슬러,캐러밴,I've never liked these cars. But that's a great system.,1
크라이슬러,캐러밴,"G R E A T , thanks for sharing video",6
크라이슬러,캐러밴,"У меня 1999, но тоже ништяков хватает, хороший американец",1
크라이슬러,캐러밴,Perfect,4
크라이슬러,캐러밴,"So it has folding seats? My 02 suburban does that and I have the space I could in a full size truck bed, but it’s also covered up",1
크라이슬러,캐러밴,Super practical,1
크라이슬러,캐러밴,Love my van keep the seats down have lota room,1
크라이슬러,캐러밴,Alguien puede decirme que aceite para el carter usa la dodge caravan año 2000,1
크라이슬러,캐러밴,"Y en el modelo que tengo yo, los asientos no se esconden, entonces ese espacio lo tengo vacio?",1
크라이슬러,캐러밴,I was able to get 112 Lbs  across back into the U.S. from mexico using this very van 🌚,1
크라이슬러,캐러밴,Это на нашей ладе такое😮😯🤔🤔👍👍👍,1
크라이슬러,캐러밴,Buenas noches todavía está en venta la camioneta,1
