car_brand,car_model,comments,likes
포드,기타,이런 사이즈의 차는 가족구성원의 승차감이나 편의성도 주요하게 따져봐야할거 같습니다.그러니 2열 3열 승차감 리뷰도 있으면 좋을거 같아요.,3
포드,기타,자동차리뷰  유튜버중 김한용씨가 제일 자연스럽고 보기가 편합니다.^^편안하게 잘봤습니다 ~,8
포드,기타,둘의 합이 잘 맞아서 너무 보기 좋아요♡,5
포드,기타,f150 기반으로 만든 SUV라 ㅋㅋㅋ 한국에 과연 이게 맞을까라는 생각을 많이 했는데 이제 출시 했네요... 엑스페디션 정도 돼야 풀사이즈 SUV라고 불르죠... 펠리세이드는 미드사이즈. 트레일러 브레이크 감도 조절하는걸텐데요 ㅋㅋㅋㅋ 무거운 트레일러에는 브레이크가 법적으로 달려 나와야 하니 차랑 트레일러 브레이크 싱크로나이즈 시키는거일겁니다. 그리고 시승차는 그냥 엑스페디션 이네요.... 맥스 버젼도 있어요. 트렁크가 더 커요,1
포드,기타,편집장님 마인드 대박 ㅋㅋㅋㅋ 꽉 막혔으면 이런 분위기가 안나는데 ㅋㅋㅋㅋㅋㅋ,33
포드,기타,진짜 주차공간 되고 세컨카 유지능력 되면 사고싶다..펠리세이드 타는데 진짜 저거 옆에 세우니 투싼이 되버리네,2
포드,기타,4:20 트레일러 브레이크 감도 조절 및 트레일러 메뉴얼 브레이크 입니다. 주행중 미끄러지거나 sway 현상 생길때 트레일러 잡아주는 거에요.12:30 트레일러 끌며 내리막길 내려갈때 브레이크 과열 되는거 막으려고 수동 변속 자주 씁니다.,7
포드,기타,모카 영상 자주올려주셔서 감사합니다 막내작가님도 자주 나와주세요 ㅎㅎ 분위기가 달라지네요 ㅎㅎ,4
포드,기타,파이브 헌드레드가 생각나는 외관이네요.다 맘에 드는데 네비가 너무 올드 해보이는게좀 아쉽네요. 도로에서 존재감 하나 만큼은굉장할 것 같습니다!,1
포드,기타,차가 크면 좋긴한데 한국에선 주차랑 골목길 운전은 힘들겠네요ㅠㅠ,5
포드,기타,확실히 대형 차량이라면 5m를 넘겨줘야 그래도 좀 낫죠프레임 바디는 아무래도 큰 차체를 유지하는데 최적이기는 하죠,1
포드,기타,왠지 모그에서 한용편집장님이 나와서 모카로 대성한것처럼 작가님의 작카도 편집장님 노하우 익혀 왠지 몇년 후 따로 독립할거 같은 예감이 드네요 ㅎㅎ,23
포드,기타,차...크기부터압도된다...지렸다...,2
포드,기타,F150의 SUV 버전이라 생각하면 편하겠군요 ㅎㅎㅎㅎ 펠리가 투싼이 되는 마법,1
포드,기타,요즘 차들이 워낙 비싸니까 저 사이즈가 8천이면 살만하네라는 생각이드네 ㄷㄷ,4
