car_brand,car_model,comments,likes
포드,윈드스타,촬영때   앞차를 운전한  인스트럭터 팀장  OXK 김흥섭 입니다.레인져때도 그렇고   차량의 정확한  기능을 설명을  쉽게 설명해주셔서  너무감사합니다,32
포드,윈드스타,"모카는 블랙리스트에는 안드나보네요 포드 개인적으로 훌륭한 차겠지만 비판이나 아쉬운 부분이 있으면 얘기하는게 회사의 미래에도, 소비자들에게도 신뢰성 높임에 좋습니다. 포드 코리아 갑질에 치가 떨리네요 미국차 개인적으로 좋아했는데 포드 코리아 *부장 덕분에 믿거 합니다",163
포드,윈드스타,갑질 홍보팀장 회사 리뷰하시느라 고생많으셨네요.포드는 해당 홍보담당 해고시키고 다시는 같은 갑질 못하게해라,71
포드,윈드스타,안녕하세요!~ 2년 전 구독자가 된 이후 최애 자동차 리뷰어로서 애청하는 1인입니다.이번에 브롱코 차량 구매 관련으로 고민하다!'포드코리아의 신부장 이라는 분의 '횡포' 에 'JEEP 랭글러' 로 넘어갈 예정입니다. 늘 잘 보고 있습니다. 고생 많으십니다.,31
포드,윈드스타,헛! 이 차가 그 유명한 유투버들을 조련하신다는 홍보 갑질차량이군요!! 노이즈 마케팅인가...? 나같이 오프로드 일절 관심없는 사람도 알게됐으니 능력이 완전 뛰어나시네요~,9
포드,윈드스타,유튜버 한테도 이리 대하는데 고객이 클레임 걸면 어떨지 눈에 훤히 그려진다 믿거 포드,50
포드,윈드스타,저도 오늘 다녀왔는데 가기전에 시승기 모카를 비롯해서 여러개를 보고 갔지만 정말 매력에 빠지는 시간이였네요,1
포드,윈드스타,와.진짜 살면서 한번쯤 경험해보고 싶은..,6
포드,윈드스타,포드차 리뷰가 좋은이유가 한마디라고 까는 멘트하면 시승행사같은데 초대도 안해서 라고하던데 ㅋㅋㅋㅋㅋ,49
포드,윈드스타,모카님 채널에서는 다양한 차량들 볼 수 있어서 참 유익한것 같네요 ~ ^^,2
포드,윈드스타,마케팅 부장이라는 기지베가 유튜버들 버릇을 잡아야한다 했다는데 한용이형 버릇 잡힌거 아니죠ㅠㅠ?,82
포드,윈드스타,와 드디어 한국에도 오프로드 시승이!!오프로드를 이렇게 편하게 가도 되나…진짜 공감가는 말씀이었습니다,2
포드,윈드스타,디팬더 사고싶었는데 브롱코 보고 넘어와버렸네요 시승기라던지 너무 깔끔하게 잘 설명해 주셔서 도움 많이 되네요,1
포드,윈드스타,"영상 잘 봤으며, 브롱코의 각진 스타일과 둥근 헤드라이트가 1세대 갤로퍼의 향수를 자극할만큼 한국적이며, 비슷한 디자인의 RV 더 뉴 랜드로버 디펜더, 메르세데스 벤츠 G 클래스 보다 가성비가 좋은 것 같아 마음에 듭니다.ps현대가 갤로퍼 1세대를 레트로 디자인으로 부활 시킨다면 가성비가 제일 좋은 RV가 될 것 같습다.☺️",6
포드,윈드스타,드디어 시승기 나오는구나...   매장에서도 볼수가 없던데..ㅠ,2
포드,윈드스타,캠핑이나 가벼운 오프로드 여행을 하기위해  지프는 식상하고 디펜더는 비싸다 생각할때 가장 알맞는 차량 같습니다.  여유만 된다면 세컨카로 루프탑 얹고 여행다니고 싶네요.,3
포드,윈드스타,모터그래프부터 김한용님 신뢰하면서 나름 대한민국 최고의 자동차 기자라고 생각하고 있었습니다. 그런데 이시점에 포드랑 떠들며 신차 리뷰라니요?  포드 하는짓 보면 지나가는 모든차에 침뱉고 싶은차가 포드 입니다. 물론 자동차 리뷰도 중요하지만       지금의 포드는 보이콧해야 하는 브랜드 입니다. 세상에 차는 많고 김한용 기자님을 신용 하는 사람은 더욱 많습니다 이들을 지켜주세요.,28
포드,윈드스타,신부장덕분에 난리도 아니네요 ㅋㅋㅋ 포드 리뷰마다 ㅋㅋㅋㅋ,7
포드,윈드스타,오늘 다녀왔는뎅 ㅋㅋ 온로드와 적당한 오프로드를 탈수있는 똑똑한 차에용 랩터를 타시는분은 실망할수도있어요 브롱코랩터가 나오면 다르겠지만용,1
포드,윈드스타,"벤츠 G바겐, 랜드로버 뉴 디펜더 등 고가에 첨단 기능이지만 일반인이 타기에는 넘사벽! 지프 랭글러는 구식 전통을 고수하다가 포드의 신형 브롱코에 백기 투항할 듯...",1
포드,윈드스타,우와 서울 근교에 저렇게 멋있는 자연이 있다니! 차랑 너무 잘 어울리는 장소예요!,1
포드,윈드스타,잘못하면 포드와 도매급으로 넘어갈수도 있는 상황.....포드에서 적절한 조치가 없으면 같이 넘어갈수도....,1
포드,윈드스타,브롱코 촬영차로 사주세요 🤣,135
포드,윈드스타,"영상 촬영 하실 때 셔터 스피드를 조금만 신경 쓰시면 1:34 , 6:05, 18:08 처럼 라이트라 빠르게 깜빡거리는 것을 없앨 수 있습니다.카메라 리뷰도 하시니 쉽게 이해하실거에요~",2
포드,윈드스타,이차가 요즘 핫한 갑질 최고에 포드 브롱코인가요?? 차량 단점 말하면 바로 블랙 걸어버린다는...,6
포드,윈드스타,포드 마케팅 부장 그런 사람 있는 이상 포드는 사주면 안됨. 어차피 살 생각도 없지만 한용 형님도  그 사람한테 굴복하신게 아니길 빕니다.,16
포드,윈드스타,포르자호라이즌5 게임하는데 브롱코 진짜 무척 예쁘더라구요ㅋㅋㅋㅋ 우리나라 들어왔다하여 관심있게 봤습니다,2
포드,윈드스타,브롱코 ev 나오면 사고싶다.,3
포드,윈드스타,스키장 최상급 슬로프가 28-32도 정도이니 어마어마하네요~,2
포드,윈드스타,처음으로 영상보는데 목소리가 차분하고 전달력이 좋으세요...팬이 될 거 같네요...,1
포드,윈드스타,기아가 레토나 민수를 발전시켰어야하는데....그게 브롱코네...갖고싶다 정말..!!,2
포드,윈드스타,오랫동안 기다린 찹니다 좋네요 생각보다 비싸게 나왔지만....오프닝에 서있는 회색이 이쁘군요 정말 너무 디자인이 이쁜듯,4
포드,윈드스타,투도어 싸스콰치 진짜 소장하고 싶네ㄷㄷ,1
포드,윈드스타,너무 멋진 곳이었어요! 얼른 브롱코 온로드 시승도 해보고 싶네요! 살 수 있으면 더 좋구요!,48
포드,윈드스타,단점을 말하지마세요 그 마음 다 이해합니다ㅠㅡㅠ 아무리 좋다해도 걸러듣게되는 포드차량 잘봤습니다,2
포드,윈드스타,전원 버튼 같은 라이트가 진짜 이쁘다.,3
포드,윈드스타,구매욕구가 절로 차오른다 진짜 클라스.. 영상속 시승용차라도 사고 싶을 정도네요,6
포드,윈드스타,ㅋㅋㅋ 포드 땡부장 얘기밖에 없엌ㅋㅋㅋ차는 이쁘네 칫,7
포드,윈드스타,각도로 28도면  퍼센트로 53% 정도 되네요 ....  잘 올라가네요 ㅎㅎ,3
포드,윈드스타,진짜실망입니다 칵퉤 지63amg세컨으로타는데 오프하긴그래서 지프보다가 브롱코보는데  정냄뚝 아무리좋다한들   이게 과연 진심일까 요즘세상이  어느땐데 독재도아니고김한용대표 기자님 이런회사 리뷰해주지마세요,7
포드,윈드스타,김한용 기자님과 장진택 기자님 콜라보도 보고 싶습니다^^,1
포드,윈드스타,옥타브가 높아진걸 보니.. 쫄으신듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7
포드,윈드스타,블랙리스트에 들지않아 좋겠네요. 비판은 못하고 쭉  빨아주시겠네.,7
포드,윈드스타,포드 픽업을 눈여겨 보고 있던 사람인데 포드코리아 마케팅팀이 하는 꼬라지 보고선 살 마음이 싹 사라졌네요. 주위에도 포드는 상종하지 말라고 알릴 예정입니다. 요즘 시대에 도대체 누가 그따구로 마케팅하는지 원...,2
포드,윈드스타,어차피 장점만 말할거 같아서 기대도 안함 ㅋㅋㅋ,7
포드,윈드스타,16:59트레일턴은 진짜 신기하당,5
포드,윈드스타,포드는 랩터때도 그렇고 오프로드에 ㄹㅇ진심이네ㅋㅋㅋ,1
포드,윈드스타,마케팅을 얼마나 잘하는지..,9
포드,윈드스타,마케팅 잘하네 포드 ㅋㅋㅋㅋ,11
포드,윈드스타,쭈니형 시승하던 차량넘버네요 ㅋㅋㅋ,1
포드,윈드스타,"의도한 부분은 아니겠지만 디자인이나 컨셉이나 스펙상으로는 오프로드 스타일을 지향하는 온로드SUV 느낌이네요.. 디팬더의 가격 단점을 커버하면서 랭글러의 거침없는 느낌을 가져다 주는거 같아서 실질적인 타겟은 디팬더나 지바겐을 꿈꿨던 분들에게 가격적인 대안으로 작용할 수 있을 거 같아요,, 이런 측면에서 온로드에 대한 부분도 분명 강조되는 마케팅도 있어야 한다고 생각합니다. 랜드로버의 대부문의 모델들이 도강능력이 뛰어난데 구매고객 중 도강하는 고객이 얼마나 되겠어요..온로드 시승기가 분명 더 많아야하고 스타일상 취약할수 있는 소음부분등 인정하면서도 대신 이건 지금껏 느껴보지못한 어드밴처도 선사할수 있어 라던지 하는 이런 부분들이 필요 할거 같아요~",1
포드,윈드스타,아 이게 “그” 메이커군요,10
포드,윈드스타,차에 안좋은소리. 조금이라도. 하면. 매장시킨다던데 여긴칭찬만하네 ㅋㅋㅋㅋㅋㅋㅋ,11
포드,윈드스타,뒷쪽에 보니 아주 거칠고 남자답게 올라가시더라구요! 역시 프로심,6
포드,윈드스타,주문해도 살 수가 없어요. 옵션 넣으면 가격도 엽기적으로 높구요. 1억도 터치할 듯...,2
포드,윈드스타,쿠키 영상 때문에 노해리 기자의 씨카고 구독했어요 ㅋㅋㅋ,2
포드,윈드스타,잼나겠다 오프로드는 시승차로 내차는 소중하니까,1
포드,윈드스타,역대급 갑질차ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5
포드,윈드스타,왘 씨 차 지렸다 ㅋㅋㅋㅋㅋㅋㅋㅋ이제 포르자 말고 현실에서도 탈 수 있나?,2
포드,윈드스타,매력적이고 멋진차군요.근데 우리나라에서 오프로드로 얼마나 타고 다닐지!!!그냥 특정인들을 위한차네요.,1
포드,윈드스타,와 포드랑 짬짬이 하신 유트버가 여기도 있네???,5
포드,윈드스타,쌍용이 저런걸 만들었어야 안망했는데 ㅋㅋㅋㅋ,25
포드,윈드스타,여긴 안찍혀서 다녀왔나보다 ㅋㅋㅋㅋㅋㅋ,9
포드,윈드스타,안성이네요.. 잘 아는 곳이네요.. 촬영을 하니 이렇게 멋져 보이는군요..,1
포드,윈드스타,사고싶다.,2
포드,윈드스타,"브롱코 궁금한 게 있습니다~~우리나라에는 아직 포 도어를 모두 개방하고 주행하는 것에 관한 도로 법규가 없어서 원칙적으로 도어를 다 떼고 공도를 달리는 것은 불법으로 알고 있는데요, 오프로드나 사유도로에서 도어를 모두 개방하고 타는 것은 합법인가요??(오프로드나 사유지에서 단속 당할 일은 없다고 하지만 원칙적으로 법이 어떻게 되어있는지 궁금해서 혹시 답을 얻을 수 있을까 답변 남겨봅니당)",2
