car_brand,car_model,comments,likes
포드,파이브 헌드레드,포드파이브 명차,1
포드,파이브 헌드레드,포드가 프리미엄이었다면 링컨은 얼마나 높았을까요... (당시 포드 소유의) 재규어는 천상?,2
포드,파이브 헌드레드,역시 2열은 김선웅기자님이 직접 탑승해주시고 손바닥도 넣어주셔야 공간감에 대한 느낌이 확오네요,61
포드,파이브 헌드레드,"미국 가격대비도 잘나온 모델, 다만 아쉬운건 신형이 나오기 전이라 재고처리 느낌이 강함. 알빙을 즐기시는 분들에게는 모하비가 한계였는데, 익스페디션이 나오면서 드디어 24피트 이상급 미국식 트레일러도 견인이 가능해짐.",6
포드,파이브 헌드레드,실내가 트럭처럼 살짝 투박하긴 하지만 주차 문제만 아니었더라면 한 번쯤 소유해보고 싶은 차네요..,9
포드,파이브 헌드레드,덩치도 큰데 제로백도 엄청나군요. 약간 닷지 느낌이 나는 위압적인 크기. 잘 보고 갑니다 ~~,14
포드,파이브 헌드레드,와 10단 변속기도 처음보는데 널뛰기라는것도 있네요 ㄷㄷ,4
포드,파이브 헌드레드,신형에스컬레이드를 기다리는 사람들이 많던데 익스페디션이 가격차이를 내세워서 대체제가 될 수 있을지 정말 궁금하네요영상 감사히 보겠습니다!,11
포드,파이브 헌드레드,이때가 405마력 / 66토크 정도 되는데 곧 페리되어서 들어오는 모델은 440마력 / 70.5토크니까... 스포츠카가 아닌 이상 웬만한 달리는 차들도 이 덩치의 차를 보고 긴장해야 할 듯 하네요 ㅋㅋ,3
포드,파이브 헌드레드,제 갠적 최애의 차량 전문 채널입니다. 잘 보고 있어요. 고맙습니다.,9
