car_brand,car_model,comments,likes
포르쉐,911,"자동차디자인을 사랑하는 사람으로서 ‘장진택’님의 영상으로 알지 못했던 많은 부분을 배우고 간접경험하고 있어요! 감사해요!  특히, 이번 포르쉐 영상을 보고 느낀점이누구나 이 영상을 보면 포르쉐를, 911을 사랑할 수 있겠다싶어여요! 예전에 많은 현실적 어려움으로 힘들어하셨는데, 이제는 뭔가 마음이 홀가분해진 듯해보여서 보기좋네요! 힘내시구요! 파이팅입니다:)",14
포르쉐,911,편집 너무 좋네요 ㅋㅋㅋㅋㅋㅋ 30분이나되는 긴 영상이 전혀 지루하지않습니다 ㅋㅋㅋㅋㅋ 유감독님 최고! 진택이형도최고!,37
포르쉐,911,멀리서 잘보고 있습니다..항상 재밌는 리뷰와..어려운 상황에서도 꾸준한 컨텐츠 제작해주셔서 감사드립니다..화이팅 입니다.!,3
포르쉐,911,진짜 디자인 너무 이뻐서 미쳐버릴 것 같습니다. 열심히 일해서 꼭 사겠습니다 :),4
포르쉐,911,형님이 운전석에 타고계시면 앞뒤 무게배분 반반이 되서 최고의 성능을 낼 수 있을것 같습니다,222
포르쉐,911,진짜 30분이 지루하지가 않네 ㅋㅋㅋㅋㅋ 진택이횽 유감독님 감사해요! 저도 평생 할부로 질러야겠어요 ㅋㅋㅋ,7
포르쉐,911,좋은 영상 잘 봤습니다. 장진택 기자님 채널 보면 많은걸 배우고 느끼는 기분이라 참 좋네요. 즐거운 오후 되세요^^,2
포르쉐,911,유감독님 장기자님 빈틈 웃긴영상 올려주는거 최고예여 ㅋㅋㅋ마지막 ASMR 최고 +_+)/,7
포르쉐,911,"국산 브랜드 차도,, 고유모델의 아이덴티티를 오랜기간 유지하면서 디자인을 진화시켜가면 좋겠네요,,",2
포르쉐,911,장진택 기자님의 992 리뷰 더 보고 싶습니다. 추가적인 리뷰 부탁드립니다.,3
포르쉐,911,"911관련 영상, 국내는 물론이고 해외채널도까지 수십개 보았는데  그중에 눈에 띄게 담백하고 명료해서 보기 편하네요.",1
포르쉐,911,국내에선 시승만 보여주던데 자세하게 설명까지 감사합니다. ㅎㅎ,1
포르쉐,911,포르쉐는 미션 변속이 타 브랜드들에 비해 정말 일품이라는데 ...,2
포르쉐,911,"와. 포르쉐는 슬픔이네요. 젊을땐 돈 없어서... 나이먹고는 '내가 이걸? '  성능면에서는 정말 넘사벽이네요... 하지만 역시 스포츠카, 영상에서도 전해지는 내장재 잡소리들은 어쩔 수 없나봅니다.  세컨으로 갖고싶네요. 오늘도 영상 재밌게 잘 봤습니다.",2
포르쉐,911,공냉993 이후로는 변종모델이지요. RR에서 MR에 가까워진거니. 기계적 완벽미는 최신형이 좋져 당연히 감성점수는 빗물받이가 있던  964와 993이 마지막 아닌가 합니다. 그런면에선 singer가 대단한거 같아요. 비율이 갈수록 넓어져서 개구리가 아니라 넙치같네요,1
포르쉐,911,이분 진짜 리뷰 잘하셔 진짜 너무 잘하셔 깔끔해,3
포르쉐,911,포르쉐보다 유감독님 편집이 넘사벽이네요 ㅋㅋ 오늘도 잘 봤습니다 :),2
포르쉐,911,차도 최고 찐택이횽도 최고 감독님도 최고~,1
포르쉐,911,감독님이랑 진택이형 조합이 너무 좋다 ㅠㅠ영원했으면..,1
포르쉐,911,카미디어는 매번 볼때마다 신기한게 영상을 2~30뷴 짜리를 보면 체감은 10분도 안됨진택이형이랑 유감독님캐미 너무 조하,6
포르쉐,911,원래 911 뒷램프가 4s만 길게 쭉이어져 있어서 4s를 성능 때문이 아니라 램프 땜에 선택하는 사람이 많았는데 이젠 모든 911이 전부 뒷램프가 쭉 연결되있어서 구매자 분들한테는 좋겠네요,1
포르쉐,911,국내 911리뷰중에 디테일함이 살아있는편이었슴 ㅋㅋㅋ,1
포르쉐,911,이야 장진택 기자님의 포르쉐 911 카레라s 리뷰!!! 완전 기다렸습니다!!선댓후감상 가겠습니다. 차 진짜 이쁘네요 ㅠ,4
포르쉐,911,전 차 잘모르는데 역시 아는만큼 보인다구 설명 들으니까 볼수록 대단한 차네요,2
포르쉐,911,와... 제로백 3초 중반대에 제동거리가 무려 30m도 안되다니... 역시 포르쉐는 확실히 타의 추종을 불허하는 차인가봅니다...,3
포르쉐,911,포르쉐는 진짜 못참지.. ㅠㅠ  돈도 없고 대기자도 너무 길고 ㅠㅠ 실컷 군침만 흘리고 갑니다 영상 잘봤습니다 유은익감독님 진택이형 수고 많으셨어요,3
포르쉐,911,고등학생때 체육선생님 차가 포르쉐 카레라 S 이길래 뭐지.. 선생님이 살 수 있을 정도면 포르쉐 치곤 비교적 싼 차인가 보네... 생각했는데 나중에 가격 알아보니 헉...! 선생님이 금수저였던거임 ㄷㄷ,17
포르쉐,911,유독 포르쉐 리뷰하실 때 엄청 흥분하신거 같음ㅋㅋ제가 좋아하는 몇안되는 차리뷰 유튜버들 중 한분이십니다ㅎ,18
포르쉐,911,선배님 점점 젊어지시는 거 같아요. 차랑 무척 잘 어울리세요. 평생할부 한 표 합니다!!,3
포르쉐,911,이분 리뷰 디테일 갑이시네요 ㄷㄷ 은근 웃기기도 하고 ㅎㅎ,4
포르쉐,911,디자인...OMG성능...OMG가격...OMG,2
포르쉐,911,"다른 채널은 영상 길면 보기 귀찮아지는데,미디어오토는 오히려 영상이 길면 좋아요 ㅋㅋㅋㅋㅋㅋㅋ제 드림카 중 0순위인 911...저도 언젠가 탈 날이 왔으면 하네요",1
포르쉐,911,아 진짜 사고싶다 ㅠㅠ,2
포르쉐,911,차 제조사라면 저런 차 한종쯤 만들어 볼려고 하는게 정상 아닐까요? 1억 가까운 판매가도 받아들여지는 좋은 환경도 갖춰졌는데 말이죠!,1
포르쉐,911,제가 알기로 뒤에 그릴 갯수 양쪽 9개씩 가운데 제동등 포함 9 11 9 나타내는걸로 알아요.. 요런거 설명 추가되도 좋았을것 같아요 :),2
포르쉐,911,진택이형 더 나이 먹기 전에 포르쉐 타야 하는데  구독자 50만 가보자,86
포르쉐,911,진택이형은 항상 옳아~~유은익 감독님 홧팅~~~~,2
포르쉐,911,"991 mk.1 자연흡기 대비 실내 소음 유입 억제가 엄청 좋아져서 정숙성(상대적인)이 좋아졌는데 엔진음도 같이 차단되서 꽤나 아쉬웠어요. 예전대비 조용하고 더 편하고 빠른차가 된 듯. 장기자님, 991.1에서 타이칸을 가실래요, 992로 가실래요?(캐피탈 인증 났다는 전제 하에서요)",2
포르쉐,911,와~~단차봐 끝내주내요 역시^^,3
포르쉐,911,장진택 기자님 다음에는 출고 영상을 기다리겠습니다^^,1
포르쉐,911,와씨 포르쉐를 리뷰할줄 이야 나의 꿈의차 ㅠㅠ,1
포르쉐,911,포르쉐는 본래의 디자인을 그대로 계승해왔는데 이쁨,1
포르쉐,911,배기소리만으로 진짜 가지고싶다 와~,1
포르쉐,911,100년 할부 있으면무조건 그냥 사고싶다,1
포르쉐,911,아 정말이지 911의 헤리티지와 성능은..... 드림이다.,1
포르쉐,911,포르쉐 ASMR은 장기자님이 최초아닐까요 ㅋㅋㅋㅋ,4
포르쉐,911,포르쉐는 엔진소리가 너무 멋지다...,1
포르쉐,911,와 이 대박이다 진짜 와 차 시동거는데 가슴이 뛰네,1
포르쉐,911,포르쉐는 저도 평생할부로 갖고싶네요 ㅠ.ㅠ시운전에서 너무 신난모습이 찐이네요^^,1
포르쉐,911,세상 뽐뿌오게 하는 리뷰!!,1
포르쉐,911,와 ASMR .....가슴까지 울리네요......ㄷㄷ,2
