car_brand,car_model,comments,likes
포르쉐,타이칸,편집자 진짜 센스가 ㅋㅋㅋㅋㅋㅋ 군데군데 깨알 드립들 덕분에 재밌게 잘 봤네요 ㅋㅋ,37
포르쉐,타이칸,350km 시승기라니 다들 고생많으셨네요ㄷㄷ,12
포르쉐,타이칸,와 그래도 진짜 전기차 좋아졌구나주행거리 꽤 괜찮네요,2
포르쉐,타이칸,아 가끔 저렇게 같은 차들이 일렬로 쭉 다니던게 어디 동호회에서 나온게 아니고 시승회가 있어서였구나ㅋㅋㅋ,15
포르쉐,타이칸,솔~직히 서는 거 보고 싶어서 끝까지 본 1인 ㅋㅋ마무리가 너무.... 지치셨어요 ㅜㅜ 그래도 조금은 총정리 해주실 것을 기대했지만^^고생 정말 많으셨습니다.,13
포르쉐,타이칸,타이칸 실물 진짜 개멋 ㄷㄷㄷㄷ,30
포르쉐,타이칸,"반전으로 카메라가 먼저 방전이라니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전기차오너로서 (니로EV) 이번 리뷰블 보며 느낀거지만, 전기차는 장거리 주행을 해야 한다면 필히 주행코스네에 급속충전 인프라를 미리 파악하고 가능할때마다 짦게 10분이라도 충전을 해주면서 가야  안전하다..아니 필수다 인거 같습니다 ㅋㅋ. 실제로 가장 멀리 가본게 강릉과 대전인데, 다행이도 요즘은 이핏트도 그렇고 한전급속 충전 인프라도 전국에 많이 있고 환경부꺼는 비록 고장나있는게 많긴 하지만 말할거 없이 보급이 많이 되어있고..이런 점이 불편하다고 느낀다면 불편하겠지만, 사람마다 성향이 케바케인 만큼 저는 아직까지 불만은 없네요. 실제로 목격했을때도 헉소리 나올만큼 너무나도 이쁜 타이칸 리뷰 정말 잘보고갑니다.",2
포르쉐,타이칸,18:42 와..진짜 유튭각 잘 뽑으신다... 타이칸 배터리 없다고 뜨니까 카메라도 방전.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이런 타이밍 미쵸..,38
포르쉐,타이칸,근데 이렇게 가혹하게 주행을 했는데 350키로 완주가 된다면...환경부 공식거리랑은 차이가 꽤 크네요,25
포르쉐,타이칸,이런 시승기 너무 좋아요.. 평생 저런 차를 탈수는 없지만(에혀)... 멋지다.. 흠흠... ㅎ,1
포르쉐,타이칸,이거 한상기 기자님이 왜 저러냐고 했었는데 그게 바로 이 영상이었군요… 배터리 4% 남은 상태에서 간당간당 주행을… 김한용 기자님 수고 많으셨습니다 ㅠ,29
