car_brand,car_model,comments,likes
포르쉐,파나메라,파나메라는 역시 패스트백 스타일이 잘어울리는 차네요.😄😄,4
포르쉐,파나메라,진짜 너무 짱이다....ㅠㅠ....타보고싶어,5
포르쉐,파나메라,파나메라는 기본형도 예쁘지만 이그제큐티브 모델이야 말로 4도어 대형 세단의 모습으로써 길이가 완벽한 것 같아요 한번 보니 기본형 모델은 짧아서 스포티하면서 예쁘긴한데 911에서 조금 늘린듯한 모습으로 보이기도 하고 뒷 도어도 짧아보이고 승하차랑 발 두는 게 조금 답답해보였는데 이그제큐티브는 완벽히 편해보이면서 앞 뒤 도어의 밸런스가 맞아 옆에서 보면 딱 예쁘네요 다만 페이스리프트의 유일한 단점인 리어램프는 3단이 없어지긴 했지만 예뻐지긴 했는데 브레이크 등이 2발로 변한 건 너무 아쉽습니다 페이스리프트 전이 확실히 4발이라 존재감이 어마어마하더군요 카이엔처럼 뒤에 이어지는 리어램프에서 갈고리를 조금 크게하고 브레이크 등을 4발로 넣었으면 완벽했을텐데 하는 아쉬움이 있습니다 어차피 얇게 넣을 거면 말이죠 그리고 인증때문이긴 하지만 개인적으로는 앞에 데이라이트 등도 2줄로 된 터보 스타일도 예쁜데 기본형 한 줄이 더 차분해서 좋았는데 살짝 아쉽긴 하네요 그래도 너무 갖고 싶은 완전 완벽한 차라는 점...,4
포르쉐,파나메라,기업 총수가 된다면 대형 세단대신 꼭 타보고 싶은차.. 왠지 타다보면 기사님 뒤에 태우고 내가 직접 운전할것 같은 ㅋㅋㅋ,3
포르쉐,파나메라,무더운 날씨에 고생많으시네요늘 좋은 영상 감사합니다,4
포르쉐,파나메라,간결하고 빠른 설명  정말  좋네요,1
포르쉐,파나메라,12:55 이차도 전동 트렁크라 그런지 특유의 과감하게 닫아버리는 한상기 트렁크를 못보는게 아숩네요.😄😄,9
포르쉐,파나메라,사고싶다 ㅎㅎㅎ,1
포르쉐,파나메라,잔고장이 어느정도있는편인가요?,2
포르쉐,파나메라,최고의 차죠!,1
포르쉐,파나메라,전면 디자인 터보 전용 아닌가요? 일반 파나메라는 스포츠 범퍼 옵션 선택 못 하는 걸로 알고 있는데 궁금하네요,197
포르쉐,파나메라,뜬금없지만 날씨 넘 좋다요👍,1
포르쉐,파나메라,며칠전 시내주행하다 결함으로 멈춰있는 신형포르쉐를 보고 보란듯이 신나게 달려주었습니다.,2
포르쉐,파나메라,진짜이쁘다 파라메라 완전 실용적인데 이뻐 ㅜㅜ,1
포르쉐,파나메라,한상기님은 S 400d와 이젝큐티브 중 뭘 선택하실건가요? 이번에 구입하면 10년 이상 탈 생각인데 아무래도 시간이 지나면 S가 디젤인게 걸리네요.,2
포르쉐,파나메라,믿고보는 상기형 리뷰,1
포르쉐,파나메라,저는 만약에 포르쉐를 산다면 저는 911로~! 근데 파나메라도 진짜 이쁘긴하다ㅠㅠ,2
포르쉐,파나메라,형님 항상 빠른 리뷰 감사합니다,1
포르쉐,파나메라,궁금한게 있는데요 혹시 20년식 파나메라 하이브리드도 pdcc가 기본인가용?,2
포르쉐,파나메라,포르쉐 역시 멋있네요.잘 보겠습니다.,4
포르쉐,파나메라,17:53 18:39  믿고보는 한상기 코너링,57
포르쉐,파나메라,뒷좌석을둘로 가르는 터널을 없애거나낮추면 공간이 훨씬 넉넉해질 건데..저걸 그대로 유지하는이유가 뭔가요?잘 몰라서 묻습니다.,1
