car_brand,car_model,comments,likes
폭스바겐,폴로,계약완료 됐습니다 감사합니다 ^^,2
폭스바겐,폴로,주인장님의 텐션이 너무 좋아서  '구독' 꾸~욱 누르고 갑니다.,1
폭스바겐,폴로,카플레이어가될까요?,3
폭스바겐,폴로,세컨드카로 고민하고 있는데 영상 잘 보고 갑니다^^,3
폭스바겐,폴로,와 진짜 디테일하시다....,3
폭스바겐,폴로,좋은 영상 감사합니다! 폴로는 고질병이 있을까요?? 그리고 이 차는 에어컨에서 잡음이 나나요??,2
폭스바겐,폴로,수입차치고 가격 너무저렴하네요 ~~,2
폭스바겐,폴로,늘 잘보고있어요~바쁘시겠지만 영상자주올려주세요ㅋㅋ화팅!,2
폭스바겐,폴로,제주도 저도 가고싶네요 ㅋㅋ 1.4 1.6 비교하신거 보니 1.4가 세금도 싸고 옵션도 많고 훨 낫겠네요 ㅎㅎ,3
폭스바겐,폴로,제주도 가즈아~~~~~~~~~~~~~~~~~~~~~~~~~~~~,2
폭스바겐,폴로,ㅎㅎㅎㅎㅎ 쩐다 넘웃기고 좋은정보네요~,3
폭스바겐,폴로,5년전에 티구안 사려는 친구 따라 매장 갔다가 요 차에 꽂혀서 여기저기 만져보고 열어보고 했던 기억이 납니다.  지금 모는 스파크도 꽤 묵직한데 문이나 트렁크 열때 무거운 느낌이 꽤 좋았었어요.. 지금 사자니 디젤만 있는 게 많이 아쉽고 수입차 입문한다면 폴로보다 갠적으로 디자인은 별로지만 1.4tsi 골프로 가지 않을까 싶습니다. 버튼시동이 있어요 그 차엔 ^^,1
폭스바겐,폴로,세컨차로 최고입니다16년식 구매후 잔고장한번 없이 잘타고 있습니다장단점얘기해주시는거는 진짜 공감가네요,2
폭스바겐,폴로,디자인 거주성 및 고속안전성은 최고임 진짜  근데 리어 서스펜션이 껑충한건 왜인지 아직도 의문임,2
폭스바겐,폴로,폴로리뷰보기힘든데 너무잘봤습니다ㅎㅎ하체장점이 공감많이되네요 그나저나 폴로데리고 써킷을 가보시다니..저도 함 데리고 가보구싶네욬ㅋ,2
폭스바겐,폴로,시내주행이랑 고속주행 연비가 궁금합니다!!,1
폭스바겐,폴로,폴로 중고를 염두에 두고 있다가  리뷰 보게 되였네요.   역시 차주분이 직접 하셔야 리뷰가 제맛입니다. ㅎ   경차로 갈지  폴로로 갈지 고민중입니다.    1.4와 1.6   차이(장단점) 가 알고싶습니다.,1
폭스바겐,폴로,하루 주행거리가 80키로라 폴로 알아보고 있는데 영상 감사합니다,2
폭스바겐,폴로,뭔가 목소리도 그렇고귀에 쏙쏙 박히고 관심있게보고있는차인데 너무 잘봤습니다,1
폭스바겐,폴로,영상 잘 봤습니다.^^애플 카플레이 업체 견적 등이 궁금합니다.^^(카페 youtube 소개글 댓글 달았습니다.~~ 채팅이나 댓글로 알려주시면 감사하겠습니다.),1
폭스바겐,폴로,좋은 영상 감사합니다 ㅎㅎ혹시 클리오 타보셨나요?  저는 해외에 있어서 폴로랑 클리오랑 고민중인데 정말 어렵네요^^;;,1
폭스바겐,폴로,부속  유지비가 적게 들어 가는게  장점....,1
폭스바겐,폴로,캬! 새로 영입하신줄 알았는데 .. 반전이.. 신차같습니다. 역시 성격이!! 판매하시면 줄서볼게용 세컨카로 ㅎㅎㅎ 전조등 흰색으로 바꾸면안되나요? HID 아니고 색깔만 바꾸면 괜찮을텐데.. 비오는날 잘안보이려나요...,1
폭스바겐,폴로,디젤 진동 소음은 어떤가요?차는 정말 좋은거 같은데..,1
폭스바겐,폴로,혹시 이차는 네비게이션 기능 없나요?,1
폭스바겐,폴로,동영상 잘 봤습니다!! 혹시카플레이 어떻게 하셨는지요 ㅠㅠ 저는 연결하면 폰 잠금을 해제하라고 나오면서 안됩니다.. 분명 폰 잠금 해제했고 지문인식 비밀번호도 해제했는데도 이러네요 ㅠㅠ 혹시 방법 아시나요?!,1
폭스바겐,폴로,사회초년생인데..폴로 부담 스러울까요? 현기차는 너무 싫고...폴로를 살려고 거의 마음을 굳혔는데...혹시 고장이 나면 수입차라서 수리비 같은게 너무 걱정되네요...,2
폭스바겐,폴로,예전에 댓글 달고 다음주 수요일날 차를 보러가볼려구요 13년도 14년도 15년도 출고 차가 서로 많이 다른가요? ㅠㅠ 아는게 없네요 물어볼곳이 없어 여쭤봅니다,1
폭스바겐,폴로,어짜피 골프있는데 투도어로 만들어 줬으면 하네욤,1
폭스바겐,폴로,나는 디젤이달달달달 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 재밌네요,2
폭스바겐,폴로,가솔린없어요?,1
폭스바겐,폴로,3기통...,1
폭스바겐,폴로,"차 살때엔 무조건 오투뷰 김기태PD님의 평가를 기준으로 선택합니다. 주변 사람들이 차 선택에 대해 물어볼 때에도 저는 무조건 오토뷰를 볼 것을 추천합니다. 국내 자동차 리뷰 매체 중 가장 전문성 있고 공정한 시승기를 제공하는 오토뷰,  앞으로도 멈추지 말고 더욱 발전하기를 기원합니다.",30
폭스바겐,폴로,폴로 vs. 골프는 제일 궁금했었던 것중에 한가지였는데 오토뷰에서 꼼꼼히 다루어주셨네요. 영상 잘 봤습니다.,1
폭스바겐,폴로,16년 2월 은색폴로 구입해서 아주 만족하면서 타고 있습니다.기본기가 차에서 가장 중요하다는것을 다시한번 느끼고 있네요~^^♥,3
