car_brand,car_model,comments,likes
푸조,508,"오랜시간 동거동락하던 BMW E90 335i에서 실용성을 위해 17년도에 푸조 3008로 넘어왔는데, 핸들링 진짜 물건입니다.푸조는 알아주지만, 환불 모터스 때문에 편견갖고 무시했었는데 실용영역 구간에서 너무 좋아서 만족하고 있습니다.펀 드라이빙이 가능하겠금 셋업되어있고 차량의 아이덴티티가 잘 잡혀있어서 매력적입니다. 스티어링휠이 작고 차량선회력이 좋은데다 핸들링이 좋다보니 도심에서 내가 원하는 만큼 잘 움직여줘서 좋습니다. 시트포지션도 좋고요.대신 단점으로는 출력이 낮죠. 하지만 디젤이라 초반 답력은 준수하고 연비가 말도 못하게 좋습니다.푸조는 디젤 한우물 오지게파고, 세계최초 디젤터보 만든 회사니 기술력은 인정요즘 다시 세단으로 넘어가려고 스물스물 뽐뿌를 받고 있는 상태라 BMW 7세대 3시리즈 관심 갖고 있는데, 이 영상보고나니푸조 플래그쉽 모델인 508도 시승해봐야겠네요. 주변 지인 차덕후들에게 508은 평이 좋습니다. 우선 이번 3시리즈는 너무비싸게 팔고 있어서.. 508과 가격차이가 엄청나더군요.",6
푸조,508,"푸조 308 5년 소유했었다. 단단한 하체, 미친 연비, 고속 안정성 이 세 가지는 확실히 만족스러운 부분이었다. 다만 없어도 너무 없는 옵션과 비싼 부품비, 중고가 방어력 등은 큰 단점이었다. 결론적으론 푸조 재구매 의사 있긴 하다. 근데 새차 말고 신차같은 중고를 선택할 거 같다. 3008이나 5008은 가격대비 괜찮은 구성을 갖추고 있다. 디자인은 뭐 일취월장했고~",12
푸조,508,서킷전문레이서와 일반인이 느끼는 리뷰 조합 굉장히 좋아요 잘보겠습니다,12
푸조,508,한불도 문제지만 3008 2세대가 나오기 전까진 푸조도 이해하기 힘든 실내 설계와 울컥거리는 변속기 문제가 있긴 했죠.,10
푸조,508,성로님 요즘 리뷰실력이...프로수준 ㄷㄷ잘보고 있습니다 화이팅이요~,2
푸조,508,푸조랑 시트로엥이 오래도록 레이싱 출전하면서 쌓아온것이 가성비와 운동성(무게 나가는부품이 모두 바닥에 깔려있음)에서 최고의 강점을 갖고 있는거 같아요. as 정책을 보면 너무 수리할곳이 없어서 한번사면 다시는 살생각이 안들게 하는 한불이죠. 피카소가 한대 있는데 빨리 처분하려고 하고 있어요.,2
푸조,508,푸조가 옛날부터 차 제대로 만드는 브랜드였던건 확실한게 철판부터 가전제품에나 들어가는 최고등급 초고장력 강판 사용했다네요 우리나라에서는 고자출력과 한불 때문에 너무나도 평가절하 당하는 브랜드죠...ㅜㅜ 실제 타보면 특유의 코너링 필링이 정말 신뢰 가득합니다,4
푸조,508,"푸조나 르노같은 프랑스 차들이 작고 재미있는, 그러면서 모든 사람들에게 운전의 재미를 줄수 있는 몇안되는 회사였습니다. 근데 그전의 308SW라던지 1세대 3008이라던지 디자인에서 일단 패스하고 구매들을 하는 분위기라 우리나라와 너무나도 먼 정서를 가지고있었고, 뭔가 연비를 제외하고 매력을 가지고 있는부분을 찾지 못해서 더더욱 외면하지 않았나 싶습니다. 10년 전이었던가요? 206RC를 2년이나마 가지고 있었는데 이런 미친차가 있나? 1단에서 2단 2단에서 3단으로 변속하는 맛이 그냥 웃음이 나올정도로 재미있게 타고, 배기튜닝을 하지 않았음에도 뒤에서 올라오는 보오옹 배기소리가 운전의 즐거움을 더 극대화 시키지 않았나 싶습니다",8
푸조,508,사회초년생이라 508은 접근이 좀 어려운데 나중에 신형208 정도라도 국내에서 꼭 볼 수 있었으면 좋겠네요.. 208 시승기도 출시가 된다면 꼭 기대해보겠습니다,1
푸조,508,요번에 푸조 3008 장만했는데두 영상 모두 잘 봤습니다.하루빨리 프랑스 차량 AS가 개선되고 인식도 나아졌으면 좋겠네요!,12
