car_brand,car_model,comments,likes
피아트,500X ,객관적 기준이 정말 많은 리뷰라 차량 실구매시 비교하기에 너무 좋은 오토뷰 리뷰 입니다. ㅎㅎ 도움 얻고가요!,5
피아트,500X ,딴건 몰라도 정말 귀여운 suv네요 디자인은 갑,4
피아트,500X ,평점 별 단 하나!!! 패션카는 감성으로 타는거니까 실용성 가성비로 들어가면 타기 힘들죠,1
피아트,500X ,프로모션+네고로 1800에 쇼부 보고 지금 와이프 잘타고 있네요,1
피아트,500X ,피아트의 장점은 비정상회담의 알베르토를 볼 '수'도 있다는 것 빼곤 없네요.,6
피아트,500X ,가격이 넘사벽이네요 ㅋ 로드테스트 장소는 어디인가요?,2
피아트,500X ,딱 2500만원 정도 하면 될만한 차가 4천이라니,6
피아트,500X ,2.0 터보가 140마력인데 연비가 12.2라니,1
피아트,500X ,500은 900cc 가져오고 X도 저배기량 가져와야~~!!!,2
피아트,500X ,시승기 잘 보았습니다. 기자분들 마다 각자의 생각이 다 다르다고 판단되네요. 따라서  결국 차를 사는 소비자가 그 차에 만족하면 사는 것이라고 봅니다. 결국 구매는 소비자의 몫이라 생각됩니다.,2
피아트,500X ,30% 할인 된다고 해서 리뷰보러 왔습니당~,6
피아트,500X ,지금 중고 1300대☆ 댕이득~,4
피아트,500X ,만키로 탄 차 타이어 상태가 좀 심하네요 ㅡㅡ,1
피아트,500X ,조금 더 예쁜 티볼리가 가격은 2천만원 더 비싸 ㅎㅎ,4
피아트,500X ,미래에서 왔습니다. 할인 천만원씩 들어갔습니다.,3
피아트,500X ,패션카네요,1
피아트,500X ,고맙습니다,1
피아트,500X ,우리나라에서 피아트는....음...;;;;;,2
피아트,500X ,이거 중고가 1천7백정도.,1
피아트,500X ,...에서 모든 것을 말해준다,5
피아트,500X ,베뉴보다 못하네 ㅋ,1
피아트,500X ,진짜..이돈즈거사믄사람이잇나..,3
피아트,500X ,잘 만들었네요^^ 외관&내관 모두 보기에 좋습니다.,2
피아트,500X ,리뷰 잘봤습니다 모터그래프 기자님 중에 가장 일관적이시라 재미 있게 잘보고 있습니다 감사해요,1
피아트,500X ,피아트에 이태리 감성은 역시 엄청나군요. 이가격정도에 꽤 많은 만족감을 줄 수있을까요...ㅎ,1
피아트,500X ,꼼꼼한 리뷰 잘봤습니다,1
피아트,500X ,이뻐서 나중에 서브차로 가지고싶다...,1
피아트,500X ,외국 사는분들은 저돈이면 딴거사지! 많이 그러시고 저두그렇게 생각했는데 얼마전 피아트 친퀘첸토 탄 예쁜 여자분보니까 진짜 신선한 충격을 받았어요. 차가 패션이 된 느낌?꼭 가성비가 아니더라도 한국에서 피아트차가 드물고 독특하고 아기자기한 개성이 있으니까 패션카로 탄다면그만한 가치가 없다고 이야기할 순 없을듯... 예쁜 여자분이피아트 차 타니까 진짜 넘나 존예였음...,3
피아트,500X ,스포티지 디젤 2.0 최상위 모델(삼천만원)과 비교 했을때 피아트 2.0 cross(사천만원)와 천만원의 가격 차이가 나는데..피아트라는 브랜드 만으로 소비자가 천만원을 더 지불하고 구매할 가치가 있는지를 비교해주면 좋겠군요...,2
피아트,500X ,이차의 유일한 단점은 비싼 국내판매가,1
피아트,500X ,그냥 500보다 백번기엽다ㅜㅜ,3
피아트,500X ,색상이 마치 아이폰의 로골컬러 같이 애매하네요 ㅎㅎ,2
피아트,500X ,국산 소형suv 4륜 풀옵션이 3400만원 넘어요 패션카라는 이점을 보면 그렇게 비싼 가격은 아니죠,2
피아트,500X ,캐딜락 에스컬레이드 ESV 플래티넘도 해주시면 좋겠습니다..부탁드려요,1
피아트,500X ,이차보다 따라오는 포르쉐가 더 눈에 띄네요... ㅋㅋ고개 내밀고 촬영하시는게 다소 위험해 보이긴합니다만...,2
피아트,500X ,오늘은 참고 봅니다만.. 우리 기자님 좀 더 영상 많이보시고 모니터링도 하셔서 스스로 단점 개선하시는 모습 기대하겠습니다나름 열심히조며 좋은 리뷰라는 생각은드네요 전달력키우시고 돌아오시길 기대하겠습니다,1
피아트,500X ,음 저런게 국산차였다면 안팔릴수도 있겠네요. 편의사양및 품질은 역시 국내 차량이 더 좋다고 보네요,1
피아트,500X ,뉴질랜드 사는데 이 차 사려고 생각 중이다 이 영상을 보게 되었는데 이거는 거의 풀 옵션인가봐요? 뉴질랜드는 가솔린 모델에 선루프도 옵션으로 넣어야 하고 전동 시트는 아예 지원이 안되던데.... ㅜㅜㅜ,1
피아트,500X ,"박스터 탑이 열린곳으로 보이는 신PD님 머리가 조금 보이군요!도로,고속주행에 까메오 줄현한 박스터 GTS~빠르쉐는 항상 좋내염..신기하게도 김상영 기자님은 항상 SUV만 시승하시네요..의도하신것 같고.. 흐흠..",1
피아트,500X ,500이 훠~~~~얼씬 낫겟어유ㅠㅠ 일단 가격이 참..뭔지? 팔생각이있는지? 궁금하네요 ㅋㅋ,1
피아트,500X ,피아트 댓글은 없고.. ㅋㅋㅋㅋ 말리부 인가가 대단한듯 하네요. ㅋㅋㅋ,2
피아트,500X ,가격만 좀더 낮아지면 좋겠다어차피 사지는 않을꺼지만,2
