car_brand,car_model,comments,likes
한국GM,G2X,오랜친구같은 클래식카는 실용성만으로는 매기기 힘든 멋이 있는듯수리문제만 빼면 타고다니기 잼있을것같아요.,3
한국GM,G2X,전 지금 slc200 타지만   예전부터 G2X 디자인이 보통 디자인은 아니다 라고 생각했는데  아주 멋지네요 차가,4
한국GM,G2X,"트렁크를 열 때마다 탑을 고정하는 핀이 열리는 구조, 탑을 씌우는 것보다 탑을 걷어내는 게 더 간편한 구조 등 기본적으로 탑을 걷어내고 타도록 만들어졌다는 느낌이네요. 우리나라에 많이 돌아다니는 다른 수동탑 로드스터들과 비교해보자면 절대로 (소프트탑 후크 때문에 개조 등을 거쳐도 불가능할듯) 차에 탑승한 상태로 탑을 씌우는 게 불가능한 특성 상 우리나라에선 조금 곤란한 상황도 제법 생길 듯...",1
한국GM,G2X,이 차량 이름이 참 멋지다고 생각합니다 Go to Extreme G2X 좋은 리뷰 잘 보았습니다,6
한국GM,G2X,부품 수급이랑 실내 디자인만 좀더 완벽했다면 고민도 안하고 구매했을듯,6
한국GM,G2X,엔진 재원이 벨로스터n과 비슷하군요십수년전 한번 본적이 있는데 실물이 정말 멋있는 차더이다오래오래 타시오,1
한국GM,G2X,"G2X 어떤 차인지 항상 궁금했는데, 좋은 영상 만들어 주셔서 감사합니다!",18
한국GM,G2X,아~~그립다 g2x ㅠㅠㅠ정말재밌게탔는데,1
한국GM,G2X,차주 지인이자 G2X 타고있는 유튜버입니다 영상보고 반가움에 덧글달아봅니다ㅎㅎ 영상 잘 보았습니다^^,6
한국GM,G2X,작은 캐리어 두개정도 들어갈까요,1
한국GM,G2X,Was the G2X only offered with an automatic transmission in Korea?,1
한국GM,G2X,트렁크가 탑열고 신발이나 소소하게는 들어가나요? 헬멧 하나정도는 들어가는지요?,3
한국GM,G2X,시보레 칭찬할만하다현기는 아직도 컨버터블이 없음,5
한국GM,G2X,오픈 하고 닫고는 자동이 아니라 수동인건가요?,1
한국GM,G2X,ㅋㅋㅋㅋ 아니 왜케 삐걱거려요 ㅋㅋ 사고싶은차중에 하난데.....ㅋㅋㅋ;; 아 고민 ㅋㅋ,3
한국GM,G2X,글구 빌슈타인이 아니라 빌스테인이에요. 아무리 외래어라도 좀 정확하게 씁시다..,2
한국GM,G2X,"""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""""차 저한테 팔으셨던 분""",2
한국GM,G2X,망한이유가있네,1
한국GM,G2X,잡음때메 엄청 시끄럽내요,1
한국GM,G2X,놈팽이,1
한국GM,G2X,차좀 깨끗하게타라.. 영상찍을때만이라도 좀 치우던가. 평소에 차관리 어떻게하는지 눈에보인다..,3
