car_brand,car_model,comments,likes
한국GM,대우버스,GM의 청사진 흥미롭네요,1
한국GM,대우버스,선좋아요.구독.알람후시청^^,1
한국GM,대우버스,기자님 리페르용...,1
한국GM,대우버스,제목그대로 한국에서 잘해보슈.,6
한국GM,대우버스,1:24 리브헤어가 아니라 립벨 아닌가요? 독일어 일텐데,1
한국GM,대우버스,다알 갈거니까~~~~~,3
한국GM,대우버스,05:30,1
한국GM,대우버스,Euv도 다시들어올때 히트펌프달고들어와랏 ㅠ,4
한국GM,대우버스,다들 계획이 있다 테슬라를 만나기전까진,1
한국GM,대우버스,에스컬레이드랑 6000정도 차이나는데 비슷한 크기와 출력이라 충분히 수요가 있을 거 같네요 매력적인 차네요,4
한국GM,대우버스,와...팰리가 베뉴가되는 마법..타호는 진짜 거대하네요,32
한국GM,대우버스,멋진 리뷰 잘 보았습니다.재작년 부터 트래버스 레드라인으로 조그만 트레일러와 보트(23피트)도 끓고 있는데.정말 잘 나가더라고요.그 전에 볼보 XC60과는 비교도 않되게 견인하는 느낌도 없을 정도 엿지요.그런데 타호는 정말 어마어마 하군요.그냥 모든면에서 대단하네요.트래버스 레드라인도 옵션이 좀 아쉬웠는데 타호는 정말 다양하네요.좋은 리뷰 잘 보았습니다.앞으로도 좋은 리뷰 부탁해요,7
한국GM,대우버스,"뼈때리는영상...쉐보레가 국내시장을 고려했더라면, 시기적으로 그전에 들어와야했다는 그 말에 전적으로 동감합니다.영상 잘봤습니다.",8
한국GM,대우버스,대표님 옆에서 타호 함께 시승했는데 v8 6200cc의 미국감성 너무 좋았어요ㅠㅠ이래서 타는구나 싶었는데 기름값 무서워서저는 그냥 전기차 타야겠네요,49
한국GM,대우버스,"늘 상큼발랄(?)한 김한용 피디님의 리뷰 잘 보고 있습니다. 제가 미국에 살고 있어서 여기 현지인 유튜버들의 자동차 리뷰도 많이 보고 있는데 피디님의 리뷰만큼 재밌게 하는 분들이 없더군요. :)) 몇 년 뒤에 차를 바꿀까 생각하면서 리뷰들을 유심히 보고 있는데요, 기아 텔루라이드를 염두에 두고 있었는데 전기자동차시대로 완전히 바뀌기 전에 V8 자동차를 몰고 싶은 마음이 자꾸 드네요 ㅋㅋ 어쩌죠?",4
한국GM,대우버스,와.. 펠리도 엄청 크다 생각했는데 ... 굉장하네요..,5
한국GM,대우버스,차량이 튼튼하게 보이고 안정감있어 보입니다,7
한국GM,대우버스,"역시 차가 크다보니 여유있어뵈네요~ 공식 연비는 복합 6.4km/l, 도심 5.7km/l 네요 ㅎㅎㅎ",4
한국GM,대우버스,"와~차가탱크네요^^영상잘봤습니다.늘좋은영상감사합니다,",17
한국GM,대우버스,가격적인 부분 너무 공감합니다 ㅠㅠ 기본라인 나왔으면 진짜 삿을건데 ㅠㅠ,13
한국GM,대우버스,이햐 차 진짜 크다.. 근데 드디어 국내출시 한건가요?와 디자인도 멋지고 좋다. 근데 가격을 보니 링컨하고 겹치게 되는데. 흠..... 타호는 링컨의 에이에이터가 아니라 네이게이터 급인건가? 서버번은 타호보다 더 큰차네 ㄷㄷㄷㄷㄷ,1
한국GM,대우버스,와 펠리세이드가 작아 보이다니.진짜 미국차스럽다. 실내 투박한 것까지.,8
한국GM,대우버스,6.2리터 8기통인데 연비 괜찮은 편이네요..ㅎㅎㅎ콜로라도도 시내만 주행하면 5넘기기 힘듭니다..ㅎㅎㅎ,5
한국GM,대우버스,차는 확실히 멋진데... 연비가... 실제로 구입해서 탄다고 하면 살 떨릴 것 같아요;;,28
한국GM,대우버스,좀 더 대중적인 등급의 모델을 들여왔으면 하는 안타까움~타호를 원하는 사람들은 많은 옵션보다는 실용성을 원함  그래서  8천 전후의 가격대 모델 부재가 아쉬움국내 최대 배기량이 선사하는 자동차세 압박과S600급을 능가하는 극악의 연비는.... 찐 부자가 아니면 유지 관리가 어려운 차~로 만들어 놨음... 하지만 찐부자는 에스컬레이트를 샀겠죠...,5
