car_brand,car_model,comments,likes
한국GM,라보,지금 서울까지 라보사러가면서 이영상보는데 돌아갈까생각중입니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ핰ㅋㅋ...,6
한국GM,라보,차가 안전성이 없으니 블랙박스를 좋은것으로 달아야 한다는 말씀에 동감합니다.  주행리뷰까지 잘봤습니다. ㅎㅎ,2
한국GM,라보,간만에 최고의 시승기였어요이런게 진정 시승기죠,4
한국GM,라보,다마스 구입전에 이영상 봤으면 구매 안했을꺼 같아요^^ 이제 1년 타면서  클러치판 교체하고   적응하고 타고 있네요.. 세컨차로 차박도 하고  짐도 실으면서 잘타고 있어요^^,2
한국GM,라보,라보는 일단 픽업트럭 장르는 아닐거에요.에어컨은 옵션이고 파워 핸들은 옵션에 없던걸로 기억합니다. 즉 풀옵면도 무파워에요차체가 가볍다보니 주행중에는 크게 못느낀다고 하더라구요..,2
한국GM,라보,스티어링은 노파워일텐데 요새 파워로도 나오나보네요 ㄷㄷ 라보나 티코같은 차들은 오히려 파워핸들이면 차가 쉽게 뒤집어진다고 해서 안만든걸로 기억나는데,5
한국GM,라보,비안맞고 겨울에 덜춥고 여름에 덜더운 오토라이라고 생각하면 개좋음,1
한국GM,라보,그도 그럴게 80년대기준으로 만들어진게 별다른 개선없이 지금까지 이어온거니까요. 본래 작년까지 연장생산하고 단종시키려다가 이번에 또 연장되는 덕분에 단종을 염두하고 준비했던 중국상용차 수입사가 직격탄을 맞았죠.,3
한국GM,라보,베터리는 원가가 문제가 아니라 90년대에 개발된차라 전자기기 쓰는거 생각도 안하던 시절 기준이라 그럼ㅋㅋㅋ,3
한국GM,라보,ㅋㅋㅋㅋㅋㅋ 리뷰를 너무 진지하게 하셔서 웃기네요ㅋㅋㅋㅋ,7
한국GM,라보,2:55배터리는 자동차를 시동걸때만 사용합니다.에어컨등 각종 전자장비는 1차적으로 알터네이터라는 곳에서 전기를 가져다씁니다. 알터네이터에서 남은 전기는 배터리에 충전됩니다. 그럼 시동키고 배터리 없어도 생각할수있습니다. 하지만 그건위험합니다. 차량에서 쓰는 전기가 상당히 많습니다. 그래서 알터네이터가 쉽게 뻗어버리게되죠 배터리가 자주 방전되면 배터리뿐만아니라 알터네이터까지 점검받을필요 있습니다결론 배터리가 작다고 에어컨이 약하게 나오지않는다,7
한국GM,라보,디럭스급은 클러치가 약간 무겁지 않나요? 제가 수퍼랑 디럭스 다 타봤는데 그차이가 있더라구요,2
한국GM,라보,1995년부터 디자인도 24년동안 그대로고 개선된 점도 몇가지밖에 없음,6
한국GM,라보,핸들보니ㅋㅋ 군생활할때 핸들생각나네여ㅋㅋ추운 겨울철이나 한여름철에 핸들을 정차된 상태에서 왼쪽오른쪽 돌리면 유격이 생긴다고 들었습니다ㅋㅋㅋ,1
한국GM,라보,진솔한 리뷰 잘 보구 갑니다,2
한국GM,라보,뭔가 라보 갖고싶게 생김 작고 짐칸 큰게 맘에듬,9
한국GM,라보,시승기 잘 봤습니다핸들 꺾여있는거..(얼라이틀어진건지..) 저도 그렇거든요. 전 다마스입니다. 중고로 사왔는데 다른 불편한 건 참겠는데 이노무 핸들...이거 방법이 없는건가요?,1
