car_brand,car_model,comments,likes
한국GM,브로엄,GM의 청사진 흥미롭네요,1
한국GM,브로엄,선좋아요.구독.알람후시청^^👏👏👏,1
한국GM,브로엄,기자님 리페르용...,1
한국GM,브로엄,제목그대로 한국에서 잘해보슈.,6
한국GM,브로엄,1:24 리브헤어가 아니라 립벨 아닌가요? 독일어 일텐데,1
한국GM,브로엄,다알 갈거니까~~~~~,3
한국GM,브로엄,05:30,1
한국GM,브로엄,Euv도 다시들어올때 히트펌프달고들어와랏 ㅠ,4
한국GM,브로엄,다들 계획이 있다 테슬라를 만나기전까진,1
한국GM,브로엄,"마지막 모델 97년식 뉴브로엄을 세컨카로 소장 운행중인데 이제 24살이 되었네요. 주행거리는 다소 짧아 21만킬로 정도고...올드카 오너로서 무척 반가운 영상입니다.지금까지 예방 정비하면서 부품 신품이 없어서 교체못한 적이 없어 무척 다행이라 생각합니다.제 흰색 브로엄 외부와 부품 관리상태가 좀 과장하면 거의 신차 수준이라, 주차장에서 나이드신 분이 알아보시고 감탄과 관심을 많이 보이시죠!",8
한국GM,브로엄,차 진짜 관리잘하셨네요... 잘 만든 차는 시간이 지나도 어색하지 않아요.,10
한국GM,브로엄,브로엄을 탔었는데..뒤에서 밀어주기 때문에 대단히 편하고..묵직하고.쫙 깔려서 가기때문에 안정감이 있어요.고속도로에서는 제왕이였지요.말씀대로 시내에서는 연비가 정말..,7
한국GM,브로엄,정말 고급차의 진수를 보여주는 승차감도 좋고 탄탄한 차량 좋았었네요~~~,2
한국GM,브로엄,차상태가 예술이다 저정도면 박물관 전시급이다 이야 진짜 컨디션이 대단한 매물이다 옵션도 풀옵급인데 이런매물 어떻게 구하셨데 대단하시다 오디오빼고 다 순정이네 ㄷㄷ 가격을떠나서 엄청나게 대단한매물이다 와 정말 좋은영상 잘보고 갑니다,5
한국GM,브로엄,어렸을적 도로에서 구경만하던 대우 전설의 후륜구동 고급세단 브로엄 타보고싶네요 진짜 ㅠ 관리상태 실화냐...현재는 씨가마른 국산 후륜구동 세단에 한줄기 빛같은 존재네요....올드카 만세 ㅠ,8
한국GM,브로엄,제가 운전했던 차중에 승차감이 가장 좋았던 것 같습니다. 추억돋는 브로엄입니다.👍😄,2
한국GM,브로엄,지금까지 소유하셨던 분 정말 존경스럽네요.그당시 정말 갖고 싶었던 차.,2
한국GM,브로엄,이렇게 오랫동안 잘 유지된차를 일반인들이 선택할수있는건 쉽지 않은일일텐데요. 전문가와 함께 꼭 사야 할듯하네요. 옛날 감성 느낄수있고 좋은정보 얻을수있어서 명절휴일 즐거운마음으로시작합니다. 감사합니다.,4
한국GM,브로엄,프린스 타다가 브로엄 타면 브로엄승차감 좋았었는데 그시절엔 아주좋은차였죠 사장님들차,24
한국GM,브로엄,저도 브로엄 꽤 몰았는데승차감 두말하면 잔소리죠그런데 좀 애매한게그랜저 TG보다 승차감이 좋다는것보다(TG첨 타보고 조용하고 안락한 승차감에 깜짝 놀랐죠)브로엄이 달리때의 감성.즉  몸으로 느껴지는 질감과 감성이 표현하기가좀 어려운 그런게 있습니다여튼 장거리 달릴때의 무엇을 교감하는 듯한 운전하는 재미가 아주 탁월합니다.여러차 안 몰아본분은 그랜저가 승차감이 더 좋다고 볼수도있는데여러차 많이 몰아보신분은 브로엄의 가치를 아실겁니다진짜좋은데 어떻게 더이상 표현할 방법이없네,7
한국GM,브로엄,승차감 하나는 최고  입니다. 그리고 차도 묵직해서 고속도로건 골목길이건 운전성도 정말 좋았지만   실내가 경쟁차인 현대  그렌저  보다 좀 좁았던게 아쉽죠.  물론 뒷바퀴 굴림이라  그런지.,2
한국GM,브로엄,와 상태가아주끝네주네요  24년이나 된차가 광이 번쩍번쩍나고 색상도이쁘고  운전석에어백에 가죽시트에 뒷좌석 송풍구 까지 있는걸보니 브로엄중에서도 완전풀옵션 차량인것같네요 정말 멋지내요 소장용으로 한대 소유 해보고 싶네요,2
한국GM,브로엄,꼼꼼하구 자동차전반적인 설명에 푹빠져서 다봤네요. 이건뭐 바로앞에 계시면 차 구매할거같네요^^,6
한국GM,브로엄,7만키로에 놀라구 96년식차량의  실내고급짐과 내부기능이 현대차랑 비교해도 눌리지않네요. 당시 부의 상징이였을듯하네요.,2
한국GM,브로엄,아카디아 타고 있는데 헤드가 취약 한데 냉각계열 잘 알고 계시네요 ㅎㄷㄷ 좋은 영상 잘보고 갑니다.,4
한국GM,브로엄,수퍼살롱 차하난 예술이구먼!차에 비유한다면 복면가왕급차이다느낌은 좋고 성능이나 디자인승차감은 최고인듯아무리 오래된 차이지만 성능하난 훌륭한 차인데로얄살롱 차에서 김현정2집노래 틀어주면 진짜 딱일텐데,3
한국GM,브로엄,정말 너무 멋있는 차라고 생각합니다 제가 한창 아우디 a시리즈 벤츠 c클 벨로스터 이런거좋아하는 나이인데도 불구하고 취향이 올드카라 그런걸수도있지만 정말 90년대 국산차는 순수함과 나름의 정통성도 마음에드는데 특히 디자인이  묵직하면서 각지고 약간은 권위적인 느낌이 정말 가버릴것만같습니다자동차에대해서는 무지하지만 이런 올드카한번 몰아보는게 꿈인데 솔직히 개인적으로 페라리 bmw 람보르기니 줘도 안타지만 브로엄 포함해서 저 당시 국산차는 정말 타보고싶습니다 어렸을적 할아버지 차이신 엘란트라 정도 밖에 타본적이없네요,2
한국GM,브로엄,차량상태가 진짜 짱이네요,3
한국GM,브로엄,이야 반갑네여브로엄은 아니지만동세대 프린스 몰고 다녔어요여러군데가 거의 비슷하네요 ㅎ,6
한국GM,브로엄,1991년에 친구 아버지차 브로엄타고 학력고사 시험보러가다 눈길에 굴러서 가로수를 들이받았던 기억이...ㅎㅎ   추억의 차네요,2
한국GM,브로엄,와. 얼마나 잘관리했으면 굴러갈까요.멋있다.,4
한국GM,브로엄,보아하니 96년형 뉴브로엄을 91년식 초기 슈퍼살롱으로 개조한거네요.. 라디에이터그릴과 휠만 바꾼거... 그리고 96년이후에 나온 프린스와 브로엄 DOHC는 캠센서 문제로 달리다 시동꺼짐 유명하고요~ 누유 고질입니다. 저차는 반드시 엔진배선하고 캠센서 신품으로 교환 안하면 달리다 시동 꺼집니다,3
한국GM,브로엄,"예전에 할아버지 사업이 한창 잘 나갈때 유치원 수업 끝나면 기사님이 저 차량으로 데리러 오셨는데,,,,,,, IMF 터지고 회사가 힘들어지면서 당시 기사님이 두 분이 계셨는데 둘다 해고 당하셨죠. 다행히도 회사는 지켰지만 그 기사님은 다신 못 봤네요 ㅠㅠ 그당시 기사님 성함은 기억이 안나지만 잘 계셨으면 좋겠네요.",2
한국GM,브로엄,"대우망하기전 까진 대우차만 탔었죠.  시내주행에서는 현대가 좋았지만 고속도로 고속주행은 대우차의 진가가 나오죠 그립네요 르망rti  라노스 에스페로 프린스 매그너스,,,, 대우차 부활 되었으면 좋겠어요",2
한국GM,브로엄,저 당시 나온 슈퍼 싸롱 로얄 3.0도 힘이 모잘랐었는 데.  2.0브로엄이라 너무 힘 없을 거 같다,2
한국GM,브로엄,대박관리네요 어렸을때 우리 아버지 차였는데 기름엄청먹는 차량이였는데 ㅠㅠ,11
한국GM,브로엄,차 상태 정말 좋네요. 저 전동 안테나 자주 닦아줘야 합니다. 주행중 이물질로 더러워지면 안테나 작동 안 될 수 있음...,5
한국GM,브로엄,맞아요..저도 예전에 에스페로 정말 고속주행은 말이필요없이 바닥으로 쫙 깔고가는맛이 있엇죠.. 대신 시트는 최악인게 흠..,6
한국GM,브로엄,차 관리를 정말 잘했네요....방송국에서 나중에 찾겟다 ㅋㅋㅋ,2
한국GM,브로엄,"오랫만에 브로엄을 봤네요. 차이름 브로엄은 뚜껑있는 마차라는 뜻인데, 이차의 고향은 오스트렐리아 GM 산하의 홀덴사 제품으로 엔진의 누유가 적어서 오랫동안 사랑을받았습니다.회사에서 이차를 구입해서 임원차로 배차했는데, 임원기사가 방향지시등을 켜고있다가 진행방향의 불빛이 너무 밝아 옆차 운전자와 싸웠다는 이야기를 들었습니다.초기형은 고급스러웠고, 후기형은 당시 천만원씩 할일해서 팔았습니다. 이차는 후기형이네요.",7
한국GM,브로엄,1990년식 로얄 수퍼살롱도 기대를 해 봅니다.,4
한국GM,브로엄,저희 아버지 두번째 자가용이었지요. 승차감이 정말 좋았던 기억이 납니다.,1
한국GM,브로엄,내인생 두번째차였고 13년타고 빗길에 미끄러져서 폐차했는데 완전히 완파됐는데 운전석은 멀쩡해서 타박상으로 끝난 진짜 좋은차였는데,1
한국GM,브로엄,고등시절대관령 99구비에서 여성운전자가  백브로움타고   내려오는데  👍 기억이나네요영상 잘 봤습니다👍,3
한국GM,브로엄,잘 봣습니다..저도 96년식 소나타 3 2.0 dohc..골드 현재 잘 타고 있습니다...제차에 비하면 외관이 정말 상태가 좋네요...하체도 한번 봤으면 좋았을텐데 아쉽긴 합니다..,6
한국GM,브로엄,우와 역대급 관리차량이네,1
한국GM,브로엄,"93,94년  군대  위병소  근무할때 사령관 ⭐⭐⭐ 차였는데  옛날  생각나네요",6
한국GM,브로엄,잘 봤습니다. 새차 같네요... 24년 세월을 비껴간듯....어디서 이런 매물을 구해 오셨어요?가격은 얼마에 파셨나요?,4
한국GM,브로엄,울아부지차엿는데 차진짜끝내주지 튼튼하고 잘나가고 힘좋고 묵직하고,3
한국GM,브로엄,1996년에 IMF직전에사업잘됬던 막내고모네가저걸타고오셔서 당시 비싼 장난감인 레고를사러 같이따라간 기억이잇는데다시보니 지금봐도 고급스럽고묵직함?무게감이 있네요!!,2
한국GM,브로엄,"아버지차였는데 간혹 주행하다 급브레이크 밟으면 시동꺼짐이 발생했어요.대우차서비스센터 가서도 못고침. 92년식이라 앞에 안테나 올라오고 디지털 계기판의 멋이 후덜덜했죠...그리고 이차 대시보드, 도어 팔걸이 부분 가죽 마감재 들뜸현상이 끝내줍니다. 지금 이 차도 가죽이 다 쭈글쭈글 일어나서 접착제 발라놓은 듯 하네요..운전도 해보고 뒷좌석에도 타봤고 하여튼 승차감은 진짜 최고였는데 후륜구동이라 눈길에 쥐약이었죠..",2
한국GM,브로엄,90년대 차들은 수동윈도우가 없었습니다.그때의  차들도 다 자동으로 여닫을수 있었습니다.,1
한국GM,브로엄,백테타이어면 더 삘이 살 텐데 아쉽네요😁저차 전에 나온 80년대 슈퍼살롱과 임페리얼은 소가죽을 넣은 탓에 시트가 벌개진 게 흠좀무였죠,2
한국GM,브로엄,아~~ 이차정말오랜만에보내요왠지 나이있는분이 구입해 운행거의안하고 조용히 탄거같내요전문가님이 봤으니 더욱튼튼하겄내요그리고 하나 제안합니다~!!가끔씩 기본기초적인 차량상식과요즘차량많이바뀌어서 설정이나차량에 법접촉안되는안전 diy나 그리고 ex)습기.연비경험담 등등..딱딱하지않게 조금씩 넓혀갔슴 좋겠습니다소재도 많을것이며 호기심에 구독하는사람도 많아질거같습니다유투버 차량기본지식알려주는 박원관딜러나  임카대표 임재성님이나 후려치는허위딜러 잡아내는 리얼생생이나각자 컨셉이 다르지만 조금씩 소재도 많고 괜찮을거같습니다끝으로 어제눈팅만하다 첨으로 구독누르고차근차근 영상들 올리신거 보고있습니다좋은영상 좋은정보 기대할께요,2
한국GM,브로엄,당시 뉴그랜저가 인기가 믾았는데.. 차를아는분들은 후륜인 브롱엄을 인정했었죠.지그봐도 뉴그랜저보다 소장가치가 크다고 봅니다. 잘봤습니다.,2
한국GM,브로엄,제가군대에서 92년인가로얄살롱몰다가 슈퍼살롱받었는데 그때당시에는 그랜져다음최고의차 강원도코너링최고,6
한국GM,브로엄,상태A급이네요 ㄷㄷㄷ 옛날로가서 갖고온거같네요 ㅋㅋㅋ(근데 남바에 반사스티커 붙여놓으심 벌금이니 때시는걸 추천드립니다ㅎㅎ),4
한국GM,브로엄,주행거리가 좋네요 7만이면 케미컬 고무류 싹갈고 데일리로 끌어도 될거같은데요?ㅋㅋ,12
한국GM,브로엄,크 차 진짜 영롱하네요 소장하고 싶다 ㅠㅠ,1
한국GM,브로엄,로얄 살롱이 첫차였는데 후륜이라 장거리뛰어도 피곤하지 않았어요,2
한국GM,브로엄,상체근육이 대단하십니다,2
한국GM,브로엄,저당시 아부지 신차 구입 했을때 계기판 디지털 이였는데 신기했던 기억이 나네용,2
한국GM,브로엄,대우에서 아카디아  브로엄 프린스 에스페로 르망 티코 아카디아 다음으로 명차에 속했던 희대의 명차  그시대 가격대로는 비싼차 였다,3
한국GM,브로엄,그릴이 초창기 모델 같은데 실내는 96년식 맞네요 . 차축거리는 후륜구동인데도  전륜구동인 아반떼보다도  짧아요   저차플래폼이  70년대중반에 나온거라서 사골,2
한국GM,브로엄,대단하십니다,2
한국GM,브로엄,오!!!!!!!! 대박....가지고 싶다...,4
한국GM,브로엄,저희 아버지도 96년에 저모델 구매하셔서 타셨는데 그러다가 99년인가? 에쿠스 나오자마자 그걸로 타셨구용 ㅎㅎ,2
한국GM,브로엄,르망하고 구형프린스는 고속주행하면 낮은포지션으로 달리는듯한 느낌이었습니다.,3
한국GM,브로엄,차고와 기사분을 두고서? 차를 운용하신 것 같네요. 상태가...너무 좋네요.,2
한국GM,브로엄,자동차 산업군 영역이 IT전자제품으로 들어가는 추세! 향후 5~10년이면  자동차패러다임이 완전히 바뀔텐데 전기 수소차 구조를 공부하셔야 할듯,1
한국GM,브로엄,나이가  어찌 되시는지 몰라도 예전차 많이 아시네요. 올드카는 이분께 믿고 사셔도 좋울 듯  ㅎ,3
한국GM,브로엄,오내가타고다녀던차내진짜승차감은죽이는데,4
한국GM,브로엄,혀...형님 오늘도 역시 엄청난 패션!!!,10
한국GM,브로엄,시간과 정성을 투자해야만 유지할 수 있는 차..돈이 있다고 아무나 유지 못함..,6
한국GM,브로엄,저도 그랜저티지 2006년식 엘피지 소유주인데 같은 차를 보니 반갑네요더군다나 60만키로 이상을 운행했다니 대단합니다. 저는 지금 30만 키로 탓는데 11만키로 정도에 타이밍벨트를 한번 교환하고 그이후는 교환없이 지금껏 그냥 타고 있는데 타이밍벨트를 교환해야할지 비용이 비싸서 고심중입니다. 조언부탁드립니다.,2
한국GM,브로엄,제가 르망 에스페로 프린스 순서대로 탔는대 현대 차랑은 무게감이 틀려요 지금은 체어맨타고 현대차는 저랑 안맞더라구요,6
한국GM,브로엄,예전에내애마을보니정말좋은차였는데,2
