car_brand,car_model,comments,likes
한국GM,쉐보레 올란도,우와 진짜 옛날 영상이네 요새는 쏘렌토만 보였는데,1
한국GM,쉐보레 올란도,와 시보레ㅋㅋㅋㅋ,1
한국GM,쉐보레 올란도,그때는 모터그래프가 생기기전이였나요?,1
한국GM,쉐보레 올란도,오 2.0디젤인가요??,1
한국GM,쉐보레 올란도,와 이 영상 뭐지ㅋㅋㅋㅋㅋ,1
한국GM,쉐보레 올란도,밑에 무개념으로 글싸는 인간은 대체 뭔 생각으로 사는지 모르겠네,7
한국GM,쉐보레 올란도,탈출맵,1
한국GM,쉐보레 올란도,이게 왜 갑자기 추천에....,4
한국GM,쉐보레 올란도,저게7인승이였어,1
한국GM,쉐보레 올란도,보고싶은 차?,57
한국GM,쉐보레 올란도,진짜 타본 사람 아는 고속 주행시 승차감 최고의 차량,41
한국GM,쉐보레 올란도,저거 법인차량으로 쓰고 있는데 가격대비 장비 적재량이 미쳤음.. 킹 갓성비,30
한국GM,쉐보레 올란도,15년식 올란도 lpg 부드럽게 잘 굴러가서 참 좋습니다,16
한국GM,쉐보레 올란도,실운전 해봤습니다...2열까지 눕히면...진짜 왠만한 이삿짐 다 날름...현 회사 법인차 IG보다 핸들링과 주행감성이 더 좋았던차....,9
한국GM,쉐보레 올란도,어렸을때 정말 갖고싶던 차였는데 ㅎㅎ 나도 모르는 사이에 나이를 먹어 올란도가 추억의 차가 되어버렸네요 ㅎㅎㅎ,19
한국GM,쉐보레 올란도,"15년식2.0디젤 10만키로잘타고다닙니다.넉넉한힘,고속안정감,적당한연비,2열평탄화,각진공간활용성,탄탄한승차감제차지만 장점이 넘많습니다ㅎㅎ단점은 중고시세네요ㅋㅋ",14
한국GM,쉐보레 올란도,2012년 디젤 32만 운행중입니다가혹한 조건에도 흔들리지 않네요특히 하체는 정말 튼튼하네요실내공간이 2012년식 싼타페보다 넓어요이보다 좋은 차는 나오지 않을거 같네요힘들때 함께해준 조강지처같은 느낌입니다~,27
한국GM,쉐보레 올란도,카렌스보다 훨씬 많이 팔림으로잘만들면 잘 팔린다를 증명한 차죠 ㅋㅋ저희집에서도 젠2 디젤 꽤 잘탔었구요.다만 꽤나 굵직한 고장이 많은차라 그런가 판매량에 비해 요즘 많이 뜸해졌더라구요.혹시 구매 생각 있으신분은 무조건 젠3 1.6디젤로 가시길..,3
한국GM,쉐보레 올란도,a/s 발암으로 카니발 넘어왔는데.. 차는 훌륭 했습니다. 1.6 터보 였지만 가속 성능과 적재 앰비언트 다 마음에 들었지만 구식 인포와 비싼 수리비.. 어두운 헤드라이트 가 처참했지요. 저 네비는 사제고 후방카메라 라인도 잘 맞습니다. 정말 깨끗하고 아끼던 차량인데 좋은 분이 잘 타고 계시길 바랍니다!,4
한국GM,쉐보레 올란도,크... 올란도 1세대 대전충남 2호차였습니다  저속에서 편마모 공명음문제... 엔진출력저하로 고속도로 차량멈춤지금은 신호대기중 시동꺼짐크 모든걸 다 겪었네요 정비소에서는 아직도 못고칩니다 ㅎㅎ 추억이 많았네요,8
한국GM,쉐보레 올란도,"택시가 승차감이 너무 좋아서 차 내려서 확인해봤는데 올란도,, 승차감 진짜좋고 차도엄청 부드럽게 나가는느낌이엿음 귣임",5
한국GM,쉐보레 올란도,"고등학교때 아버지가 11년식 LTZ 2.0 LPG 모델을 업어오셨었는데, 올란도 LPG 모델은 엔진 힘 딸리는 거랑 미션만 빼면 나머지는 정말 만족하면서 타고 다녔었네요 ㅋㅋ",1
한국GM,쉐보레 올란도,15년 12월에 사서 아직까지 탑니다.ㅋㅋ 12만 탔는데 아직도 잘타고 다녀요.ㅋㅋ 차 사고 1년만에 자차750견적 사고도 냈지만 사람은 머리털 하나 안다친 고마운차예요,28
한국GM,쉐보레 올란도,세단만타다가 올란도 사게된게 벌써 6년째인데 주행할때 만족도가 상당히높고 차를바꾸고싶어도 이차를 대신할만한 지금 느끼는만족도 이상줄차가 없어서 존버중입니다. 화려하고 옵션찬란한 차들많은데 이게 이 주행감이 국산에는 대안이 없내요,3
한국GM,쉐보레 올란도,"올란도... 외관디자인, 실내인테리어만 잘뽑으면 참 괜찮은 차인데..제동력이나 승차감 가속력 부족함이 없음",1
한국GM,쉐보레 올란도,15년 올란도 타고 있는데   주행감 아주 짱이구요  고속에서    쥑이네유ㅡㅡㅡ,3
한국GM,쉐보레 올란도,우파님 yf쏘나타 한테 밀리긴 했지만탁월한 주행질감으로 택시운전사분들 한테선택받은 로체 이노베이션 리뷰 추천 합니다,11
한국GM,쉐보레 올란도,"디젤 2.0 2015형 현재 17만 넘게 타고 있는데 잔고장 없이 꾸준히 연비 13km 정도 나오고 잘타고 다니고 있습니다. 고속 주행과 시내 주행 골고루 타는 쪽인데 승차감, 속도감, 가속력 등 모두 크게 나쁘다거나 불만은 없었네요. 그리고 부부 캠핑 주로 다니는데 수납용적 진짜 장입니다. 뒷부분 2열 모두 다 접어버리면 어마어마한 수납력을 자랑합니다. 초밥 따위 필요없어요~(아이가 있다면 어쩔수없이 초밥은 있어야겠지만요) 차량은 아무래도 뽑기가 영향이 있는지, 저는 위 영상에서 나온 각종 단점(변속기 문제, 시동 꺼짐 문제, 편마모 문제 등)은 아직 한번도 안 겪었네요. 아무튼 지금은 이차를 언제 바꿔야 하나~라는 생각보다, 이차를 언제까지 오래오래 잘 탈 수 있을까를 고민하고 있는 차입니다.",1
한국GM,쉐보레 올란도,가족용 차로 i40 구매했을때 마지막까지 고민했던 차에요아직도 정말 실용적인 차인거 같아요,1
한국GM,쉐보레 올란도,후속시리즈 계속 국내시판했으면 어마어마했겠는데..,2
한국GM,쉐보레 올란도,"올란도 단종전에 1.6디젤 모델도 출시됬었죠.1.6디젤은 GM의 자회사 독일 ""오펠""의 디젤엔진 가져온 거였죠. (현재, 오펠은 푸죠(?)에 매각되었다고 들었고요).",5
한국GM,쉐보레 올란도,옛기억에 올란도위로 트레일러가 떨어져도 안전하다고 해서 인기 많았던거같은데 맞나요? ㅋㅋ 차급대비 꽤나 튼튼했던걸로ㅠ기억함,4
한국GM,쉐보레 올란도,만족도가 매우 높은 차입니다 디자인은 호불호가 있지만 개인적으로 호입니다,1
한국GM,쉐보레 올란도,둘째 낳고 12.5년형 2.0디젤 신차 사고 현재 20만 운행중입니다. 미션도 초기에 쿨러 설치해서 그런지 아직까지 안퍼지고 버티고 있네요 ㅎㅎ. 이제 애들 커서 와이프차로 아테온 한대 추가로 굴리는중입니다. 소음 진동은 당연히 커졌지만 추행감은 아직도 신차 느낌이네요. 실내 잡소리도 전혀 없고요.,1
한국GM,쉐보레 올란도,저때 2010년대 초반 쉐보레는 진짜 잘 팔렸지..ex) 크루즈 올란도 스파크 등등 ..,16
