car_brand,car_model,comments,likes
한국GM,쉐보레 콜로라도,"차량의 브랜드, 디자인, 가격, 주행 성격 등을제일 객관적이고 깔끔하고 편안하게 설명해주시는 기자님 시승기가 제일 유익하고 기다려지네요ㅎㅎ 캐스퍼 출시 때문에대부분 미디어들은 캐스퍼 관련된영상들을 제일 먼저 올리는데 어떻게 보면비주류의 픽업 차량 에디션 시승기를올려주시니까 더 흥미롭고 재밌고 좋네요앞으로도 편안하고 재밌고 객관적인 평가의 시승기 감사히 잘 보겠습니다",24
한국GM,쉐보레 콜로라도,"실내외 전반적인 리뷰에서 주행 성능까지 다,근데 지루하지 않게 요점만 콕콕 해주시는 리뷰는상기형이 유일한 것 같습니다",15
한국GM,쉐보레 콜로라도,"픽업은 키 꽂고 시동키고 , 사이드미러 수동으로 접는게 잘어울린다고 생각은 하는데실내 다른 옵션들에는 신경을 써주면 국내에서 더 잘 먹히겠네요.시승기 잘봤습니다.",3
한국GM,쉐보레 콜로라도,lcd와 물리적인 스위치와의 차이로 인해서 실내 인테리어가 차이나는데개인적으로는 기능적으로는 물리적인 스위치가 더 낫고Lcd들은 더 보기 좋은 것 같네요,4
한국GM,쉐보레 콜로라도,안녕하세요 한상기님 유투브 잘 보고 있습니다 ^^ 공조장치 버튼이 투박하고 큰 이유는 픽업 특성상 장갑을 끼고 눌렀을때를 위해서 크게 만든다고 들었습니다.....점점더 전동화 되고 있는 차량들을을 보니 아쉽기도 하고 환경을 위해 하이브리드나 전기차 등 전동화는 필요하고... v6 가솔린 픽업도 10년 이후에는 새차가 나오지는 않을거 같죠....? 건강하십시오^^,5
한국GM,쉐보레 콜로라도,와 포스가 장난아니네요ㄷㄷㄷ,16
한국GM,쉐보레 콜로라도,올블랙이라 그런지 의외로 멋있어 보이네요.,6
한국GM,쉐보레 콜로라도,차 진짜 멋있다,1
한국GM,쉐보레 콜로라도,"할로겐 전조등, 벌브 턴시그널... 킹 받네............. 근데 은근 저런 신경 쓴 듯 대충 멋을낸게 넘 멋져보임.킹상기니뮤ㅠ 리뷰 잘 보고 갑니다.",3
한국GM,쉐보레 콜로라도,남자를 위한 차... 멋집니다.한상기님의 해외여행기를 가끔 보며 즐기는 팬입니다.상세한 설명 잘 들었습니다.,12
한국GM,쉐보레 콜로라도,엄청나네요.. 개인적으로 RV 차량을 별로 안 좋아 하는데.. 큰것도 한번 타보고 싶어요... 내부 내장 디자인은 좀 별로 맘에 안듭니다. 자세한 설명 감사합니다.,2
한국GM,쉐보레 콜로라도,00:01 처음에 나올때 정말 멋있네요,5
한국GM,쉐보레 콜로라도,콜로라도 기본형은 그렇게 멋있진 않았는데 미드나잇은 블랙색상때문인가? 엄청 멋있고 커다랗게 보이네요,1
한국GM,쉐보레 콜로라도,도라꾸 리뷰영상 잘 봤습니다. 한번 더 눈길이 가는 그런 픽업,1
한국GM,쉐보레 콜로라도,콜로라도 차주입니다!ㅎㅎ엄청 만족하며 타고 있습니다.,4
한국GM,쉐보레 콜로라도,영상 잘 봤습니다! 감사합니다.,3
한국GM,쉐보레 콜로라도,픽업트럭을 구입을 할려고 생각하고 있는데 다른 픽업트럭도 리뷰를 해주셔음 좋겠습니다.영상잘 봤습니다.,1
한국GM,쉐보레 콜로라도,외관은 너무 좋은데 실내는 20년전 감성..,3
한국GM,쉐보레 콜로라도,한상기님은 항상 편하게 진행하셔서 좋아요 무적건 까는 방송은 문제가 있다고 생각합니다. 개인의 성격 차이가 있는데 무적건 독일차만 좋다고하는 사람들 짜증이나네요,1
한국GM,쉐보레 콜로라도,21년식 차에 전구 헤드램프도 있구나 ㅋㅋ역시 아메리카,3
한국GM,쉐보레 콜로라도,항상 잘 보고 있습니다 레인저와 비교한다면 어떤 트럭을 고르실 것 같나요?,1
한국GM,쉐보레 콜로라도,잘보겠습니다:)혹시 모하비는 또 시승할 계획 없으신가요?,3
한국GM,쉐보레 콜로라도,와..드디어 신형,1
한국GM,쉐보레 콜로라도,"12:12 6개월 동안 5,500km 타면서 브레이크 안 밟아도 시동 걸리는지 몰랐네요ㅋ",5
한국GM,쉐보레 콜로라도,너무멋있다,1
한국GM,쉐보레 콜로라도,데일리로 즐겁게 잘 타고 있습니다.,5
한국GM,쉐보레 콜로라도,와 상기니뮤ㅠ 기다렸어요  잘 볼게요 진짜ㅠㅠㅠ,14
한국GM,쉐보레 콜로라도,와 쩐다 ㄷㄷ,2
한국GM,쉐보레 콜로라도,저 덩치에 흑간지는 못참죠.마동석이 블랙수트 빼입은 느낌..ㄷㄷ,12
한국GM,쉐보레 콜로라도,캠핑용으로 한대 구입하고 싶음,1
