car_brand,car_model,comments,likes
한국GM,쉐보레 트레일블레이저,"저희 PD님께서 민트초코를 먹고 편집하신것 같아요. =_=; 열심히 해주셨는데, 조회수가 부족하다고 미쳐날뛰고 있습니다. 저는 여기저기 공유로 응징할까 합니다. ^^",439
한국GM,쉐보레 트레일블레이저,개성있는 색상이 아주 돋보이네요.시트나 대쉬보드 디자인도 깔끔하고 독특합니다.쉐보레의 새로운 도약 기대합니다.,8
한국GM,쉐보레 트레일블레이저,정말 훌륭한 차량...현가와 비슷하게 전면 라이트 구조이지만 확실하게 다르게 보인다...로봇의안구...확실하게 디자인은 한수위...,9
한국GM,쉐보레 트레일블레이저,이차 진짜 실제로 공도 주차된거 다 봤는데 디자인 진짜 잘나왔네요 차체도 이렇게보면 작아보이는데 실제로 보니 꽤 커보이저라구요 진짜 잘나옴,129
한국GM,쉐보레 트레일블레이저,처음으로 3200짜리 풀옵으로 드디어 타봤습니다. 키 180정도 성인 4명이 타도 공간 좋습니다. 나가는거 좀 무거운감 있긴 하지만 전혀 부족함없이 2박 3일 타고 다녔습니다. 생각보다 괜찮네요!!,8
한국GM,쉐보레 트레일블레이저,매번 트레일블레이저 리뷰보며 느끼는거지만 셀토스에서 아쉬운점들을 다 넣었다는게 가장 큰 매력인것같네요.(2열 에어벤트 제외),7
한국GM,쉐보레 트레일블레이저,흰색으로 RS 계약하였지요..설명하신 전동트렁크 너무너무 편리할것 같네요.더군다나 운전석에서도 열고 닫고 할 수 있다니.. 악세사리비용도 타사와 비교해도 필요없고..쉐보레가 기본이 튼튼하니까포스코기가스칠등....너무~ 기대되네요♡,160
한국GM,쉐보레 트레일블레이저,"트레일블레이저가 rs와 active말고 일반라인이 따로 있던데 그것과 rs,액티브의 차이는 또 어떤지 궁금하네요! 소형suv특유의 감성을 원하는 사람도 있겠지만, 많은 사람들이 가격적인 측면에서 선뜻 상위옵션을 사지 못하는 경우가 있을거같아서요!",4
한국GM,쉐보레 트레일블레이저,이분은 다른 차리뷰어처럼 자기가 맘에 안 든다고 막 까서 괜히 사기 싫어지게 만드는 사람들과 달리 좋은 점 잘 이야기해 주셔서 좋은 것 같습니다.,46
한국GM,쉐보레 트레일블레이저,진짜 몇 달 전부터 편집자 분 덕분에 넘 재밌어서 맨날 모카만 봐요 ㅋㅋ 이번이 레전드..ㅋㅋㅋ,11
한국GM,쉐보레 트레일블레이저,이분이 진짜 거의 차량 소개하는데 업계 최강인듯 아나운서급  텐션,9
한국GM,쉐보레 트레일블레이저,요즘 영상 너무 좋습니다 편집도 좋구요 타 지동차 리뷰보다는 고급지고 색다르네요 굿입니다기자님의 여유스런 리뷰와 편집이 환상의 조합니다,3
한국GM,쉐보레 트레일블레이저,요번차는 RS전용컬러의 이비자 블루컬러의 트레일블레이저 로군요.보니까 진짜로 민트초코처럼 보이네요.그리고 동급에서 전동식 트렁크가 있고없고 차이는 분명해 보이는군요.,2
한국GM,쉐보레 트레일블레이저,ㅋㅋㅋㅋㅋㅋ 편집진짴ㅋ 이렇게 재밌어서 다음꺼 기대치 높아져서 어쩌려궄ㅋㅋ 요즘 하루종일 하뇽님 영상만 봐요 존잼ㅋㅋㅋㅋㅋㅋ 차동차 리뷰중 제일 세련되고 노래도 좋고 화질부터 감성까지 구독좋한용,11
한국GM,쉐보레 트레일블레이저,최근 업무용으로 스파크 마이핏을 구매한 뒤에 쉐보레에 대한 관심이 급상승하고 있는데 또다른 저의 관심차인 Trail Blazer를 소개해주시니 즐겁게 시청하였습니다. 감사합니다.,17
한국GM,쉐보레 트레일블레이저,디자인 뭐 하나 빠질게 없네요 ,2
한국GM,쉐보레 트레일블레이저,역시 높은 퀄리티를 자랑합니다. 잘 보고 갑니다 오늘도 감사합니다!ㅎㅎ,8
한국GM,쉐보레 트레일블레이저,1년전 이 영상보고 트랙스17년형 동생주고 바로 바꿨네요 :) 배달의 민족 에디션이라고 놀림받지만 만족스럽게 타고있습니다! 실물 색이 진짜 이뻐요 ㅎㅎ,5
한국GM,쉐보레 트레일블레이저,색상이 마치 볼보 폴스타를 보는듯 하네요  소형SUV중 디자인은 트레일 블레이져가 젤 멋지네요. 김한용편집장님 항상 응원합니다.^^,2
한국GM,쉐보레 트레일블레이저,차잘알입니다.차 자체만 놓고 보면 소형SUV중에 트레일블레이저가 제일 좋습니다. 외관내관의 감성적인 부분은 사람마다 다르니 패쓰,46
한국GM,쉐보레 트레일블레이저,일반적으로 2열 에어벤트의 없으면 1열 에어벤트가 높게 설계되서 2열까지 가도록 되어있지 않나요?1열의 센터 에어벤트의 상황에 따라 2열 에어벤트 유무가 정해질 수도 있지 않나요?,1
한국GM,쉐보레 트레일블레이저,GM이 사실 다르파첼린지부터 주관사였기때문에 자율주행기술이 나쁘진않죠,41
한국GM,쉐보레 트레일블레이저,만들면서 타겟팅을 정하고 만들어졌다고 느껴지는 suv네요! 멋집니다!,2
한국GM,쉐보레 트레일블레이저,신발쪽에서 굉장히 유명한 컬러웨이죠 르브론 제임스 시그니쳐 농구화에 자주 사용되는 사우스비치(마이애미 비치)로 유명한 컬러웨이입니다. 편집 너무 재밌게 잘 하셨네요 영상 잘 보고갑니다~,8
한국GM,쉐보레 트레일블레이저,마지막  멘트가  가슴에  와  닿습니다.  트레일블레이져  메이드 인  코리아  홧팅!!! 김한용  쵝오!!!,3
한국GM,쉐보레 트레일블레이저,작년 12월에트레이블레이저 RS를뽑으려다 차값이 조금 비싸서기아 자동차스토닉 풀옵션 을 뽑았는데아무리 생각을 해봐트레이블레이저 RS가 훨씬더 좋은 자동차 같습니다!트레이블레이저 RS를 뽑지 않은걸이제 후회하고 있어요~ㅠㅎ^^,4
한국GM,쉐보레 트레일블레이저,셀토스.트레블레이저.mx3 모델중 상위급 모델 기준으로 3가지모델 다봤는데 ..정말 트레블레이저가 가장좋은거 같더군요 .. 물론 낮은트림에서 4륜넣고싶을때는 셀토스강추구요 . 낮은트림에선 mx3 가 가장경쟁력이있지않나 합니다.  상위급으로 구매하실분이라면 당연히 트레블레이저가 좋은선택이 아닐까 했어요 .. 정말 잘봤습니다 ..,23
한국GM,쉐보레 트레일블레이저,정보와 재미 둘다 잡았네편집자님 너무 좋아효!!!,3
한국GM,쉐보레 트레일블레이저,차 색이 튀긴하네여~ 도로 다닐때 보면 다른차들은 흑백처리 한 줄 알았네요 ㅋㅋ우리나라는 차 색에는 참 보수적이라 ㅎㅎ,16
한국GM,쉐보레 트레일블레이저,잘보고 갑니다.더불어 편집은 지금까지 자동차리뷰중 가장 센스가 돋보였습니다. 혹시 트블 광고 만드신분이 직접? ^^,1
한국GM,쉐보레 트레일블레이저,현기차 좋아하는데 이차는 진짜 잘나왔다 동급 최고인듯,17
한국GM,쉐보레 트레일블레이저,차 너무 이쁘고 이번편 편집 너무 재밌네요 ㅋ,4
한국GM,쉐보레 트레일블레이저,컬러 너무 이뻐요!! RS 사고 싶네요!! 도로에서 확 띄는..,1
한국GM,쉐보레 트레일블레이저,이차 하고 xm3와 비교 해보면 이차는 시트 포지션이 낮지만 조절각이 높아서 허리 아픈 분들 부터 키작은 분 까지 다 편하게 앉을수 있슴 대신 오토 홀드 없고 xm3에는 있슴 그런데 엔진 룸 보면 xm3는 산마이 한것 첨 원가 절감이 보임  엔진으로 따지면 3사 합작 xm3가 좋겠지만 이차 엔진도 말리부에서 검증된 엔진 이므로 괜찬아 보임  그런데 미션을 따지면 dct와 cvt인데 그래서 트블 살꺼면 최상위 4wd 넣고 8단 가는데 좋을 듯 가격은 약 200정도 차이 나는데  십년 넘게 탈  차로 생각 하면 트블이  승리,1
한국GM,쉐보레 트레일블레이저,실제 지나가길래 무슨 차인지 궁금해서 들어왔어요    근데 진짜진짜 너무 이뻐요,2
한국GM,쉐보레 트레일블레이저,진짜 컬러 너무 이쁘다 ㅠ ㅜ,8
한국GM,쉐보레 트레일블레이저,디자인은 갑인듯..,2
한국GM,쉐보레 트레일블레이저,어제 주차장에서 봤는데(시승은 액티브만 해본 ㅠㅠ) rs진짜 이쁘더라구요 흰색인데 눈에 확 ㄷ ㄷ,9
한국GM,쉐보레 트레일블레이저,도로위에서 단연독보적인 차량컬러네유 시선강탈,1
한국GM,쉐보레 트레일블레이저,원래 딱히 차욕심은 없는데 외관 딱 보고 저건 내거다 이생각..ㅋㅋㅋ SUV는 스타일리쉬하단 느낌을 받은적이 별로 없는데 이 차는 딱 그거였음. 성능은 어떨까했는데 평균이상인거 같네요.,3
한국GM,쉐보레 트레일블레이저,와 편집자님 센스가 돋보이네요!,1
