car_brand,car_model,comments,likes
한국GM,알페온,알페온으로 사고 나봤는데...진짜 안정성 쩐다. 시속120k에서 화물차 범퍼 밟아서 조수석 앞바퀴 휠이 금이 갈 정도인데...핸들이 안쏠리더라 ..대박,3
한국GM,알페온,한국 GM 쉐보레(한국) 알페온 4기통/V 블록 6기통 4 실린더/6 실린더 엔진에 앞 엔진 전륜 구동방식(FF) 이고 변속기는 6단 자동변속기(A/T) 이고 2010년 09월에 출시한 준대형차 입니다. 2011년 10월에 한국 GM 쉐보레(한국) 알페온 하이브리드 HEV E 어시스트 가 출시되었고  2015년 08월에 한국 GM 쉐보레(한국) 임팔라 가 출시되면서 이렇게 한국 GM 쉐보레(한국) 알페온 은 단종이 되었습니다.,2
한국GM,알페온,알페온 멋지..다...,6
한국GM,알페온,(쉐보레)알페온/(쉐보레)더뉴알페온 멋짐.(쉐보레)알페온 하이브리드 멋지다.,2
한국GM,알페온,대략 임팰러 나오기 전의 세미 쉐보레즈(Semi-Chevrolet's) 모델 같은..ㅎ,2
한국GM,알페온,난 브롤스타즈 에서 이름으로 알페온 이라고 해야겠다,2
한국GM,알페온,역시 미국명차답군! 잘못보셨습니다.,1
한국GM,알페온,2010~2016 수정 바랍니다,1
한국GM,알페온,이 차만 대우자동차가  파산해도 판매했다고?,2
한국GM,알페온,"독일차, 일본차랑 비교하는 마케팅 전략이 젤 ㅂㅅ같음",4
한국GM,알페온,쉐보레,1
한국GM,알페온,"묵직함과 정숙함 정말 대단한 차임. 단 3.0의 경우 부속값이 어마어마하고. 엔진 실화, 보령미션(유리미션)이 단점이며, 엔진배선같은 몇몇 부품들이 단종되어 수리시 부속을 구하지못해  엄청 애먹는 상황도 생깁니다.",4
한국GM,알페온,"알페온 타봤는데.... 정숙함과 승차감 하나는 진짜 끝내주던데 제네시스는 g70 밖에 안타좌서 모르겠지만, 국산 제네시스 밑으로는 정숙성이랑 승차감 하나는 가장 기억에 남았어요.",36
한국GM,알페온,역대급으로 방음 잘되어있던차였어요. 고속도로에서도 오디오 볼륨 안올리고 탔었죠. 조용해서 속도감이없고... 그놈의 보령미션땜에 오르막에서 추월하기 겁나 힘듬,93
한국GM,알페온,미션이랑 무거운느낌 빼면 다 좋던데 그나마 무거운 느낌도 안정감있고 묵직하게 느껴져서 오히려 좋았음.. 지금도 매니아분들은 상태 좋은 중고차로 고집하며 타시는분들 은근 있어서 놀랐음,9
한국GM,알페온,알페온 차주입니다. 구입당시 그랜져랑 시승 후 알페온으로 구매했습니다. 시동을 켠지 모를 정도로 정숙하고 안정된 주행감이 있습니다.^^단점은 중고감가가 높다는게 ㅋㅋ,51
한국GM,알페온,"3.0 기준으로미션문제 공감하고요! 엔진,흡기관련 트러블 공감합니다.이거 두가지 스트레스만 빼면 중요한 단점은 없다고 생각합니다... ㅎㅎ아. 부품가격이 좀 사악하다는것도 단점...",15
한국GM,알페온,정말 역대급으로 조용한차. 할아버지 운전을 한다면 최고로 추천 ㅎㅎㅎㅎ. 굼뜨는것에 불만들이 많지만 가속을 많이 안하고 저속운전하는 사람들도 많아요. 방음 진짜 좋아요. 내장도 나쁘지 않고,1
한국GM,알페온,13년식 2.4 차주입니다ㅎ 9만키로 탔는데 아직 만족하고 타고있어요ㅎ13년식 부터 젠2미션이라서인지 생각보단 미션때매 스트레스 받는일은 없어요!!뒷태 디자인은 아직도 만족!! 혹여나 중고로 구매하실분들은 엉뜨 잘되나는 꼭 확인해 보시길!! 리뷰 재밌게 봤습니다 :),7
한국GM,알페온,알페온 3.0 2014년 산 차주인데...그동안 잔고장 및 소음도 없이 지금도 잘 운행중...정말 만족스러워 만일 지금도 알페온 새차 살 수 있으면다시 사서 몰고 싶은 차임.알페온은 운전해 보지 못한 사람은  알페온이 얼마나 좋은 차인지 절대  모름.,41
한국GM,알페온,저는 2013~2020년까지 탔는데 너무 만족감이 높은 차였습니다. 그립네요 ^^,11
한국GM,알페온,타봐서 아는데 정숙성이나 안정성은 진짜 좋음. 그런데 저런 명차를 헬적화해서 망쳐먹는 gm대우도 능력이라면 능력임..,9
한국GM,알페온,제 기억에는 그렌저 hg와 경쟁했던걸로 알아요 제가 고1 때 아버지께서 알페온 2.4를 구입하셨는데 처음에 정숙함과 주행감이 이때까지의 차들과 달라 많이 놀랐어요 현재는 커서 가끔씩 몰아보는데 밟으면 차가 제법 나가긴 하지만 출발 때 엔진힘을 많이 써야하는게 단점인거 같아요 지금은 엔진오일 먹는 현상을 제외하면 별 일 없이 잘 달려주고 있습니다 리뷰해주셔서 감사해요!!,14
한국GM,알페온,3.0 중고로 사서 잘 타고 다니고 있습니다. 힘 좋고 부드럽고 정숙하고... 디자인도 질리지 않고... 근데 미션은 정말 구린듯... 몇 달 전 주행 중 차가 갑자기 서버리는 어이없는 상황이 있었는데 정말 다행인게 고속도로 한참 달리다 갑자기 굉음을 내기 시작하더니 터널 막히는 구간에 들어가 가다서다 반복하다 갑자기 서 버렸음.  차 견인해 수리센터 갔더니 미션 문제라고... 수리하는데  돈 백 들었음. 수리센터 사장님이 그러시더군요. 원래 알페온이 미션이 구리다고... 전 차주가 미션오일을 한번도 안갈아준거 같은데 대충 5만키로에 한번씩 꼭 미션오일을 갈아주라고... 지금도 차가 갑자기 섰을 때 생각하면 아찔하네요. 그것만 빼면 정말 좋은 차인데...,14
한국GM,알페온,차 정말 조용하고 승차감도 좋았는데 그놈에 보령미션 때문에 ㅜㅜ 지금은 bm 타지만 개인적으로 알페온 탈때가 더 편하고 좋았어요.. 한가지더 수납공간 아쉬움도 있었음..,45
한국GM,알페온,알페온이 망한 이유중 가장 큰 요인은 보령미션을 사용했기 때문이기도 합니다.,269
한국GM,알페온,2011년도에 구입해서 아직까지 잘 타고 있네요그랜져? 첨에 살때부터 비교 대상 아니었습니다얼마전 둘째 논산에 태워주고 오면서 간만에 고속도로 함 탔는데조용히 도로에 달라붙는 승차감..10년이 지나도 변함이 없네요,9
한국GM,알페온,후면부는 정말 고급진 느낌이 드네요 요즘 나오는 좀 첨단느낌도 좋지만 저는 개인적으로 약간은 클래식한게 좋더라구요,44
한국GM,알페온,풀옵 7년 탔는데 진짜 차량은 좋음. 미션땜시 급가속시 딜레이가 아주...똥망이긴 하지만 당시 그랜져.k7가 비빌 승차감은 절대 아니라고 판단됨.,18
한국GM,알페온,판매량이받쳐줘서 GEN3 미션넣고 페이스리프트 해서 상품성개선모델나왔었으면 어느정도 그렌저 K7이랑 파이나눠먹었을수도 있었을차,1
한국GM,알페온,알페온 2.4 차주입니다 근 8년차인데 고속주행 정숙성 탁월합니다. 미션만 빼면 이만한 차가 또 없죠. 라크로스 중국에서 타봤는데 한국에 들여왔으면 하는 바램입니다. ^^,10
한국GM,알페온,"진짜 K7, 그랜져, 알페온 번갈아서 탔었는데 알페온 승차감이 가장 고급지고 묵직하게 부드러웠는데. 2.4는 모르겠고 3.0 진짜 만족하며 탔었던 기억",32
한국GM,알페온,쉐보레 런칭전에는 그나마 공격적인 부류의 차종으로 선방했었는데  현기차의 아이덴티티를 경험해보는 순간 쉐비차의 투박함이 너무 눈에 뛰였다 그만큼 현기는 국내소비자들의 취향을 투시하고 있었고 점차 쉐비는 현기가 내세울수 없는 대형 픽업트럭또는 SUV에만 몰두하고 있는것은 아닐지,4
한국GM,알페온,예전 토스카가 느낌은 좋았는대...1번실린터 터져서 헤드가스켓 간지 얼마 안되었는대 미션도 터지더라구요ㅎㅎ뒷휀다 부식은 덤이구요ㅎㅎ연비는 당시 아버지 체어맨 뺨사다구 때리구요ㅎㅎ 원래 아버지도 당시 알페온3.0살려고 하시다 옆에서 보시곤쉐보레는 처다도 안보시더라구요ㅎ알페온도 악명높은 보령미션으로 알고 있습니다ㅎ,17
한국GM,알페온,"GM대우 알페온을 보니, 과거 80km/h 이상 달리면 와류현상으로 트렁크를 통해 자동차 실내에 배기가스(일산화탄소)가 유입되는 치명적인 문제가 대두되었고, 오토뷰에서 테스트한 결과 그랜저 HG는 트렁크를 통해 일산화탄소가 실내로 유입 되었으나, 알페온은 문제가 없었던만큼 품질이 좋았었는데, 그놈의 깊은 산골 보령미션 때문에 팔리지 않았던 건 많이 안타까운 일입니다.",11
한국GM,알페온,이당시 1열 이중접합유리있었음.... 방음하나는최고 고속안정성 동급 뛰어넘음...중고차로 사면 최고의가성비가 될듯,28
한국GM,알페온,13년식 오너입니다 당시 풀옵으로 차값만 4천 넘게준거 같습니다 현재도 잘타고 있는데 이젠 보내줄때가 된것같네요 안마기능까지 있는 차지만 요즘 나오는 차들에 비해 부족한게 많습니다,10
한국GM,알페온,신차때는 안타봤지만 이후 중고로 알페온 . 그랜저hg lpg 를 각각 타봤는데 . 알페온 미션부터해서 소모품들 교체해야할 시기전까지는 그랜저보다 만족도가 높았음 . 근데 그게 한번 터지기시작하니깐 굳이 이 정도의 수리비를 지출하면서까지 알페온이 매리트가 있는가 ? 하면 그건 또 애매해지는 부분임 .,4
한국GM,알페온,"알페온3.0 10년이상 타고 있는 사람으로서 보령미션 사용해서 힘이 딸린다는 말에 동조할 수 없네요. 알페온 힘 좋고 정숙성 정말 좋아요~~~실패한 이유는 그당시 GM이 한국소비자들을 우습게 보고 미국식으로 차를 구성해서(콜프백 3개, 하이패스 미장착, 차량USB위치 수납장 안 등등등) 아기자기하게 이것저것 부착되어 있는 현대차에 비해 옵션이 떨어지면 시대에 뒤떨어지는 느낌 받았고, 두번째 자신감이 넘친 나머지 선전을 많이 하지 않았고(현대차는 유명 연예인 내세워 선전, 알페온은 차를 모델로 가끔 선전), 세번째는 대우의 고질적인 문제인 차량서비스를 그대로 이어 받아 GM서비스센터를 가도 서비스맨 능력이 떨어져(웬만하면 통째로 부품교체-수리가격 폭증) 제대로 서비스를 만족스럽게 받지 못했다는 점이 있네요. 그러나 차는 정말 튼튼하고 힘세고 정숙성 좋고 엔틱한 스타일의 고급소러운 이미지가 있어요. 대형 트럭이 차 뒤 오른쪽을 제대로 받았는데, 쓰~윽 소리나면서 받힌곳 차체가 뜯겨져 나갔지만, 저는 한 곳도 다친 데가 없었어요. 지금 생각해도 알페온이 아니고 다른 차였다면~~~끔찍해서 생각하기 싫습니다~^^",2
