car_brand,car_model,comments,likes
한국GM,티코,"리스토어 장점:기존의 자동차가 새로 재해석되는 느낌,깔끔한 상태,희소성,카세트(리스토어 하는 사람들중 오디오는 순정으로 남겨두는 부분이 많음)리스토어 단점:재부분 여러 애프터마켓을 추가하기 때문에 순정과는 거리가 멀어 순정을 원하는 구매자들한테는 찬밥신세,안정성,엄청난 부품값,요즘은 불편한 수동임(물론 수동을 선호하는 사람들도 많음)",2
한국GM,티코,티코는 정말 사고나면 죽엇다봐야되요.. 아버지도 타셧엇는데 반대차선에서 사고나고 느리게 튕겨나온 마티즈에 부딪치셧는데도 운전석 도어가 다먹어서 큰일날뻔하셧엇죠..,3
한국GM,티코,와 깜짝아 삼촌도 티코 가지고 계시는데 저 녹색계열 도색에 번호판 32소 7까지 보곤 똑같아서 순간 삼촌차인줄,2
한국GM,티코,"얼마주고 사셨나요?? 맘에 드는 매물이 250에 올라왔는데 좀 비싼감이 있어서요. (무사고, 스틱, 슈퍼, 올도색돼있는 차량)",2
한국GM,티코,질문이 하나있는데 휠이 구멍없이 그냥 둥근 원판인데.... 그런휠이면.. 브레이크쪽 뜨거워지지않나요?? 픽플러스 영상보면 일부러 실험해볼려고 구멍뚫린 휠 겉에다가 쟁반을 붙여서 달렸는데 떼보니까 열기가난다고 그러더라고여...,1
한국GM,티코,추억의 명차네유,2
한국GM,티코,전96슈퍼빨간색강원도 원주 ㅡ안산 월금 출퇴근하는데교환한부품 없는데연비도 시내20  고속15고속은좀쏘는편이라,3
한국GM,티코,어떤게자꾸 수리해야되나요,2
한국GM,티코,어 이거 그거 아닌가요 25만 4천원에 티코 사시고 튜닝 이랑 고치는데만 300쓴 그 티코,2
한국GM,티코,GM 대우(한국) 티코 는 3기통 3 실린더 엔진에 앞 엔진 전륜 구동방식(FF)이고 3단 자동변속기(A/T)와 5단 수동변속기(M/T)가 적용되었습니다. 일본의 스즈키(일본) 알토 의 베이스로 만들어진 자동차로 1991년 01월에 첫 출시 해서 1998년 03월에 후속 자동차인 GM 대우(한국) 마티즈 가 출시되면서 2001년 03월에 단종이 되었습니다.,2
한국GM,티코,초반 티코는 너무 힘이 없어서 슈퍼티코 나온뒤로 조금 나아졌져 티코 안전성은 최하 지만 연비는 그 어떤차도 못따라옴,1
한국GM,티코,옛날에 울엄마 저차었눈데 많이 타고 댕긴거 기억난다,5
